lon lat veast_eu vnorth_eu seast snorth covassumed0 sta
35.62970 32.98119 -3.39011 10.10701 0.11721 0.13847 0 kn08
106.68400 37.45083 3.67012 -2.03101 0.49928 0.13643 0 d098
104.94000 34.71400 7.11170 -1.77233 0.49917 0.31060 0 g120
104.91500 34.46700 7.38276 -1.36539 0.48381 0.13907 0 g121
106.40100 34.51600 5.57171 -2.95586 0.26567 0.77991 0 g036
106.15500 33.34000 5.67574 -2.68328 0.38900 0.28898 0 h007
105.22600 32.57100 5.98479 -2.12382 0.49261 0.28700 0 h010
102.99100 33.57100 11.12624 -0.87357 0.49523 0.34079 0 h026
104.57100 32.40500 6.16923 -2.27214 0.23139 0.22745 0 h032
103.00380 29.97560 7.36879 -4.01278 0.13361 0.28263 0 h065
99.53533 25.46325 -1.33859 -10.16179 0.36968 0.60785 0 h205
106.35300 37.81100 3.82961 -1.95502 0.25996 0.14169 0 d096
105.98500 36.27900 6.37151 -0.80971 0.35281 0.25403 0 g013
105.29400 36.50400 8.47825 -1.44571 0.36453 0.17410 0 g014
106.58100 35.45800 5.91787 -2.54960 0.42027 0.32302 0 g024
105.79400 35.07900 6.10151 -2.62080 0.21365 0.49585 0 g030
100.93600 37.96700 4.48636 2.15506 0.28888 0.19333 0 g065
100.16200 37.31500 8.11854 3.02863 0.36228 0.30820 0 g075
104.10400 35.03800 7.86563 -0.13608 0.49186 0.41391 0 g114
104.54200 35.04600 7.62480 -0.35930 0.32953 0.18556 0 g116
104.48000 34.85000 7.89695 0.30323 0.45319 0.43526 0 g119
103.61300 32.59100 8.10827 -2.50519 0.40338 0.13438 0 h030
85.53800 38.08100 -1.21519 11.23787 0.44238 0.64365 0 jb46
103.46800 29.60200 5.48090 -3.26702 0.20235 0.45058 0 h076
103.04300 28.84700 6.10180 -3.95153 0.55384 0.22423 0 h086
100.09400 25.97900 1.95621 -12.85986 0.61890 0.63782 0 h124
98.81500 25.98700 1.84507 -8.81505 0.35055 0.32601 0 h203
106.03400 30.80400 5.78212 -2.59367 0.44328 0.28651 0 jb24
35.60805 32.97425 -3.51880 9.39468 0.07556 0.26893 0 kn02
107.38700 35.28800 5.10215 -2.48744 0.22454 0.17579 0 d065
106.56000 34.73300 6.43080 -2.04443 0.32089 0.33566 0 g362
31.34306 29.86200 -3.49568 5.89425 0.20269 0.21596 0 phlw
78.97300 32.77900 -1.23033 18.80981 0.30591 0.39250 0 hanl
77.60093 34.12814 -3.34171 19.37131 0.70885 0.31618 0 rscl
97.95600 34.40000 18.86267 5.59773 0.77382 0.38480 0 j400
99.19600 34.27100 16.38733 3.98509 0.42570 0.39081 0 j406
103.86500 30.69200 6.54124 -2.73146 0.74957 0.47356 0 h059
102.65500 29.34800 7.35695 -4.56392 0.17949 0.52182 0 h077
103.97800 28.60500 5.38191 -2.73989 0.77586 0.35448 0 h088
102.57700 24.37500 2.63140 -10.38239 0.62694 0.33674 0 h149
102.83600 23.22400 4.86668 -5.18927 0.83371 0.41405 0 h166
99.29300 27.18000 4.38954 -11.73796 0.24595 0.28488 0 h196
