lon lat veast_eu vnorth_eu seast snorth covassumed0 sta
35.63017 32.98181 -3.40099 10.13982 0.71505 0.76321 0 kn08
77.60070 34.12836 -3.96517 19.29733 1.99733 1.81340 0 rscl
35.60868 32.97023 -3.47445 9.64008 0.80937 0.90046 0 kn02
78.97333 32.77865 -1.50484 19.10449 1.18936 1.28004 0 hanl
29.79822 40.71993 -9.93178 -0.73838 2.67244 2.61339 0 kr07
102.99100 33.57100 10.87327 -0.82343 1.06599 0.89307 0 h026
106.68486 37.45100 3.96255 -1.98702 0.83927 0.71078 0 d098
77.12574 28.48219 5.74323 33.56116 1.92987 1.96152 0 delh
92.41500 27.27000 13.28428 23.40358 2.67939 2.40354 0 bomd
92.73167 23.72333 6.10486 31.92976 2.39566 2.30922 0 aizw
93.92500 24.74900 1.52649 24.19425 1.36550 1.31262 0 imph
35.51067 31.79967 -2.09679 9.72832 0.60891 0.54879 0 ds04
112.79300 39.47400 3.46036 -2.49571 0.62454 0.50638 0 hs76
112.74600 38.24200 3.73705 -2.03244 0.47496 0.40137 0 s016
44.09483 40.17800 1.88545 7.12744 1.10801 1.37855 0 mmor
13.62900 45.08400 0.64467 2.46500 1.63040 2.02696 0 rinj
116.23900 40.19700 2.45214 -2.06963 0.84746 0.71473 0 a152
111.65350 39.92550 3.80550 -1.16278 1.63300 1.59646 0 d010
109.92300 33.88000 5.23824 -2.16815 0.84126 0.77266 0 d078
119.39500 25.97200 5.07570 -1.84190 1.07228 1.50874 0 f016
101.05800 23.07400 -2.32230 -7.89149 1.99234 1.09877 0 h168
99.91800 22.55400 -0.45332 -3.96698 1.31515 1.02264 0 jb42
107.38700 35.28800 4.92560 -2.63164 0.97113 0.86651 0 d065
104.50500 40.73900 2.22558 -0.38144 0.80625 0.78154 0 g042
106.35300 37.81100 3.79502 -1.97957 1.00171 0.86408 0 d096
105.98500 36.27900 6.01162 -1.08400 0.98059 0.89495 0 g013
105.29400 36.50400 8.28966 -1.69587 0.99625 0.87820 0 g014
106.58100 35.45800 5.76100 -2.87801 0.96739 0.85232 0 g024
105.79400 35.07900 5.85410 -2.51588 0.93246 0.91405 0 g030
100.93600 37.96700 4.11054 2.21720 1.51653 1.21523 0 g065
100.16200 37.31500 7.96467 3.10865 1.12913 0.79272 0 g075
104.10400 35.03800 7.16933 -0.09229 1.57929 0.79722 0 g114
104.54200 35.04600 7.34547 -0.31269 1.08804 0.87045 0 g116
106.50900 33.91500 5.32199 -1.49013 1.02030 0.96566 0 h001
104.94000 34.71400 6.75594 -1.68896 1.17840 1.12941 0 g120
104.91500 34.46700 6.68727 -1.39283 1.16424 0.81532 0 g121
23.13780 43.10950 -0.01968 -1.63217 1.11129 1.28428 0 berk
23.24600 42.28166 0.47971 -2.41291 1.25208 1.17278 0 sapa
22.68084 42.25964 0.86756 -2.48939 1.28340 1.40578 0 bogs
23.17280 42.50484 0.40017 -2.28056 1.26064 1.41160 0 bosn
22.82104 42.35898 0.71428 -2.47604 1.20871 1.14710 0 carv
23.08870 42.38657 0.37534 -2.20800 1.22161 1.39329 0 dela
23.08009 42.56534 0.09539 -2.21625 1.22097 1.59782 0 kral
23.50911 42.27357 0.37692 -2.53335 1.26452 1.22109 0 malc
22.69510 42.49818 0.70079 -2.14480 1.23387 1.34008 0 zeme
104.24740 21.18960 5.73325 -4.15778 1.69321 1.38002 0 mon1
34.85692 29.78320 -1.70210 8.20286 1.03208 1.03120 0 sag0
35.51616 31.07648 -1.75352 10.51485 1.28169 1.18143 0 saf0
111.04200 38.73300 3.88552 -1.48088 0.40732 0.40732 0 bx22
111.98900 40.69100 1.94894 -0.69996 0.58647 0.56472 0 d321
113.36800 40.13550 3.14555 -1.43750 0.51933 0.80946 0 mpsh
113.55600 39.81900 3.44202 -1.61838 0.37934 0.36693 0 s004
110.08000 34.57800 4.74211 -2.45351 0.54330 0.44624 0 sn11
80.14800 28.96300 7.01512 34.31123 2.78193 1.63625 0 mah0
71.48703 34.00406 1.23348 25.99871 1.58491 2.17928 0 nceg
32.65770 40.87320 -10.28999 -0.64550 4.00260 1.57790 0 isp1
43.95092 40.10827 2.25992 7.07621 1.00191 1.19303 0 sa10
43.80728 40.09721 2.12516 6.64751 0.98791 1.30443 0 sa20
43.78198 41.12128 1.34726 6.39890 0.98617 1.23815 0 bav0
81.57474 28.13408 9.05826 36.43497 2.27863 2.02572 0 npj0
72.35251 33.13243 1.14068 27.43983 1.18674 1.57004 0 903x
72.36180 32.72188 1.52486 26.04855 1.19110 1.40874 0 1004
72.45815 32.60838 2.24083 25.64850 1.20766 1.18012 0 2004
102.33900 29.13500 8.49686 -5.26281 1.58992 1.86713 0 h366
116.59100 40.30900 2.38049 -2.23201 0.89718 0.75117 0 a072
117.35600 40.93400 1.21439 -0.60203 0.83839 0.89962 0 a075
116.21700 39.91500 2.47484 -0.19744 1.04118 0.85279 0 a089
116.09400 35.78800 3.30313 -2.59565 0.84229 0.69756 0 c035
104.53690 30.37550 6.04465 -2.38253 1.58766 1.10382 0 jyan
84.33400 43.65200 2.12095 6.88347 0.65666 0.86286 0 i045
