lon lat veast_eu vnorth_eu seast snorth covassumed0 sta
35.63017 32.98181 22.96096 21.97689 0.30297 0.40319 0 kn08
77.60070 34.12836 24.86264 20.25222 1.73072 1.48077 0 rscl
35.60868 32.97023 22.90056 21.51575 0.27302 0.48498 0 kn02
78.97333 32.77865 27.50739 19.68212 0.92478 1.03721 0 hanl
29.79822 40.71993 14.95139 12.22458 2.57370 2.51358 0 kr07
102.99100 33.57100 39.36106 -7.10278 1.01458 0.83914 0 h026
106.68486 37.45100 31.99493 -9.20218 0.77152 0.63145 0 d098
77.12574 28.48219 34.65460 34.19730 1.66469 1.66369 0 delh
92.41500 27.27000 41.87976 20.36170 2.52310 2.25128 0 bomd
92.73167 23.72333 34.31114 28.91029 2.15089 2.09217 0 aizw
93.92500 24.74900 30.05381 20.10587 0.95021 0.88392 0 imph
35.51067 31.79967 24.42529 21.59176 0.47583 0.39742 0 ds04
112.79300 39.47400 30.83985 -11.27657 0.50100 0.33901 0 hs76
112.74600 38.24200 31.19932 -10.78774 0.33549 0.21887 0 s016
44.09483 40.17800 28.70490 17.02276 0.65919 1.03843 0 mmor
13.62900 45.08400 22.09596 17.89246 1.14477 1.66611 0 rinj
116.23900 40.19700 29.56844 -11.64442 0.80548 0.65350 0 a152
111.65350 39.92550 31.27341 -9.65579 1.60552 1.57075 0 d010
109.92300 33.88000 33.14940 -10.13394 0.78895 0.70882 0 d078
119.39500 25.97200 32.19046 -12.17746 1.03777 1.48686 0 f016
101.05800 23.07400 25.70053 -13.61379 1.97415 1.06663 0 h168
99.91800 22.55400 27.57262 -9.38810 1.28344 0.98277 0 jb42
107.38700 35.28800 33.09046 -10.01770 0.91396 0.81311 0 d065
104.50500 40.73900 30.43232 -7.01984 0.74581 0.71757 0 g042
106.35300 37.81100 31.88483 -9.09291 0.95649 0.81381 0 d096
105.98500 36.27900 34.35279 -8.01708 0.92856 0.85092 0 g013
105.29400 36.50400 36.59936 -8.45402 0.93665 0.83181 0 g014
106.58100 35.45800 33.87310 -9.93264 0.92534 0.80029 0 g024
105.79400 35.07900 34.14201 -9.43455 0.87876 0.86653 0 g030
100.93600 37.96700 32.87499 -3.40135 1.41980 1.18758 0 g065
100.16200 37.31500 36.82754 -2.36229 1.11608 0.74219 0 g075
104.10400 35.03800 35.74519 -6.62036 1.46757 0.74669 0 g114
104.54200 35.04600 35.59671 -6.98059 1.04905 0.82367 0 g116
106.50900 33.91500 33.50799 -8.70319 0.97908 0.92281 0 h001
104.94000 34.71400 35.06314 -8.37013 1.14164 1.07598 0 g120
104.91500 34.46700 35.26383 -8.06324 1.06944 0.75774 0 g121
23.13780 43.10950 23.48720 12.40287 0.55747 0.85598 0 berk
23.24600 42.28166 24.12937 11.61074 0.77754 0.64940 0 sapa
22.68084 42.25964 24.41695 11.65559 0.84058 1.01903 0 bogs
