lon lat veast_eu vnorth_eu seast snorth covassumed0 sta
35.63017 32.98181 -3.39614 10.15190 0.30321 0.40276 0 kn08
77.60070 34.12836 -3.91439 19.19254 1.70280 1.46838 0 rscl
35.60868 32.97023 -3.45225 9.68205 0.27204 0.48531 0 kn02
78.97333 32.77865 -1.23033 18.80991 0.93940 1.01341 0 hanl
29.79822 40.71993 -9.93604 -1.11270 2.57097 2.52173 0 kr07
106.68486 37.45100 3.95043 -1.97040 0.77209 0.63005 0 d098
77.12574 28.48219 6.26263 33.00709 1.59252 1.66525 0 delh
92.41500 27.27000 13.25646 23.41841 2.51595 2.22288 0 bomd
92.73167 23.72333 6.15626 32.11842 2.18380 2.07298 0 aizw
93.92500 24.74900 1.57686 23.89136 0.95082 0.87361 0 imph
35.51067 31.79967 -2.03726 9.71648 0.47234 0.39386 0 ds04
44.09483 40.17800 1.90676 6.90424 0.66100 1.02754 0 mmor
13.62900 45.08400 0.71574 2.38441 1.14043 1.66373 0 rinj
106.50900 33.91500 5.35648 -1.42435 0.97912 0.91767 0 h001
23.13780 43.10950 -0.01118 -1.75972 0.55520 0.87070 0 berk
23.24600 42.28166 0.59467 -2.42956 0.77014 0.64843 0 sapa
22.68084 42.25964 0.94284 -2.60576 0.83613 0.99454 0 bogs
23.17280 42.50484 0.62018 -2.62735 0.73440 0.93479 0 bosn
22.82104 42.35898 0.99976 -2.49935 0.65815 0.60007 0 carv
23.08870 42.38657 0.40784 -2.60625 0.73725 0.93269 0 dela
23.08009 42.56534 0.32875 -2.81700 0.70157 1.13785 0 kral
23.50911 42.27357 0.17250 -2.86104 0.75944 0.67568 0 malc
22.69510 42.49818 0.77340 -2.24215 0.77653 0.89592 0 zeme
104.24740 21.18960 5.97957 -4.25994 1.32393 0.91922 0 mon1
34.85692 29.78320 -1.75971 8.19573 0.63685 0.63923 0 sag0
35.51616 31.07648 -1.95083 10.51950 0.91911 0.80900 0 saf0
80.14800 28.96300 6.45905 34.28410 2.43471 1.08373 0 mah0
71.48703 34.00406 1.56507 26.07786 1.09087 1.87979 0 nceg
32.65770 40.87320 -10.29113 -0.64334 3.80717 0.99971 0 isp1
43.95092 40.10827 2.25410 6.90856 0.59303 0.86556 0 sa10
43.80728 40.09721 2.12136 6.47192 0.56935 1.00000 0 sa20
43.78198 41.12128 1.34054 6.22027 0.56504 0.93136 0 bav0
81.57474 28.13408 9.02157 36.08620 1.91554 1.57881 0 npj0
72.35251 33.13243 1.25047 27.43415 0.73249 1.26751 0 903x
72.36180 32.72188 1.50276 26.18520 0.60446 0.92889 0 1004
72.45815 32.60838 2.21451 25.65899 0.72947 0.68505 0 2004
104.53690 30.37550 6.02520 -2.43440 1.55482 1.06563 0 jyan
85.53800 38.08100 -1.27364 11.29251 0.87529 1.75280 0 jb46
106.15500 33.34000 5.49885 -2.63299 1.06081 0.82860 0 h007
105.22600 32.57100 5.85399 -2.08748 1.29484 0.84505 0 h010
104.57100 32.40500 6.25578 -2.11506 1.09627 0.87587 0 h032
99.53540 25.46330 -1.26155 -10.43110 1.33976 1.44204 0 h205
106.40100 34.51600 5.48009 -2.98224 1.20975 1.16396 0 g036
103.61300 32.59100 8.00459 -2.38747 1.10400 0.82428 0 h030
77.17200 28.54400 7.34850 31.43772 1.69215 1.20746 0 jnuc
78.04655 30.34108 4.61245 34.01456 1.04448 1.03478 0 dehr
85.79025 20.26038 12.80511 36.64573 1.06639 1.57461 0 bhub
23.89209 42.51212 0.55715 -2.31458 0.86894 0.91188 0 beli
23.05781 42.86199 -0.26399 -2.16074 0.66900 0.63528 0 sli1
23.79895 42.77812 0.87529 -2.42121 0.96486 0.66727 0 viti
23.36420 42.86695 1.34842 -2.50929 0.89506 0.78493 0 vlad
104.02850 21.48100 6.02887 -4.49415 0.82220 0.62588 0 tpu1
24.75300 42.14623 0.14336 -2.64411 1.40755 0.77727 0 pldv
24.39160 38.08598 -16.78946 -26.55082 1.37356 0.80735 0 seva
21.44630 42.19215 0.92040 -1.63223 1.09222 0.89009 0 0802
116.62600 38.70700 3.90414 -2.65990 0.91244 0.93294 0 a105
83.41800 27.50700 8.31672 35.84277 2.17970 1.20860 0 brw0
45.20900 40.19800 2.48720 8.77096 0.63645 0.89684 0 era0
44.81000 40.15950 1.72178 8.34176 0.64850 1.01753 0 geg0
44.28700 40.38100 1.74470 7.01737 0.58212 0.90022 0 bur0
44.27600 40.73600 1.11016 6.96455 0.60994 1.04309 0 cho0
26.08500 38.44300 -20.06648 -23.07688 0.67066 0.63883 0 hios
26.73175 39.65263 -23.20728 -7.41051 1.37632 1.26703 0 kcam
26.98900 37.78000 -20.20562 -23.94417 0.76748 0.69919 0 samo
31.01875 40.57500 -14.29752 -2.52378 1.82124 2.55941 0 0023
15.07300 44.52400 0.14335 2.53410 1.48249 0.63628 0 kbag
15.86800 45.05400 -0.02288 2.02150 0.81117 0.91389 0 kudi
14.21600 45.30800 0.08722 2.88840 0.95921 1.14096 0 ucka
23.91900 39.99400 -0.97552 -9.55596 1.05802 0.92638 0 sthn
15.62500 38.26400 0.45883 4.15551 0.69097 0.48155 0 mm06
15.70550 38.22650 0.20834 3.27569 0.51474 0.49495 0 mm09
22.93530 42.13247 0.07458 -2.45029 0.75948 0.63260 0 frol
23.17965 42.13543 0.67095 -3.03247 0.92452 0.71325 0 pada
116.83200 37.65100 2.52724 -3.24005 0.80108 1.06001 0 c009
116.56200 35.41000 4.06832 -1.24363 1.31878 0.99184 0 c034
112.83275 35.46775 3.83879 -3.27865 1.27237 1.61667 0 c048
114.55700 38.42800 3.80590 -0.75309 0.79433 0.68619 0 a051
116.29200 39.70100 3.39122 -0.56534 0.79378 0.63360 0 a092
119.11912 40.75087 1.22990 -0.99638 1.05578 0.92367 0 a125
118.55425 39.54163 1.56056 -1.11125 0.95528 1.22789 0 a143
116.14400 39.88300 2.86790 -0.28633 0.74638 0.78010 0 a155
116.31000 39.81000 2.99171 -0.54892 0.95023 0.68165 0 a156
117.81500 31.65700 4.00652 -2.12210 0.95277 0.89940 0 b070
116.55800 37.31800 3.11603 -1.86489 0.86153 0.74136 0 c019
115.39400 37.33000 4.52839 -1.70508 0.90742 0.70142 0 c022
116.60500 36.94600 3.58629 -2.37888 0.84663 0.68577 0 c026
116.22300 36.33900 2.52594 -1.91462 0.79770 0.63456 0 c027
115.41800 36.47700 4.43413 -2.74567 0.89948 0.67016 0 c028
115.63000 34.43500 3.97422 -2.98884 0.80049 0.69240 0 c049
115.79100 32.94300 4.70811 -2.95281 0.72857 0.67960 0 c058
115.87800 31.68900 4.64955 -2.46623 0.74292 0.76912 0 c061
108.50700 41.56800 1.87280 -0.23291 0.73450 0.77222 0 d041
109.13500 41.02100 1.56448 -1.73503 0.94438 0.78236 0 d044
115.67550 37.69350 4.57638 -2.14011 0.76924 0.55304 0 c011
26.40641 36.58563 -15.28153 -30.07112 0.80717 0.55968 0 astp
26.92938 36.75207 -16.92691 -26.77464 0.59320 0.52448 0 kosi
81.63487 28.58563 6.14655 33.44191 2.01750 1.74203 0 ska0
81.34500 41.60100 3.11605 8.15677 1.72684 1.17564 0 i059
80.23900 41.14300 1.84500 15.18362 1.15055 0.93572 0 i061
99.45400 22.73800 -0.57652 -6.06784 1.20948 1.26236 0 h225
98.87300 27.29700 5.80707 -9.65903 1.78974 1.24796 0 h314
113.13200 41.01900 1.87847 -1.01315 0.73031 0.63767 0 a005
112.84100 39.81900 4.08346 -1.64387 0.67813 0.63627 0 a024
113.73900 39.29300 3.45378 -1.82728 0.82146 0.66263 0 a038
114.65000 38.33200 3.16761 -1.97477 0.75150 0.62758 0 c006
114.35700 38.02800 2.87222 -2.50217 0.77538 0.71897 0 c016
113.37100 37.08600 2.96039 -2.28665 0.84634 0.73549 0 c025
114.68400 36.43900 3.75622 -1.68164 1.01804 0.73730 0 c030
113.77500 35.50000 4.26291 -2.68964 0.76216 0.62286 0 c040
113.21200 35.26800 4.25720 -2.46478 0.79768 0.62262 0 c047
112.40500 34.70300 4.97667 -2.39426 0.74612 0.67532 0 c052
113.86400 34.02800 4.43260 -2.50706 0.84451 0.78902 0 c053
112.04800 34.12300 5.22315 -2.48330 0.73224 0.68343 0 c055
113.31200 32.75100 5.40342 -3.04638 0.91801 0.74553 0 c059
113.34800 31.69400 4.85179 -2.32064 0.91033 0.71094 0 c065
111.20600 40.26600 3.05921 -1.48864 0.75415 1.11700 0 d009
112.78700 37.49000 2.93527 -1.80720 0.99137 0.83153 0 d018
112.22600 36.15000 4.15401 -2.49599 0.78533 0.76502 0 d026
111.77200 36.25900 4.76483 -2.66914 0.71903 0.62116 0 d027
111.54400 36.12900 5.14177 -2.87646 0.69286 0.68711 0 d029
110.37700 34.82700 4.55482 -1.86137 0.82548 0.76466 0 d038
111.06500 34.07000 5.00987 -2.60015 0.74938 0.77638 0 d039
107.88600 41.08800 2.02257 -2.10558 1.02251 0.93877 0 d046
110.01300 39.81600 2.37679 -1.65494 0.73579 0.65793 0 d054
104.27200 23.35300 5.14140 -3.89483 1.04436 1.60298 0 f081
104.07300 29.65200 6.14085 -2.30253 1.08799 1.12905 0 h070
102.15300 24.67600 2.44948 -10.55462 0.99890 1.04278 0 h145
99.83400 23.04500 0.34359 -7.60542 1.45233 1.18677 0 h222
99.26000 23.13500 -2.64416 -4.35903 1.12506 1.07142 0 h223
109.97400 41.76500 1.87446 -1.40155 0.71886 0.71357 0 d040
106.44300 38.88800 3.64270 -0.37323 0.95072 0.91553 0 d367
100.81400 35.24400 10.79334 4.76118 0.67467 0.69086 0 g358
97.95600 34.40000 18.85844 5.47822 1.37398 0.67153 0 j400
102.65500 29.34800 7.37079 -4.15946 1.27864 1.16267 0 h077
103.97800 28.60500 5.68214 -2.50998 1.28329 1.19776 0 h088
102.57700 24.37500 3.11158 -10.19723 1.41801 1.11313 0 h149
102.83600 23.22400 4.47418 -5.38824 1.42673 1.19226 0 h166
99.29300 27.18000 4.26603 -11.41096 1.05223 1.06947 0 h196
106.66500 26.41500 5.30971 -2.21808 1.24655 0.99505 0 jb25
106.81400 39.68000 3.07707 -2.27368 0.66812 0.64133 0 d084
99.19600 34.27100 16.02503 3.88933 0.64276 0.74881 0 j406
103.04300 28.84700 6.60654 -3.85362 1.42571 1.01277 0 h086
98.81500 25.98700 1.57591 -8.67167 1.22438 1.08439 0 h203
106.03400 30.80400 5.53298 -2.42437 1.14321 0.93693 0 jb24
106.56000 34.73300 6.56536 -2.20763 0.88847 0.63871 0 g362
95.80100 40.51400 1.52927 3.21065 0.93019 0.83000 0 jb28
104.48000 34.85000 7.90808 0.42331 1.41496 1.39594 0 g119
78.36550 30.40233 4.82208 30.41411 1.58870 2.16328 0 cham
78.68000 29.84800 6.95852 32.46462 2.52453 2.09111 0 lans
77.61900 34.56800 -1.36911 19.53697 2.53092 0.81474 0 trth
80.33600 29.76200 6.75413 30.83258 1.84138 1.68274 0 asko
26.72500 43.48780 -0.92987 -0.58630 0.97094 1.07188 0 shum
34.74228 28.40266 -0.54953 10.90600 0.43741 0.46042 0 mag1
77.44950 23.20983 9.04815 33.26441 1.62618 1.58652 0 bhop
87.31000 23.53000 11.62423 38.47920 1.43437 1.20259 0 durg
80.94300 26.89100 9.33236 33.81565 0.93697 1.48363 0 luck
103.05100 22.13100 5.97094 -4.87664 1.51369 1.19378 0 don1
103.02900 21.79200 5.94583 -4.80234 1.42219 1.56445 0 lem1
103.23600 21.93100 5.28897 -3.88877 1.23818 1.48285 0 ham1
103.94217 21.31100 5.71210 -3.40012 1.44085 1.16079 0 dtb1
104.06400 21.20300 5.75177 -3.79100 1.27505 1.28450 0 lot1
104.17200 21.13100 5.55136 -3.57379 1.26880 1.04220 0 noi1
104.16617 20.98317 4.88544 -3.44258 1.30901 1.06408 0 nad1
43.95440 40.60902 1.41219 7.56697 0.67868 0.78970 0 arti
43.89110 41.53702 0.56071 4.30537 0.66578 0.86968 0 nino
43.76792 40.97229 0.64615 6.57838 0.72783 0.75458 0 amsi
35.92190 33.73983 -6.05689 11.04297 1.07398 0.79353 0 anjr
35.88000 33.85875 -6.91253 11.54003 0.93775 0.99584 0 hzrt
26.30910 42.07494 0.15312 -1.04412 1.27437 1.47629 0 topo
23.48820 42.60237 0.88637 -2.93867 1.26286 1.17233 0 loze
22.64283 38.00962 -16.06967 -26.29316 2.09758 2.23452 0 cg44
22.39658 38.64022 -10.17245 -14.18673 2.86081 1.68533 0 cg22
21.97297 38.22794 -15.43395 -25.36159 2.74056 1.30058 0 cg42
21.95020 38.06564 -16.14455 -24.59585 1.60722 1.37032 0 g000
21.48630 38.65516 -7.71446 -7.17958 1.63192 1.47920 0 prsl
66.12940 26.18228 6.20382 25.22266 0.79931 0.70254 0 shfd
96.17189 21.98922 -2.17317 5.63933 1.05528 1.46195 0 yang
35.31330 29.70410 -0.60298 10.97188 0.76865 0.69480 0 rom0
35.08290 29.74580 -1.22913 10.97567 0.99216 1.39967 0 jem0
34.95780 29.78080 -1.28500 8.86120 0.63267 0.60153 0 tim0
35.67820 30.16650 -1.30795 11.99648 0.80177 0.95660 0 man0
36.19440 30.25900 -1.27768 12.31157 0.79496 0.66878 0 jfr0
35.26590 30.28190 -1.70145 10.03994 0.65896 0.62711 0 abk0
35.13380 30.28920 -1.86285 8.62155 0.65326 0.65659 0 mnh0
35.51360 30.30800 -1.10540 11.38508 0.74425 0.61218 0 qul0
34.96460 30.32070 -2.97506 8.69758 0.71040 0.69943 0 map0
35.43800 30.44300 -1.59494 11.23839 1.02482 0.85512 0 sul0
34.60460 30.50680 -2.67384 7.36487 0.60987 0.65548 0 bor0
35.29570 30.95100 -2.44654 8.02620 0.75810 0.60026 0 tam0
35.78160 30.95880 -2.20547 11.67129 0.67411 0.69801 0 ayn0
35.64380 30.98140 -2.25747 11.88255 1.14369 1.56050 0 bur0
35.07500 31.02710 -2.94935 7.11148 0.65957 0.62399 0 dim0
34.98243 29.68143 -1.16596 9.24103 0.54161 0.49053 0 av02
35.37530 30.93010 -3.37418 8.79017 0.41441 1.22471 0 neo1
35.42753 31.82805 -2.89962 9.26015 0.32722 0.32290 0 vrdj
35.61695 32.70752 -3.50878 10.06816 0.46782 0.81950 0 tlkz
35.64385 32.70255 -3.20702 11.05698 0.39568 0.37505 0 tk02
35.10390 30.29120 -2.53325 8.70801 0.37093 0.25988 0 mnha
35.13820 30.41350 -2.31092 7.97714 0.41243 0.26566 0 brak
35.07760 31.31780 -3.49538 7.30242 0.41750 0.22821 0 masa
119.49000 32.40200 5.25828 -0.31222 1.01777 1.31613 0 b067
112.18800 39.31300 3.50284 -1.49589 0.50926 0.36974 0 a376
116.77500 32.15000 4.85586 -1.15634 0.62607 0.51843 0 b307
116.93500 31.50300 5.04874 -1.40061 0.41883 0.37692 0 b309
113.16100 36.13600 4.36529 -1.84459 0.36533 0.33684 0 c308
113.38700 36.59000 3.93189 -1.52161 0.52761 0.37667 0 c309
114.10700 32.60300 5.03742 -1.80278 0.42716 0.28591 0 c316
114.50400 33.61100 5.70809 -1.60990 0.39564 0.30673 0 c318
114.87200 32.01500 6.35188 -1.16858 0.44207 0.30146 0 c324
115.11100 33.05000 4.91627 -1.02822 0.41036 0.37144 0 c326
115.12200 32.54300 5.53191 -1.33686 0.49285 0.41984 0 c327
115.16200 33.61600 4.62207 -1.36033 0.48653 0.33077 0 c329
116.09100 32.28800 4.73308 -0.81214 0.39856 0.41175 0 c334
116.40900 31.58800 4.93639 -1.85124 0.40135 0.40741 0 c337
113.01600 37.46200 4.10206 -1.70049 0.42448 0.39494 0 d301
110.91900 39.97100 3.40670 -1.45198 0.40365 0.38584 0 d302
111.05400 40.09900 3.36713 -0.43366 0.46243 0.66591 0 d303
111.28100 40.35700 4.07130 -0.87189 0.40182 0.50647 0 d304
111.47100 40.65000 3.10721 -1.03160 0.32176 0.35418 0 d305
111.79700 41.06000 2.56998 -1.33624 0.44818 0.41210 0 d307
110.23600 40.82600 2.29235 -1.06102 0.40039 0.46048 0 d315
110.23700 40.39600 3.31160 -0.71165 0.45189 0.29050 0 d316
110.31800 41.32500 2.98648 -0.70945 0.49379 0.37075 0 d317
110.83100 40.93400 3.01962 -0.85623 0.53413 0.35483 0 d318
110.89000 40.44000 2.68452 -0.38685 0.33321 0.34862 0 d319
111.48300 40.15400 2.68671 -0.36971 0.54375 0.40556 0 d320
111.95300 40.43300 2.99550 -1.24637 0.50292 0.38542 0 d322
112.49300 41.86100 2.34898 -1.39991 0.34865 0.43049 0 d323
111.76000 39.91300 3.39184 -1.31133 0.44898 0.44257 0 d324
112.66100 39.64200 3.81690 -1.36406 0.31267 0.30793 0 d325
112.55000 38.86400 4.27403 -1.35551 0.32464 0.38596 0 d326
112.54200 38.56800 4.65013 -2.13364 0.48703 0.41843 0 d327
112.46600 38.18800 4.57675 -1.91912 0.37394 0.41212 0 d328
112.17500 37.84500 3.43056 -1.87833 0.56485 0.49494 0 d329
111.67100 37.66100 4.18211 -1.22796 0.38335 0.57886 0 d330
111.73600 37.39100 4.64481 -1.90187 0.35611 0.38055 0 d331
110.21000 35.09900 5.64064 -1.72344 0.32469 0.38014 0 d333
110.49400 34.03300 5.05531 -1.72965 0.47695 0.28326 0 d334
110.80700 34.48800 5.05589 -2.63681 0.68518 0.50328 0 d335
110.71700 35.22900 5.16508 -1.97214 0.45277 0.35180 0 d336
110.98600 35.49400 4.93966 -1.71213 0.53310 0.40475 0 d337
111.03900 35.89800 5.11633 -1.84708 0.40381 0.35104 0 d338
111.41300 35.91700 5.06503 -2.32174 0.37363 0.37887 0 d341
111.18800 36.97700 4.57765 -1.64314 0.34162 0.36021 0 d342
111.52700 36.41400 4.39135 -2.20898 0.42306 0.39500 0 d343
111.67500 35.77200 4.72963 -2.09287 0.53145 0.33103 0 d345
111.84200 34.82600 5.29862 -2.09891 0.57113 0.38295 0 d346
112.06400 35.91200 5.11598 -2.05477 0.46799 0.47656 0 d349
112.46400 37.48600 4.41710 -1.60207 0.47044 0.35977 0 d352
112.45700 33.86500 5.23383 -2.23240 0.62598 0.60520 0 d353
110.55300 39.99500 3.02889 -1.28324 0.44824 0.52765 0 d359
112.22700 39.86000 3.31063 -1.15207 0.33559 0.29156 0 d361
110.90000 39.08100 4.05931 -1.41854 0.38945 0.48578 0 d366
111.96200 38.60500 3.80529 -1.79435 0.39525 0.39711 0 d369
110.28900 37.46200 5.02178 -1.72289 0.58964 0.39602 0 d373
110.96400 36.97700 4.19622 -1.28090 0.51842 0.48014 0 d374
111.37900 36.64300 4.83064 -1.81481 0.41875 0.33292 0 d376
110.75100 42.93200 2.44681 -1.74378 0.44457 0.47930 0 e384
112.72300 42.74300 2.25712 -1.37028 0.41149 0.71138 0 e386
111.22800 41.82700 2.48597 -1.16296 0.38353 0.38814 0 e397
110.35500 33.19600 5.59812 -2.25839 0.42103 0.34773 0 f355
110.59200 32.08400 5.59658 -2.04392 0.38888 0.31249 0 f412
112.31700 31.05200 6.22276 -2.10148 0.62271 0.37000 0 f429
113.27100 39.93400 3.33991 -1.06440 0.31030 0.39769 0 s002
112.99800 39.88200 3.04989 -1.45326 0.48048 0.25971 0 s003
113.77600 39.88300 3.89223 -1.41515 0.30737 0.20685 0 s005
113.05100 39.52200 3.47619 -2.14294 0.37577 0.21324 0 s006
112.50400 39.40900 3.59811 -1.48565 0.22266 0.18770 0 s007
113.05400 39.05300 3.66511 -1.76734 0.21564 0.29692 0 s009
112.52400 38.45700 3.97781 -1.78947 0.31666 0.22012 0 s012
113.37500 38.73900 3.61117 -2.24063 0.26168 0.19185 0 s013
113.02700 38.39200 3.69648 -2.10358 0.24542 0.25556 0 s014
