lon lat veast_eu vnorth_eu seast snorth covassumed0 sta
35.63017 32.98181 22.96473 21.98271 0.30321 0.40276 0 kn08
77.60070 34.12836 25.12261 20.16562 1.70280 1.46838 0 rscl
35.60868 32.97023 22.90683 21.51725 0.27204 0.48531 0 kn02
78.97333 32.77865 27.79752 19.38484 0.93940 1.01341 0 hanl
29.79822 40.71993 14.95192 11.84551 2.57097 2.52173 0 kr07
106.68486 37.45100 31.98451 -9.19362 0.77209 0.63005 0 d098
77.12574 28.48219 35.10906 34.11782 1.59252 1.66525 0 delh
92.41500 27.27000 41.89239 20.11239 2.51595 2.22288 0 bomd
92.73167 23.72333 34.50514 28.72233 2.18380 2.07298 0 aizw
93.92500 24.74900 29.98650 20.15680 0.95082 0.87361 0 imph
35.51067 31.79967 24.36833 21.57167 0.47234 0.39386 0 ds04
44.09483 40.17800 28.71365 16.88423 0.66100 1.02754 0 mmor
13.62900 45.08400 22.11933 17.73600 1.14043 1.66373 0 rinj
106.50900 33.91500 33.50335 -8.60154 0.97912 0.91767 0 h001
23.13780 43.10950 23.46926 12.32136 0.55520 0.87070 0 berk
23.24600 42.28166 24.23100 11.63477 0.77014 0.64843 0 sapa
22.68084 42.25964 24.48953 11.54555 0.83613 0.99454 0 bogs
23.17280 42.50484 24.20775 11.44832 0.73440 0.93479 0 bosn
22.82104 42.35898 24.55324 11.63051 0.65815 0.60007 0 carv
23.08870 42.38657 24.00103 11.48242 0.73725 0.93269 0 dela
23.08009 42.56534 23.89095 11.27300 0.70157 1.13785 0 kral
23.50911 42.27357 23.85338 11.16232 0.75944 0.67568 0 malc
22.69510 42.49818 24.28287 11.90699 0.77653 0.89592 0 zeme
104.24740 21.18960 33.70210 -10.83923 1.32393 0.91922 0 mon1
34.85692 29.78320 24.65195 20.18333 0.63685 0.63923 0 sag0
35.51616 31.07648 24.48537 22.37357 0.91911 0.80900 0 saf0
80.14800 28.96300 35.34925 34.51804 2.43471 1.08373 0 mah0
71.48703 34.00406 30.49070 28.81429 1.09087 1.87979 0 nceg
32.65770 40.87320 14.98950 11.77815 3.80717 0.99971 0 isp1
43.95092 40.10827 29.05106 16.92195 0.59303 0.86556 0 sa10
43.80728 40.09721 28.90317 16.51860 0.56935 1.00000 0 sa20
43.78198 41.12128 28.02393 16.27280 0.56504 0.93136 0 bav0
81.57474 28.13408 37.86437 35.90584 1.91554 1.57881 0 npj0
72.35251 33.13243 30.18860 29.92239 0.73249 1.26751 0 903x
72.36180 32.72188 30.43432 28.67077 0.60446 0.92889 0 1004
72.45815 32.60838 31.14617 28.11689 0.72947 0.68505 0 2004
104.53690 30.37550 34.28454 -9.09081 1.55482 1.06563 0 jyan
85.53800 38.08100 27.71197 9.96271 0.87529 1.75280 0 jb46
106.15500 33.34000 33.67590 -9.71730 1.06081 0.82860 0 h007
105.22600 32.57100 34.09474 -8.92679 1.29484 0.84505 0 h010
104.57100 32.40500 34.53746 -8.78054 1.09627 0.87587 0 h032
99.53540 25.46330 27.01645 -15.73281 1.33976 1.44204 0 h205
106.40100 34.51600 33.62520 -10.13112 1.20975 1.16396 0 g036
103.61300 32.59100 36.34534 -8.79715 1.10400 0.82428 0 h030
77.17200 28.54400 36.19889 32.53504 1.69215 1.20746 0 jnuc
78.04655 30.34108 33.55875 34.85836 1.04448 1.03478 0 dehr
85.79025 20.26038 40.87850 35.24293 1.06639 1.57461 0 bhub
23.89209 42.51212 24.26202 11.64862 0.86894 0.91188 0 beli
23.05781 42.86199 23.24493 11.93270 0.66900 0.63528 0 sli1
23.79895 42.77812 24.52116 11.55668 0.96486 0.66727 0 viti
23.36420 42.86695 24.90749 11.53667 0.89506 0.78493 0 vlad
104.02850 21.48100 33.78900 -11.01501 0.82220 0.62588 0 tpu1
24.75300 42.14623 24.04699 11.18160 1.40755 0.77727 0 pldv
24.39160 38.08598 7.64021 -12.66701 1.37356 0.80735 0 seva
21.44630 42.19215 24.27284 12.70431 1.09222 0.89009 0 0802
116.62600 38.70700 30.96013 -12.36211 0.91244 0.93294 0 a105
83.41800 27.50700 37.11283 35.12739 2.17970 1.20860 0 brw0
45.20900 40.19800 29.41544 18.49022 0.63645 0.89684 0 era0
44.81000 40.15950 28.60966 18.15482 0.64850 1.01753 0 geg0
44.28700 40.38100 28.55489 16.95266 0.58212 0.90022 0 bur0
44.27600 40.73600 27.88654 16.90240 0.60994 1.04309 0 cho0
26.08500 38.44300 4.56825 -9.47005 0.67066 0.63883 0 hios
