lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 sta
74.69423 42.67977 -1.05496 2.90192 0.83634 0.43862 0.35254 1.35565 0 0 0 pol2
66.88543 39.13477 -0.62636 0.73079 -1.18037 0.59471 0.63378 1.06223 0 0 0 kit3
77.01690 43.17873 -0.21393 2.78493 0.20478 0.71942 0.60346 2.32468 0 0 0 sele
91.10400 29.65732 17.45132 18.60127 0.81149 0.68639 0.72291 0.50769 0 0 0 lhaz
34.76312 30.59761 -2.91853 7.54277 0.88502 0.24768 0.25295 0.48912 0 0 0 ramo
13.06609 52.37930 -0.36005 -0.13751 -0.02948 0.34995 0.62317 0.63350 0 0 0 pots
101.77419 36.60083 9.96216 2.12828 0.23162 0.59717 0.57142 1.10328 0 0 0 xnin
87.60083 43.80797 2.63859 7.41719 0.40715 0.76798 0.91461 0.70920 0 0 0 urum
17.07346 52.27700 -0.33328 -0.22881 -0.27745 0.39447 0.51814 0.27389 0 0 0 bor1
29.01932 41.10444 -0.98480 -1.48922 0.07756 0.67248 0.85615 0.52681 0 0 0 ista
41.56508 43.78839 -0.60441 0.88226 1.47423 0.63878 0.60704 0.47108 0 0 0 zeck
30.49673 50.36418 -0.93858 -0.20688 0.08801 0.55175 0.74493 0.40147 0 0 0 glsv
79.20988 41.20215 1.39412 14.57712 0.25486 0.64526 0.58585 1.35665 0 0 0 wush
6.60451 52.91461 -0.32030 0.47689 -0.64464 0.36714 0.51945 0.41627 0 0 0 wsrt
15.49348 47.06710 0.45870 0.54195 0.05025 0.58239 0.69089 0.78105 0 0 0 graz
33.39645 35.14100 -6.57039 3.33695 0.21678 0.23731 0.20355 0.34538 0 0 0 nico
34.54293 49.60261 -1.73780 0.30022 -0.15816 0.22176 0.37431 0.38880 0 0 0 polv
50.60812 26.20912 3.23016 21.75388 -0.20486 0.96338 0.89855 0.65474 0 0 0 bahr
12.87891 49.14420 -0.00514 0.07527 -0.01053 0.45414 0.45080 0.86045 0 0 0 wtzr
102.88922 37.45489 5.90307 1.26868 1.44212 0.44027 0.47519 0.65173 0 0 0 gsgl
101.40099 37.47194 8.28814 2.36441 0.24916 0.76680 0.58062 0.63067 0 0 0 qhme
102.79710 25.02954 4.52549 -10.93683 -0.75196 1.31563 1.06115 1.07150 0 0 0 kunm
85.53023 38.11885 -0.37667 10.42011 -1.00083 0.44206 0.45238 1.14690 0 0 0 xjqm
23.39472 42.55610 0.13619 -2.00264 -0.04425 0.33192 0.39988 1.44763 0 0 0 sofi
115.89248 39.60870 3.46543 -1.11533 2.55391 0.83101 0.77220 0.96728 0 0 0 bjfs
21.03153 52.09728 -0.33640 -0.15360 0.20494 0.38210 0.46506 0.53751 0 0 0 joze
16.70450 40.64908 0.72114 4.18986 0.51813 0.50558 0.58663 0.46769 0 0 0 mate
81.71420 28.65581 6.27553 33.52217 -0.49005 0.81131 0.44692 1.68807 0 0 0 bmcl
80.50091 29.73380 3.13409 29.78623 2.46491 1.00650 1.61338 1.57052 0 0 0 drcl
74.75110 42.99850 -1.26820 0.88433 0.23512 0.62474 0.21414 0.74753 0 0 0 chum
104.60480 35.55416 7.96421 -0.21269 0.00492 0.52435 0.47259 0.36281 0 0 0 gsdx
105.75975 35.52685 6.41365 -1.70164 0.57581 0.54323 0.50589 0.48788 0 0 0 gsjn
102.05800 34.02000 12.46730 1.40985 -0.03198 0.94237 0.62795 0.43311 0 0 0 gsma
106.58616 35.54788 6.63350 -2.16545 0.31043 0.80406 0.50285 0.39311 0 0 0 gspl
105.64590 36.55398 6.45834 0.12106 -1.64975 0.53348 0.54326 0.40361 0 0 0 nxhy
100.13006 37.33320 9.07370 3.14061 -0.07665 0.51409 0.51755 0.62244 0 0 0 qhgc
97.37788 37.38026 7.82869 6.22404 0.47236 0.83578 0.75926 1.45078 0 0 0 dlha
107.43708 37.77876 4.26353 -2.11796 0.21804 0.64178 0.75090 1.54670 0 0 0 yanc
94.68480 40.14361 2.02131 4.43537 -0.88444 0.27222 0.40693 1.62325 0 0 0 gsdh
94.77184 36.14514 8.12092 8.71505 -0.50498 0.42084 0.40044 0.90766 0 0 0 qhge
93.33120 38.74410 5.74398 5.62432 1.96839 0.41931 0.85390 1.07606 0 0 0 qhlh
78.77030 39.81387 0.25773 16.85653 -0.23860 0.43955 0.50269 1.04698 0 0 0 xjbc
88.17059 39.02402 1.12744 8.89591 -0.96933 0.91014 0.61668 1.33825 0 0 0 xjrq
75.23400 37.77500 -3.31630 21.08932 -0.69590 0.86069 0.60401 0.49037 0 0 0 tash
102.56503 39.12675 2.76326 0.52319 0.50509 0.71986 0.60888 0.29293 0 0 0 g049
101.35279 38.15660 4.46821 1.79710 -0.33587 0.66159 0.62084 0.56149 0 0 0 g055
102.88678 38.41894 3.68181 0.74924 0.56046 0.63433 0.62874 0.46996 0 0 0 g056
102.15086 38.43008 4.22782 1.76570 -0.28773 0.69537 0.64054 0.61959 0 0 0 g057
101.74388 38.30124 4.27205 1.57813 0.06871 0.76046 0.68650 1.05489 0 0 0 g058
102.10807 38.28019 3.97589 1.01809 -0.21603 0.77371 0.63928 2.05950 0 0 0 g060
102.64425 37.78114 4.67368 1.34491 0.49892 0.72939 0.62927 0.58515 0 0 0 g063
102.31696 37.95805 4.67336 1.39443 0.17774 0.66152 0.63168 0.78831 0 0 0 g064
102.97889 37.14809 7.92872 1.70451 0.72035 0.75808 0.61045 0.79979 0 0 0 g073
101.63107 36.97608 9.30761 1.76639 -0.56439 0.76496 0.58424 1.31827 0 0 0 g080
100.26890 36.61785 8.53335 4.05099 -0.93265 0.80756 0.79480 0.59138 0 0 0 g090
101.10892 36.44613 9.05117 3.34513 -0.86171 0.84830 0.64317 0.69000 0 0 0 g100
102.78717 35.87505 8.99619 2.12606 1.18067 1.03728 0.68485 1.40816 0 0 0 g105
102.81222 35.26278 8.64809 1.96097 0.14942 1.08949 0.64358 1.23499 0 0 0 g113
102.31813 38.70488 3.18950 0.72666 0.65967 0.71074 0.62120 0.40878 0 0 0 g134
101.14194 38.92877 2.83750 1.45885 0.23222 0.80907 0.67261 1.32148 0 0 0 g141
29.45070 40.78672 -5.13670 -1.41030 -0.60675 0.64703 0.43827 0.55074 0 0 0 tubi
102.12622 34.00004 11.23483 1.23203 1.07472 0.84212 0.65580 1.23464 0 0 0 h018
101.61297 34.71616 10.15350 3.59619 0.95209 0.99078 0.63617 0.90233 0 0 0 j001
5.35379 43.27878 -0.12899 0.01525 -0.35162 0.27142 0.28974 0.58266 0 0 0 mars
104.31620 52.21900 -1.52451 -0.07062 0.57123 0.33903 0.31466 0.46479 0 0 0 irkt
7.46510 46.87710 -0.11256 0.29714 0.91205 0.45044 0.53130 0.43624 0 0 0 zimm
82.81790 28.98370 5.54443 25.43205 3.26895 0.66222 0.59270 1.37312 0 0 0 dlpa
82.49120 27.95081 8.21716 34.32503 0.39358 0.79659 1.66498 2.82909 0 0 0 grhi
82.19258 29.27780 4.28258 26.49797 2.26164 0.82160 0.40166 1.11306 0 0 0 jmla
83.74330 28.80521 6.64349 26.57673 2.90666 0.66754 0.72177 0.93224 0 0 0 jmsm
104.05703 37.18081 6.51315 1.10740 0.53624 0.46844 0.48422 0.41635 0 0 0 gsjt
100.81783 38.44105 4.61935 2.57804 -0.00034 0.42749 0.47589 0.48308 0 0 0 gsml
103.08801 38.63220 4.67249 0.90946 -0.29011 0.65249 0.50270 1.07666 0 0 0 gsmq
106.27386 38.49408 4.22127 -0.92555 -3.97050 0.39667 0.60586 0.50177 0 0 0 nxyc
