lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 sta
74.69423 42.67977 27.68281 4.71592 0.83634 0.43862 0.35254 1.35565 0 0 0 pol2
66.88543 39.13477 28.04578 4.77501 -1.18037 0.59471 0.63378 1.06223 0 0 0 kit3
77.01690 43.17873 28.52971 3.92719 0.20478 0.71942 0.60346 2.32468 0 0 0 sele
91.10400 29.65732 46.24948 15.66918 0.81149 0.68639 0.72291 0.50769 0 0 0 lhaz
34.76312 30.59761 23.45583 19.54924 0.88502 0.24768 0.25295 0.48912 0 0 0 ramo
13.06609 52.37930 19.19129 15.27636 -0.02948 0.34995 0.62317 0.63350 0 0 0 pots
101.77419 36.60083 38.36456 -3.78544 0.23162 0.59717 0.57142 1.10328 0 0 0 xnin
87.60083 43.80797 31.28541 5.49129 0.40715 0.76798 0.91461 0.70920 0 0 0 urum
17.07346 52.27700 20.08264 14.70970 -0.27745 0.39447 0.51814 0.27389 0 0 0 bor1
29.01932 41.10444 23.73600 11.60965 0.07756 0.67248 0.85615 0.52681 0 0 0 ista
41.56508 43.78839 25.51512 11.44010 1.47423 0.63878 0.60704 0.47108 0 0 0 zeck
30.49673 50.36418 22.45344 12.62315 0.08801 0.55175 0.74493 0.40147 0 0 0 glsv
79.20988 41.20215 30.28274 15.08339 0.25486 0.64526 0.58585 1.35665 0 0 0 wush
6.60451 52.91461 17.67790 16.49764 -0.64464 0.36714 0.51945 0.41627 0 0 0 wsrt
15.49348 47.06710 21.78688 15.67673 0.05025 0.58239 0.69089 0.78105 0 0 0 graz
33.39645 35.14100 19.38699 15.61471 0.21678 0.23731 0.20355 0.34538 0 0 0 nico
34.54293 49.60261 22.47279 12.35086 -0.15816 0.22176 0.37431 0.38880 0 0 0 polv
50.60812 26.20912 30.93824 30.15944 -0.20486 0.96338 0.89855 0.65474 0 0 0 bahr
12.87891 49.14420 20.32359 15.50952 -0.01053 0.45414 0.45080 0.86045 0 0 0 wtzr
102.88922 37.45489 34.20663 -4.94653 1.44212 0.44027 0.47519 0.65173 0 0 0 gsgl
101.40099 37.47194 36.68570 -3.44789 0.24916 0.76680 0.58062 0.63067 0 0 0 qhme
102.79710 25.02954 32.63434 -17.12724 -0.75196 1.31563 1.06115 1.07150 0 0 0 kunm
85.53023 38.11885 28.60802 9.09256 -1.00083 0.44206 0.45238 1.14690 0 0 0 xjqm
23.39472 42.55610 23.75197 12.03857 -0.04425 0.33192 0.39988 1.44763 0 0 0 sofi
115.89248 39.60870 30.52927 -10.64372 2.55391 0.83101 0.77220 0.96728 0 0 0 bjfs
21.03153 52.09728 20.92216 14.24368 0.20494 0.38210 0.46506 0.53751 0 0 0 joze
16.70450 40.64908 23.53742 19.17522 0.51813 0.50558 0.58663 0.46769 0 0 0 mate
81.71420 28.65581 35.14883 33.30132 -0.49005 0.81131 0.44692 1.68807 0 0 0 bmcl
80.50091 29.73380 32.06383 29.91769 2.46491 1.00650 1.61338 1.57052 0 0 0 drcl
74.75110 42.99850 27.44869 2.68191 0.23512 0.62474 0.21414 0.74753 0 0 0 chum
104.60480 35.55416 36.21152 -6.88716 0.00492 0.52435 0.47259 0.36281 0 0 0 gsdx
105.75975 35.52685 34.58198 -8.68193 0.57581 0.54323 0.50589 0.48788 0 0 0 gsjn
102.05800 34.02000 40.89773 -4.58082 -0.03198 0.94237 0.62795 0.43311 0 0 0 gsma
106.58616 35.54788 34.74212 -9.36285 0.31043 0.80406 0.50285 0.39311 0 0 0 gspl
105.64590 36.55398 34.60422 -6.82922 -1.64975 0.53348 0.54326 0.40361 0 0 0 nxhy
100.13006 37.33320 37.55162 -2.32448 -0.07665 0.51409 0.51755 0.62244 0 0 0 qhgc
97.37788 37.38026 36.45275 1.51980 0.47236 0.83578 0.75926 1.45078 0 0 0 dlha
107.43708 37.77876 32.22426 -9.53732 0.21804 0.64178 0.75090 1.54670 0 0 0 yanc
94.68480 40.14361 30.66151 0.48616 -0.88444 0.27222 0.40693 1.62325 0 0 0 gsdh
94.77184 36.14514 36.89060 4.74129 -0.50498 0.42084 0.40044 0.90766 0 0 0 qhge
93.33120 38.74410 34.50195 2.05800 1.96839 0.41931 0.85390 1.07606 0 0 0 qhlh
78.77030 39.81387 29.20973 17.49038 -0.23860 0.43955 0.50269 1.04698 0 0 0 xjbc
88.17059 39.02402 30.03447 6.80578 -0.96933 0.91014 0.61668 1.33825 0 0 0 xjrq
75.23400 37.77500 25.65908 22.74744 -0.69590 0.86069 0.60401 0.49037 0 0 0 tash
102.56503 39.12675 31.01430 -5.60460 0.50509 0.71986 0.60888 0.29293 0 0 0 g049
101.35279 38.15660 32.84256 -4.00208 -0.33587 0.66159 0.62084 0.56149 0 0 0 g055
102.88678 38.41894 31.94553 -5.46531 0.56046 0.63433 0.62874 0.46996 0 0 0 g056
102.15086 38.43008 32.53965 -4.25012 -0.28773 0.69537 0.64054 0.61959 0 0 0 g057
101.74388 38.30124 32.61570 -4.32735 0.06871 0.76046 0.68650 1.05489 0 0 0 g058
102.10807 38.28019 32.29709 -4.98614 -0.21603 0.77371 0.63928 2.05950 0 0 0 g060
102.64425 37.78114 32.98073 -4.80427 0.49892 0.72939 0.62927 0.58515 0 0 0 g063
102.31696 37.95805 32.99459 -4.66633 0.17774 0.66152 0.63168 0.78831 0 0 0 g064
102.97889 37.14809 36.23749 -4.53485 0.72035 0.75808 0.61045 0.79979 0 0 0 g073
101.63107 36.97608 37.70758 -4.10846 -0.56439 0.76496 0.58424 1.31827 0 0 0 g080
100.26890 36.61785 37.02434 -1.45217 -0.93265 0.80756 0.79480 0.59138 0 0 0 g090
101.10892 36.44613 37.49784 -2.38762 -0.86171 0.84830 0.64317 0.69000 0 0 0 g100
102.78717 35.87505 37.35448 -4.06166 1.18067 1.03728 0.68485 1.40816 0 0 0 g105
102.81222 35.26278 37.01767 -4.23350 0.14942 1.08949 0.64358 1.23499 0 0 0 g113
