lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 sta
12.87872 49.14430 20.32137 15.53232 0.16829 0.39280 0.40338 0.83155 0 0 0 wtzr
1.48138 43.55941 19.49897 16.29537 -0.14726 0.64625 0.94177 0.70645 0 0 0 tlse
91.10392 29.65738 46.31705 15.67293 0.81384 0.69480 0.72321 0.49633 0 0 0 lhaz
7.46518 46.87711 19.72782 16.28776 0.93753 0.41358 0.48561 0.42266 0 0 0 zimm
16.70447 40.64913 23.53869 19.22746 0.46855 0.46933 0.54176 0.49589 0 0 0 mate
12.34951 45.43611 20.98446 17.19137 -1.15894 0.70581 0.73280 1.24628 0 0 0 ven1
80.95602 26.91216 36.37471 34.62227 -2.23840 1.79954 0.77785 0.96105 0 0 0 lcki
11.27963 48.08601 20.24372 15.76874 0.11751 0.35522 0.29928 1.01581 0 0 0 ober
23.93250 38.07856 8.07665 -11.57223 0.37111 0.71777 0.64817 1.21989 0 0 0 dion
50.60814 26.20914 30.99218 30.15708 -0.20145 0.97346 0.90019 0.65682 0 0 0 bahr
66.88545 39.13468 27.93169 4.93858 -0.88964 0.66064 0.90572 0.89885 0 0 0 kit3
15.49347 47.06714 21.82140 15.71929 0.09371 0.55409 0.66769 0.77695 0 0 0 graz
5.35677 43.27846 20.12293 16.16672 -0.36297 0.26320 0.27802 0.56934 0 0 0 mars
34.76314 30.59761 23.51154 19.58886 0.90728 0.24759 0.27003 0.49189 0 0 0 ramo
11.12219 42.42804 20.58114 16.17225 -0.36065 0.43877 0.46719 1.05311 0 0 0 maon
0.33591 50.86734 16.93779 16.51203 -0.01978 0.48092 0.54066 0.52621 0 0 0 hers
6.92063 43.75472 20.43788 16.13475 0.00564 0.16575 0.17761 0.38979 0 0 0 gras
101.40169 37.46802 36.65903 -3.45669 0.17176 0.76584 0.58164 0.59023 0 0 0 g070
11.64677 44.52000 22.16554 18.01249 -1.70414 0.28570 0.28869 0.59295 0 0 0 medi
14.78562 49.91369 20.24088 15.14811 0.15928 0.42526 0.52680 0.74111 0 0 0 gope
4.38757 51.98610 17.54861 15.85217 -0.32911 0.24148 0.38003 0.67034 0 0 0 delf
114.35726 30.53167 33.22611 -11.17977 2.28025 0.91683 1.07626 2.08671 0 0 0 wuhn
88.17280 39.02377 30.05405 6.76367 -0.57410 0.90775 0.61535 1.29978 0 0 0 xjrq
30.49673 50.36419 22.46879 12.70654 0.23543 0.54012 0.73001 0.41081 0 0 0 glsv
41.56507 43.78835 25.51270 11.36940 0.97707 0.60826 0.61817 1.42724 0 0 0 zeck
17.27387 48.37272 21.50039 15.14997 0.22702 0.27898 0.27742 1.05101 0 0 0 mopi
14.98977 36.87587 21.44785 19.85300 -0.74696 0.28257 0.34293 0.42514 0 0 0 not1
8.97275 39.13591 21.54769 16.09429 -0.24461 0.23745 0.19507 0.40814 0 0 0 cagl
11.89216 45.41114 20.94228 16.97353 -0.48836 0.28346 0.54324 1.08065 0 0 0 pado
8.61634 44.92313 20.34781 16.24010 -0.28414 0.52530 0.51061 1.02010 0 0 0 ale0
84.98505 27.16559 37.86146 35.21390 -0.15029 0.59848 0.45185 3.31039 0 0 0 sim4
74.69427 42.67977 27.69468 4.73599 1.03540 0.44071 0.35596 1.11774 0 0 0 pol2
4.35915 50.79784 17.80613 16.09807 0.45487 0.49979 0.58527 0.43339 0 0 0 brus
8.40958 49.01082 19.49192 15.92694 -0.02035 0.21086 0.20785 0.57534 0 0 0 karl
100.23673 38.18485 33.66368 -3.26394 0.86444 0.82028 0.62964 1.59813 0 0 0 qhql
34.54292 49.60261 22.45379 12.34966 -0.02705 0.22915 0.36638 0.39035 0 0 0 polv
7.63969 45.01544 20.45988 15.70664 0.21279 0.26176 0.26636 0.57217 0 0 0 ieng
33.39645 35.14099 19.42546 15.63294 0.22584 0.24198 0.21471 0.38736 0 0 0 nico
11.60082 44.82898 21.35402 17.70986 -0.36928 0.33263 0.51702 0.93168 0 0 0 fer0
32.75848 39.88735 1.94136 11.19114 -1.01527 0.84480 0.66391 0.62987 0 0 0 ankr
81.80948 29.96909 32.59696 22.07838 3.51130 1.37568 1.05688 1.31952 0 0 0 smkt
35.36439 31.03765 24.03927 21.28487 0.20051 0.72384 1.03593 0.37358 0 0 0 sdm2
5.68669 50.75815 17.98780 15.95512 1.19539 0.29053 0.30312 0.88386 0 0 0 eijs
29.45068 40.78673 19.74683 11.64574 -0.50504 0.67483 0.42534 0.55584 0 0 0 tubi
11.00053 45.44314 20.77075 16.21897 -0.79581 0.48653 0.59042 1.20077 0 0 0 vero
23.39473 42.55608 23.76178 12.00091 -0.07464 0.32911 0.39104 1.38413 0 0 0 sofi
20.42943 41.68517 22.98521 12.38280 0.76529 0.60507 0.60490 1.32387 0 0 0 pesh
9.78468 47.51531 20.18763 16.13243 0.94843 0.30084 0.25296 0.67054 0 0 0 pfan
11.71687 44.34886 22.19062 18.73402 -0.23323 0.51601 0.83558 1.75256 0 0 0 imol
7.82669 44.39026 20.76033 15.97319 0.49599 0.25394 0.41264 0.98805 0 0 0 moge
29.01934 41.10445 23.74043 11.67791 0.18839 0.68944 0.83715 0.54154 0 0 0 ista
9.11133 39.22951 21.53836 16.15344 -0.30967 0.46341 0.49655 0.99526 0 0 0 cag1
104.81650 33.42300 34.97409 -8.65922 -1.08922 1.25903 0.81331 0.38222 0 0 0 gswd
105.66822 38.81288 31.81403 -7.07090 -0.10442 0.62406 0.60101 0.55669 0 0 0 nmaz
102.79727 25.02948 32.63575 -17.11543 -0.10391 1.31687 1.06014 0.33330 0 0 0 kunm
13.35427 42.36784 21.48699 17.31433 -0.01755 0.41468 0.48560 0.74167 0 0 0 aqra
