lon lat veast_eu vnorth_eu vup_itrf14 seast snorth sup covassumed0 covassumed0 covassumed0 sta
91.10397 29.65729 46.30216 15.72190 0.91379 0.69242 0.71841 0.47128 0 0 0 lhaz
7.46518 46.87711 19.71805 16.26146 0.88440 0.41469 0.48117 0.41417 0 0 0 zimm
16.70447 40.64913 23.51534 19.24778 0.44179 0.46786 0.54246 0.49233 0 0 0 mate
12.34951 45.43611 20.94300 17.14616 -1.08057 0.70377 0.72730 1.23966 0 0 0 ven1
80.95602 26.91216 36.55787 34.55489 -2.27718 1.80414 0.77522 0.95821 0 0 0 lcki
23.93250 38.07856 8.03336 -11.55071 0.21516 0.71228 0.64661 1.19772 0 0 0 dion
50.60814 26.20914 30.86601 30.20407 -0.40195 0.95548 0.89610 0.62145 0 0 0 bahr
66.88545 39.13468 27.91466 4.60572 -0.66699 0.65904 0.85314 0.91467 0 0 0 kit3
15.49347 47.06714 21.77870 15.68277 0.02360 0.54930 0.66461 0.76520 0 0 0 graz
5.35677 43.27846 20.11590 16.16601 -0.47139 0.26320 0.27783 0.56139 0 0 0 mars
34.76314 30.59761 23.49706 19.59189 0.98187 0.24791 0.27011 0.48768 0 0 0 ramo
11.12219 42.42804 20.56404 16.17891 -0.25253 0.43784 0.46744 1.06144 0 0 0 maon
6.92063 43.75472 20.43671 16.13712 0.01153 0.16562 0.17773 0.38940 0 0 0 gras
101.40307 37.46002 36.77756 -3.42423 0.40212 0.77716 0.58094 1.15303 0 0 0 g070
11.64677 44.52000 22.19849 17.99639 -1.56354 0.28285 0.28899 0.56930 0 0 0 medi
114.35698 30.53115 33.24377 -11.05117 0.16314 0.91966 1.04908 1.55568 0 0 0 wuhn
88.17263 39.02246 30.04346 6.77120 -0.87026 0.90918 0.61571 1.26139 0 0 0 xjrq
41.56507 43.78835 25.48549 11.35962 1.06016 0.60296 0.61809 1.44939 0 0 0 zeck
14.98977 36.87587 21.41301 19.82104 -0.71885 0.28102 0.33787 0.42450 0 0 0 not1
11.89216 45.41114 20.93987 17.03796 -0.57334 0.28442 0.52598 1.06966 0 0 0 pado
8.61634 44.92313 20.29971 16.15962 -0.28594 0.52122 0.50763 1.02066 0 0 0 ale0
84.98505 27.16559 37.90902 35.28564 -0.39707 0.58858 0.44952 3.31831 0 0 0 sim4
74.69412 42.67978 27.70614 4.71435 1.02642 0.44164 0.35507 1.12987 0 0 0 pol2
100.23736 38.18487 33.63756 -3.21825 0.79765 0.81897 0.62532 1.44068 0 0 0 qhql
7.63969 45.01544 20.48172 15.71075 0.17429 0.25877 0.26592 0.57555 0 0 0 ieng
33.39645 35.14099 19.39487 15.64970 0.15126 0.23805 0.21410 0.38593 0 0 0 nico
11.60082 44.82898 21.38309 17.74240 -0.79808 0.33034 0.52167 0.87373 0 0 0 fer0
32.75848 39.88735 1.87343 11.10398 -1.03500 0.84905 0.65242 0.63067 0 0 0 ankr
81.80948 29.96909 32.55917 22.14131 3.56667 1.37170 1.04560 1.31706 0 0 0 smkt
102.79742 25.02944 32.67294 -16.99533 -1.82052 1.49269 1.78436 8.26102 0 0 0 kunm
35.36439 31.03765 23.91639 21.00226 0.18404 0.68210 0.96331 0.36989 0 0 0 sdm2
29.45068 40.78673 19.76657 11.63241 -0.76290 0.67548 0.42817 0.51198 0 0 0 tubi
11.00053 45.44314 20.85495 16.28577 -0.40002 0.48868 0.58497 1.10740 0 0 0 vero
23.39473 42.55608 23.79094 11.99762 0.00688 0.32757 0.39024 1.36810 0 0 0 sofi
20.42943 41.68517 22.79309 12.35737 0.59796 0.58499 0.60316 1.30230 0 0 0 pesh
9.78468 47.51531 20.20014 16.11240 0.92515 0.29950 0.25187 0.67299 0 0 0 pfan
11.71687 44.34886 22.14480 18.88531 0.13844 0.52134 0.80066 1.73055 0 0 0 imol
7.82669 44.39026 20.75468 15.95280 0.58658 0.25341 0.41093 0.98161 0 0 0 moge
29.01934 41.10445 23.72324 11.61457 0.13164 0.69033 0.83829 0.53531 0 0 0 ista
104.81592 33.42304 35.35563 -8.66302 -0.25951 1.14549 0.81180 2.10174 0 0 0 gswd
105.66892 38.81025 31.74067 -7.10560 0.13221 0.61297 0.59701 1.73847 0 0 0 nmaz
13.35427 42.36784 21.41051 17.21585 -0.31715 0.40731 0.47204 0.71392 0 0 0 aqra
8.92114 44.41939 20.80158 15.88107 -0.26625 0.13997 0.14737 0.34833 0 0 0 geno
13.11041 47.80340 20.76122 16.03985 0.37245 0.34045 0.29393 0.83679 0 0 0 sbg2
18.10953 42.65003 23.16514 18.21954 -1.22670 0.60879 0.56681 0.79911 0 0 0 dub2
10.94909 44.62927 21.71575 18.83114 -2.68894 0.39977 0.43163 1.42354 0 0 0 mode
7.66067 44.64764 20.40996 15.81479 0.00291 0.28780 0.36299 0.51514 0 0 0 sav0
20.67332 38.78129 20.63651 4.23513 -0.45494 1.00341 0.95884 0.91567 0 0 0 span
14.00154 42.65840 23.23154 18.46414 -0.31958 0.39338 0.39164 0.89107 0 0 0 rsto
9.68979 45.04318 20.67176 16.73834 -0.17986 0.48946 0.61751 1.09838 0 0 0 pia1
11.35548 44.50246 22.00406 18.85363 -0.95761 0.67080 0.73322 1.80760 0 0 0 blgn
81.71416 28.65601 34.93710 33.35591 0.11719 0.80612 0.44218 1.65194 0 0 0 bmcl
82.81799 28.98348 34.55789 24.87803 3.24687 0.65567 0.59633 1.37777 0 0 0 dlpa
80.50089 29.73363 32.08558 29.82040 2.45892 1.00740 1.59131 1.56636 0 0 0 drcl
83.74315 28.80549 35.61241 25.72190 2.99807 0.68161 0.71736 0.92173 0 0 0 jmsm
89.63421 27.47258 41.35773 27.96023 -2.18473 0.92385 1.63676 1.67221 0 0 0 timp
103.17694 26.10741 34.46914 -13.31273 0.87628 0.97127 0.83525 1.26641 0 0 0 yndc
101.04909 22.74095 29.15446 -13.39586 -1.90839 1.02323 1.06323 1.38395 0 0 0 ynsm
101.67595 39.20955 31.52871 -5.27364 0.44003 1.04015 0.62429 0.41104 0 0 0 nmay
102.43700 28.30052 37.89279 -14.50142 -0.61508 1.20370 0.98809 1.37622 0 0 0 scxd
101.77352 36.60015 38.34792 -3.78172 0.01848 0.59736 0.57198 1.28284 0 0 0 xnin
31.34339 29.86145 22.49655 18.49249 1.42546 0.60100 1.32202 1.50766 0 0 0 slrx
35.39220 31.59337 23.04830 20.27699 3.17025 0.28770 0.22037 0.38852 0 0 0 drag
51.33410 35.69728 26.63881 19.75968 1.30444 0.50813 0.61387 0.23154 0 0 0 tehn
31.97284 46.97279 23.61899 12.23324 0.27906 0.23254 0.22509 0.39250 0 0 0 mikl
9.83966 44.07329 21.03237 16.29774 -0.23242 0.20986 0.22037 0.55758 0 0 0 lasp
7.92722 45.07393 20.72819 15.87612 -0.15685 0.20451 0.17837 0.62544 0 0 0 monc
19.93554 39.74636 20.02837 14.37030 -0.57867 0.38746 0.37198 1.26015 0 0 0 kasi
23.86403 38.04706 7.91964 -11.41606 0.53200 0.43956 0.56371 0.56946 0 0 0 noa1
21.46475 38.05584 9.78612 -8.02124 -0.07790 0.72156 1.56237 1.93316 0 0 0 rlso
20.79405 41.12731 24.10902 11.78705 0.50000 0.31036 0.36148 0.57535 0 0 0 orid
