lon lat veast_eu vnorth_eu vup_itrf14 seast snorth sup covassumed0 covassumed0 covassumed0 sta
12.87872 49.14430 20.31898 15.50951 0.20461 0.38911 0.39732 0.83175 0 0 0 wtzr
91.10397 29.65729 46.30216 15.72190 0.91379 0.69083 0.71643 0.46995 0 0 0 lhaz
7.46518 46.87711 19.71805 16.26146 0.88440 0.41081 0.47739 0.41366 0 0 0 zimm
16.70447 40.64913 23.51534 19.24778 0.44179 0.46627 0.54196 0.49047 0 0 0 mate
12.34951 45.43611 20.94300 17.14616 -1.08057 0.70339 0.72704 1.24011 0 0 0 ven1
80.95602 26.91216 36.55787 34.55489 -2.27718 1.80274 0.77457 0.96089 0 0 0 lcki
11.27963 48.08601 20.24217 15.78656 0.15338 0.35464 0.29879 1.01558 0 0 0 ober
23.93250 38.07856 8.03336 -11.55071 0.21516 0.71121 0.64589 1.19887 0 0 0 dion
50.60814 26.20914 30.86601 30.20407 -0.40195 0.95336 0.89530 0.62124 0 0 0 bahr
66.88545 39.13468 27.91466 4.60572 -0.66699 0.65801 0.85323 0.91440 0 0 0 kit3
15.49347 47.06714 21.77870 15.68277 0.02360 0.54656 0.66336 0.76482 0 0 0 graz
5.35677 43.27846 20.11590 16.16601 -0.47139 0.26129 0.27642 0.56035 0 0 0 mars
34.76314 30.59761 23.49706 19.59189 0.98187 0.24350 0.26577 0.48729 0 0 0 ramo
11.12219 42.42804 20.56404 16.17891 -0.18202 0.43680 0.46777 1.10918 0 0 0 maon
6.92063 43.75472 20.43671 16.13712 0.01153 0.15968 0.17176 0.38648 0 0 0 gras
101.40307 37.46002 36.77756 -3.42423 0.40212 0.77753 0.58018 1.15007 0 0 0 g070
11.64677 44.52000 22.19849 17.99639 -1.56354 0.27879 0.28468 0.56870 0 0 0 medi
14.78562 49.91369 20.22540 15.11938 0.25840 0.42159 0.52051 0.74283 0 0 0 gope
114.35698 30.53115 33.24377 -11.05117 0.16314 0.91818 1.04885 1.55556 0 0 0 wuhn
88.17263 39.02246 30.04346 6.77120 -0.87026 0.90858 0.61509 1.26083 0 0 0 xjrq
30.49673 50.36419 22.41849 12.64251 0.17809 0.53124 0.72065 0.40788 0 0 0 glsv
41.56507 43.78835 25.48549 11.35962 1.06016 0.60190 0.61551 1.44934 0 0 0 zeck
17.27387 48.37272 21.51087 15.13248 0.22683 0.27683 0.27205 1.05156 0 0 0 mopi
14.98977 36.87587 21.41301 19.82104 -0.71885 0.27802 0.33524 0.42466 0 0 0 not1
8.97275 39.13591 21.53921 16.09365 -0.27420 0.23625 0.19239 0.40758 0 0 0 cagl
11.89216 45.41114 20.93987 17.03796 -0.57334 0.28178 0.52474 1.07130 0 0 0 pado
8.61634 44.92313 20.27201 16.15468 -0.36150 0.52169 0.52617 1.06510 0 0 0 ale0
84.98505 27.16559 37.90902 35.28564 -0.39707 0.58472 0.44686 3.32189 0 0 0 sim4
74.69412 42.67978 27.70614 4.71435 1.02642 0.44039 0.35249 1.12979 0 0 0 pol2
8.40958 49.01082 19.48805 15.90982 -0.08871 0.20830 0.20450 0.57010 0 0 0 karl
