lon lat veast_eu vnorth_eu seast snorth covassumed0 name type
106.68377 37.45085 3.77997 -1.95476 0.34500 0.21888 0 d098 GNSS
35.62970 32.98119 -3.59568 10.21380 0.11751 0.22673 0 kn08 GNSS
77.60214 34.12857 -2.63912 19.78756 0.79386 0.29251 0 rscl GNSS
106.50900 33.91500 5.28490 -1.54065 0.30085 0.26085 0 h001 GNSS
106.35300 37.81100 3.87575 -1.76877 0.26665 0.36938 0 d096 GNSS
105.98500 36.27900 6.28177 -0.93397 0.23279 0.33437 0 g013 GNSS
105.29400 36.50400 8.43969 -1.51901 0.17308 0.30200 0 g014 GNSS
106.58100 35.45800 5.75254 -2.60337 0.22824 0.31884 0 g024 GNSS
105.79400 35.07900 5.95530 -2.57763 0.25317 0.27457 0 g030 GNSS
106.40100 34.51600 5.50021 -3.02398 0.30702 0.33081 0 g036 GNSS
104.10400 35.03800 7.76202 -0.10624 0.48723 0.23541 0 g114 GNSS
104.54200 35.04600 7.62643 -0.37970 0.33529 0.22364 0 g116 GNSS
104.94000 34.71400 7.07067 -1.68312 0.48932 0.36718 0 g120 GNSS
104.91500 34.46700 7.25353 -1.34856 0.32598 0.22885 0 g121 GNSS
106.15500 33.34000 5.70701 -2.52960 0.31669 0.23860 0 h007 GNSS
105.22600 32.57100 5.92133 -2.02472 0.38672 0.25380 0 h010 GNSS
100.93600 37.96700 4.46959 2.18152 0.33122 0.24492 0 g065 GNSS
100.16200 37.31500 7.94399 3.04975 0.25690 0.16236 0 g075 GNSS
104.48000 34.85000 7.85146 0.54137 0.37876 0.52603 0 g119 GNSS
106.56000 34.73279 6.37001 -2.04220 0.22988 0.28810 0 g362 GNSS
85.53800 38.08100 -1.25382 11.52578 0.48613 0.40318 0 jb46 GNSS
102.99100 33.57100 10.98499 -0.76238 0.28776 0.29730 0 h026 GNSS
104.57100 32.40500 6.24957 -2.18127 0.41569 0.26111 0 h032 GNSS
