lon lat veast_eu vnorth_eu seast snorth covassumed0 name type
106.68377 37.45085 31.81415 -9.17770 0.34500 0.21888 0 d098 GNSS
35.62970 32.98119 22.76517 22.04470 0.11751 0.22673 0 kn08 GNSS
77.60214 34.12857 26.39790 20.76022 0.79386 0.29251 0 rscl GNSS
106.50900 33.91500 33.43177 -8.71784 0.30085 0.26085 0 h001 GNSS
106.35300 37.81100 31.91901 -8.90506 0.26665 0.36938 0 d096 GNSS
105.98500 36.27900 34.41230 -7.97359 0.23279 0.33437 0 g013 GNSS
105.29400 36.50400 36.61238 -8.37632 0.17308 0.30200 0 g014 GNSS
106.58100 35.45800 33.86393 -9.79942 0.22824 0.31884 0 g024 GNSS
105.79400 35.07900 34.13180 -9.56695 0.25317 0.27457 0 g030 GNSS
106.40100 34.51600 33.64533 -10.17287 0.30702 0.33081 0 g036 GNSS
104.10400 35.03800 36.05346 -6.64725 0.48723 0.23541 0 g114 GNSS
104.54200 35.04600 35.88887 -7.03746 0.33529 0.22364 0 g116 GNSS
104.94000 34.71400 35.31263 -8.44664 0.48932 0.36718 0 g120 GNSS
104.91500 34.46700 35.50111 -8.10544 0.32598 0.22885 0 g121 GNSS
106.15500 33.34000 33.88406 -9.61392 0.31669 0.23860 0 h007 GNSS
105.22600 32.57100 34.16208 -8.86403 0.38672 0.25380 0 h010 GNSS
100.93600 37.96700 32.87718 -3.50407 0.33122 0.24492 0 g065 GNSS
100.16200 37.31500 36.42066 -2.42410 0.25690 0.16236 0 g075 GNSS
104.48000 34.85000 36.12161 -6.09988 0.37876 0.52603 0 g119 GNSS
106.56000 34.73279 34.49975 -9.23275 0.22988 0.28810 0 g362 GNSS
85.53800 38.08100 27.73179 10.19599 0.48613 0.40318 0 jb46 GNSS
102.99100 33.57100 39.36266 -7.00500 0.28776 0.29730 0 h026 GNSS
104.57100 32.40500 34.53126 -8.84674 0.41569 0.26111 0 h032 GNSS
99.53567 25.46350 26.96750 -16.03274 0.77463 0.96992 0 h205 GNSS
106.81400 39.68000 31.04417 -9.34993 0.31263 0.29167 0 d084 GNSS
104.50500 40.73900 30.37768 -6.86840 0.18633 0.24308 0 g042 GNSS
31.34343 29.86157 22.63102 18.40472 0.25207 0.30207 0 phlw GNSS
103.61300 32.59100 36.37044 -8.77814 0.31061 0.24786 0 h030 GNSS
29.92893 40.42473 5.28503 10.22114 1.34977 0.67460 0 iuck GNSS
42.45743 37.52791 19.43131 25.78275 0.57536 0.65411 0 srnk GNSS
103.00357 29.97543 35.71312 -10.23692 0.30741 0.31501 0 h065 GNSS
35.60805 32.97425 22.63445 21.33676 0.10046 0.29825 0 kn02 GNSS
109.97375 41.76469 29.47998 -9.30787 0.29539 0.30145 0 d040 GNSS
106.44300 38.88800 31.49105 -7.66525 0.35007 0.44453 0 d367 GNSS
105.19900 35.21500 35.14458 -8.15995 0.60013 0.37962 0 g357 GNSS
77.19200 32.31700 27.17340 25.49538 0.51853 2.14774 0 kot1 GNSS
109.22149 34.36867 33.62345 -10.71418 0.47417 0.57669 0 xian GNSS
95.80100 40.51400 29.93953 -0.98517 0.44657 0.30499 0 jb28 GNSS
