lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87869 49.14430 -0.00879 0.12846 0.21540 0.06636 0.08283 0.29687 0 0 0 wtzr GNSS
12.34494 45.43580 -0.05963 1.80053 -1.21664 0.17151 0.16633 0.53678 0 0 0 ven1 GNSS
91.10400 29.65733 17.55514 18.72565 0.91710 0.29156 0.29552 0.34091 0 0 0 lhas GNSS
50.60814 26.20914 3.51461 21.72761 -0.47273 0.23700 0.24303 0.37025 0 0 0 bahr GNSS
80.95576 26.91221 8.30149 34.68329 -2.23907 0.44900 0.33051 0.62262 0 0 0 lcki GNSS
66.88550 39.13471 -0.80459 1.32088 -1.03753 0.38565 0.35323 0.66700 0 0 0 kit3 GNSS
7.46510 46.87710 0.00065 0.38591 0.76389 0.08679 0.09204 0.20294 0 0 0 zimm GNSS
1.48122 43.55962 0.06907 0.16411 -0.31302 0.08395 0.08542 0.25002 0 0 0 toul GNSS
74.69427 42.67977 -1.19411 2.90542 0.85990 0.25801 0.25223 0.78251 0 0 0 pol2 GNSS
16.70450 40.64910 0.79491 4.36633 0.44242 0.10615 0.09571 0.17721 0 0 0 mate GNSS
11.27967 48.08604 0.02577 0.23617 -0.02805 0.09472 0.10047 0.46620 0 0 0 ober GNSS
88.17303 39.02316 1.14259 8.99796 -0.96410 0.52094 0.39555 0.57470 0 0 0 xjrq GNSS
101.40171 37.46792 8.09151 2.31680 0.24785 0.27803 0.17288 0.25850 0 0 0 qhme GNSS
15.49348 47.06710 0.50568 0.65526 -0.13454 0.10736 0.13647 0.37116 0 0 0 graz GNSS
23.93248 38.07856 -16.34043 -25.49269 0.17200 0.28745 0.21779 0.50673 0 0 0 dion GNSS
4.38757 51.98609 -0.20508 -0.28119 -0.46839 0.11267 0.12646 0.22889 0 0 0 delf GNSS
114.35727 30.53166 5.02741 -2.14003 0.50264 0.39453 0.33186 0.78516 0 0 0 wuhn GNSS
11.88743 45.41133 -0.06557 1.64992 -0.65734 0.10975 0.24995 0.49564 0 0 0 pado GNSS
77.01690 43.17873 -0.63368 3.23700 0.47121 0.27233 0.44192 0.25883 0 0 0 sele GNSS
0.33591 50.86734 -0.22544 0.18250 -0.09671 0.07942 0.07339 0.23173 0 0 0 hers GNSS
11.12205 42.42803 -0.96245 0.63684 -0.23158 0.17376 0.13867 0.48546 0 0 0 maon GNSS
12.10720 42.42020 -1.25012 0.87524 0.81738 0.28616 0.25858 0.63634 0 0 0 virb GNSS
100.23631 38.18434 5.01392 2.24401 0.73048 0.31135 0.19872 0.80709 0 0 0 qhql GNSS
29.01934 41.10445 -0.80963 -1.32813 -0.04673 0.30113 0.26348 0.27145 0 0 0 ista GNSS
5.35678 43.27846 -0.14378 0.07659 -0.52248 0.09276 0.08821 0.23602 0 0 0 mars GNSS
14.78561 49.91370 -0.27603 0.01976 0.20604 0.06339 0.05831 0.35254 0 0 0 gop6 GNSS
8.61633 44.92313 -0.14030 0.41870 -0.22763 0.14070 0.19085 0.55535 0 0 0 ale0 GNSS
9.11116 39.22927 -0.20745 0.38075 -0.43772 0.08671 0.09518 0.22472 0 0 0 cag1 GNSS
32.75848 39.88736 -23.26206 -1.20814 -1.04979 0.52725 0.35218 0.20732 0 0 0 ankr GNSS
33.39645 35.14099 -6.53985 3.42088 0.03878 0.12411 0.14741 0.44158 0 0 0 nico GNSS
34.76314 30.59760 -2.82513 7.66546 0.92934 0.10309 0.10382 0.22501 0 0 0 ramo GNSS
8.40904 49.01068 0.05271 0.11300 -0.13362 0.08322 0.08015 0.21569 0 0 0 karl GNSS
11.35546 44.50252 0.87467 3.44182 -1.02142 0.30432 0.36369 0.90907 0 0 0 blgn GNSS
13.78816 45.66054 -0.22697 2.46665 -0.20042 0.14331 0.06467 0.31081 0 0 0 rtri GNSS
102.79732 25.02961 4.39759 -12.19033 -0.29911 0.91319 0.70579 0.44602 0 0 0 kunm GNSS
14.98979 36.87586 -1.73266 4.64632 -0.72991 0.11035 0.09839 0.15982 0 0 0 not1 GNSS
29.45069 40.78672 -5.03638 -1.36711 -0.80074 0.39140 0.22439 0.23543 0 0 0 tubi GNSS
4.35913 50.79785 -0.30780 0.01944 0.38961 0.11913 0.07994 0.20317 0 0 0 brus GNSS
8.97275 39.13590 -0.18816 0.33343 -0.30810 0.08244 0.04467 0.18307 0 0 0 cagl GNSS
6.92061 43.75471 -0.01307 0.18985 0.12156 0.06704 0.05192 0.14140 0 0 0 gras GNSS
17.27388 48.37270 0.14150 0.26858 0.19841 0.09440 0.08174 0.45919 0 0 0 mopi GNSS
87.60067 43.80795 2.29558 7.67019 0.82943 0.34525 0.53996 0.58880 0 0 0 urum GNSS
115.89249 39.60860 3.41647 -1.35819 1.31798 0.35292 0.28431 0.96358 0 0 0 bjfs GNSS
79.03528 40.50338 0.84170 14.81349 -0.57806 0.39129 0.27460 0.72054 0 0 0 i073 GNSS
75.25018 39.71807 -0.98115 12.74991 -0.99859 0.22649 0.24267 0.26877 0 0 0 i078 GNSS
76.17408 38.93539 -0.39224 20.12051 -3.26912 0.42684 0.26783 0.25755 0 0 0 i083 GNSS
104.81680 33.42300 7.11526 -2.01310 -1.07873 0.45257 0.34662 0.18401 0 0 0 gswd GNSS
103.17731 26.10730 6.32364 -6.94957 1.13376 0.25148 0.44369 0.72860 0 0 0 yndc GNSS
74.75110 42.99850 -1.18289 0.87621 -0.06714 0.34065 0.21315 1.18882 0 0 0 chum GNSS
82.97693 41.72344 2.71991 11.35760 -1.44206 0.55531 0.43657 0.27308 0 0 0 xjkc GNSS
26.12574 44.46394 -0.68489 -1.04648 2.27805 0.19708 0.15294 0.42574 0 0 0 bucu GNSS
11.64680 44.52000 1.11253 2.46399 -1.44530 0.13611 0.15051 0.25311 0 0 0 medi GNSS
30.49673 50.36418 -0.94851 -0.07899 0.17572 0.07953 0.17345 0.17952 0 0 0 glsv GNSS
26.68849 39.31142 -19.99120 -12.20266 0.19750 0.24679 0.19933 1.27051 0 0 0 ayka GNSS
7.82646 44.39040 0.32532 0.17104 0.48348 0.08664 0.16061 0.46905 0 0 0 moge GNSS
11.00050 45.44313 0.09095 0.90068 -0.64241 0.13529 0.21909 0.64021 0 0 0 vero GNSS
105.80207 35.96258 6.76788 -3.35344 0.92627 0.38816 0.47952 0.56354 0 0 0 g018 GNSS
116.22556 40.25021 2.56530 -1.86267 0.09854 0.15467 0.20128 1.17888 0 0 0 bjsh GNSS
74.42703 39.02497 -5.06765 18.83638 2.21594 0.45975 0.30734 0.60083 0 0 0 i399 GNSS
101.67503 39.20987 3.07348 0.55362 0.24215 0.49790 0.32966 0.20589 0 0 0 nmay GNSS
101.74505 26.50322 7.16794 -12.50281 -0.34464 0.30943 0.35990 0.66712 0 0 0 scpz GNSS
99.70568 27.82776 6.25101 -14.10444 0.34765 0.41021 0.41701 1.29253 0 0 0 ynzd GNSS
83.25692 43.39772 1.53575 7.85167 1.24602 0.35569 0.25290 0.43225 0 0 0 xjxy GNSS
84.98430 27.16486 9.69607 36.66244 0.12111 0.60230 0.47168 1.54858 0 0 0 simr GNSS
81.80873 29.96916 3.98828 22.50211 3.63647 0.44592 0.48283 0.63729 0 0 0 smkt GNSS
23.39471 42.55610 0.30200 -2.07990 -0.02389 0.11396 0.11991 0.54366 0 0 0 sofi GNSS
20.43975 41.68480 -0.45704 -2.00731 0.60977 0.33128 0.25799 0.48579 0 0 0 pesh GNSS
86.18953 41.79194 2.39224 9.90126 0.82117 0.28584 0.29379 0.26289 0 0 0 jb45 GNSS
9.78469 47.51531 0.08577 0.42416 0.77897 0.07999 0.10700 0.32386 0 0 0 pfa2 GNSS
29.61693 41.17812 -0.42243 -1.64602 -0.86375 0.44840 0.39414 1.27250 0 0 0 silc GNSS
11.60081 44.82907 0.28649 2.27653 -0.91663 0.10986 0.17965 0.44066 0 0 0 fer0 GNSS
11.71566 44.35046 1.01840 3.36328 -0.43050 0.19304 0.28330 0.83461 0 0 0 imol GNSS
9.68980 45.04320 0.07784 1.14874 -0.29512 0.07321 0.18971 0.54374 0 0 0 piac GNSS
13.25300 46.03748 -0.50691 2.19499 -0.41520 0.07300 0.12488 0.87834 0 0 0 udi1 GNSS
99.81338 39.40992 2.55180 1.65121 0.56231 0.41761 0.22011 0.37920 0 0 0 g140 GNSS
76.73425 39.49698 0.41272 17.70757 -4.62374 0.57337 0.29101 0.90166 0 0 0 i079 GNSS
92.43782 34.20943 20.98489 10.66398 -0.01593 0.40509 0.39272 0.73921 0 0 0 qhtt GNSS
100.00905 31.61658 18.42022 -4.29976 -0.18307 0.58995 0.42616 0.75080 0 0 0 scgz GNSS
101.51364 27.42262 9.09044 -12.26498 0.80801 0.48908 0.42258 0.86355 0 0 0 scyy GNSS
101.04949 22.74063 0.91031 -7.14931 -1.77140 0.40693 0.52554 0.92340 0 0 0 ynsm GNSS
75.23395 37.77499 -3.69135 21.51709 -0.27393 0.34631 0.36283 0.51016 0 0 0 tash GNSS
90.25606 42.89328 3.38242 6.83221 -0.61300 0.19228 0.39625 0.15826 0 0 0 xjss GNSS
82.87543 46.82384 0.08063 2.27172 0.49710 0.19318 0.32288 0.45528 0 0 0 i037 GNSS
77.62493 38.90400 -1.14464 18.62624 -0.33414 0.31312 0.49510 0.92151 0 0 0 i082 GNSS
82.49191 27.95082 8.53301 34.55884 0.13655 0.20001 0.28600 1.41169 0 0 0 grhi GNSS
23.03360 38.75510 -10.19856 -19.18670 -0.20771 0.30319 0.33582 0.55778 0 0 0 ark2 GNSS
20.79405 41.12731 0.61532 -2.61185 0.45574 0.11063 0.16540 0.22189 0 0 0 orid GNSS
20.67360 38.78130 -3.03909 -10.21926 -0.48989 0.54495 0.50825 0.43282 0 0 0 span GNSS
23.31789 38.31654 -15.39570 -22.29302 1.52273 0.31022 0.36819 1.02480 0 0 0 thiv GNSS
41.56508 43.78839 -0.68234 0.99190 1.45651 0.23342 0.18261 0.31976 0 0 0 zeck GNSS
28.98715 40.86769 -3.80843 -0.16109 1.57087 0.56695 0.50808 0.89104 0 0 0 ysst GNSS
34.54293 49.60261 -1.76460 0.29730 -0.09024 0.04771 0.05069 0.16501 0 0 0 polv GNSS
76.51240 39.80626 1.54175 14.98833 -0.80000 0.85687 0.55925 0.50000 0 0 0 i077 GNSS
75.89869 39.19550 0.99466 19.65480 0.28105 0.44633 0.38167 0.66426 0 0 0 i081 GNSS
79.20976 41.20230 1.27669 14.79482 0.49695 0.23802 0.25216 0.59357 0 0 0 wush GNSS
7.63973 45.01549 0.21063 -0.15377 0.15599 0.10619 0.08136 0.22158 0 0 0 ieng GNSS
3.86522 43.63934 0.08496 0.05028 -0.16602 0.06739 0.03353 0.20475 0 0 0 mtp2 GNSS
14.00204 42.65783 1.30639 3.16945 -0.54826 0.13627 0.10245 0.41436 0 0 0 rsto GNSS
13.11043 47.80342 0.11202 0.65372 0.33208 0.12547 0.11708 0.37976 0 0 0 sbg2 GNSS
10.23260 45.56490 -0.06614 0.65578 0.82459 0.09788 0.05776 0.29146 0 0 0 brea GNSS
12.57795 43.34992 0.13950 2.56404 -0.04358 0.31754 0.26338 0.76986 0 0 0 gub2 GNSS
11.21558 43.79418 0.14999 1.99021 -0.08554 0.14880 0.15909 0.43765 0 0 0 igmi GNSS
105.17838 37.58100 4.09722 0.13834 0.92494 0.51156 0.32936 0.35040 0 0 0 g004 GNSS
12.40808 42.78319 -1.13628 1.71981 0.10098 0.29199 0.19568 0.58642 0 0 0 reto GNSS
78.45139 40.94160 1.17676 15.29323 0.24446 0.29699 0.22796 0.57000 0 0 0 i072 GNSS
78.03700 39.71383 -0.50775 17.58853 -0.52859 0.33512 0.21524 0.16730 0 0 0 i075 GNSS
77.27711 38.17394 -2.28405 19.81211 -0.87965 0.43921 0.45649 0.74267 0 0 0 i084 GNSS
86.17178 37.58769 1.57256 12.75700 -0.65335 0.46167 0.26951 1.22321 0 0 0 i408 GNSS
105.66850 38.81149 3.59001 -0.21260 -0.11354 0.25099 0.22958 0.35295 0 0 0 nmaz GNSS
102.43707 28.30038 9.68414 -8.33914 -0.02488 0.35092 0.36792 0.83529 0 0 0 scxd GNSS
101.77437 36.60066 9.57469 2.20690 -0.70630 0.36385 0.28888 0.64408 0 0 0 xnin GNSS
91.10074 30.47970 17.68576 17.36919 0.34972 0.25334 0.57026 0.46112 0 0 0 xzdx GNSS
107.43716 37.77852 4.07361 -2.22872 0.24266 0.21236 0.24097 0.69157 0 0 0 yanc GNSS
99.39819 23.54102 -2.37621 -5.90260 -0.27228 0.42491 0.34566 1.02004 0 0 0 yngm GNSS
97.84696 24.00241 -4.78818 -2.86597 -0.82828 0.37326 0.43325 0.65981 0 0 0 ynrl GNSS
101.32538 25.72588 4.16520 -10.74507 1.64770 0.38284 0.33029 0.66471 0 0 0 ynya GNSS
69.29435 41.32786 -1.85343 1.11580 0.65898 0.31382 0.27908 0.76890 0 0 0 tash GNSS
87.17731 43.47111 3.23384 7.43439 0.97845 0.24527 0.14513 0.37488 0 0 0 guao GNSS
74.95093 38.66239 -5.39754 20.40562 2.19138 0.22490 0.31653 0.29000 0 0 0 i090 GNSS
77.57428 34.71261 -1.91523 20.46696 2.18000 0.81919 0.69217 0.41000 0 0 0 pan2 GNSS
13.35487 42.36778 -0.55614 1.72282 -0.35287 0.18840 0.20432 0.34553 0 0 0 aqra GNSS
25.42722 36.42445 -18.58597 -29.87270 2.51729 0.43775 0.24878 1.16519 0 0 0 nomi GNSS
23.72819 39.12147 -7.38187 -21.21908 -0.81131 0.64436 0.35932 0.41205 0 0 0 skop GNSS
19.94550 40.70808 -0.98671 -0.13863 -0.13796 0.20223 0.19354 0.44030 0 0 0 bera GNSS
51.33410 35.69728 -0.88180 11.57061 1.17723 0.20675 0.12363 0.26449 0 0 0 tehn GNSS
18.10955 42.65004 0.47806 3.47533 -1.24089 0.27441 0.23031 0.38548 0 0 0 dub2 GNSS
5.68583 50.75816 -0.40260 -0.05387 0.97907 0.04069 0.08547 0.39953 0 0 0 eijs GNSS
18.46720 40.07229 0.66170 3.92038 -0.33256 0.09122 0.07147 0.17304 0 0 0 scte GNSS
105.61903 36.51114 6.58837 -0.41070 0.14419 0.23660 0.31568 0.77923 0 0 0 g012 GNSS
10.94919 44.62935 0.68594 3.23621 -2.81695 0.15463 0.15068 0.63243 0 0 0 mode GNSS
5.48370 43.94100 -0.10114 0.07500 -0.05545 0.05470 0.05733 0.24352 0 0 0 rst2 GNSS
29.90799 40.43800 -20.79046 -2.64907 -0.16000 1.40699 0.56738 2.48207 0 0 0 igaz GNSS
7.66070 44.64760 0.06773 -0.00081 -0.08983 0.06327 0.10084 0.23955 0 0 0 sav0 GNSS
12.83310 45.76740 -0.11384 2.46836 -3.22179 0.06874 0.15032 0.56126 0 0 0 ve02 GNSS
102.12643 34.00008 11.23674 1.10962 1.30739 0.31298 0.25919 0.89581 0 0 0 h018 GNSS
12.25094 45.66273 -0.32088 1.84932 -0.20528 0.10386 0.11376 0.29794 0 0 0 trev GNSS
113.18063 36.22604 4.21824 -2.12873 0.60452 0.18298 0.27956 0.48577 0 0 0 sxcz GNSS
94.81273 40.17224 1.75067 4.34752 -0.58443 0.40537 0.25675 0.35827 0 0 0 g161 GNSS
94.55482 39.71576 2.21236 4.78711 -0.28786 0.33628 0.27124 0.41510 0 0 0 g162 GNSS
93.48859 39.64494 2.17298 5.56601 -0.42788 0.28313 0.25432 1.39574 0 0 0 g163 GNSS
74.33638 39.84188 -0.71674 13.85032 1.58149 0.17505 0.27469 0.12555 0 0 0 i089 GNSS
103.53004 28.84137 6.51789 -2.57185 -1.00384 0.29805 0.34913 1.06861 0 0 0 scmb GNSS
106.68157 33.11719 5.23190 -2.78697 -0.55216 0.28671 0.33722 0.50681 0 0 0 snmx GNSS
103.23007 22.78324 5.62828 -2.69054 -1.69868 0.54453 0.40022 0.44926 0 0 0 ynjp GNSS
102.75142 24.11835 4.41171 -7.47649 0.26409 0.43342 0.35967 0.59822 0 0 0 ynth GNSS
99.37183 25.88633 -1.31352 -11.63501 -1.54715 0.49797 0.56514 1.09635 0 0 0 ynyl GNSS
102.49955 23.70754 3.23362 -7.57748 -3.04052 0.90570 0.73021 0.76723 0 0 0 hb07 GNSS
13.69636 42.65670 1.28989 3.47529 -0.78494 0.15218 0.24836 1.00746 0 0 0 tera GNSS
82.81791 28.98364 6.10892 25.82477 3.38266 0.70602 0.27969 0.66166 0 0 0 dlpa GNSS
