lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 types names studies
12.87869 49.14430 -0.00879 0.12846 0.21540 0.06636 0.08283 0.29652 0 0 0 GNSS wrlg_wt21_wtz2_wtza_wtzj_wtzl_wtzm_wtzr_wtzs_wtzt_wtzz bitharis24(bitharis24)_dagostino20(dagostino20)_demets20(demets20)_eposuga(eposuga)_eurefedv(eurefedv)_measures(measures)_ozdemir19(ozdemir19)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_rudenko13(rudenko13)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)_vardic21(vardic21)_wangshen20(wangshen20)
12.34494 45.43580 -0.05963 1.80053 -1.21664 0.17157 0.16630 0.53699 0 0 0 GNSS psal_ve01_vear_ven1_ven2_vene ULR5(ULR5)_eposuga(eposuga)_eurefedv(eurefedv)_measures(measures)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_rudenko13(rudenko13)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)
91.10400 29.65733 17.55514 18.72565 0.91710 0.29172 0.29540 0.34012 0 0 0 GNSS lhas_lhaz ULR5(ULR5)_castroperdomo22(castroperdomo22)_fang22(fang22)_fu12(fu12)_jade11(jade11)_jade14(jade14)_jade17(jade17)_jade20(jade20)_measures(measures)_nagale22(nagale22)_pan21_vert(pan21_vert)_pappachen21(pappachen21)_rudenko13(rudenko13)_rui19(rui19)_serpelloni22(serpelloni22)_shurukov20(shurukov20)_steckler16(steckler16)_vila20(vila20)_wang17(wang17)_wangshen20(wangshen20)_yadav21_2(yadav21_2)_zhao23_vert(zhao23_vert)_zheng17(zheng17)_zhou16(zhou16)
50.60814 26.20914 3.51461 21.72761 -0.47273 0.23685 0.24300 0.37009 0 0 0 GNSS bahr_bhr1_bhr2_bhr3_bhr4 ULR5(ULR5)_jade11(jade11)_jade17(jade17)_khorrami19(khorrami19)_measures(measures)_palano18(palano18)_pappachen21(pappachen21)_rudenko13(rudenko13)_rui19(vernant14)_serpelloni22(serpelloni22)_steckler16(steckler16)_vardic21(vardic21)_viltres22(viltres22)_wangshen20(wangshen20)
80.95576 26.91221 8.30149 34.68329 -2.23907 0.44881 0.33040 0.62274 0 0 0 GNSS lck1_lck2_lck3_lck4_lcki_lckm demets20(demets20)_fang22(fang22)_jade17(jade17)_jade20(jade20)_jouanne17(jouanne17)_measures(measures)_nagale22(nagale22)_pappachen21(pappachen21)_serpelloni22(serpelloni22)_vardic21(vardic21)_vila20(vila20)_wangshen20(wangshen20)_yadav21_2(yadav21_2)
66.88550 39.13471 -0.80459 1.32088 -1.03753 0.38579 0.35333 0.66691 0 0 0 GNSS kit3_kitg_kiub ULR5(ULR5)_castroperdomo22(castroperdomo22)_ergeshov20(ergeshov20)_fazilova18(fazilova18)_jade11(jade11)_jade14(jade14)_jade17(jade17)_jade20(jade20)_measures(measures)_ozdemir19(ozdemir19)_pan19(pan19)_pan22_vert(pan22_vert)_pappachen21(pappachen21)_rudenko13(rudenko13)_rui19(rui19)_serpelloni22(serpelloni22)_shurukov20(shurukov20)_sokhadze18(sokhadze18)_steckler16(steckler16)_wang17(wang17)_wangshen20(wangshen20)_zhou16(zhou16)
7.46510 46.87710 0.00065 0.38591 0.76389 0.08677 0.09215 0.20304 0 0 0 GNSS zim2_zim3_zimj_zimm bitharis24(bitharis24)_castroperdomo22(castroperdomo22)_demets20(demets20)_eposuga(eposuga)_eurefedv(eurefedv)_measures(measures)_nocquet16(nocquet16)_ozdemir19(ozdemir19)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_rudenko13(rudenko13)_serpelloni13(serpelloni13)_serpelloni22(serpelloni22)
1.48122 43.55962 0.06907 0.16411 -0.31302 0.08393 0.08544 0.25006 0 0 0 GNSS tlia_tlse_tlsg_toul demets20(demets20)_eposuga(eposuga)_eurefedv(eurefedv)_measures(measures)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_rudenko13(rudenko13)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)_vardic21(vardic21)
74.69427 42.67977 -1.19411 2.90542 0.85990 0.25816 0.25223 0.78235 0 0 0 GNSS pol2 ULR5(ULR5)_castroperdomo22(castroperdomo22)_dzwang20(dzwang20)_jade17(jade17)_jade20(jade20)_measures(measures)_ozdemir19(ozdemir19)_pan19(pan19)_pan21_vert(pan21_vert)_pan22_vert(pan22_vert)_pappachen21(pappachen21)_rui19(rui19)_serpelloni22(serpelloni22)_shurukov20(shurukov20)_sokhadze18(sokhadze18)_wang17(wang17)_wangshen20(wangshen20)_zhou16(zhou16)
16.70450 40.64910 0.79491 4.36633 0.44242 0.10620 0.09569 0.17728 0 0 0 GNSS mat1_mate_matg ULR5(ULR5)_castroperdomo22(castroperdomo22)_dagostino20(dagostino20)_eposuga(eposuga)_eurefedv(eurefedv)_mantovani15(mantovani15)_measures(measures)_pinavaldes22(pinavaldes22)_rudenko13(rudenko13)_serpelloni13(serpelloni13)_serpelloni22(serpelloni22)_wangshen20(wangshen20)
