lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 types names studies
12.87890 49.14423 -0.04893 0.12116 0.12270 0.12546 0.14066 0.35557 0 0 0 GNSS wrlg_wt21_wt33_wtz2_wtz3_wtza_wtzj_wtzl_wtzm_wtzr_wtzs_wtzt_wtzz dagostino20(dagostino20)_demets20(demets20)_eposuga(eposuga)_itrf20gnss(itrf20gnss)_kreemer14(UNR)_mantovani15(mantovani15)_measures(measures)_ozdemir19(ozdemir19)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_porkolab23(EPND)_porkolab23(NGL)_rudenko13(rudenko13)_santamariagomez24(santamariagomez24)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)_steffen25(steffen25)_wangshen20(wangshen20)
91.10400 29.65733 17.50885 18.65481 1.00804 0.38865 0.33903 0.34413 0 0 0 GNSS lha0_lhas_lhaz ULR5(ULR5)_barman17(barman17)_castroperdomo22(castroperdomo22)_devachandra14(devachandra14)_fang22(fang22)_fu12(fu12)_gupta15(gupta15)_itrf20gnss(itrf20gnss)_jade11(jade11)_jade14(jade14)_jade20(jade20)_kreemer14(UNR)_measures(measures)_pan21_vert(pan21_vert)_pappachen21(pappachen21)_ray19(ray19)_rudenko13(rudenko13)_rui19(rui19)_saji20(saji20)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_steckler16(steckler16)_timofeev24(timofeev24)_vila20(vila20)_wang17(wang17)_wangshen20(wangshen20)_zhao23_vert(zhao23_vert)_zheng17(zheng17)_zhou16(zhou16)
50.60815 26.20914 3.51050 21.83665 -0.42956 0.40017 0.42470 0.48624 0 0 0 GNSS bahr_bhr1_bhr2_bhr3_bhr4 ULR5(ULR5)_alothman16(alothman16)_gupta15(Mahesh_GondwanaResearch_2012)_itrf20gnss(itrf20gnss)_jade11(jade11)_khorrami19(khorrami19)_kreemer14(UNR)_measures(measures)_palano13(ArRajehietal2010)_pappachen21(pappachen21)_rashwan21(rashwan21)_rudenko13(rudenko13)_rui19(vernant14)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_steckler16(steckler16)_viltres22(viltres22)_wangshen20(wangshen20)
16.70455 40.64906 0.75083 4.26369 0.26297 0.14510 0.15653 0.24225 0 0 0 GNSS mat1_mate_matg_matz ULR5(ULR5)_castroperdomo22(castroperdomo22)_dagostino20(dagostino20)_eposuga(eposuga)_itrf20gnss(itrf20gnss)_kreemer14(UNR)_mantovani15(mantovani15)_measures(measures)_ozdemir19(ozdemir19)_pinavaldes22(pinavaldes22)_rashwan21(rashwan21)_rudenko13(rudenko13)_santamariagomez24(santamariagomez24)_serpelloni13(serpelloni13)_serpelloni22(serpelloni22)_steffen25(steffen25)_wangshen20(wangshen20)
7.46510 46.87710 -0.05632 0.39619 0.75300 0.13152 0.12682 0.25823 0 0 0 GNSS zim2_zim3_zimj_zimm castroperdomo22(castroperdomo22)_demets20(demets20)_eposuga(eposuga)_itrf20gnss(itrf20gnss)_kreemer14(UNR)_measures(measures)_nocquet16(nocquet16)_ozdemir19(ozdemir19)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_rashwan21(rashwan21)_rudenko13(rudenko13)_santamariagomez24(santamariagomez24)_serpelloni13(serpelloni13)_serpelloni22(serpelloni22)_steffen25(steffen25)
74.69427 42.67977 -1.15017 3.16453 0.74914 0.43119 0.47514 0.30468 0 0 0 GNSS pol2 ULR5(ULR5)_barman17(barman17)_castroperdomo22(castroperdomo22)_devachandra14(devachandra14)_dzwang20(dzwang20)_dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_gupta15(gupta15)_itrf20gnss(itrf20gnss)_jade11(jade11)_jade14(jade14)_jade20(jade20)_kreemer14(UNR)_li18(wang17)_measures(measures)_ozdemir19(ozdemir19)_pan19(pan19)_pan21_vert(pan21_vert)_pan22_vert(pan22_vert)_pappachen21(pappachen21)_rui19(rui19)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_sharma21(sharma21)_wang17(wang17)_wangshen20(wangshen20)_zheng17(UNR)_zhou16(zhou16)
80.95564 26.91220 7.84968 34.76271 -2.40854 0.60042 0.44108 0.60097 0 0 0 GNSS lck1_lck2_lck3_lck4_lcki demets20(demets20)_fang22(fang22)_itrf20gnss(itrf20gnss)_jade20(jade20)_jouanne17(jouanne17)_measures(measures)_pappachen21(pappachen21)_rajewar26(rajewar26)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_vila20(vila20)_wangshen20(wangshen20)
104.31620 52.21902 -1.40723 -0.02318 0.23507 0.24867 0.19754 0.23263 0 0 0 GNSS irkj_irkm_irkt ULR5(ULR5)_demets20(demets20)_gaoran_lss(gaoran_lss)_itrf20gnss(itrf20gnss)_kreemer14(UNR)_measures(measures)_pappachen21(pappachen21)_rui19(rui19)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_shevchenko21(shevchenko21)_sokhadze18(sokhadze18)_steckler16(steckler16)_wangshen20(wangshen20)_zheng17(UNR)_zhou16(zhou16)
77.57038 13.02117 15.35568 34.33526 0.07779 0.47699 0.45747 0.47435 0 0 0 GNSS iisc ULR5(ULR5)_ader12(ader12)_barman17(barman17)_castroperdomo22(castroperdomo22)_demets20(demets20)_devachandra14(devachandra14)_fang22(fang22)_itrf20gnss(itrf20gnss)_jade11(jade11)_jade14(jade14)_jade20(jade20)_kreemer14(UNR)_measures(measures)_pappachen21(pappachen21)_rajewar26(rajewar26)_rudenko13(rudenko13)_rui19(rui19)_saji20(saji20)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_sharma21(sharma21)_steckler16(steckler16)_vila20(vila20)_wang17(wang17)_wangshen20(wangshen20)_zhou16(zhou16)
66.88553 39.13468 -0.89928 1.40978 -1.26924 0.42313 0.37758 0.63976 0 0 0 GNSS kit3_kitg_kiub ULR5(ULR5)_barman17(barman17)_castroperdomo22(castroperdomo22)_devachandra14(devachandra14)_fazilova18(fazilova18)_itrf20gnss(itrf20gnss)_jade11(jade11)_jade14(jade14)_jade20(jade20)_kreemer14(UNR)_li18(wang17)_measures(measures)_ozdemir19(ozdemir19)_pan19(pan19)_pan22_vert(pan22_vert)_pappachen21(pappachen21)_rudenko13(rudenko13)_rui19(rui19)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_sharma21(sharma21)_sokhadze18(sokhadze18)_steckler16(steckler16)_wang17(wang17)_wangshen20(wangshen20)_zheng17(UNR)
