lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87880 49.14428 20.29794 15.54311 0.24840 0.02615 0.03106 0.14140 0 0 0 wtzr GNSS
91.10400 29.65730 46.23024 15.71354 0.91868 0.16734 0.20699 0.35645 0 0 0 lhas GNSS
12.34982 45.43605 20.95960 17.29515 -1.22045 0.08911 0.44580 0.39193 0 0 0 ven1 GNSS
50.60810 26.20910 31.14610 30.06132 -0.50073 0.11395 0.28228 0.19040 0 0 0 bahr GNSS
7.46510 46.87710 19.73913 16.31394 0.78954 0.15276 0.05607 0.09439 0 0 0 zimm GNSS
1.48130 43.55978 19.43121 16.46187 -0.29428 0.12703 0.05238 0.12704 0 0 0 toul GNSS
80.95577 26.91220 36.86767 34.48715 -2.33590 0.38797 0.32639 0.39790 0 0 0 lcki GNSS
66.88545 39.13473 27.77146 5.35233 -1.01984 0.34105 0.27145 0.54158 0 0 0 kit3 GNSS
16.70450 40.64906 23.53798 19.27757 0.44211 0.06121 0.12187 0.20270 0 0 0 mate GNSS
74.69410 42.67979 27.62508 4.74430 0.38184 0.11494 0.18933 0.55798 0 0 0 pol2 GNSS
88.17329 39.02367 29.98770 6.79967 -1.08738 0.44609 0.40540 0.57909 0 0 0 xjrq GNSS
11.27969 48.08604 20.24794 15.81297 0.06892 0.07855 0.08544 0.21726 0 0 0 ober GNSS
15.49348 47.06710 21.80598 15.77394 -0.04559 0.14634 0.12089 0.27857 0 0 0 graz GNSS
4.38755 51.98601 17.56512 15.87225 -0.49661 0.08221 0.09161 0.55253 0 0 0 delf GNSS
101.40171 37.46795 36.43324 -3.53131 0.24785 0.36283 0.14949 0.15509 0 0 0 qhme GNSS
23.93247 38.07859 8.05409 -11.49961 0.09920 0.15337 0.26694 1.24978 0 0 0 dion GNSS
87.60100 43.80800 30.83104 5.67539 0.61301 0.23938 0.34625 0.97414 0 0 0 urum GNSS
77.01690 43.17873 28.36290 4.11956 0.12884 0.24085 0.30527 0.93161 0 0 0 sele GNSS
0.33577 50.86733 16.94959 16.57174 -0.09278 0.09366 0.03832 0.17562 0 0 0 hers GNSS
11.12199 42.42803 20.51930 16.20056 -0.23158 0.18871 0.24366 0.65052 0 0 0 maon GNSS
12.10812 42.42087 20.35932 16.30947 0.81738 0.17996 0.24219 0.57131 0 0 0 virb GNSS
14.78561 49.91370 20.20376 15.20241 0.21004 0.15208 0.10128 0.25449 0 0 0 gope GNSS
5.35694 43.27845 20.06660 16.17339 -0.50165 0.05913 0.06145 0.18165 0 0 0 mars GNSS
8.61626 44.92310 20.21308 16.25748 -0.32154 0.10162 0.15193 0.45074 0 0 0 ale0 GNSS
100.23663 38.18500 33.43879 -3.29803 0.73048 0.28432 0.11614 0.68991 0 0 0 qhql GNSS
9.11135 39.22951 21.49239 16.13788 -0.43772 0.22479 0.04569 0.23902 0 0 0 cag1 GNSS
11.89213 45.41144 20.93496 17.06125 -0.54946 0.06177 0.12766 0.44209 0 0 0 pado GNSS
102.79712 25.02953 32.49985 -17.91504 -0.06033 0.46139 0.37601 0.07834 0 0 0 kunm GNSS
32.75848 39.88736 1.88990 11.02086 -1.02701 0.49381 0.37325 0.15541 0 0 0 ankr GNSS
8.40916 49.01068 19.47312 15.95159 -0.13093 0.14194 0.04402 0.15462 0 0 0 karl GNSS
11.35563 44.50236 21.92813 18.99354 -1.02142 0.31557 0.21939 0.55239 0 0 0 blgn GNSS
84.98467 27.16544 37.95152 35.25973 -0.39707 0.21586 0.15050 1.10645 0 0 0 sim4 GNSS
29.01930 41.10444 23.88478 11.67596 -0.04373 0.16991 0.16832 0.17519 0 0 0 ista GNSS
34.76310 30.59761 23.46370 19.62747 0.93252 0.11487 0.10697 0.21363 0 0 0 ramo GNSS
4.35912 50.79785 17.78622 16.16777 0.38922 0.09091 0.13316 0.12661 0 0 0 brus GNSS
8.97276 39.13591 21.51721 16.12127 -0.30277 0.05963 0.03610 0.16253 0 0 0 cagl GNSS
6.92062 43.75471 20.40227 16.16988 0.11073 0.04261 0.11341 0.19248 0 0 0 gras GNSS
17.27390 48.37273 21.50473 15.13505 0.20555 0.24283 0.05928 0.33346 0 0 0 mopi GNSS
13.78830 45.66086 21.03818 17.75828 -0.20042 0.22460 0.10979 0.15474 0 0 0 rtri GNSS
82.49173 27.95082 37.16450 33.88654 0.13959 0.10871 0.39377 0.95942 0 0 0 grhi GNSS
81.80959 29.96903 32.71248 22.09466 3.60544 0.37014 0.32947 0.61863 0 0 0 smkt GNSS
101.67503 39.20987 31.33040 -5.36650 0.24215 0.81354 0.33701 0.18409 0 0 0 nmay GNSS
82.87538 46.82397 28.44417 1.62940 0.47349 0.22740 0.24640 0.42572 0 0 0 i037 GNSS
11.64680 44.52000 22.24943 18.01488 -1.44363 0.18173 0.12869 0.33303 0 0 0 medi GNSS
14.98980 36.87591 21.33427 19.83445 -0.72491 0.05432 0.22402 0.09127 0 0 0 not1 GNSS
7.82650 44.39033 20.73049 16.00878 0.48348 0.08761 0.10342 0.34450 0 0 0 moge GNSS
104.81673 33.42300 35.50437 -8.71382 -1.07873 0.56790 0.34960 0.11892 0 0 0 gswd GNSS
75.23396 37.77499 25.07640 23.07194 -0.73375 0.25617 0.34418 0.29855 0 0 0 tash GNSS
83.25713 43.39808 30.23650 7.03815 0.71620 0.35634 0.23564 0.55880 0 0 0 xjxy GNSS
26.12571 44.46337 23.07027 12.39318 2.14601 0.23129 0.17832 0.15714 0 0 0 bucu GNSS
33.39644 35.14100 19.34179 15.63112 0.04969 0.15048 0.24854 0.66026 0 0 0 nico GNSS
20.43975 41.68494 22.68768 12.39087 0.60977 0.31423 0.21799 0.37370 0 0 0 pesh GNSS
30.49673 50.36418 22.39592 12.71185 0.18027 0.06928 0.12244 0.19678 0 0 0 glsv GNSS
86.18929 41.79192 31.13193 8.23508 0.49939 0.32425 0.50933 0.60903 0 0 0 jb45 GNSS
9.78470 47.51530 20.14062 16.13817 0.79611 0.12617 0.06767 0.18041 0 0 0 pfa2 GNSS
11.60082 44.82900 21.32834 17.75329 -0.91572 0.13546 0.12960 0.31460 0 0 0 fer0 GNSS
11.71575 44.35047 22.14354 18.97946 -0.43050 0.23275 0.22963 0.60918 0 0 0 imol GNSS
9.68992 45.04318 20.68334 16.84314 -0.29512 0.14300 0.11484 0.38867 0 0 0 pia1 GNSS
99.81385 39.41000 30.91872 -3.76524 0.56231 0.26843 0.19153 0.31138 0 0 0 g140 GNSS
92.43800 34.20927 49.83587 7.29719 -0.01593 0.56193 0.61268 0.61432 0 0 0 qhtt GNSS
91.10046 30.47977 46.47339 14.38904 0.34972 0.46758 0.39698 0.30432 0 0 0 xzdx GNSS
103.17350 26.10650 34.49226 -13.25965 0.84860 0.32371 0.73115 0.69171 0 0 0 yndc GNSS
101.77400 36.60100 37.87094 -3.70030 -0.70630 0.30176 0.25978 0.51050 0 0 0 xnin GNSS
82.97693 41.72333 31.61012 10.67246 -1.74926 0.30014 0.54696 0.47477 0 0 0 xjkc GNSS
90.25600 42.89350 31.96153 4.06018 -0.79549 0.23607 0.48428 0.30314 0 0 0 xjss GNSS
23.39473 42.55609 23.83334 11.91885 -0.02298 0.33404 0.20323 0.67344 0 0 0 sofi GNSS
20.67337 38.78129 20.72311 4.27095 -0.48989 0.31415 0.30814 0.56813 0 0 0 span GNSS
23.31774 38.31652 8.65907 -8.18584 1.52273 0.34194 0.48142 0.67430 0 0 0 thiv GNSS
29.45070 40.78673 19.63201 11.70210 -0.80012 0.23295 0.16790 0.14617 0 0 0 tubi GNSS
41.56507 43.78839 25.43812 11.57482 1.53115 0.12785 0.24305 0.27851 0 0 0 zeck GNSS
34.54293 49.60261 22.36862 12.31817 -0.02637 0.07385 0.03132 0.17415 0 0 0 polv GNSS
79.21000 41.20200 30.10487 15.12472 0.33501 0.14454 0.34462 0.66838 0 0 0 wush GNSS
7.63971 45.01544 20.42733 15.73137 0.15314 0.13025 0.19885 0.13987 0 0 0 ieng GNSS
3.86519 43.63889 19.90478 16.23435 -0.16602 0.04950 0.04174 0.11307 0 0 0 mtp2 GNSS
14.00222 42.65790 23.22934 18.47690 -0.54826 0.13745 0.07918 0.32368 0 0 0 rsto GNSS
11.21621 43.79385 21.28412 17.59559 -0.10220 0.12527 0.12829 0.29139 0 0 0 fipr GNSS
12.57820 43.35005 21.75777 18.02782 -0.04358 0.33309 0.24366 0.70983 0 0 0 gub2 GNSS
12.40808 42.78309 20.52773 17.24400 0.10098 0.26886 0.24582 0.92568 0 0 0 reto GNSS
10.99822 45.44133 20.88871 16.42796 -0.64241 0.12886 0.21767 0.39662 0 0 0 vero GNSS
115.89248 39.60881 30.40267 -10.69299 1.95391 0.49263 0.42996 0.65140 0 0 0 bjfs GNSS
89.63452 27.47251 41.33257 27.91733 -2.45318 0.76008 0.48518 0.73872 0 0 0 timp GNSS
74.75109 42.99850 27.38408 2.65212 -0.21072 0.42271 0.20004 0.72511 0 0 0 chum GNSS
116.22536 40.24966 29.46846 -11.34303 1.20892 0.16673 0.38089 0.40701 0 0 0 bjsh GNSS
101.74650 26.50350 35.46617 -18.47247 -0.55008 0.25498 0.41303 0.73423 0 0 0 scpz GNSS
99.70592 27.82775 34.61236 -19.51265 -0.64597 0.41706 0.51242 1.11313 0 0 0 ynzd GNSS
106.68188 33.11725 33.30371 -10.03978 -0.55216 0.34521 0.17557 0.41863 0 0 0 snmx GNSS
88.13500 47.85526 28.80928 3.46840 0.73019 0.17767 0.34032 0.68512 0 0 0 xjal GNSS
13.35451 42.36779 21.34836 17.13169 -0.35453 0.13613 0.13485 0.19136 0 0 0 aqra GNSS
86.71259 27.81373 37.60177 24.74241 3.42017 0.42187 0.47143 1.39050 0 0 0 sybc GNSS
23.03362 38.75506 13.92228 -5.10107 -0.20771 0.25508 0.28715 0.29365 0 0 0 ark2 GNSS
25.42722 36.42445 6.12883 -16.19140 2.51729 0.43382 0.14127 0.94147 0 0 0 nomi GNSS
23.72807 39.12154 16.81728 -7.08660 -0.81131 0.43909 0.49662 0.31611 0 0 0 skop GNSS
18.10964 42.65003 23.10825 18.25758 -1.25226 0.23039 0.20773 0.47272 0 0 0 dub2 GNSS
5.68565 50.75813 17.95788 16.02222 0.97707 0.03530 0.06336 0.34540 0 0 0 eijs GNSS
18.46710 40.07214 23.81317 18.63117 -0.33256 0.05947 0.07417 0.07085 0 0 0 scte GNSS
10.94900 44.62900 21.63180 18.84855 -2.78527 0.10301 0.12235 0.47638 0 0 0 mode GNSS
5.48370 43.94100 19.90350 16.15037 -0.05545 0.10329 0.02501 0.22722 0 0 0 rst2 GNSS
