lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87880 49.14428 -0.03074 0.10885 0.24840 0.05121 0.05557 0.26430 0 0 0 wtzr GNSS
91.10400 29.65730 17.43208 18.64562 0.91868 0.21666 0.16957 0.15351 0 0 0 lhas GNSS
12.34982 45.43605 -0.12370 1.80420 -1.22045 0.14964 0.10433 0.31143 0 0 0 ven1 GNSS
50.60810 26.20910 3.43802 21.65575 -0.50073 0.09782 0.18778 0.28916 0 0 0 bahr GNSS
7.46510 46.87710 -0.04368 0.36241 0.78954 0.07934 0.04640 0.10370 0 0 0 zimm GNSS
1.48130 43.55978 0.02582 0.10432 -0.29428 0.03004 0.09940 0.12904 0 0 0 toul GNSS
80.95577 26.91220 8.10567 34.48777 -2.33590 0.26170 0.15263 0.35384 0 0 0 lcki GNSS
66.88545 39.13473 -0.90068 1.30812 -1.01984 0.21975 0.18303 0.36123 0 0 0 kit3 GNSS
16.70450 40.64906 0.72170 4.29221 0.44211 0.05623 0.04440 0.13996 0 0 0 mate GNSS
74.69410 42.67979 -1.11269 2.93026 0.38184 0.13705 0.14113 0.54339 0 0 0 pol2 GNSS
88.17329 39.02367 1.08071 8.89058 -1.08738 0.29780 0.22384 0.51910 0 0 0 xjrq GNSS
11.27969 48.08604 -0.01261 0.21136 0.06892 0.04624 0.04610 0.21875 0 0 0 ober GNSS
15.49348 47.06710 0.47781 0.63916 -0.04559 0.07038 0.08030 0.24337 0 0 0 graz GNSS
4.38755 51.98601 -0.20468 -0.31014 -0.49661 0.04871 0.05627 0.14546 0 0 0 delf GNSS
101.40171 37.46795 8.03558 2.28118 0.24785 0.14946 0.16306 0.21950 0 0 0 qhme GNSS
23.93247 38.07859 -16.30803 -25.45644 0.09920 0.14471 0.12465 0.23792 0 0 0 dion GNSS
87.60100 43.80800 2.18422 7.60134 0.61301 0.25844 0.33003 1.07482 0 0 0 urum GNSS
77.01690 43.17873 -0.38074 2.97730 0.12884 0.23999 0.17569 1.30995 0 0 0 sele GNSS
0.33577 50.86733 -0.24408 0.15668 -0.09278 0.07108 0.04660 0.15100 0 0 0 hers GNSS
11.12199 42.42803 -0.97417 0.58310 -0.23158 0.08664 0.14571 0.32689 0 0 0 maon GNSS
12.10812 42.42087 -1.31569 0.79305 0.81738 0.16040 0.22093 0.46236 0 0 0 virb GNSS
14.78561 49.91370 -0.32561 -0.01659 0.21004 0.04072 0.04041 0.21937 0 0 0 gope GNSS
