lon lat veast_eu vnorth_eu seast snorth covassumed0 name type
106.68377 37.45085 3.77669 -1.95760 0.35855 0.23748 0 d098 GNSS
35.62970 32.98119 -3.54411 10.25150 0.12352 0.23728 0 kn08 GNSS
77.60214 34.12857 -2.62862 19.79029 0.80455 0.31394 0 rscl GNSS
106.50900 33.91500 5.28713 -1.54312 0.32649 0.28559 0 h001 GNSS
106.35300 37.81100 3.87729 -1.76986 0.28818 0.39267 0 d096 GNSS
105.98500 36.27900 6.28610 -0.93611 0.25789 0.36373 0 g013 GNSS
105.29400 36.50400 8.44248 -1.52117 0.19326 0.33299 0 g014 GNSS
106.58100 35.45800 5.75580 -2.60507 0.26203 0.35448 0 g024 GNSS
105.79400 35.07900 5.96085 -2.57938 0.28238 0.29412 0 g030 GNSS
106.40100 34.51600 5.50581 -3.02575 0.33786 0.37040 0 g036 GNSS
104.10400 35.03800 7.76540 -0.10707 0.51533 0.25421 0 g114 GNSS
104.54200 35.04600 7.62951 -0.38250 0.34954 0.24733 0 g116 GNSS
104.94000 34.71400 7.07577 -1.69045 0.53230 0.41283 0 g120 GNSS
104.91500 34.46700 7.25489 -1.35067 0.36293 0.24952 0 g121 GNSS
106.15500 33.34000 5.70937 -2.54337 0.34564 0.27277 0 h007 GNSS
105.22600 32.57100 5.92272 -2.02343 0.43135 0.28953 0 h010 GNSS
100.93600 37.96700 4.46986 2.17795 0.36694 0.28446 0 g065 GNSS
100.16200 37.31500 7.94637 3.04669 0.28647 0.18419 0 g075 GNSS
104.48000 34.85000 7.85482 0.53929 0.41570 0.56244 0 g119 GNSS
106.56000 34.73279 6.37572 -2.04239 0.25709 0.31433 0 g362 GNSS
85.53800 38.08100 -1.24907 11.53331 0.51050 0.41097 0 jb46 GNSS
102.99100 33.57100 10.98518 -0.76262 0.31377 0.32681 0 h026 GNSS
104.57100 32.40500 6.25070 -2.18461 0.44734 0.28523 0 h032 GNSS
99.53567 25.46350 -1.31503 -10.73382 0.83640 1.04327 0 h205 GNSS
106.81400 39.68000 3.14032 -2.09163 0.35143 0.31252 0 d084 GNSS
104.50500 40.73900 2.35980 -0.22278 0.20330 0.26468 0 g042 GNSS
103.61300 32.59100 8.03268 -2.37107 0.33923 0.27944 0 h030 GNSS
29.92893 40.42473 -19.64548 -2.71368 1.42069 0.71202 0 iuck GNSS
42.45743 37.52791 -7.39741 15.42085 0.60248 0.68293 0 srnk GNSS
103.00357 29.97543 7.37844 -3.99200 0.32702 0.33985 0 h065 GNSS
35.60805 32.97425 -3.67282 9.53913 0.10112 0.31955 0 kn02 GNSS
