lon lat veast_eu vnorth_eu seast snorth covassumed0 name type
106.68377 37.45085 31.80149 -9.18607 0.34661 0.21800 0 d098 GNSS
35.62970 32.98119 22.81478 22.07611 0.11853 0.22792 0 kn08 GNSS
77.60214 34.12857 26.40806 20.76493 0.78962 0.29152 0 rscl GNSS
106.50900 33.91500 33.44060 -8.71297 0.30085 0.26198 0 h001 GNSS
106.35300 37.81100 31.92048 -8.89940 0.26877 0.36442 0 d096 GNSS
105.98500 36.27900 34.41828 -7.97042 0.23260 0.33239 0 g013 GNSS
105.29400 36.50400 36.61505 -8.37277 0.17327 0.29982 0 g014 GNSS
106.58100 35.45800 33.86818 -9.79416 0.22825 0.31605 0 g024 GNSS
105.79400 35.07900 34.13905 -9.55971 0.25077 0.27284 0 g030 GNSS
106.40100 34.51600 33.65339 -10.16779 0.30417 0.32867 0 g036 GNSS
104.10400 35.03800 36.05907 -6.64331 0.48526 0.23564 0 g114 GNSS
104.54200 35.04600 35.89435 -7.03859 0.33244 0.22439 0 g116 GNSS
104.94000 34.71400 35.31967 -8.44913 0.48694 0.36718 0 g120 GNSS
104.91500 34.46700 35.50450 -8.10195 0.32247 0.22824 0 g121 GNSS
106.15500 33.34000 33.89343 -9.61991 0.31469 0.23866 0 h007 GNSS
105.22600 32.57100 34.18111 -8.85584 0.38509 0.25430 0 h010 GNSS
100.93600 37.96700 32.87668 -3.50426 0.32857 0.24576 0 g065 GNSS
100.16200 37.31500 36.42247 -2.42457 0.26003 0.16252 0 g075 GNSS
104.48000 34.85000 36.12622 -6.10084 0.37607 0.52498 0 g119 GNSS
106.56000 34.73279 34.50739 -9.22587 0.22998 0.28757 0 g362 GNSS
85.53800 38.08100 27.73752 10.19545 0.48538 0.39946 0 jb46 GNSS
102.99100 33.57100 39.37471 -7.00047 0.28562 0.29685 0 h026 GNSS
104.57100 32.40500 34.53888 -8.84440 0.41596 0.26020 0 h032 GNSS
99.53567 25.46350 26.97538 -16.03373 0.77440 0.96993 0 h205 GNSS
106.81400 39.68000 31.04210 -9.34184 0.31100 0.28626 0 d084 GNSS
104.50500 40.73900 30.36062 -6.86944 0.18650 0.23990 0 g042 GNSS
103.61300 32.59100 36.38518 -8.77581 0.30904 0.24767 0 h030 GNSS
29.92893 40.42473 5.30377 10.20614 1.34994 0.67702 0 iuck GNSS
42.45743 37.52791 19.43881 25.76530 0.57693 0.65108 0 srnk GNSS
103.00357 29.97543 35.72653 -10.23308 0.31231 0.31726 0 h065 GNSS
35.60805 32.97425 22.68403 21.36811 0.10398 0.29916 0 kn02 GNSS
109.97375 41.76469 29.48180 -9.29342 0.30031 0.30234 0 d040 GNSS
106.44300 38.88800 31.49327 -7.65856 0.34837 0.44407 0 d367 GNSS
105.19900 35.21500 35.15368 -8.15510 0.59842 0.38125 0 g357 GNSS
77.19200 32.31700 27.18584 25.49054 0.51627 2.14715 0 kot1 GNSS
109.22149 34.36867 33.63714 -10.70666 0.47931 0.59578 0 xian GNSS
95.80100 40.51400 29.94491 -0.99548 0.43861 0.31765 0 jb28 GNSS
77.12591 28.48226 36.16049 34.08194 0.86441 0.70893 0 delh GNSS
84.33400 43.65200 30.93746 5.81773 0.22859 0.47788 0 i045 GNSS
93.62600 42.81000 31.85309 1.03118 0.23825 0.62272 0 jb43 GNSS
78.97336 32.77862 27.88925 19.51517 0.40386 0.46531 0 hanl GNSS
92.73178 23.72356 35.25281 29.40128 0.43167 0.42899 0 aizw GNSS
93.92500 24.74900 30.23378 20.40993 0.50093 0.28620 0 imph GNSS
97.95600 34.40000 47.70882 0.77557 0.64813 0.62744 0 j400 GNSS
99.19600 34.27100 45.02469 -1.15982 0.59260 0.59669 0 j406 GNSS
70.94000 42.78300 26.95005 3.23507 0.39537 0.36635 0 kta4 GNSS
75.08600 43.37900 27.57230 3.25242 0.40681 0.71656 0 kur4 GNSS
41.79286 38.75328 21.10189 22.89707 0.37858 0.36330 0 krkt GNSS
41.05681 38.95880 20.65541 23.66755 0.82720 0.28483 0 solh GNSS
36.33382 41.30850 24.17685 13.88161 0.34869 0.20025 0 sams GNSS
103.46800 29.60200 33.90594 -9.62586 0.53921 0.42253 0 h076 GNSS
102.65500 29.34800 35.63268 -10.04369 0.41147 0.52647 0 h077 GNSS
103.04300 28.84700 34.38682 -10.10559 0.84764 0.43125 0 h086 GNSS
100.09400 25.97900 30.39291 -18.20047 1.04725 0.64210 0 h124 GNSS
