lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87869 49.14430 -0.01224 0.13701 0.21540 0.12055 0.13624 0.47681 0 0 0 wtzr GNSS
12.34494 45.43580 -0.05333 1.81257 -1.21664 0.27070 0.27972 2.94344 0 0 0 ven1 GNSS
91.10400 29.65733 17.55348 18.75445 0.91710 0.44890 0.44578 17.79799 0 0 0 lhas GNSS
50.60814 26.20914 3.51508 21.71797 -0.47273 0.37338 0.39015 22.30241 0 0 0 bahr GNSS
80.95576 26.91221 8.32317 34.69881 -2.23907 0.75221 0.60263 36.88502 0 0 0 lcki GNSS
66.88549 39.13471 -0.78633 1.27960 -1.03753 0.57595 0.53175 2.45245 0 0 0 kit3 GNSS
7.46510 46.87710 0.00554 0.39755 0.76389 0.14560 0.14771 0.50104 0 0 0 zimm GNSS
1.48122 43.55962 0.07120 0.17649 -0.31302 0.15298 0.15300 0.60830 0 0 0 toul GNSS
74.69427 42.67977 -1.17142 2.92222 0.85990 0.41904 0.39174 2.26401 0 0 0 pol2 GNSS
16.70450 40.64910 0.79921 4.37730 0.44242 0.16934 0.15772 3.96822 0 0 0 mate GNSS
11.27967 48.08604 0.02997 0.24877 -0.02805 0.19889 0.20682 0.78995 0 0 0 ober GNSS
88.17303 39.02316 1.14019 9.00113 -0.96410 0.81867 0.63354 10.03175 0 0 0 xjrq GNSS
101.40171 37.46792 8.08979 2.30983 0.24785 0.46699 0.32122 2.02469 0 0 0 qhme GNSS
15.49348 47.06710 0.51171 0.66717 -0.13454 0.15440 0.19932 0.93981 0 0 0 graz GNSS
23.93248 38.07856 -16.33160 -25.47606 0.17200 0.46388 0.37639 25.62014 0 0 0 dion GNSS
4.38757 51.98609 -0.19334 -0.25898 -0.46839 0.18359 0.20304 0.44701 0 0 0 delf GNSS
11.89187 45.41101 -0.06046 1.66298 -0.65734 0.18630 0.38985 2.41859 0 0 0 pado GNSS
77.01690 43.17873 -0.56672 3.29613 0.47121 0.43471 0.68607 2.80694 0 0 0 sele GNSS
0.33591 50.86734 -0.22142 0.19532 -0.09671 0.14091 0.13400 0.46730 0 0 0 hers GNSS
11.12196 42.42803 -0.91887 0.65398 -0.23158 0.27917 0.22233 1.08994 0 0 0 maon GNSS
12.10744 42.41996 -1.36585 0.81726 0.81738 0.48988 0.46486 0.93998 0 0 0 virb GNSS
100.23631 38.18434 5.01013 2.24089 0.73048 0.51830 0.38268 1.80480 0 0 0 qhql GNSS
29.01934 41.10445 -0.80811 -1.29750 -0.04673 0.49383 0.44223 1.32287 0 0 0 ista GNSS
14.78561 49.91370 -0.28223 0.01790 0.20604 0.12821 0.11103 0.57188 0 0 0 gope GNSS
5.35678 43.27846 -0.14114 0.08920 -0.52248 0.15275 0.14775 0.66170 0 0 0 mars GNSS
8.61633 44.92313 -0.16147 0.46310 -0.32154 0.25341 0.32020 1.11439 0 0 0 ale0 GNSS
9.11116 39.22927 -0.20265 0.39346 -0.43772 0.18181 0.20399 0.91822 0 0 0 cag1 GNSS
32.75848 39.88736 -23.32132 -1.26066 -1.04979 0.77285 0.57246 0.43216 0 0 0 ankr GNSS
33.39645 35.14099 -6.53507 3.43074 0.03878 0.20309 0.24642 3.50676 0 0 0 nico GNSS
34.76314 30.59760 -2.82257 7.67649 0.92934 0.15537 0.16794 6.73199 0 0 0 ramo GNSS
8.40904 49.01068 0.05965 0.12450 -0.13362 0.16091 0.14244 0.44308 0 0 0 karl GNSS
11.35546 44.50252 0.88189 3.45160 -1.02142 0.47753 0.57132 4.54289 0 0 0 blgn GNSS
13.78816 45.66054 -0.21958 2.47948 -0.20042 0.25372 0.16354 2.67876 0 0 0 rtri GNSS
