lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87869 49.14430 20.31574 15.57066 0.21540 0.05959 0.07028 0.26371 0 0 0 wtzr GNSS
12.34494 45.43580 21.02821 17.30359 -1.21664 0.15100 0.14380 0.47719 0 0 0 ven1 GNSS
91.10400 29.65733 46.35162 15.81901 0.91710 0.24606 0.25083 0.31271 0 0 0 lhas GNSS
50.60814 26.20914 31.22063 30.12612 -0.47273 0.20012 0.21121 0.32445 0 0 0 bahr GNSS
80.95576 26.91221 37.08323 34.69603 -2.23907 0.38290 0.29984 0.54152 0 0 0 lcki GNSS
66.88549 39.13471 27.88568 5.32244 -1.03753 0.33553 0.30506 0.59094 0 0 0 kit3 GNSS
7.46510 46.87710 19.78754 16.34886 0.76389 0.07469 0.07970 0.17354 0 0 0 zimm GNSS
1.48122 43.55962 19.47591 16.53373 -0.31302 0.07744 0.07829 0.22528 0 0 0 toul GNSS
74.69427 42.67977 27.56585 4.73220 0.85990 0.22247 0.21846 0.72043 0 0 0 pol2 GNSS
16.70450 40.64910 23.61422 19.36069 0.44242 0.09195 0.08123 0.16302 0 0 0 mate GNSS
11.27967 48.08604 20.28975 15.84994 -0.02805 0.08725 0.09356 0.40106 0 0 0 ober GNSS
88.17303 39.02316 30.04666 6.90797 -0.96410 0.47017 0.34337 0.50827 0 0 0 xjrq GNSS
101.40171 37.46792 36.48707 -3.50375 0.24785 0.24199 0.16196 0.23761 0 0 0 qhme GNSS
15.49348 47.06710 21.83871 15.80200 -0.13454 0.09291 0.12049 0.33069 0 0 0 graz GNSS
23.93248 38.07856 8.03048 -11.51913 0.17200 0.25409 0.19093 0.46408 0 0 0 dion GNSS
4.38757 51.98609 17.57572 15.92306 -0.46839 0.09524 0.10750 0.21198 0 0 0 delf GNSS
11.89187 45.41101 20.93921 17.20155 -0.65734 0.09676 0.22590 0.43853 0 0 0 pado GNSS
77.01690 43.17873 28.17725 4.43166 0.47121 0.24392 0.39506 0.24025 0 0 0 sele GNSS
0.33591 50.86734 16.97135 16.61023 -0.09671 0.07178 0.06699 0.20453 0 0 0 hers GNSS
11.12196 42.42803 20.57323 16.27098 -0.23158 0.15088 0.11868 0.43358 0 0 0 maon GNSS
12.10744 42.41996 20.30833 16.33328 0.81738 0.26112 0.27018 0.56291 0 0 0 virb GNSS
100.23631 38.18434 33.45087 -3.25543 0.73048 0.26883 0.18546 0.71752 0 0 0 qhql GNSS
29.01934 41.10445 23.90944 11.80461 -0.04673 0.27125 0.24421 0.25285 0 0 0 ista GNSS
14.78561 49.91370 20.24608 15.23629 0.20604 0.06603 0.05847 0.31541 0 0 0 gope GNSS
5.35678 43.27846 20.08307 16.20385 -0.52248 0.08178 0.07663 0.20679 0 0 0 mars GNSS
8.61633 44.92313 20.31421 16.31628 -0.32154 0.14167 0.17992 0.47373 0 0 0 ale0 GNSS
9.11116 39.22927 21.56453 16.20234 -0.43772 0.08105 0.08925 0.20781 0 0 0 cag1 GNSS
32.75848 39.88736 2.09152 11.14269 -1.04979 0.46220 0.29891 0.19465 0 0 0 ankr GNSS
33.39645 35.14099 19.42065 15.70820 0.03878 0.11299 0.13333 0.39777 0 0 0 nico GNSS
34.76314 30.59760 23.55008 19.68426 0.92934 0.08577 0.08669 0.19423 0 0 0 ramo GNSS
8.40904 49.01068 19.50050 15.99493 -0.13362 0.07746 0.07303 0.20302 0 0 0 karl GNSS
11.35546 44.50252 21.97869 19.04511 -1.02142 0.26737 0.32083 0.79506 0 0 0 blgn GNSS
13.78816 45.66054 21.08892 17.81286 -0.20042 0.13038 0.06085 0.29201 0 0 0 rtri GNSS
102.79732 25.02961 32.51177 -18.38425 -0.29911 0.82677 0.62116 0.39902 0 0 0 kunm GNSS
14.98979 36.87586 21.42062 19.85348 -0.72991 0.09380 0.08702 0.14936 0 0 0 not1 GNSS
29.45069 40.78672 19.79804 11.67175 -0.80074 0.35457 0.19627 0.20763 0 0 0 tubi GNSS
4.35913 50.79785 17.79388 16.21602 0.38961 0.10238 0.07315 0.17688 0 0 0 brus GNSS
8.97275 39.13590 21.57788 16.16697 -0.30810 0.07700 0.04167 0.16451 0 0 0 cagl GNSS
6.92061 43.75471 20.40531 16.19581 0.12156 0.06234 0.04673 0.12253 0 0 0 gras GNSS
17.27388 48.37270 21.52684 15.19282 0.19841 0.08207 0.07354 0.39932 0 0 0 mopi GNSS
87.60067 43.80795 30.88913 5.76170 0.82943 0.29842 0.47477 0.55199 0 0 0 urum GNSS
115.89249 39.60860 30.49116 -10.81957 1.31798 0.30593 0.28395 0.84567 0 0 0 bjfs GNSS
