lon lat veast_eu vnorth_eu seast snorth covassumed0 types names studies
79.03528 40.50338 0.81314 14.75719 0.64128 0.60470 0 GNSS i073_kalp dzwang20(dzwang20)_dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_li22(li22)_pan19(pan19)_rui19(Zubovich_Tectonics_2010)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
78.54008 39.77649 0.06824 17.29553 0.93959 0.76790 0 GNSS bach_i076 dzwang20(dzwang20)_dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_hao19(hao19)_li18(wang17)_li22(li22)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
76.73425 39.49699 0.21698 17.73817 0.97640 0.65834 0 GNSS i079_jias dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_li22(li22)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
101.98800 36.21300 8.82275 2.85747 0.42485 0.38562 0 GNSS g096 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
76.51240 39.80626 0.87566 15.30925 1.10527 1.13818 0 GNSS i077_sugu dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_li22(li22)_pan19(pan19)_rui19(Zubovich_Tectonics_2010)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
101.05760 41.96100 2.76482 0.60462 0.35941 0.35955 0 GNSS g040_nmej hao19(hao19)_hao21(hao21)_hao24(hao24)_li18(wang17)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
105.98500 36.27900 6.26746 -0.96502 0.41496 0.52215 0 GNSS g013 hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
106.20400 35.66700 5.71602 -2.78717 0.43827 0.51744 0 GNSS g020 hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
105.66900 37.36400 4.37500 0.05242 0.40319 0.44868 0 GNSS g005 hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
105.50000 35.61000 6.37877 -2.09083 0.46644 0.50947 0 GNSS g023 hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
