lon lat veast_eu vnorth_eu seast snorth covassumed0 types names studies
79.03528 40.50338 29.73614 15.31414 0.64128 0.60470 0 GNSS i073_kalp dzwang20(dzwang20)_dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_li22(li22)_pan19(pan19)_rui19(Zubovich_Tectonics_2010)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
78.54008 39.77649 29.02008 17.99618 0.93959 0.76790 0 GNSS bach_i076 dzwang20(dzwang20)_dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_hao19(hao19)_li18(wang17)_li22(li22)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
76.73425 39.49699 29.16080 18.96229 0.97640 0.65834 0 GNSS i079_jias dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_li22(li22)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
101.98800 36.21300 37.22245 -3.11423 0.42485 0.38562 0 GNSS g096 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
76.51240 39.80626 29.80382 16.59760 1.10527 1.13818 0 GNSS i077_sugu dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_li22(li22)_pan19(pan19)_rui19(Zubovich_Tectonics_2010)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
101.05760 41.96100 30.93995 -5.11414 0.35941 0.35955 0 GNSS g040_nmej hao19(hao19)_hao21(hao21)_hao24(hao24)_li18(wang17)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
105.98500 36.27900 34.39799 -8.00464 0.41496 0.52215 0 GNSS g013 hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
106.20400 35.66700 33.84903 -9.88435 0.43827 0.51744 0 GNSS g020 hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
105.66900 37.36400 32.48880 -6.90395 0.40319 0.44868 0 GNSS g005 hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
105.50000 35.61000 34.56321 -9.00259 0.46644 0.50947 0 GNSS g023 hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
93.00300 39.28700 31.70633 2.76590 0.63568 0.51718 0 GNSS g165 dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_pan19(pan19)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
75.92260 39.51662 31.04956 18.67691 0.69284 0.66447 0 GNSS i071_jb48_kshi dzwang20(dzwang20)_dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_hao19(hao19)_li18(wang17)_li22(li22)_rui19(Zubovich_Tectonics_2010)_wang17(wang17)_wangshen20(wangshen20)_zheng17(zheng17)
35.63106 32.98379 22.82106 22.06574 0.22444 0.26776 0 GNSS kn05_kn06_kn07_kn08_kn09_kn10_kn12_knne_knnw_knse hamiel21(hamiel21)_palano13(Sadehetal2012)
101.32350 25.72800 32.44891 -16.60894 0.58758 0.59440 0 GNSS h130_ynya gan22(Cmonoc_C)_hao19(hao19)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
79.47300 35.23500 26.99080 16.91468 0.62990 0.47028 0 GNSS j306 dzwang20(dzwang20)_dzwang24(dzwang24)_li18(wang17)_mohanty24(wangshen20)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
99.53567 25.46350 26.97178 -16.06587 1.31072 1.37092 0 GNSS h205_hb18 gan22(Cmonoc_I)_hao19(hao19)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
87.19400 40.83500 30.65426 7.49366 0.70610 0.47958 0 GNSS i032 dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
84.24500 41.78000 30.88391 11.34826 0.46740 0.66198 0 GNSS i056 dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
79.42700 35.77400 26.40493 17.37744 0.54215 0.47367 0 GNSS j305 dzwang20(dzwang20)_dzwang24(dzwang24)_li18(wang17)_mohanty24(wangshen20)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
79.15900 35.99500 25.74455 17.57054 0.64465 0.47094 0 GNSS j302 dzwang20(dzwang20)_dzwang24(dzwang24)_li18(wang17)_mohanty24(wangshen20)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
77.44418 39.63086 29.59196 17.91964 0.65823 0.60595 0 GNSS i395 dzwang20(dzwang20)_dzwang24(dzwang24)_li18(wang17)_li22(li22)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
98.20900 34.89400 44.91518 0.16192 0.53408 0.52789 0 GNSS j005 diao19(diao19)_dzwang20(dzwang20)_hao19(hao19)_li18(wang17)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
85.51800 41.90800 31.37985 8.26670 0.39442 0.78610 0 GNSS i030 dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
82.22500 43.47200 30.50609 6.62050 0.39098 0.49468 0 GNSS i050 dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
79.96400 37.09800 25.39321 16.50387 0.58737 0.64201 0 GNSS i087 dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
77.00500 36.57700 25.26952 21.75272 0.51982 0.46118 0 GNSS j047 dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
105.22600 32.57100 34.16476 -8.90951 0.65783 0.73939 0 GNSS h010 gan22(Cmonoc_I)_hao19(hao19)_hao21(hao21)_li18(wang17)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
103.16600 32.07500 36.42531 -9.00355 0.57346 0.82329 0 GNSS h037 gan22(Cmonoc_I)_hao19(hao19)_hao21(hao21)_li18(wang17)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
93.41200 38.80900 34.75942 2.43681 0.66355 0.61589 0 GNSS g166_jb31 dzwang20(dzwang20)_hao19(hao19)_li18(wang17)_pan19(pan19)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
