lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 types names studies
100.23624 38.18447 4.98674 2.22360 1.11527 0.50045 0.36697 0.52870 0 0 0 GNSS g062_qhql hao19(hao19)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_su19(su19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
66.88548 39.13473 -0.81192 1.33702 -1.54853 0.35033 0.31462 0.43128 0 0 0 GNSS kit3_kitg_kiub ULR5(ULR5)_barman17(barman17)_castroperdomo22(castroperdomo22)_fazilova18(fazilova18)_jade20(jade20)_li18(wang17)_measures(measures)_ozdemir19(ozdemir19)_pan19(pan19)_pan22_vert(pan22_vert)_pappachen21(pappachen21)_sokhadze18(sokhadze18)_steckler16(steckler16)_wang17(wang17)_wangshen20(wangshen20)_zheng17(UNR)
88.18005 39.02354 1.19363 8.99961 -0.33136 0.69188 0.60764 0.33660 0 0 0 GNSS i034_xjrq dehuawang24(dehuawang24)_dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(ge15)_li18(wang17)_midas(midas)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
76.17400 38.93500 -0.12039 20.25859 -3.26912 0.72025 0.60960 0.33606 0 0 0 GNSS i083_yeng dzwang20(dzwang20)_dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_pan19(pan19)_rui19(Zubovich_Tectonics_2010)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao23_vert(zhao23_vert)_zheng17(zheng17)
91.10400 29.65733 17.56405 18.51220 1.04723 0.28224 0.25789 0.41400 0 0 0 GNSS lhas_lhaz barman17(barman17)_castroperdomo22(castroperdomo22)_fang22(fang22)_fu12(fu12)_jade20(jade20)_pappachen21(pappachen21)_ray19(ray19)_saji20(saji20)_steckler16(steckler16)_vila20(vila20)_wang17(wang17)_wangshen20(wangshen20)_zheng17(zheng17)
74.42700 39.02400 -5.26325 18.58159 2.21594 0.68012 0.65690 0.64313 0 0 0 GNSS i399_muji dzwang20(dzwang20)_dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_dzwang24(dzwang24)_li18(wang17)_pan19(pan19)_rui19(Zubovich_Tectonics_2010)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao23_vert(zhao23_vert)_zheng17(zheng17)
105.17800 37.58100 4.17359 -0.04863 0.68498 1.08236 0.88792 0.45416 0 0 0 GNSS g004_gb01 hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
75.25000 39.71800 -0.94011 12.84575 -1.29718 0.54103 0.58796 0.38000 0 0 0 GNSS i078_wuqi dzwang20(dzwang20)_dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_pan19(pan19)_rui19(Zubovich_Tectonics_2010)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
74.69427 42.67977 -1.06781 3.02141 0.65000 0.32382 0.33192 0.15095 0 0 0 GNSS pol2 barman17(barman17)_castroperdomo22(castroperdomo22)_dzwang20(dzwang20)_dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_jade20(jade20)_li18(wang17)_measures(measures)_ozdemir19(ozdemir19)_pan19(pan19)_pappachen21(pappachen21)_wang17(wang17)_wangshen20(wangshen20)_zheng17(UNR)
101.10900 36.44600 8.89619 3.20863 -0.16586 0.45719 0.34919 0.68457 0 0 0 GNSS g100 diao19(diao19)_hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
78.45139 40.94160 1.18192 15.26148 0.24446 0.58757 0.57863 0.57000 0 0 0 GNSS akqi_i072 dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_li22(li22)_pan19(pan19)_rui19(Zubovich_Tectonics_2010)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
77.62400 38.90400 -1.05444 18.96374 -0.33414 0.65723 0.89263 0.95772 0 0 0 GNSS i082_mark dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_pan19(pan19)_rui19(Zubovich_Tectonics_2010)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao23_vert(zhao23_vert)_zheng17(zheng17)
105.80450 35.96050 6.96646 -3.20383 1.18000 0.74527 0.85414 0.32093 0 0 0 GNSS g018_gb02_lp03 hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_su19(su19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
106.68357 37.45086 3.80546 -2.02327 0.06000 0.54662 0.55651 0.25994 0 0 0 GNSS d098_db06 hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
104.81950 33.42300 7.26500 -2.08090 0.61167 0.67702 0.60778 0.74386 0 0 0 GNSS gswd_h021 gan22(Cmonoc_C)_hao19(hao19)_hao21(hao21)_li18(wang17)_su19(su19)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_wu24_2(wu24_2)_zheng17(zheng17)
101.40400 37.45500 7.90156 2.26042 0.47985 0.39516 0.30194 0.52515 0 0 0 GNSS g070 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
102.84600 37.44000 5.91337 1.53321 0.29484 0.38691 0.40762 0.54426 0 0 0 GNSS g069 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
102.62200 37.50600 6.69778 2.18793 0.91489 0.34491 0.32851 0.34755 0 0 0 GNSS g066 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
102.56400 36.88800 8.79865 2.15664 0.41946 0.40308 0.43713 0.44047 0 0 0 GNSS g081 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
102.26100 38.13800 3.97885 1.06399 -0.32967 0.38199 0.36328 0.94520 0 0 0 GNSS g061 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
102.01200 37.32400 7.60754 2.06938 0.56976 0.38536 0.32993 0.53682 0 0 0 GNSS g074 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
101.23500 36.70000 8.70253 2.91206 -0.11068 0.44770 0.38167 1.30247 0 0 0 GNSS g084 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
101.00900 36.87600 8.83824 3.05611 -1.33555 0.49574 0.41435 0.70421 0 0 0 GNSS g082 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
100.54500 36.22300 9.21030 3.70599 -0.20101 0.44958 0.48256 1.40735 0 0 0 GNSS g097 diao19(diao19)_hao19(hao19)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
105.54600 37.51700 4.11598 0.35109 0.14490 0.40262 0.41998 0.54880 0 0 0 GNSS g003 dzwang24(dzwang24)_hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
103.72700 33.93700 8.32398 0.37397 0.02734 0.53951 0.57741 0.56977 0 0 0 GNSS h020 gan22(Cmonoc_I)_hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_rui19(rui19)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
102.97900 37.14800 7.75311 1.65942 0.70464 0.36388 0.35661 0.71320 0 0 0 GNSS g073 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
102.88700 38.41900 3.57786 0.72588 0.61552 0.33180 0.33947 0.35048 0 0 0 GNSS g056 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
102.64400 37.78100 4.61694 1.31605 0.34508 0.37227 0.33809 0.39416 0 0 0 GNSS g063 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
102.56500 39.12700 2.77319 0.52992 0.70601 0.37198 0.32865 0.22732 0 0 0 GNSS g049 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
102.31800 38.70500 3.08318 0.72180 0.72572 0.37351 0.31662 0.41069 0 0 0 GNSS g134 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
102.31700 37.95800 4.64286 1.30980 0.09520 0.38056 0.36137 0.59347 0 0 0 GNSS g064 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
102.15100 38.43000 4.11691 1.72692 -0.21947 0.39146 0.35015 0.54963 0 0 0 GNSS g057 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
101.74400 38.30100 3.98318 1.51638 0.69044 0.41304 0.34350 0.54493 0 0 0 GNSS g058 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
101.61300 34.71600 10.16749 3.43734 -0.11709 0.58572 0.60787 0.46899 0 0 0 GNSS j001 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
101.35300 38.15700 4.36626 1.72382 0.08034 0.37817 0.32360 0.44684 0 0 0 GNSS g055 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
101.14200 38.92900 2.67907 1.39171 -0.23913 0.46358 0.34585 0.81745 0 0 0 GNSS g141 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
100.26900 36.61800 8.49439 3.62202 -1.25573 0.38104 0.45822 0.58452 0 0 0 GNSS g090 diao19(diao19)_hao19(hao19)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
86.17158 37.58719 1.35962 12.65804 0.31500 0.67714 0.61088 0.59374 0 0 0 GNSS at15_i408 dehuawang24(dehuawang24)_dzwang20(dzwang20)_dzwang20(zheng17)_dzwang24(dzwang24)_li18(li18)_li18(wang17)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao23_vert(zhao23_vert)_zheng17(zheng17)
78.03688 39.71398 -0.50305 17.64284 -0.55719 0.67737 0.58632 0.45000 0 0 0 GNSS i075_kala dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_li22(li22)_pan19(pan19)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
74.95100 38.66200 -5.32588 20.51311 2.19138 0.62003 0.71545 0.29000 0 0 0 GNSS bulu_i090 dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_pan19(pan19)_rui19(Zubovich_Tectonics_2010)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
105.61900 36.51100 6.58629 -0.40029 0.16919 0.43873 0.66489 1.21345 0 0 0 GNSS g012 dzwang24(dzwang24)_hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_rui19(rui19)_wang17(wang17)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
102.12600 34.00000 11.30709 1.06761 0.56000 0.51788 0.50736 1.02000 0 0 0 GNSS h018 hao19(hao19)_hao21(hao21)_hao24(hao24)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_wu24_2(wu24_2)_xiong21(xiong21)_zheng17(zheng17)
