lon lat veast_eu vnorth_eu seast snorth covassumed0 types names studies
79.03528 40.50338 0.79398 14.76748 0.64293 0.60712 0 GNSS i073_kalp dzwang20(dzwang20)_dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_li22(li22)_pan19(pan19)_rui19(Zubovich_Tectonics_2010)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
76.51240 39.80626 0.92435 15.34988 1.22824 1.15151 0 GNSS i077_sugu dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_li22(li22)_pan19(pan19)_rui19(Zubovich_Tectonics_2010)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)_zhou16(Zubovich_Tectonics_2010)
76.73425 39.49699 0.09192 17.76740 1.05126 0.64737 0 GNSS i079_jias dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_li22(li22)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)_zhou16(Zubovich_Tectonics_2010)
78.54008 39.77649 0.06487 17.30143 0.93735 0.76432 0 GNSS bach_i076 dzwang20(dzwang20)_dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_hao19(hao19)_li18(wang17)_li22(li22)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
105.79400 35.07900 5.97631 -2.56650 0.49248 0.64594 0 GNSS g030 hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
75.92260 39.51662 2.14698 17.21576 0.66970 0.64309 0 GNSS i071_jb48_kshi dzwang20(dzwang20)_dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_hao19(hao19)_li18(wang17)_li22(li22)_rui19(Zubovich_Tectonics_2010)_wang17(wang17)_wangshen20(wangshen20)_zheng17(zheng17)_zhou16(Zubovich_Tectonics_2010)
106.50900 33.91500 5.35104 -1.58771 0.52764 0.58247 0 GNSS h001 gan22(Cmonoc_I)_hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
105.66850 38.81150 3.50692 -0.30650 0.48551 0.38707 0 GNSS d092_jb09_nmaz hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
104.48000 34.85000 7.92140 0.74270 0.71195 0.91691 0 GNSS g119 hao19(hao19)_hao21(hao21)_li17(li17)_li18(wang17)_li21(li21)_pan20(pan20)_wang17(wang17)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
106.15500 33.34000 5.74234 -2.55800 0.70314 0.66809 0 GNSS h007 gan22(Cmonoc_I)_hao19(hao19)_hao21(hao21)_li18(wang17)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
105.22600 32.57100 5.92394 -2.06069 0.62411 0.71864 0 GNSS h010 gan22(Cmonoc_I)_hao19(hao19)_hao21(hao21)_li18(wang17)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
101.05760 41.96100 2.76082 0.60088 0.35616 0.35863 0 GNSS g040_nmej hao19(hao19)_hao21(hao21)_hao24(hao24)_li18(wang17)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
105.45700 32.01800 6.01743 -2.15361 0.53491 0.72491 0 GNSS h012 gan22(Cmonoc_I)_hao19(hao19)_hao21(hao21)_li18(wang17)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
105.28500 33.78100 6.25183 -2.20578 0.48002 0.62420 0 GNSS h006 gan22(Cmonoc_I)_hao19(hao19)_hao21(hao21)_li18(wang17)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
106.02300 32.96200 5.98436 -2.79421 0.54792 0.57192 0 GNSS h009 gan22(Cmonoc_I)_hao19(hao19)_hao21(hao21)_li18(wang17)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
93.00300 39.28700 2.95153 6.23617 0.63208 0.51454 0 GNSS g165 dzwang20(dzwang20)_dzwang24(dzwang24)_hao19(hao19)_li18(wang17)_pan19(pan19)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
