lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87876 49.14428 0.00682 0.15021 0.24527 0.05263 0.18941 0.28616 0 0 0 wtzr GNSS
12.34494 45.43580 -0.05159 1.81036 -1.21664 0.16178 0.10197 0.34902 0 0 0 ven1 GNSS
91.10400 29.65733 17.61179 18.68720 0.95481 0.11441 0.30748 0.15799 0 0 0 lhas GNSS
50.60814 26.20914 3.51775 21.72062 -0.47273 0.20109 0.16311 0.45150 0 0 0 bahr GNSS
80.95576 26.91221 8.32650 34.69700 -2.23907 0.24285 0.72200 0.33938 0 0 0 lcki GNSS
7.46510 46.87710 0.00728 0.39545 0.76389 0.05094 0.13379 0.21048 0 0 0 zimm GNSS
1.48122 43.55962 0.07455 0.17417 -0.31302 0.06619 0.07019 0.40033 0 0 0 toul GNSS
66.88550 39.13471 -0.81935 1.34458 -1.12388 0.22130 0.19769 0.41831 0 0 0 kit3 GNSS
74.69427 42.67977 -1.19600 2.93006 1.07244 0.19029 0.23983 0.43840 0 0 0 pol2 GNSS
16.70450 40.64910 0.80112 4.37538 0.44242 0.07845 0.05286 0.16510 0 0 0 mate GNSS
11.27967 48.08604 0.03249 0.24657 -0.02805 0.11482 0.16357 0.27770 0 0 0 ober GNSS
88.17303 39.02316 1.14132 8.99885 -0.96410 0.31764 0.31028 0.50447 0 0 0 xjrq GNSS
101.40171 37.46792 8.08939 2.30986 0.24785 0.49777 0.16935 0.32055 0 0 0 qhme GNSS
15.49348 47.06710 0.51349 0.66541 -0.13454 0.06867 0.09669 0.58219 0 0 0 graz GNSS
23.93252 38.07856 -16.21848 -25.45757 0.05288 0.21548 0.24962 0.36505 0 0 0 dion GNSS
4.38757 51.98609 -0.19122 -0.26116 -0.46839 0.07066 0.06653 0.31601 0 0 0 delf GNSS
11.89218 45.41114 -0.03421 1.60199 -0.55679 0.04747 0.26443 0.26621 0 0 0 pado GNSS
77.01690 43.17873 -0.49877 3.08638 0.47121 0.17885 0.35520 0.25881 0 0 0 sele GNSS
0.33591 50.86734 -0.21930 0.19273 -0.09671 0.04630 0.03587 0.35479 0 0 0 hers GNSS
11.12196 42.42803 -0.91742 0.65175 -0.23158 0.10866 0.15771 0.37271 0 0 0 maon GNSS
12.10744 42.41996 -1.36424 0.81503 0.81738 0.20582 0.22999 0.60852 0 0 0 virb GNSS
100.23631 38.18434 5.00992 2.24069 0.73048 0.40041 0.24847 0.63846 0 0 0 qhql GNSS
29.01934 41.10445 -0.80816 -1.30007 -0.04673 0.17207 0.23208 0.22220 0 0 0 ista GNSS
5.35678 43.27846 -0.13802 0.08727 -0.52248 0.11872 0.05872 0.26869 0 0 0 mars GNSS
14.78561 49.91370 -0.26986 0.02734 0.20604 0.03856 0.03760 0.29250 0 0 0 gop6 GNSS
8.61633 44.92313 -0.10610 0.36072 -0.35141 0.07968 0.09410 0.30697 0 0 0 ale0 GNSS
9.11095 39.22899 -0.21402 0.37717 -0.44871 0.03709 0.17765 0.30695 0 0 0 cag1 GNSS
32.75848 39.88736 -23.31984 -1.26428 -1.04979 0.33922 0.17843 0.39580 0 0 0 ankr GNSS
33.39645 35.14099 -6.56432 3.40223 0.13384 0.04583 0.20003 0.15027 0 0 0 nico GNSS
34.76314 30.59760 -2.82045 7.67534 0.92934 0.08300 0.12052 0.16297 0 0 0 ramo GNSS
8.40890 49.01065 0.07088 0.13629 -0.12426 0.04523 0.04814 0.17598 0 0 0 karl GNSS
11.35546 44.50252 0.88325 3.44971 -1.02142 0.44114 0.45130 0.52831 0 0 0 blgn GNSS
13.78816 45.66054 -0.21798 2.47730 -0.20042 0.20358 0.03429 0.20267 0 0 0 rtri GNSS
102.79732 25.02961 4.40744 -12.19615 -0.29911 0.59219 0.50234 0.38781 0 0 0 kunm GNSS
14.98979 36.87586 -1.72632 4.65636 -0.72991 0.05873 0.06455 0.16956 0 0 0 not1 GNSS
29.45069 40.78672 -5.02736 -1.35199 -0.80074 0.23712 0.17429 0.16009 0 0 0 tubi GNSS
4.35913 50.79785 -0.30189 0.02991 0.38961 0.09113 0.04923 0.14535 0 0 0 brus GNSS
8.97275 39.13590 -0.18121 0.34359 -0.30810 0.04845 0.03129 0.13823 0 0 0 cagl GNSS
6.92061 43.75471 -0.00800 0.19855 0.12156 0.05361 0.04968 0.08715 0 0 0 gras GNSS
17.27388 48.37270 0.14823 0.27806 0.19841 0.05341 0.04929 0.27433 0 0 0 mopi GNSS
87.60067 43.80795 2.19491 7.64705 0.63846 0.22699 0.34052 0.28159 0 0 0 urum GNSS
115.89249 39.60860 3.36443 -1.21677 1.50693 0.21626 0.19372 0.53938 0 0 0 bjfs GNSS
79.03528 40.50338 0.83880 14.81224 -0.57806 0.20639 0.13081 0.71715 0 0 0 i073 GNSS
75.25018 39.71807 -0.98268 12.73407 -0.99859 0.47838 0.41511 0.28201 0 0 0 i078 GNSS
76.17408 38.93539 -0.39436 20.12141 -3.26912 0.46414 0.50566 0.46439 0 0 0 i083 GNSS
104.81680 33.42300 7.11336 -2.00982 -1.07873 0.31940 0.53528 0.14869 0 0 0 gswd GNSS
103.17731 26.10730 6.32915 -6.94826 1.13376 0.23994 0.35535 0.57768 0 0 0 yndc GNSS
74.75110 42.99850 -1.16263 0.97012 0.38788 0.24177 0.21153 0.31768 0 0 0 chum GNSS
82.97693 41.72344 2.70987 11.34521 -1.44206 0.34520 0.26632 0.20225 0 0 0 xjkc GNSS
26.12574 44.46394 -0.64268 -1.04474 2.27805 0.16842 0.11852 0.36066 0 0 0 bucu GNSS
11.64680 44.52000 1.11973 2.47282 -1.44530 0.26297 0.12886 0.15375 0 0 0 medi GNSS
30.49673 50.36418 -0.94183 -0.06979 0.17572 0.03955 0.11536 0.10869 0 0 0 glsv GNSS
26.68849 39.31142 -19.97946 -12.16559 0.19750 0.26390 0.25200 0.95271 0 0 0 ayka GNSS
7.82646 44.39040 0.33303 0.18068 0.48348 0.12630 0.33369 0.27631 0 0 0 moge GNSS
11.00050 45.44313 0.09938 0.91064 -0.64241 0.15435 0.28128 0.38927 0 0 0 vero GNSS
105.80207 35.96258 6.76892 -3.34884 0.92627 0.19083 0.29857 0.66949 0 0 0 g018 GNSS
116.22544 40.25027 2.58370 -1.84285 0.09854 0.11066 0.12655 0.93110 0 0 0 bjsh GNSS
74.42703 39.02497 -5.06377 18.79962 2.21594 0.27517 0.29517 0.54111 0 0 0 i399 GNSS
101.67503 39.20987 3.07566 0.55579 0.24215 0.27603 0.50860 0.22348 0 0 0 nmay GNSS
101.74505 26.50322 7.13984 -12.50198 -0.34464 0.25748 0.31251 0.49924 0 0 0 scpz GNSS
99.70568 27.82776 6.24141 -14.10244 0.34765 0.35122 0.22257 0.95641 0 0 0 ynzd GNSS
83.25692 43.39772 1.52996 7.84053 1.24602 0.21625 0.15637 0.31861 0 0 0 xjxy GNSS
84.98430 27.16486 9.69465 36.66333 0.12111 0.38962 0.34047 0.98165 0 0 0 simr GNSS
81.80873 29.96916 3.99233 22.50848 3.63647 0.33707 0.37947 1.10898 0 0 0 smkt GNSS
23.39471 42.55610 0.29564 -2.07418 -0.02389 0.16096 0.17895 0.51583 0 0 0 sofi GNSS
20.43975 41.68480 -0.48360 -2.01819 0.60977 0.17996 0.20940 0.74847 0 0 0 pesh GNSS
86.18953 41.79194 2.39115 9.90006 0.82117 0.19731 0.23860 0.21197 0 0 0 jb45 GNSS
9.78469 47.51531 0.09256 0.43277 0.77897 0.11171 0.06277 0.24422 0 0 0 pfa2 GNSS
29.61693 41.17812 -0.41183 -1.61880 -0.86375 0.44600 0.40385 1.39949 0 0 0 silc GNSS
11.60081 44.82907 0.29392 2.28539 -0.91663 0.06814 0.16294 0.42831 0 0 0 fer0 GNSS
11.71566 44.35046 1.02596 3.37321 -0.43050 0.13073 0.24234 0.54381 0 0 0 imol GNSS
9.68980 45.04320 0.08891 1.16572 -0.29512 0.03821 0.11601 0.37194 0 0 0 pia1 GNSS
13.25300 46.03748 -0.49918 2.20346 -0.41520 0.03962 0.09481 0.70765 0 0 0 udi1 GNSS
99.81338 39.40992 2.55157 1.65012 0.56231 0.45754 0.22433 0.30523 0 0 0 g140 GNSS
76.73425 39.49698 0.41362 17.70590 -4.62374 0.37166 0.26857 0.83794 0 0 0 i079 GNSS
92.43782 34.20943 20.97782 10.66096 -0.01593 0.34076 0.24547 0.83742 0 0 0 qhtt GNSS
100.00905 31.61658 18.41488 -4.30082 -0.18307 0.66098 0.46132 0.59099 0 0 0 scgz GNSS
101.51364 27.42262 9.08833 -12.26468 0.80801 0.41402 0.30404 0.65198 0 0 0 scyy GNSS
101.04949 22.74063 0.89328 -7.15336 -1.77140 0.24323 0.39118 0.75745 0 0 0 ynsm GNSS
75.23395 37.77499 -3.68391 21.49933 -0.27393 0.26530 0.28840 0.49567 0 0 0 tash GNSS
90.25606 42.89328 3.37447 6.84056 -0.61300 0.11273 0.28435 0.06938 0 0 0 xjss GNSS
82.87543 46.82384 0.09012 2.27292 0.49710 0.37641 0.19876 0.35226 0 0 0 i037 GNSS
77.62493 38.90400 -1.14566 18.61693 -0.33414 0.16943 0.27821 0.84614 0 0 0 i082 GNSS
82.49191 27.95082 8.53506 34.56571 0.13655 0.13591 0.23821 1.01699 0 0 0 grhi GNSS
23.03360 38.75510 -10.17270 -19.11129 -0.20771 0.27904 0.21972 1.37241 0 0 0 ark2 GNSS
20.79405 41.12731 0.61355 -2.61524 0.45574 0.14117 0.18256 0.36101 0 0 0 orid GNSS
20.67360 38.78130 -3.02935 -10.24959 -0.48989 0.42207 0.37610 0.47438 0 0 0 span GNSS
23.31789 38.31654 -15.38658 -22.28147 1.52273 0.17116 0.42952 1.59195 0 0 0 thiv GNSS
41.56508 43.78839 -0.67685 0.99870 1.45651 0.15314 0.22416 0.25930 0 0 0 zeck GNSS
28.98740 40.86756 -3.92722 -0.15433 1.57087 0.37896 0.41026 0.76508 0 0 0 ysst GNSS
34.54293 49.60261 -1.75899 0.30520 -0.09024 0.02163 0.08929 0.14341 0 0 0 polv GNSS
76.51240 39.80626 1.16558 15.03567 -0.80000 0.62536 0.56399 0.50000 0 0 0 i077 GNSS
