lon lat veast_eu vnorth_eu seast snorth covassumed0 name type
106.68377 37.45085 31.80136 -9.18576 0.34649 0.21793 0 d098 GNSS
35.62970 32.98119 22.81523 22.07504 0.11842 0.22818 0 kn08 GNSS
77.60214 34.12857 26.40889 20.76559 0.79113 0.29170 0 rscl GNSS
106.50900 33.91500 33.44039 -8.71234 0.30081 0.26216 0 h001 GNSS
106.35300 37.81100 31.92057 -8.89937 0.26861 0.36435 0 d096 GNSS
105.98500 36.27900 34.41834 -7.97021 0.23277 0.33266 0 g013 GNSS
105.29400 36.50400 36.61525 -8.37256 0.17343 0.29990 0 g014 GNSS
106.58100 35.45800 33.86877 -9.79389 0.22856 0.31599 0 g024 GNSS
105.79400 35.07900 34.13942 -9.55975 0.25082 0.27314 0 g030 GNSS
106.40100 34.51600 33.65371 -10.16755 0.30444 0.32847 0 g036 GNSS
104.10400 35.03800 36.05908 -6.64307 0.48532 0.23574 0 g114 GNSS
104.54200 35.04600 35.89450 -7.03839 0.33232 0.22453 0 g116 GNSS
104.94000 34.71400 35.32004 -8.44909 0.48711 0.36705 0 g120 GNSS
104.91500 34.46700 35.50480 -8.10152 0.32241 0.22850 0 g121 GNSS
106.15500 33.34000 33.89336 -9.61948 0.31457 0.23855 0 h007 GNSS
105.22600 32.57100 34.17968 -8.85521 0.38483 0.25406 0 h010 GNSS
100.93600 37.96700 32.87691 -3.50392 0.32852 0.24514 0 g065 GNSS
100.16200 37.31500 36.42243 -2.42455 0.26046 0.16244 0 g075 GNSS
104.48000 34.85000 36.12663 -6.10049 0.37623 0.52517 0 g119 GNSS
106.56000 34.73279 34.50776 -9.22542 0.23017 0.28764 0 g362 GNSS
84.24523 41.78033 30.89882 11.25479 0.30881 0.42700 0 i056 GNSS
85.53800 38.08100 27.73792 10.19691 0.48523 0.39927 0 jb46 GNSS
102.99100 33.57100 39.37391 -6.99959 0.28556 0.29649 0 h026 GNSS
104.57100 32.40500 34.53842 -8.84417 0.41577 0.26013 0 h032 GNSS
99.53567 25.46350 26.97471 -16.03273 0.77455 0.97117 0 h205 GNSS
106.81400 39.68000 31.04288 -9.34170 0.31061 0.28647 0 d084 GNSS
104.50500 40.73900 30.36185 -6.86937 0.18624 0.23960 0 g042 GNSS
103.61300 32.59100 36.38455 -8.77541 0.30907 0.24806 0 h030 GNSS
29.92893 40.42473 5.29876 10.19935 1.34955 0.67529 0 iuck GNSS
42.45743 37.52791 19.43661 25.76191 0.57501 0.65086 0 srnk GNSS
103.00357 29.97543 35.72638 -10.23269 0.31208 0.31727 0 h065 GNSS
35.60805 32.97425 22.68453 21.36702 0.10347 0.29923 0 kn02 GNSS
109.97375 41.76469 29.48288 -9.29366 0.29991 0.30182 0 d040 GNSS
115.67350 37.69664 31.89189 -11.17899 0.32542 0.59826 0 c011 GNSS
106.44300 38.88800 31.49390 -7.65830 0.34848 0.44464 0 d367 GNSS
105.19900 35.21500 35.15385 -8.15459 0.59826 0.38071 0 g357 GNSS
77.19200 32.31700 27.18306 25.49125 0.51580 2.14874 0 kot1 GNSS
109.22149 34.36867 33.63738 -10.70564 0.47871 0.59753 0 xian GNSS
95.80100 40.51400 29.94454 -0.99472 0.43881 0.31838 0 jb28 GNSS
