lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87869 49.14430 -0.01136 0.12724 0.21540 0.06644 0.08264 0.29637 0 0 0 wtzr GNSS
12.34494 45.43580 -0.05682 1.80330 -1.21664 0.17150 0.16641 0.53636 0 0 0 ven1 GNSS
91.10400 29.65733 17.55798 18.75570 0.91710 0.28439 0.28868 0.34031 0 0 0 lhas GNSS
50.60814 26.20914 3.51189 21.72088 -0.47273 0.23505 0.24601 0.37007 0 0 0 bahr GNSS
80.95576 26.91221 8.32523 34.69574 -2.23907 0.44926 0.33685 0.62294 0 0 0 lcki GNSS
66.88550 39.13471 -0.80438 1.30923 -1.03753 0.38883 0.34845 0.66622 0 0 0 kit3 GNSS
7.46510 46.87710 0.00347 0.38866 0.76389 0.08742 0.09215 0.20224 0 0 0 zimm GNSS
1.48122 43.55962 0.06947 0.16787 -0.31302 0.08373 0.08514 0.24986 0 0 0 toul GNSS
74.69427 42.67977 -1.19856 2.91141 0.85990 0.26270 0.24955 0.78194 0 0 0 pol2 GNSS
16.70450 40.64910 0.79636 4.36480 0.44242 0.10645 0.09384 0.17704 0 0 0 mate GNSS
11.27967 48.08604 0.02739 0.23968 -0.02805 0.09483 0.10106 0.46636 0 0 0 ober GNSS
88.17303 39.02316 1.14142 8.99017 -0.96410 0.52017 0.39579 0.57474 0 0 0 xjrq GNSS
101.40171 37.46792 8.08971 2.31139 0.24785 0.27763 0.17215 0.25833 0 0 0 qhme GNSS
15.49348 47.06710 0.50918 0.65971 -0.13454 0.10683 0.13629 0.37099 0 0 0 graz GNSS
23.93248 38.07856 -16.33720 -25.48449 0.17200 0.28723 0.21819 0.50696 0 0 0 dion GNSS
4.38757 51.98609 -0.19433 -0.26714 -0.46839 0.10988 0.12531 0.22888 0 0 0 delf GNSS
11.89187 45.41101 -0.06359 1.65329 -0.65734 0.10962 0.24997 0.49566 0 0 0 pado GNSS
77.01690 43.17873 -0.63726 3.23948 0.47121 0.27025 0.44377 0.25878 0 0 0 sele GNSS
0.33591 50.86734 -0.22258 0.18691 -0.09671 0.08025 0.07273 0.23110 0 0 0 hers GNSS
11.12196 42.42803 -0.92274 0.64462 -0.23158 0.17301 0.13689 0.48548 0 0 0 maon GNSS
12.10744 42.41996 -1.36943 0.80871 0.81738 0.29818 0.29948 0.63637 0 0 0 virb GNSS
100.23631 38.18434 5.00949 2.24169 0.73048 0.31095 0.19837 0.80692 0 0 0 qhql GNSS
29.01934 41.10445 -0.80462 -1.32072 -0.04673 0.30112 0.26222 0.27172 0 0 0 ista GNSS
14.78561 49.91370 -0.28527 0.00819 0.20604 0.07620 0.06869 0.35184 0 0 0 gope GNSS
5.35678 43.27846 -0.14289 0.07995 -0.52248 0.09299 0.08831 0.23574 0 0 0 mars GNSS
8.61633 44.92313 -0.16505 0.45425 -0.32154 0.16017 0.20245 0.54804 0 0 0 ale0 GNSS
9.11116 39.22927 -0.20619 0.38388 -0.43772 0.08687 0.09488 0.22452 0 0 0 cag1 GNSS
32.75848 39.88736 -23.25748 -1.21710 -1.04979 0.52953 0.35357 0.20648 0 0 0 ankr GNSS
33.39645 35.14099 -6.53673 3.42219 0.03878 0.12397 0.14697 0.44027 0 0 0 nico GNSS
34.76314 30.59760 -2.82817 7.67176 0.92934 0.10413 0.09863 0.22431 0 0 0 ramo GNSS
8.40904 49.01068 0.05731 0.11654 -0.13362 0.08344 0.08009 0.21551 0 0 0 karl GNSS
