lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87869 49.14430 -0.01080 0.12790 0.21540 0.06646 0.08267 0.29649 0 0 0 wtzr GNSS
12.34494 45.43580 -0.05462 1.80420 -1.21664 0.17144 0.16640 0.53622 0 0 0 ven1 GNSS
91.10400 29.65733 17.55907 18.75760 0.91710 0.28364 0.28894 0.34057 0 0 0 lhas GNSS
50.60814 26.20914 3.51611 21.71760 -0.47273 0.23468 0.24593 0.37025 0 0 0 bahr GNSS
80.95576 26.91221 8.32784 34.69721 -2.23907 0.44919 0.33690 0.62310 0 0 0 lcki GNSS
66.88550 39.13471 -0.80255 1.30949 -1.03753 0.38886 0.34867 0.66631 0 0 0 kit3 GNSS
7.46510 46.87710 0.00560 0.38928 0.76389 0.08731 0.09225 0.20221 0 0 0 zimm GNSS
1.48122 43.55962 0.07171 0.16852 -0.31302 0.08377 0.08522 0.24987 0 0 0 toul GNSS
74.69427 42.67977 -1.19697 2.91181 0.85990 0.26272 0.24943 0.78160 0 0 0 pol2 GNSS
16.70450 40.64910 0.79851 4.36540 0.44242 0.10655 0.09389 0.17706 0 0 0 mate GNSS
11.27967 48.08604 0.02937 0.24055 -0.02805 0.09482 0.10111 0.46625 0 0 0 ober GNSS
88.17303 39.02316 1.13954 8.99308 -0.96410 0.52012 0.39639 0.57461 0 0 0 xjrq GNSS
101.40171 37.46792 8.08994 2.31595 0.24785 0.27765 0.17212 0.25860 0 0 0 qhme GNSS
15.49348 47.06710 0.51144 0.66036 -0.13454 0.10664 0.13605 0.37105 0 0 0 graz GNSS
23.93248 38.07856 -16.33485 -25.48336 0.17200 0.28729 0.21823 0.50692 0 0 0 dion GNSS
4.38757 51.98609 -0.19273 -0.26634 -0.46839 0.10996 0.12539 0.22882 0 0 0 delf GNSS
11.89187 45.41101 -0.06154 1.65420 -0.65734 0.10969 0.25015 0.49565 0 0 0 pado GNSS
77.01690 43.17873 -0.63756 3.24005 0.47121 0.27108 0.44409 0.25869 0 0 0 sele GNSS
0.33591 50.86734 -0.22104 0.18765 -0.09671 0.08036 0.07271 0.23108 0 0 0 hers GNSS
11.12196 42.42803 -0.92049 0.64550 -0.23158 0.17301 0.13693 0.48531 0 0 0 maon GNSS
12.10744 42.41996 -1.36722 0.80952 0.81738 0.29816 0.29966 0.63623 0 0 0 virb GNSS
100.23631 38.18434 5.00910 2.24506 0.73048 0.31110 0.19768 0.80671 0 0 0 qhql GNSS
29.01934 41.10445 -0.80364 -1.31961 -0.04673 0.30145 0.26238 0.27175 0 0 0 ista GNSS
14.78561 49.91370 -0.28352 0.00871 0.20604 0.07624 0.06866 0.35182 0 0 0 gope GNSS
5.35678 43.27846 -0.14077 0.08078 -0.52248 0.09302 0.08830 0.23573 0 0 0 mars GNSS
8.61633 44.92313 -0.16307 0.45511 -0.32154 0.16011 0.20263 0.54794 0 0 0 ale0 GNSS
9.11116 39.22927 -0.20404 0.38462 -0.43772 0.08686 0.09486 0.22458 0 0 0 cag1 GNSS
32.75848 39.88736 -23.25546 -1.21533 -1.04979 0.53001 0.35366 0.20638 0 0 0 ankr GNSS
33.39645 35.14099 -6.53523 3.42292 0.03878 0.12325 0.14700 0.44060 0 0 0 nico GNSS
34.76314 30.59760 -2.82489 7.67291 0.92934 0.10386 0.09852 0.22445 0 0 0 ramo GNSS
8.40904 49.01068 0.05935 0.11736 -0.13362 0.08346 0.08005 0.21551 0 0 0 karl GNSS
11.35546 44.50252 0.87982 3.44233 -1.02142 0.30448 0.36347 0.90946 0 0 0 blgn GNSS
13.78816 45.66054 -0.22137 2.47059 -0.20042 0.14363 0.06574 0.31089 0 0 0 rtri GNSS
102.79732 25.02961 4.40677 -12.18721 -0.29911 0.91530 0.71040 0.44555 0 0 0 kunm GNSS
14.98979 36.87586 -1.72902 4.64988 -0.72991 0.11097 0.09586 0.15971 0 0 0 not1 GNSS
29.45069 40.78672 -5.02833 -1.35945 -0.80074 0.39235 0.22307 0.23542 0 0 0 tubi GNSS
4.35913 50.79785 -0.30439 0.02391 0.38961 0.11882 0.08056 0.20280 0 0 0 brus GNSS
8.97275 39.13590 -0.18430 0.33743 -0.30810 0.08204 0.04503 0.18270 0 0 0 cagl GNSS
