lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87869 49.14430 20.31786 15.56216 0.21540 0.06646 0.08267 0.29649 0 0 0 wtzr GNSS
12.34494 45.43580 21.02780 17.29566 -1.21664 0.17144 0.16640 0.53622 0 0 0 ven1 GNSS
91.10400 29.65733 46.35723 15.82552 0.91710 0.28364 0.28894 0.34057 0 0 0 lhas GNSS
50.60814 26.20914 31.22419 30.12315 -0.47273 0.23468 0.24593 0.37025 0 0 0 bahr GNSS
80.95576 26.91221 37.08984 34.69660 -2.23907 0.44919 0.33690 0.62310 0 0 0 lcki GNSS
66.88550 39.13471 27.86960 5.35369 -1.03753 0.38886 0.34867 0.66631 0 0 0 kit3 GNSS
7.46510 46.87710 19.78841 16.34081 0.76389 0.08731 0.09225 0.20221 0 0 0 zimm GNSS
1.48122 43.55962 19.47712 16.52607 -0.31302 0.08377 0.08522 0.24987 0 0 0 toul GNSS
74.69427 42.67977 27.54081 4.72580 0.85990 0.26272 0.24943 0.78160 0 0 0 pol2 GNSS
16.70450 40.64910 23.61479 19.35076 0.44242 0.10655 0.09389 0.17706 0 0 0 mate GNSS
11.27967 48.08604 20.28992 15.84215 -0.02805 0.09482 0.10111 0.46625 0 0 0 ober GNSS
88.17303 39.02316 30.04655 6.90225 -0.96410 0.52012 0.39639 0.57461 0 0 0 xjrq GNSS
101.40171 37.46792 36.48760 -3.49654 0.24785 0.27765 0.17212 0.25860 0 0 0 qhme GNSS
15.49348 47.06710 21.83961 15.79515 -0.13454 0.10664 0.13605 0.37105 0 0 0 graz GNSS
23.93248 38.07856 8.02727 -11.52654 0.17200 0.28729 0.21823 0.50692 0 0 0 dion GNSS
4.38757 51.98609 17.57706 15.91604 -0.46839 0.10996 0.12539 0.22882 0 0 0 delf GNSS
11.89187 45.41101 20.93927 17.19317 -0.65734 0.10969 0.25015 0.49565 0 0 0 pado GNSS
77.01690 43.17873 28.10609 4.38231 0.47121 0.27108 0.44409 0.25869 0 0 0 sele GNSS
0.33591 50.86734 16.97265 16.60270 -0.09671 0.08036 0.07271 0.23108 0 0 0 hers GNSS
11.12196 42.42803 20.57296 16.26296 -0.23158 0.17301 0.13693 0.48531 0 0 0 maon GNSS
12.10744 42.41996 20.30785 16.32601 0.81738 0.29816 0.29966 0.63623 0 0 0 virb GNSS
100.23631 38.18434 33.45005 -3.24917 0.73048 0.31110 0.19768 0.80671 0 0 0 qhql GNSS
29.01934 41.10445 23.91716 11.77925 -0.04673 0.30145 0.26238 0.27175 0 0 0 ista GNSS
14.78561 49.91370 20.24585 15.22771 0.20604 0.07624 0.06866 0.35182 0 0 0 gope GNSS
5.35678 43.27846 20.08431 16.19546 -0.52248 0.09302 0.08830 0.23573 0 0 0 mars GNSS
8.61633 44.92313 20.31360 16.30841 -0.32154 0.16011 0.20263 0.54794 0 0 0 ale0 GNSS
9.11116 39.22927 21.56451 16.19374 -0.43772 0.08686 0.09486 0.22458 0 0 0 cag1 GNSS
32.75848 39.88736 2.15802 11.18667 -1.04979 0.53001 0.35366 0.20638 0 0 0 ankr GNSS
33.39645 35.14099 19.42215 15.70067 0.03878 0.12325 0.14700 0.44060 0 0 0 nico GNSS
34.76314 30.59760 23.54947 19.67938 0.92934 0.10386 0.09852 0.22445 0 0 0 ramo GNSS
8.40904 49.01068 19.50085 15.98882 -0.13362 0.08346 0.08005 0.21551 0 0 0 karl GNSS
11.35546 44.50252 21.97787 19.03628 -1.02142 0.30448 0.36347 0.90946 0 0 0 blgn GNSS
13.78816 45.66054 21.08806 17.80430 -0.20042 0.14363 0.06574 0.31089 0 0 0 rtri GNSS
102.79732 25.02961 32.51561 -18.37768 -0.29911 0.91530 0.71040 0.44555 0 0 0 kunm GNSS
14.98979 36.87586 21.42248 19.84483 -0.72991 0.11097 0.09586 0.15971 0 0 0 not1 GNSS
29.45069 40.78672 19.79955 11.66181 -0.80074 0.39235 0.22307 0.23542 0 0 0 tubi GNSS
4.35913 50.79785 17.79449 16.20821 0.38961 0.11882 0.08056 0.20280 0 0 0 brus GNSS
8.97275 39.13590 21.57807 16.15903 -0.30810 0.08204 0.04503 0.18270 0 0 0 cagl GNSS
6.92061 43.75471 20.40608 16.18777 0.12156 0.06703 0.04953 0.13999 0 0 0 gras GNSS
17.27388 48.37270 21.52715 15.18472 0.19841 0.09446 0.08234 0.45916 0 0 0 mopi GNSS
87.60067 43.80795 30.93362 5.76029 0.82943 0.34604 0.52668 0.58929 0 0 0 urum GNSS
115.89249 39.60860 30.49086 -10.80935 1.31798 0.33812 0.31655 0.96329 0 0 0 bjfs GNSS
79.03528 40.50338 29.76196 15.36037 -0.57806 0.39213 0.26800 0.72008 0 0 0 i073 GNSS
75.25018 39.71807 27.92685 14.39717 -0.99859 0.22646 0.23746 0.26844 0 0 0 i078 GNSS
76.17408 38.93539 28.55416 21.49916 -3.26912 0.42646 0.26543 0.25768 0 0 0 i083 GNSS
104.81680 33.42300 35.38353 -8.73507 -1.07873 0.45217 0.34723 0.18400 0 0 0 gswd GNSS
103.17731 26.10730 34.50330 -13.23503 1.13376 0.24987 0.44252 0.72852 0 0 0 yndc GNSS
74.75110 42.99850 27.52940 2.67615 -0.06714 0.34104 0.21073 1.18850 0 0 0 chum GNSS
82.97693 41.72344 31.57686 10.76519 -1.44206 0.55640 0.43434 0.27296 0 0 0 xjkc GNSS
26.12574 44.46394 23.06375 12.54834 2.27805 0.20068 0.14775 0.42539 0 0 0 bucu GNSS
11.64680 44.52000 22.26653 18.03047 -1.44530 0.13612 0.15044 0.25315 0 0 0 medi GNSS
30.49673 50.36418 22.45009 12.75472 0.17572 0.07913 0.17581 0.17926 0 0 0 glsv GNSS
26.68849 39.31142 4.63474 1.31807 0.19750 0.24586 0.19985 1.26950 0 0 0 ayka GNSS
7.82646 44.39040 20.77548 16.09592 0.48348 0.08654 0.16106 0.46914 0 0 0 moge GNSS
11.00050 45.44313 20.91757 16.53463 -0.64241 0.13555 0.21912 0.63998 0 0 0 vero GNSS
105.80207 35.96258 34.91670 -10.34557 0.92627 0.38822 0.47914 0.56374 0 0 0 g018 GNSS
116.22556 40.25021 29.54088 -11.46050 0.09854 0.15555 0.20092 1.17888 0 0 0 bjsh GNSS
74.42703 39.02497 23.85098 20.72102 2.21594 0.45928 0.30814 0.60060 0 0 0 i399 GNSS
101.67503 39.20987 31.37994 -5.32648 0.24215 0.49855 0.32818 0.20472 0 0 0 nmay GNSS
101.74505 26.50322 35.44977 -18.40368 -0.34464 0.31367 0.35933 0.66683 0 0 0 scpz GNSS
99.70568 27.82776 34.66753 -19.45682 0.34765 0.41185 0.41585 1.29279 0 0 0 ynzd GNSS
83.25692 43.39772 30.27536 7.17726 1.24602 0.35322 0.24885 0.43212 0 0 0 xjxy GNSS
84.98430 27.16486 38.46056 35.49864 0.12111 0.59990 0.47029 1.54874 0 0 0 simr GNSS
81.80873 29.96916 32.93125 22.25990 3.63647 0.44523 0.48376 0.63736 0 0 0 smkt GNSS
23.39471 42.55610 23.92159 11.96306 -0.02389 0.11465 0.12041 0.54320 0 0 0 sofi GNSS
20.43975 41.68480 22.79106 12.46939 0.60977 0.31323 0.24893 0.48595 0 0 0 pesh GNSS
86.18953 41.79194 31.18967 8.37318 0.82117 0.28645 0.29818 0.26286 0 0 0 jb45 GNSS
9.78469 47.51531 20.18657 16.17254 0.77897 0.08047 0.10745 0.32376 0 0 0 pfa2 GNSS
29.61693 41.17812 24.38971 11.35940 -0.86375 0.44703 0.39310 1.27275 0 0 0 silc GNSS
11.60081 44.82907 21.36402 17.84745 -0.91663 0.11006 0.18006 0.44086 0 0 0 fer0 GNSS
11.71566 44.35046 22.22212 18.92435 -0.43050 0.19284 0.28342 0.83470 0 0 0 imol GNSS
