lon lat veast_eu vnorth_eu seast snorth covassumed0 name type
106.68377 37.45085 31.81208 -9.17966 0.17026 0.08018 0 d098 GNSS
35.62970 32.98119 22.82906 22.07867 0.06539 0.15671 0 kn08 GNSS
77.60214 34.12857 26.41154 20.76858 0.52462 0.63975 0 rscl GNSS
106.20380 35.66728 33.87960 -9.81920 0.20157 0.75271 0 g020 GNSS
106.35300 37.81100 31.92045 -8.90534 0.57110 0.20381 0 d096 GNSS
105.98500 36.27900 34.41643 -7.97470 0.20089 0.32895 0 g013 GNSS
105.29400 36.50400 36.61512 -8.37716 0.53626 0.16082 0 g014 GNSS
106.58100 35.45800 33.86725 -9.80013 0.14853 0.24139 0 g024 GNSS
105.79400 35.07900 34.13684 -9.56839 0.21573 0.39118 0 g030 GNSS
106.40100 34.51600 33.65050 -10.17362 0.44221 0.28950 0 g036 GNSS
104.10400 35.03800 36.05630 -6.64678 0.28877 0.37132 0 g114 GNSS
104.54200 35.04600 35.89151 -7.03939 0.31978 0.27130 0 g116 GNSS
104.94000 34.71400 35.31723 -8.45246 0.32670 0.58512 0 g120 GNSS
104.91500 34.46700 35.50227 -8.10671 0.53208 0.15541 0 g121 GNSS
106.15500 33.34000 33.88665 -9.62630 0.22177 0.67982 0 h007 GNSS
105.22600 32.57100 34.16191 -8.86174 0.25577 0.29804 0 h010 GNSS
100.93600 37.96700 32.87722 -3.50636 0.43653 0.14153 0 g065 GNSS
100.16200 37.31500 36.42310 -2.42545 0.24229 0.45904 0 g075 GNSS
104.48000 34.85000 36.12486 -6.10130 0.60245 0.32946 0 g119 GNSS
106.56000 34.73279 34.50508 -9.23188 0.12885 0.39823 0 g362 GNSS
85.53800 38.08100 27.73383 10.19986 0.42308 0.42422 0 jb46 GNSS
102.99100 33.57100 39.36201 -7.00382 0.26451 0.49556 0 h026 GNSS
104.57100 32.40500 34.53174 -8.84891 0.20417 0.48350 0 h032 GNSS
99.53567 25.46350 26.96064 -16.03351 0.82920 0.96176 0 h205 GNSS
106.81400 39.68000 31.04609 -9.34810 0.70805 0.24025 0 d084 GNSS
104.50500 40.73900 30.37847 -6.86941 0.08326 0.16244 0 g042 GNSS
103.61300 32.59100 36.37226 -8.77924 0.18025 0.20679 0 h030 GNSS
29.92893 40.42473 5.30237 10.21699 1.20193 0.43793 0 iuck GNSS
42.45743 37.52791 19.43920 25.77392 0.40865 0.48000 0 srnk GNSS
103.00357 29.97543 35.71339 -10.23675 0.18901 0.44418 0 h065 GNSS
35.60805 32.97425 22.69829 21.37068 0.12062 0.27300 0 kn02 GNSS
109.97375 41.76469 29.48787 -9.30486 0.38259 0.38636 0 d040 GNSS
106.44300 38.88800 31.49410 -7.66488 0.23228 0.66756 0 d367 GNSS
105.19900 35.21500 35.15145 -8.15990 1.71965 0.43953 0 g357 GNSS
77.19200 32.31700 27.17345 25.49538 0.68657 1.50694 0 kot1 GNSS
109.22149 34.36867 33.63326 -10.71043 0.35048 0.86446 0 xian GNSS
95.80100 40.51400 30.11538 -0.91604 0.30224 0.80739 0 jb28 GNSS
77.12591 28.48226 36.16680 34.08091 1.63646 0.50937 0 delh GNSS
84.33400 43.65200 30.93852 5.83063 0.15369 0.62065 0 i045 GNSS
93.62600 42.81000 31.84098 1.04553 0.14300 0.50321 0 jb43 GNSS
78.97336 32.77862 27.89554 19.51277 0.44750 0.27202 0 hanl GNSS
92.73178 23.72356 35.25658 29.40225 0.37547 0.31918 0 aizw GNSS
93.92500 24.74900 30.23431 20.41415 0.45689 0.34518 0 imph GNSS
97.95600 34.40000 47.70982 0.87094 1.11580 0.76923 0 j400 GNSS
99.19600 34.27100 45.02032 -1.15437 0.36501 0.42889 0 j406 GNSS
70.94000 42.78300 26.95006 3.24974 0.87827 1.08917 0 kta4 GNSS
75.08600 43.37900 27.57784 3.26380 0.57767 1.00567 0 kur4 GNSS
41.79286 38.75328 21.10392 22.90538 0.28170 0.55406 0 krkt GNSS
41.05681 38.95880 20.65596 23.67690 0.74876 0.14378 0 solh GNSS
36.33382 41.30850 24.17634 13.89301 0.41260 0.13291 0 sams GNSS
103.46800 29.60200 33.89472 -9.63144 0.55146 0.62694 0 h076 GNSS
102.65500 29.34800 35.59383 -10.04558 0.30703 0.30870 0 h077 GNSS
103.04300 28.84700 34.37429 -10.10882 0.85338 0.54955 0 h086 GNSS
100.09400 25.97900 30.37112 -18.20078 0.67933 0.80089 0 h124 GNSS
102.57700 24.37500 30.42321 -16.49608 0.55958 0.23540 0 h149 GNSS
102.83600 23.22400 33.08056 -11.11977 0.60815 0.56140 0 h166 GNSS
99.29300 27.18000 32.98175 -16.23146 0.91850 0.30440 0 h196 GNSS
98.81500 25.98700 29.67874 -13.76326 0.54714 0.20337 0 h203 GNSS
106.03400 30.80400 33.87491 -9.34920 0.87524 0.15086 0 jb24 GNSS
99.91800 22.55400 27.16518 -9.30957 0.26576 0.85109 0 jb42 GNSS
100.81400 35.24400 39.25833 -0.61004 0.32694 0.60713 0 g358 GNSS
44.09611 40.17800 28.85188 16.88437 0.25034 0.29812 0 mmor GNSS
