lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87876 49.14428 20.33550 15.58447 0.24527 0.05263 0.18941 0.28616 0 0 0 wtzr GNSS
12.34494 45.43580 21.03083 17.30183 -1.21664 0.16178 0.10197 0.34902 0 0 0 ven1 GNSS
91.10400 29.65733 46.40995 15.75511 0.95481 0.11441 0.30748 0.15799 0 0 0 lhas GNSS
50.60814 26.20914 31.22583 30.12618 -0.47273 0.20109 0.16311 0.45150 0 0 0 bahr GNSS
80.95576 26.91221 37.08850 34.69638 -2.23907 0.24285 0.72200 0.33938 0 0 0 lcki GNSS
7.46510 46.87710 19.79009 16.34697 0.76389 0.05094 0.13379 0.21048 0 0 0 zimm GNSS
1.48122 43.55962 19.47997 16.53173 -0.31302 0.06619 0.07019 0.40033 0 0 0 toul GNSS
66.88550 39.13471 27.85280 5.38878 -1.12388 0.22130 0.19769 0.41831 0 0 0 kit3 GNSS
74.69427 42.67977 27.54177 4.74405 1.07244 0.19029 0.23983 0.43840 0 0 0 pol2 GNSS
16.70450 40.64910 23.61740 19.36074 0.44242 0.07845 0.05286 0.16510 0 0 0 mate GNSS
11.27967 48.08604 20.29303 15.84818 -0.02805 0.11482 0.16357 0.27770 0 0 0 ober GNSS
88.17303 39.02316 30.04833 6.90802 -0.96410 0.31764 0.31028 0.50447 0 0 0 xjrq GNSS
101.40171 37.46792 36.48705 -3.50264 0.24785 0.49777 0.16935 0.32055 0 0 0 qhme GNSS
15.49348 47.06710 21.84166 15.80019 -0.13454 0.06867 0.09669 0.58219 0 0 0 graz GNSS
23.93252 38.07856 8.14364 -11.50075 0.05288 0.21548 0.24962 0.36505 0 0 0 dion GNSS
4.38757 51.98609 17.57856 15.92123 -0.46839 0.07066 0.06653 0.31601 0 0 0 delf GNSS
11.89218 45.41114 20.96662 17.14092 -0.55679 0.04747 0.26443 0.26621 0 0 0 pado GNSS
77.01690 43.17873 28.24487 4.22864 0.47121 0.17885 0.35520 0.25881 0 0 0 sele GNSS
0.33591 50.86734 16.97440 16.60778 -0.09671 0.04630 0.03587 0.35479 0 0 0 hers GNSS
11.12196 42.42803 20.57604 16.26921 -0.23158 0.10866 0.15771 0.37271 0 0 0 maon GNSS
12.10744 42.41996 20.31083 16.33151 0.81738 0.20582 0.22999 0.60852 0 0 0 virb GNSS
100.23631 38.18434 33.45086 -3.25353 0.73048 0.40041 0.24847 0.63846 0 0 0 qhql GNSS
29.01934 41.10445 23.91263 11.79880 -0.04673 0.17207 0.23208 0.22220 0 0 0 ista GNSS
5.35678 43.27846 20.08706 16.20195 -0.52248 0.11872 0.05872 0.26869 0 0 0 mars GNSS
14.78561 49.91370 20.25951 15.24634 0.20604 0.03856 0.03760 0.29250 0 0 0 gop6 GNSS
8.61633 44.92313 20.37057 16.21402 -0.35141 0.07968 0.09410 0.30697 0 0 0 ale0 GNSS
9.11095 39.22899 21.55454 16.18631 -0.44871 0.03709 0.17765 0.30695 0 0 0 cag1 GNSS
32.75848 39.88736 2.09364 11.13772 -1.04979 0.33922 0.17843 0.39580 0 0 0 ankr GNSS
33.39645 35.14099 19.39306 15.67998 0.13384 0.04583 0.20003 0.15027 0 0 0 nico GNSS
34.76314 30.59760 23.55391 19.68181 0.92934 0.08300 0.12052 0.16297 0 0 0 ramo GNSS
8.40890 49.01065 19.51236 16.00777 -0.12426 0.04523 0.04814 0.17598 0 0 0 karl GNSS
11.35546 44.50252 21.98130 19.04366 -1.02142 0.44114 0.45130 0.52831 0 0 0 blgn GNSS
13.78816 45.66054 21.09145 17.81101 -0.20042 0.20358 0.03429 0.20267 0 0 0 rtri GNSS
102.79732 25.02961 32.51628 -18.38661 -0.29911 0.59219 0.50234 0.38781 0 0 0 kunm GNSS
14.98979 36.87586 21.42517 19.85131 -0.72991 0.05873 0.06455 0.16956 0 0 0 not1 GNSS
29.45069 40.78672 19.80052 11.66928 -0.80074 0.23712 0.17429 0.16009 0 0 0 tubi GNSS
4.35913 50.79785 17.79700 16.21422 0.38961 0.09113 0.04923 0.14535 0 0 0 brus GNSS
8.97275 39.13590 21.58116 16.16519 -0.30810 0.04845 0.03129 0.13823 0 0 0 cagl GNSS
6.92061 43.75471 20.40829 16.19429 0.12156 0.05361 0.04968 0.08715 0 0 0 gras GNSS
17.27388 48.37270 21.53009 15.19085 0.19841 0.05341 0.04929 0.27433 0 0 0 mopi GNSS
87.60067 43.80795 30.84174 5.72121 0.63846 0.22699 0.34052 0.28159 0 0 0 urum GNSS
115.89249 39.60860 30.42828 -10.74516 1.50693 0.21626 0.19372 0.53938 0 0 0 bjfs GNSS
79.03528 40.50338 29.76179 15.36919 -0.57806 0.20639 0.13081 0.71715 0 0 0 i073 GNSS
75.25018 39.71807 27.92853 14.38752 -0.99859 0.47838 0.41511 0.28201 0 0 0 i078 GNSS
76.17408 38.93539 28.56215 21.50769 -3.26912 0.46414 0.50566 0.46439 0 0 0 i083 GNSS
104.81680 33.42300 35.37821 -8.74063 -1.07873 0.31940 0.53528 0.14869 0 0 0 gswd GNSS
103.17731 26.10730 34.48960 -13.24101 1.13376 0.23994 0.35535 0.57768 0 0 0 yndc GNSS
74.75110 42.99850 27.55427 2.76771 0.38788 0.24177 0.21153 0.31768 0 0 0 chum GNSS
82.97693 41.72344 31.56749 10.75781 -1.44206 0.34520 0.26632 0.20225 0 0 0 xjkc GNSS
26.12574 44.46394 23.10521 12.55527 2.27805 0.16842 0.11852 0.36066 0 0 0 bucu GNSS
11.64680 44.52000 22.26933 18.03707 -1.44530 0.26297 0.12886 0.15375 0 0 0 medi GNSS
30.49673 50.36418 22.45019 12.76024 0.17572 0.03955 0.11536 0.10869 0 0 0 glsv GNSS
26.68849 39.31142 4.63309 1.33964 0.19750 0.26390 0.25200 0.95271 0 0 0 ayka GNSS
7.82646 44.39040 20.77865 16.10207 0.48348 0.12630 0.33369 0.27631 0 0 0 moge GNSS
11.00050 45.44313 20.92086 16.54022 -0.64241 0.15435 0.28128 0.38927 0 0 0 vero GNSS
105.80207 35.96258 34.92233 -10.34029 0.92627 0.19083 0.29857 0.66949 0 0 0 g018 GNSS
116.22544 40.25027 29.55872 -11.45034 0.09854 0.11066 0.12655 0.93110 0 0 0 bjsh GNSS
74.42703 39.02497 23.85827 20.69073 2.21594 0.27517 0.29517 0.54111 0 0 0 i399 GNSS
101.67503 39.20987 31.38116 -5.33100 0.24215 0.27603 0.50860 0.22348 0 0 0 nmay GNSS
101.74505 26.50322 35.39084 -18.40779 -0.34464 0.25748 0.31251 0.49924 0 0 0 scpz GNSS
99.70568 27.82776 34.65542 -19.45100 0.34765 0.35122 0.22257 0.95641 0 0 0 ynzd GNSS
83.25692 43.39772 30.27540 7.17188 1.24602 0.21625 0.15637 0.31861 0 0 0 xjxy GNSS
84.98430 27.16486 38.45583 35.49387 0.12111 0.38962 0.34047 0.98165 0 0 0 simr GNSS
81.80873 29.96916 32.93227 22.26018 3.63647 0.33707 0.37947 1.10898 0 0 0 smkt GNSS
23.39471 42.55610 23.91142 11.96702 -0.02389 0.16096 0.17895 0.51583 0 0 0 sofi GNSS
20.43975 41.68480 22.78574 12.46444 0.60977 0.17996 0.20940 0.74847 0 0 0 pesh GNSS
86.18953 41.79194 31.20554 8.38177 0.82117 0.19731 0.23860 0.21197 0 0 0 jb45 GNSS
9.78469 47.51531 20.18894 16.17985 0.77897 0.11171 0.06277 0.24422 0 0 0 pfa2 GNSS
29.61693 41.17812 24.38810 11.37236 -0.86375 0.44600 0.40385 1.39949 0 0 0 silc GNSS
11.60081 44.82907 21.36733 17.85436 -0.91663 0.06814 0.16294 0.42831 0 0 0 fer0 GNSS
11.71566 44.35046 22.22530 18.93039 -0.43050 0.13073 0.24234 0.54381 0 0 0 imol GNSS
9.68980 45.04320 20.74676 16.92167 -0.29512 0.03821 0.11601 0.37194 0 0 0 pia1 GNSS
13.25300 46.03748 20.62489 17.59681 -0.41520 0.03962 0.09481 0.70765 0 0 0 udi1 GNSS
99.81338 39.40992 30.96249 -3.72803 0.56231 0.45754 0.22433 0.30523 0 0 0 g140 GNSS
76.73425 39.49698 29.35745 18.93003 -4.62374 0.37166 0.26857 0.83794 0 0 0 i079 GNSS
92.43782 34.20943 49.84499 7.34846 -0.01593 0.34076 0.24547 0.83742 0 0 0 qhtt GNSS
100.00905 31.61658 46.94267 -9.73271 -0.18307 0.66098 0.46132 0.59099 0 0 0 scgz GNSS
101.51364 27.42262 37.40037 -18.10762 0.80801 0.41402 0.30404 0.65198 0 0 0 scyy GNSS
101.04949 22.74063 28.89122 -12.86992 -1.77140 0.24323 0.39118 0.75745 0 0 0 ynsm GNSS
75.23395 37.77499 25.29146 23.15746 -0.27393 0.26530 0.28840 0.49567 0 0 0 tash GNSS
90.25606 42.89328 32.01641 4.15116 -0.61300 0.11273 0.28435 0.06938 0 0 0 xjss GNSS
82.87543 46.82384 28.53664 1.71497 0.49710 0.37641 0.19876 0.35226 0 0 0 i037 GNSS
77.62493 38.90400 27.83055 19.58298 -0.33414 0.16943 0.27821 0.84614 0 0 0 i082 GNSS
82.49191 27.95082 37.36416 34.11908 0.13655 0.13591 0.23821 1.01699 0 0 0 grhi GNSS
23.03360 38.75510 13.96230 -5.01411 -0.20771 0.27904 0.21972 1.37241 0 0 0 ark2 GNSS
20.79405 41.12731 24.03417 11.81647 0.45574 0.14117 0.18256 0.36101 0 0 0 orid GNSS
20.67360 38.78130 20.73523 4.19949 -0.48989 0.42207 0.37610 0.47438 0 0 0 span GNSS
23.31789 38.31654 8.85154 -8.22831 1.52273 0.17116 0.42952 1.59195 0 0 0 thiv GNSS
41.56508 43.78839 25.44267 11.55653 1.45651 0.15314 0.22416 0.25930 0 0 0 zeck GNSS
28.98740 40.86756 20.82103 12.95025 1.57087 0.37896 0.41026 0.76508 0 0 0 ysst GNSS
34.54293 49.60261 22.45160 12.35584 -0.09024 0.02163 0.08929 0.14341 0 0 0 polv GNSS
76.51240 39.80626 30.09374 16.32403 -0.80000 0.62536 0.56399 0.50000 0 0 0 i077 GNSS
75.89869 39.19550 29.94098 21.11905 0.28105 0.28849 0.40669 0.65850 0 0 0 i081 GNSS
79.20976 41.20230 30.16028 15.27619 0.49695 0.15637 0.18350 0.49425 0 0 0 wush GNSS
7.63973 45.01549 20.48187 15.79372 0.15599 0.11724 0.04813 0.16660 0 0 0 ieng GNSS
3.86522 43.63934 19.94469 16.27779 -0.16602 0.14519 0.07066 0.10507 0 0 0 mtp2 GNSS
14.00204 42.65783 23.28415 18.48532 -0.54826 0.10326 0.11156 0.85977 0 0 0 rsto GNSS
13.11043 47.80342 20.77334 16.04839 0.29927 0.10723 0.06863 0.25457 0 0 0 sbg2 GNSS
10.23260 45.56490 20.58540 16.37004 0.82459 0.06874 0.08035 0.43587 0 0 0 brea GNSS
11.21600 43.79385 21.36663 17.63247 -0.08554 0.07731 0.09555 0.26879 0 0 0 fipr GNSS
12.57795 43.34992 21.72004 18.04089 -0.04358 0.21313 0.19145 0.62112 0 0 0 gub2 GNSS
12.40802 42.78311 20.58200 17.29506 0.10098 0.25475 0.13345 0.54930 0 0 0 reto GNSS
105.17838 37.58100 32.23419 -6.69078 0.92494 0.95446 0.15952 0.29618 0 0 0 g004 GNSS
78.45139 40.94160 30.06810 15.99997 0.24446 0.26191 0.49698 0.57000 0 0 0 i072 GNSS
78.03700 39.71383 28.44252 18.43520 -0.52859 0.42556 0.10734 0.33092 0 0 0 i075 GNSS
77.27711 38.17394 26.70917 20.87629 -0.87965 0.29627 0.70599 0.68587 0 0 0 i084 GNSS
86.17178 37.58769 30.56410 11.22731 -0.65335 0.45079 0.15386 1.07728 0 0 0 i408 GNSS
105.66850 38.81149 31.63574 -7.16975 -0.11354 0.13867 0.17558 0.34750 0 0 0 nmaz GNSS
102.43707 28.30038 37.98319 -14.43468 -0.02488 0.52910 0.63056 0.65153 0 0 0 scxd GNSS
101.77437 36.60066 37.97299 -3.70688 -0.70630 0.27523 0.34360 0.52791 0 0 0 xnin GNSS
