lon lat veast_eu vnorth_eu seast snorth covassumed0 sta
106.35300 37.81100 3.87118 -1.94352 0.95213 0.81215 0 d096
105.98500 36.27900 6.17989 -0.98919 0.92686 0.85141 0 g013
105.29400 36.50400 8.41915 -1.61263 0.93794 0.82922 0 g014
106.58100 35.45800 5.73433 -2.76941 0.92062 0.79998 0 g024
105.79400 35.07900 5.93826 -2.47934 0.88153 0.87021 0 g030
100.93600 37.96700 4.47321 2.24718 1.41859 1.18286 0 g065
100.16200 37.31500 8.25172 3.11060 1.09681 0.74102 0 g075
104.10400 35.03800 7.43018 -0.07599 1.47232 0.74593 0 g114
104.54200 35.04600 7.34189 -0.32171 1.04860 0.82360 0 g116
106.40100 34.51600 5.33944 -3.05849 1.21415 1.16773 0 g036
104.94000 34.71400 6.79498 -1.59199 1.14225 1.07280 0 g120
104.91500 34.46700 6.97304 -1.32335 1.07379 0.75810 0 g121
106.50900 33.91500 5.34777 -1.48404 0.97750 0.91903 0 h001
107.38700 35.28800 5.02874 -2.62046 0.91638 0.81676 0 d065
104.48000 34.85000 7.64586 0.06925 1.44699 1.42794 0 g119
106.68100 37.45100 3.96320 -1.96694 0.77280 0.62986 0 d098
106.81400 39.68000 3.10827 -2.29656 0.66694 0.64171 0 d084
104.50500 40.73900 2.33450 -0.35151 0.74225 0.71532 0 g042
106.56000 34.73300 6.54408 -2.22606 0.89040 0.64232 0 g362
106.15500 33.34000 5.50567 -2.64016 1.06125 0.83006 0 h007
105.22600 32.57100 5.76556 -2.05316 1.29804 0.84478 0 h010
102.99100 33.57100 10.91687 -0.84044 1.01737 0.83640 0 h026
104.57100 32.40500 6.26993 -2.13918 1.09614 0.87216 0 h032
103.61300 32.59100 7.97064 -2.38833 1.10172 0.82488 0 h030
84.33400 43.65200 2.11521 6.78075 0.59041 0.81338 0 i045
106.44300 38.88800 3.62355 -0.36133 0.95239 0.91669 0 d367
105.19900 35.21500 6.87727 -1.42895 0.89285 0.54842 0 g357
100.81400 35.24400 10.85131 4.85308 0.68410 0.70125 0 g358
97.95600 34.40000 19.12541 5.47184 1.40707 0.66982 0 j400
103.86500 30.69200 6.03516 -2.34506 1.74402 1.66097 0 h059
102.65500 29.34800 7.35074 -3.98785 1.27971 1.18454 0 h077
103.97800 28.60500 6.00984 -2.56325 1.30871 1.19958 0 h088
102.57700 24.37500 3.25402 -10.11066 1.43778 1.11730 0 h149
102.83600 23.22400 4.55250 -5.40869 1.41869 1.19413 0 h166
99.29300 27.18000 4.27815 -11.24182 1.05048 1.08439 0 h196
99.19600 34.27100 15.97540 3.76186 0.64593 0.75787 0 j406
103.46800 29.60200 5.74206 -2.94658 0.96955 1.13118 0 h076
103.04300 28.84700 6.42923 -3.64848 1.43529 1.03041 0 h086
100.09400 25.97900 2.27217 -13.00847 1.69126 1.07581 0 h124
98.81500 25.98700 1.33467 -8.63147 1.25743 1.08376 0 h203
99.53500 25.46300 -1.17790 -10.62510 1.34522 1.47525 0 h205
77.59999 34.12814 -4.05847 19.21022 1.71408 1.47085 0 rscl
89.33900 38.11000 5.78197 11.14883 0.59329 0.63790 0 g333
81.34500 41.60100 3.06005 7.92450 1.71834 1.18222 0 i059
80.23900 41.14300 1.75633 15.07668 1.15934 0.93150 0 i061
99.45400 22.73800 -0.69305 -6.03640 1.21698 1.26733 0 h225
113.13200 41.01900 1.89511 -1.06138 0.73073 0.63659 0 a005
112.84100 39.81900 4.12251 -1.64963 0.68074 0.63775 0 a024
113.73900 39.29300 3.44575 -1.74989 0.82316 0.66087 0 a038
116.12694 38.70792 2.68775 -2.06295 0.65098 1.09695 0 a096
114.65000 38.33200 3.26165 -1.96726 0.75769 0.62691 0 c006
114.35700 38.02800 2.93678 -2.59928 0.77915 0.71490 0 c016
113.37100 37.08600 2.99749 -2.17954 0.84504 0.73959 0 c025
114.68400 36.43900 4.05879 -1.65234 1.04760 0.74265 0 c030
114.21000 36.69700 3.46631 -2.44246 0.90754 0.76744 0 c031
113.77500 35.50000 4.34669 -2.65998 0.76503 0.62471 0 c040
113.21200 35.26800 4.31626 -2.47390 0.80433 0.62597 0 c047
112.40500 34.70300 5.03617 -2.43938 0.74871 0.67496 0 c052
113.86400 34.02800 4.50470 -2.61858 0.84475 0.78036 0 c053
112.04800 34.12300 5.24709 -2.50472 0.73296 0.68504 0 c055
113.31200 32.75100 5.50488 -2.90584 0.93921 0.74317 0 c059
111.47500 33.28000 4.64720 -2.29849 0.82903 0.70243 0 c060
111.20600 40.26600 3.13532 -1.61292 0.75949 1.14491 0 d009
112.78700 37.49000 2.99077 -1.65321 0.99494 0.84244 0 d018
112.22600 36.15000 4.18479 -2.43199 0.78790 0.77384 0 d026
111.77200 36.25900 4.83279 -2.69627 0.71525 0.62227 0 d027
111.54400 36.12900 5.12377 -2.83914 0.69139 0.68854 0 d029
111.15100 34.75400 5.65626 -2.21979 0.74308 0.75961 0 d037
110.37700 34.82700 4.42087 -1.95631 0.82427 0.77008 0 d038
111.06500 34.07000 5.02679 -2.64702 0.74976 0.77860 0 d039
107.88600 41.08800 2.23797 -2.06539 1.03121 0.94041 0 d046
109.93500 40.30400 2.95510 -1.16233 0.66335 0.64829 0 d052
110.01300 39.81600 2.46920 -1.68277 0.73174 0.65686 0 d054
109.92300 33.88000 5.22054 -2.06644 0.78422 0.70549 0 d078
106.35200 39.19600 2.79582 -0.62613 0.96691 1.06289 0 d087
95.25700 32.89400 23.50388 6.06100 1.19981 1.03281 0 j008
93.14600 29.94000 20.34632 12.86895 1.13459 1.03424 0 j022
81.19000 32.38200 1.86764 18.56878 0.77914 0.74476 0 j044
113.10500 34.52100 4.97725 -3.03195 1.50234 0.64917 0 zhnz
104.27200 23.35300 4.98475 -3.70987 1.05352 1.59473 0 f081
