lon lat veast_eu vnorth_eu seast snorth covassumed0 sta
106.35300 37.81100 31.91444 -9.07982 0.95213 0.81215 0 d096
105.98500 36.27900 34.31042 -8.02880 0.92686 0.85141 0 g013
105.29400 36.50400 36.59184 -8.46993 0.93794 0.82922 0 g014
106.58100 35.45800 33.84573 -9.96546 0.92062 0.79998 0 g024
105.79400 35.07900 34.11475 -9.46867 0.88153 0.87021 0 g030
100.93600 37.96700 32.88080 -3.43840 1.41859 1.18286 0 g065
100.16200 37.31500 36.72838 -2.36326 1.09681 0.74102 0 g075
104.10400 35.03800 35.72161 -6.61700 1.47232 0.74593 0 g114
104.54200 35.04600 35.60434 -6.97947 1.04860 0.82360 0 g116
106.40100 34.51600 33.48455 -10.20737 1.21415 1.16773 0 g036
104.94000 34.71400 35.03693 -8.35550 1.14225 1.07280 0 g120
104.91500 34.46700 35.22062 -8.08023 1.07379 0.75810 0 g121
106.50900 33.91500 33.49463 -8.66123 0.97750 0.91903 0 h001
107.38700 35.28800 33.08541 -10.02681 0.91638 0.81676 0 d065
104.48000 34.85000 35.91602 -6.57201 1.44699 1.42794 0 g119
106.68100 37.45100 31.99758 -9.18915 0.77280 0.62986 0 d098
106.81400 39.68000 31.01387 -9.55354 0.66694 0.64171 0 d084
104.50500 40.73900 30.35113 -6.99942 0.74225 0.71532 0 g042
106.56000 34.73300 34.67381 -9.41661 0.89040 0.64232 0 g362
106.15500 33.34000 33.68272 -9.72447 1.06125 0.83006 0 h007
105.22600 32.57100 34.00632 -8.89247 1.29804 0.84478 0 h010
102.99100 33.57100 39.29454 -7.08306 1.01737 0.83640 0 h026
104.57100 32.40500 34.55162 -8.80466 1.09614 0.87216 0 h032
103.61300 32.59100 36.31139 -8.79800 1.10172 0.82488 0 h030
84.33400 43.65200 30.83110 5.79972 0.59041 0.81338 0 i045
106.44300 38.88800 31.60532 -7.52122 0.95239 0.91669 0 d367
105.19900 35.21500 35.09194 -8.26111 0.89285 0.54842 0 g357
100.81400 35.24400 39.33992 -0.79921 0.68410 0.70125 0 g358
97.95600 34.40000 47.77138 0.60681 1.40707 0.66982 0 j400
103.86500 30.69200 34.33975 -8.82220 1.74402 1.66097 0 h059
102.65500 29.34800 35.68686 -10.13993 1.27971 1.18454 0 h077
103.97800 28.60500 34.24969 -9.07061 1.30871 1.19958 0 h088
102.57700 24.37500 31.32542 -16.24170 1.43778 1.11730 0 h149
102.83600 23.22400 32.52083 -11.60958 1.41869 1.19413 0 h166
99.29300 27.18000 32.67511 -16.47677 1.05048 1.08439 0 h196
99.19600 34.27100 44.56074 -1.44633 0.64593 0.75787 0 j406
103.46800 29.60200 34.04254 -9.31738 0.96955 1.13118 0 h076
103.04300 28.84700 34.72772 -9.90510 1.43529 1.03041 0 h086
100.09400 25.97900 30.56267 -18.46368 1.69126 1.07581 0 h124
98.81500 25.98700 29.67705 -13.73448 1.25743 1.08376 0 h203
99.53500 25.46300 27.10009 -15.92670 1.34522 1.47525 0 h205
77.59999 34.12814 24.97852 20.18350 1.71408 1.47085 0 rscl
89.33900 38.11000 34.69019 8.72256 0.59329 0.63790 0 g333
81.34500 41.60100 31.93136 7.81085 1.71834 1.18222 0 i059
80.23900 41.14300 30.65231 15.28419 1.15934 0.93150 0 i061
99.45400 22.73800 27.36348 -11.31571 1.21698 1.26733 0 h225
113.13200 41.01900 29.12759 -9.92186 0.73073 0.63659 0 a005
112.84100 39.81900 31.48054 -10.43847 0.68074 0.63775 0 a024
113.73900 39.29300 30.75420 -10.75905 0.82316 0.66087 0 a038
116.12694 38.70792 29.79598 -11.64707 0.65098 1.09695 0 a096
114.65000 38.33200 30.54657 -11.19767 0.75769 0.62691 0 c006
114.35700 38.02800 30.27044 -11.75878 0.77915 0.71490 0 c016
113.37100 37.08600 30.48071 -11.09868 0.84504 0.73959 0 c025
114.68400 36.43900 31.45185 -10.89096 1.04760 0.74265 0 c030
114.21000 36.69700 30.89111 -11.56630 0.90754 0.76744 0 c031
