lon lat veast_eu vnorth_eu seast snorth covassumed0 sta
35.63017 32.98181 22.95988 21.97063 0.71505 0.76321 0 kn08
77.60070 34.12836 25.07183 20.27040 1.99733 1.81340 0 rscl
35.60868 32.97023 22.88463 21.47528 0.80937 0.90046 0 kn02
78.97333 32.77865 27.52301 19.67942 1.18936 1.28004 0 hanl
29.79822 40.71993 14.95618 12.21983 2.67244 2.61339 0 kr07
102.99100 33.57100 39.25094 -7.06606 1.06599 0.89307 0 h026
106.68486 37.45100 31.99663 -9.21025 0.83927 0.71078 0 d098
77.12574 28.48219 34.58966 34.67189 1.92987 1.96152 0 delh
92.41500 27.27000 41.92021 20.09756 2.67939 2.40354 0 bomd
92.73167 23.72333 34.45374 28.53367 2.39566 2.30922 0 aizw
93.92500 24.74900 29.93612 20.45970 1.36550 1.31262 0 imph
35.51067 31.79967 24.30880 21.58350 0.60891 0.54879 0 ds04
112.79300 39.47400 30.84849 -11.27271 0.62454 0.50638 0 hs76
112.74600 38.24200 31.21227 -10.79784 0.47496 0.40137 0 s016
44.09483 40.17800 28.69233 17.10743 1.10801 1.37855 0 mmor
13.62900 45.08400 22.04826 17.81659 1.63040 2.02696 0 rinj
116.23900 40.19700 29.43028 -11.68033 0.84746 0.71473 0 a152
111.65350 39.92550 31.26996 -9.65697 1.63300 1.59646 0 d010
109.92300 33.88000 33.13363 -10.22645 0.84126 0.77266 0 d078
119.39500 25.97200 32.19559 -12.18575 1.07228 1.50874 0 f016
101.05800 23.07400 25.70535 -13.61037 1.99234 1.09877 0 h168
99.91800 22.55400 27.56928 -9.37389 1.31515 1.02264 0 jb42
107.38700 35.28800 32.98228 -10.03799 0.97113 0.86651 0 d065
104.50500 40.73900 30.24221 -7.02935 0.80625 0.78154 0 g042
106.35300 37.81100 31.83828 -9.11586 1.00171 0.86408 0 d096
105.98500 36.27900 34.14215 -8.12362 0.98059 0.89495 0 g013
105.29400 36.50400 36.46235 -8.55317 0.99625 0.87820 0 g014
106.58100 35.45800 33.87239 -10.07406 0.96739 0.85232 0 g024
105.79400 35.07900 34.03060 -9.50520 0.93246 0.91405 0 g030
100.93600 37.96700 32.51814 -3.46839 1.51653 1.21523 0 g065
100.16200 37.31500 36.44133 -2.36521 1.12913 0.79272 0 g075
104.10400 35.03800 35.46077 -6.63329 1.57929 0.79722 0 g114
104.54200 35.04600 35.60792 -6.97046 1.08804 0.87045 0 g116
106.50900 33.91500 33.46886 -8.66732 1.02030 0.96566 0 h001
104.94000 34.71400 34.99789 -8.45247 1.17840 1.12941 0 g120
104.91500 34.46700 34.93485 -8.14971 1.16424 0.81532 0 g121
23.13780 43.10950 23.46077 12.44891 1.11129 1.28428 0 berk
23.24600 42.28166 24.11605 11.65142 1.25208 1.17278 0 sapa
22.68084 42.25964 24.41426 11.66192 1.28340 1.40578 0 bogs
23.17280 42.50484 23.98775 11.79510 1.26064 1.41160 0 bosn
22.82104 42.35898 24.26776 11.65382 1.20871 1.14710 0 carv
23.08870 42.38657 23.96853 11.88068 1.22161 1.39329 0 dela
23.08009 42.56534 23.65759 11.87375 1.22097 1.59782 0 kral
23.50911 42.27357 24.05780 11.49001 1.26452 1.22109 0 malc
22.69510 42.49818 24.21026 12.00434 1.23387 1.34008 0 zeme
104.24740 21.18960 33.45577 -10.73707 1.69321 1.38002 0 mon1
34.85692 29.78320 24.70956 20.19046 1.03208 1.03120 0 sag0
35.51616 31.07648 24.68268 22.36892 1.28169 1.18143 0 saf0
111.04200 38.73300 31.48789 -9.82190 0.40732 0.40732 0 bx22
111.98900 40.69100 29.32208 -9.27777 0.58647 0.56472 0 d321
113.36800 40.13550 30.42707 -10.35591 0.51933 0.80946 0 mpsh
113.55600 39.81900 30.72939 -10.58282 0.37934 0.36693 0 s004
110.08000 34.57800 32.60945 -10.55167 0.54330 0.44624 0 sn11
80.14800 28.96300 35.90532 34.54516 2.78193 1.63625 0 mah0
71.48703 34.00406 30.15911 28.73515 1.58491 2.17928 0 nceg
32.65770 40.87320 14.99065 11.77599 4.00260 1.57790 0 isp1
43.95092 40.10827 29.05688 17.08960 1.00191 1.19303 0 sa10
43.80728 40.09721 28.90697 16.69418 0.98791 1.30443 0 sa20
43.78198 41.12128 28.03065 16.45143 0.98617 1.23815 0 bav0
81.57474 28.13408 37.90107 36.25461 2.27863 2.02572 0 npj0
72.35251 33.13243 30.07880 29.92807 1.18674 1.57004 0 903x
72.36180 32.72188 30.45643 28.53411 1.19110 1.40874 0 1004
72.45815 32.60838 31.17249 28.10641 1.20766 1.18012 0 2004
102.33900 29.13500 36.84214 -11.32955 1.58992 1.86713 0 h366
116.59100 40.30900 29.31076 -11.92597 0.89718 0.75117 0 a072
117.35600 40.93400 28.00321 -10.47566 0.83839 0.89962 0 a075
116.21700 39.91500 29.47916 -9.80293 1.04118 0.85279 0 a089
116.09400 35.78800 30.59285 -12.17196 0.84229 0.69756 0 c035
104.53690 30.37550 34.30399 -9.03893 1.58766 1.10382 0 jyan
84.33400 43.65200 30.83684 5.90245 0.65666 0.86286 0 i045
102.41600 27.62900 37.48754 -15.30478 1.78304 1.43525 0 h369
114.21000 36.69700 30.83055 -11.58697 0.94644 0.82591 0 c031
111.47500 33.28000 32.54733 -10.73421 0.89071 0.76446 0 c060
114.63500 31.25100 32.53302 -11.56674 0.85160 0.75137 0 c064
110.68600 35.59800 32.56819 -10.36355 0.82534 0.82620 0 d033
111.15100 34.75400 33.36084 -10.67666 0.80068 0.82895 0 d037
109.93500 40.30400 30.48481 -9.22315 0.72901 0.71648 0 d052
118.64300 28.73400 31.83407 -13.06079 1.26926 0.95017 0 f012
93.62600 42.81000 31.74967 1.06694 0.66417 1.27961 0 i005
85.53800 38.08100 27.59227 9.63637 0.92251 1.73985 0 jb46
101.57300 24.98500 29.93290 -16.29488 1.23980 1.07611 0 h136
106.83100 22.10700 32.84337 -9.81477 1.16867 1.05778 0 jb26
105.19900 35.21500 34.99888 -8.31034 0.97327 0.64487 0 g357
