lon lat veast_eu vnorth_eu seast snorth covassumed0 sta
35.63017 32.98181 -3.39991 10.14608 0.30297 0.40319 0 kn08
77.60070 34.12836 -4.17436 19.27915 1.73072 1.48077 0 rscl
35.60868 32.97023 -3.45852 9.68056 0.27302 0.48498 0 kn02
78.97333 32.77865 -1.52046 19.10719 0.92478 1.03721 0 hanl
29.79822 40.71993 -9.93658 -0.73363 2.57370 2.51358 0 kr07
102.99100 33.57100 10.98338 -0.86016 1.01458 0.83914 0 h026
106.68486 37.45100 3.96084 -1.97896 0.77152 0.63145 0 d098
77.12574 28.48219 5.80818 33.08657 1.66469 1.66369 0 delh
92.41500 27.27000 13.24383 23.66772 2.52310 2.25128 0 bomd
92.73167 23.72333 5.96226 32.30638 2.15089 2.09217 0 aizw
93.92500 24.74900 1.64418 23.84043 0.95021 0.88392 0 imph
35.51067 31.79967 -1.98030 9.73658 0.47583 0.39742 0 ds04
112.79300 39.47400 3.45172 -2.49957 0.50100 0.33901 0 hs76
112.74600 38.24200 3.72409 -2.02234 0.33549 0.21887 0 s016
44.09483 40.17800 1.89802 7.04277 0.65919 1.03843 0 mmor
13.62900 45.08400 0.69236 2.54087 1.14477 1.66611 0 rinj
116.23900 40.19700 2.59030 -2.03371 0.80548 0.65350 0 a152
111.65350 39.92550 3.80895 -1.16161 1.60552 1.57075 0 d010
109.92300 33.88000 5.25402 -2.07564 0.78895 0.70882 0 d078
119.39500 25.97200 5.07057 -1.83361 1.03777 1.48686 0 f016
101.05800 23.07400 -2.32712 -7.89490 1.97415 1.06663 0 h168
99.91800 22.55400 -0.44997 -3.98119 1.28344 0.98277 0 jb42
107.38700 35.28800 5.03378 -2.61135 0.91396 0.81311 0 d065
104.50500 40.73900 2.41569 -0.37193 0.74581 0.71757 0 g042
106.35300 37.81100 3.84157 -1.95661 0.95649 0.81381 0 d096
105.98500 36.27900 6.22226 -0.97746 0.92856 0.85092 0 g013
105.29400 36.50400 8.42667 -1.59672 0.93665 0.83181 0 g014
106.58100 35.45800 5.76170 -2.73659 0.92534 0.80029 0 g024
105.79400 35.07900 5.96552 -2.44522 0.87876 0.86653 0 g030
100.93600 37.96700 4.46739 2.28424 1.41980 1.18758 0 g065
100.16200 37.31500 8.35088 3.11156 1.11608 0.74219 0 g075
104.10400 35.03800 7.45376 -0.07935 1.46757 0.74669 0 g114
104.54200 35.04600 7.33426 -0.32283 1.04905 0.82367 0 g116
106.50900 33.91500 5.36112 -1.52600 0.97908 0.92281 0 h001
104.94000 34.71400 6.82119 -1.60662 1.14164 1.07598 0 g120
104.91500 34.46700 7.01626 -1.30636 1.06944 0.75774 0 g121
23.13780 43.10950 0.00676 -1.67822 0.55747 0.85598 0 berk
23.24600 42.28166 0.49304 -2.45359 0.77754 0.64940 0 sapa
22.68084 42.25964 0.87026 -2.49572 0.84058 1.01903 0 bogs
23.17280 42.50484 0.41378 -2.28476 0.79032 1.01582 0 bosn
22.82104 42.35898 0.70659 -2.47832 0.71636 0.60246 0 carv
23.08870 42.38657 0.37251 -2.21249 0.73413 0.98812 0 dela
23.08009 42.56534 0.09096 -2.21547 0.73758 1.26418 0 kral
23.50911 42.27357 0.37271 -2.52558 0.79568 0.73275 0 malc
22.69510 42.49818 0.69339 -2.14771 0.76256 0.92377 0 zeme
104.24740 21.18960 5.98338 -4.22707 1.32386 0.91958 0 mon1
34.85692 29.78320 -1.73757 8.18270 0.64062 0.63894 0 sag0
35.51616 31.07648 -1.87693 10.51078 0.92730 0.80750 0 saf0
111.04200 38.73300 3.88552 -1.48088 0.20000 0.20000 0 bx22
111.98900 40.69100 1.88943 -0.59155 0.46889 0.45241 0 d321
113.36800 40.13550 3.13314 -1.25626 0.34799 0.76739 0 mpsh
