lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 sta
12.87873 49.14429 -0.00921 0.09681 0.22649 0.02938 0.03747 0.14302 0 0 0 wtzr
91.10400 29.65730 17.49257 18.69300 0.91868 0.22439 0.20178 0.18369 0 0 0 lhas
12.34982 45.43605 -0.10358 1.74252 -1.22045 0.14086 0.10095 0.29391 0 0 0 ven1
7.46510 46.87710 0.00467 0.36387 0.78954 0.06601 0.04026 0.10138 0 0 0 zimm
1.48130 43.55978 0.07253 0.09379 -0.29428 0.04121 0.08035 0.14467 0 0 0 toul
50.60810 26.20910 3.42627 21.68639 -0.50073 0.09484 0.19865 0.20180 0 0 0 bahr
80.95577 26.91220 8.27899 34.48211 -2.33590 0.27113 0.15878 0.37499 0 0 0 lcki
66.88547 39.13472 -0.78310 1.19778 -1.01984 0.27582 0.26167 0.69515 0 0 0 kit3
16.70450 40.64906 0.72765 4.28139 0.44338 0.06995 0.06424 0.21766 0 0 0 mate
74.69420 42.67977 -1.11157 3.05376 0.38184 0.17199 0.22182 0.55316 0 0 0 pol2
104.31620 52.21900 -1.50479 -0.05198 0.41766 0.10637 0.06817 0.42483 0 0 0 irkt
11.27969 48.08604 0.00060 0.19409 0.06892 0.03931 0.11784 0.45256 0 0 0 ober
101.40171 37.46797 8.39180 2.29832 0.24785 0.18819 0.10411 0.22229 0 0 0 qhme
88.17321 39.02368 1.19955 8.85697 -1.08738 0.32197 0.17378 0.53477 0 0 0 xjrq
21.03171 52.09739 -0.35353 -0.11921 -0.02910 0.04290 0.05345 0.13178 0 0 0 joze
4.38755 51.98601 -0.21050 -0.33952 -0.49661 0.07851 0.06340 0.19074 0 0 0 delf
23.93249 38.07859 -16.18643 -25.51155 0.04913 0.14733 0.15667 0.34975 0 0 0 dion
15.49348 47.06710 0.51915 0.62117 -0.04559 0.06204 0.07976 0.23246 0 0 0 graz
13.06643 52.37935 -0.36248 -0.11514 0.16836 0.07143 0.04029 0.20485 0 0 0 pots
21.03525 52.47547 -0.47665 0.04072 0.02891 0.03612 0.02403 0.08737 0 0 0 bogo
87.60100 43.80800 2.46852 7.61145 0.61301 0.18904 0.24953 0.32156 0 0 0 urum
0.33577 50.86733 -0.23157 0.11293 -0.09278 0.04273 0.10839 0.15293 0 0 0 hers
11.12199 42.42803 -0.93789 0.58401 -0.23158 0.09583 0.11217 0.29015 0 0 0 maon
12.10812 42.42087 -1.28026 0.79446 0.81738 0.17113 0.21716 0.44070 0 0 0 virb
100.23663 38.18500 5.18129 2.15761 0.73048 0.22066 0.13763 0.65724 0 0 0 qhql
102.79711 25.02959 4.51319 -11.35372 -0.06033 0.43391 0.32665 0.08045 0 0 0 kunm
14.78561 49.91370 -0.30007 -0.03502 0.21004 0.08394 0.04446 0.24291 0 0 0 gope
5.35694 43.27845 -0.13460 0.05507 -0.50165 0.06034 0.04947 0.14208 0 0 0 mars
8.61626 44.92310 -0.15368 0.28484 -0.35141 0.12670 0.11049 0.26624 0 0 0 ale0
77.01690 43.17873 -0.26604 2.88598 0.12884 0.17899 0.22671 0.93142 0 0 0 sele
9.11135 39.22951 -0.23510 0.31532 -0.43772 0.19665 0.07271 0.26724 0 0 0 cag1
11.89213 45.41144 -0.04647 1.46614 -0.54946 0.06620 0.15688 0.28672 0 0 0 pado
32.75848 39.88736 -23.39222 -1.38588 -1.02701 0.45681 0.19773 0.13881 0 0 0 ankr
6.60451 52.91461 -0.31782 0.49574 -0.36024 0.06308 0.03730 0.11877 0 0 0 wsrt
8.40916 49.01068 0.05236 0.02984 -0.13093 0.04204 0.04461 0.13103 0 0 0 karl
5.81065 52.17781 -0.08802 0.17434 -0.32232 0.06894 0.04144 0.21648 0 0 0 kosg
11.35563 44.50236 0.86494 3.44125 -1.02142 0.22720 0.22388 0.52056 0 0 0 blgn
103.17350 26.10650 6.41911 -7.02882 0.84860 0.34972 0.37827 0.73996 0 0 0 yndc
29.01930 41.10445 -0.85159 -1.51538 -0.04373 0.18804 0.20111 0.13903 0 0 0 ista
34.76310 30.59761 -2.87127 7.58367 0.93252 0.09625 0.06387 0.14960 0 0 0 ramo
4.35912 50.79785 -0.30087 -0.04503 0.38922 0.07063 0.05193 0.10530 0 0 0 brus
8.97276 39.13591 -0.22298 0.28556 -0.30277 0.04287 0.03050 0.08790 0 0 0 cagl
6.92062 43.75471 0.01745 0.15420 0.11073 0.03756 0.05561 0.09530 0 0 0 gras
17.27390 48.37273 0.12713 0.20948 0.20555 0.06353 0.06424 0.33810 0 0 0 mopi
13.78830 45.66086 -0.21386 2.46631 -0.18883 0.10778 0.06342 0.19837 0 0 0 rtri
101.67536 39.20971 3.10964 0.41176 0.24215 0.33936 0.19171 0.18080 0 0 0 nmay
100.00860 31.61640 18.55227 -4.28465 -0.53754 0.57160 0.51199 0.43318 0 0 0 scgz
99.70600 27.82780 6.31366 -14.15978 -0.64597 0.24219 0.42028 1.10557 0 0 0 ynzd
84.98451 27.16513 9.14783 36.45518 -0.39707 0.19597 0.20158 1.16284 0 0 0 sim4
