lon lat veast_eu vnorth_eu vup_itrf14 seast snorth sup covassumed0 covassumed0 covassumed0 sta
12.87872 49.14430 0.00447 0.07884 0.17948 0.92036 0.92373 1.11171 0 0 0 wtzr
1.48138 43.55941 0.10107 -0.11147 -0.06062 1.01657 1.21791 1.02488 0 0 0 tlse
91.10392 29.65738 17.51741 18.62993 0.96956 0.92322 0.94310 0.57685 0 0 0 lhaz
7.46518 46.87711 -0.09552 0.32998 0.88920 1.01269 1.04244 0.86785 0 0 0 zimm
16.70447 40.64913 0.76994 4.22969 0.47537 0.92313 0.95997 0.88228 0 0 0 mate
12.34951 45.43611 0.05832 1.53480 -1.09908 1.21190 1.20796 1.47100 0 0 0 ven1
80.95602 26.91216 7.60326 34.57416 -2.24021 1.92964 1.04139 1.04669 0 0 0 lcki
11.27963 48.08601 0.03463 0.15710 0.15042 0.98991 0.97304 1.32999 0 0 0 ober
23.93250 38.07856 -16.24566 -25.52669 0.27398 0.96232 0.90632 1.35059 0 0 0 dion
50.60814 26.20914 3.25118 21.72978 -0.39906 1.13294 1.07788 0.66969 0 0 0 bahr
66.88545 39.13468 -0.74943 0.91827 -0.94505 0.84354 1.05598 0.95281 0 0 0 kit3
15.49347 47.06714 0.47097 0.56003 0.13672 0.96594 1.03196 1.04430 0 0 0 graz
5.35677 43.27846 -0.13010 0.00020 -0.36435 0.89059 0.89630 0.89009 0 0 0 mars
34.76314 30.59761 -2.86904 7.51492 0.92685 0.72207 0.73300 0.80806 0 0 0 ramo
11.12219 42.42804 -0.90510 0.55158 -0.39051 1.02839 1.04283 1.32598 0 0 0 maon
0.33591 50.86734 -0.23084 0.08900 -0.12927 1.02488 1.05057 1.02148 0 0 0 hers
6.92063 43.75472 0.03193 0.14430 0.05167 0.73594 0.73937 0.74516 0 0 0 gras
101.40169 37.46802 8.25268 2.38410 0.22455 0.82982 0.66349 0.67963 0 0 0 g070
11.64677 44.52000 1.12957 2.35766 -1.66764 0.86443 0.86879 0.93226 0 0 0 medi
14.78562 49.91369 -0.20858 -0.11048 0.23652 0.92441 0.97014 1.10100 0 0 0 gope
4.38757 51.98610 -0.21755 -0.39446 -0.34930 0.97781 1.02113 1.06792 0 0 0 delf
114.35726 30.53167 5.25731 -2.15774 0.69155 1.15406 1.29713 1.74869 0 0 0 wuhn
88.17280 39.02377 1.19829 8.90423 -0.58842 0.95453 0.68958 1.33180 0 0 0 xjrq
30.49673 50.36419 -0.94874 -0.18873 0.25261 0.89346 1.01372 0.75916 0 0 0 glsv
41.56507 43.78835 -0.60777 0.80872 1.14071 0.78917 0.79776 1.55018 0 0 0 zeck
17.27387 48.37272 0.12342 0.24486 0.09645 0.94775 0.94930 1.31860 0 0 0 mopi
14.98977 36.87587 -1.75352 4.64402 -0.74329 0.81084 0.83399 0.80541 0 0 0 not1
8.97275 39.13591 -0.20620 0.26694 -0.30563 0.94685 0.93741 0.87225 0 0 0 cagl
11.89216 45.41114 -0.02545 1.45277 -0.38503 0.91677 1.02494 1.35623 0 0 0 pado
8.61634 44.92313 0.02539 0.36118 -0.22846 1.07508 1.04295 1.29268 0 0 0 ale0
84.98505 27.16559 9.12193 36.40668 -0.41797 0.94689 0.86415 3.34199 0 0 0 sim4
74.69427 42.67977 -1.06530 2.86023 0.97278 0.72815 0.68144 1.17232 0 0 0 pol2
4.35915 50.79784 -0.29978 -0.08067 0.42284 0.97505 1.02321 0.90448 0 0 0 brus
8.40958 49.01082 0.00508 0.08190 -0.06979 0.77294 0.77319 0.89315 0 0 0 karl
100.23673 38.18485 5.17112 2.25990 0.82607 0.87855 0.70278 1.62367 0 0 0 qhql
34.54292 49.60261 -1.75686 0.30002 0.02093 0.80009 0.84934 0.73251 0 0 0 polv
7.63969 45.01544 0.17843 -0.27023 0.14167 0.88758 0.88885 0.91514 0 0 0 ieng
33.39645 35.14099 -6.56863 3.31415 0.13474 0.80541 0.79999 0.77043 0 0 0 nico
11.60082 44.82898 0.33299 2.41038 -0.33053 0.88965 1.02898 1.16476 0 0 0 fer0
32.75848 39.88735 -23.53018 -1.64559 -0.81130 1.08008 0.98169 0.96173 0 0 0 ankr
81.80948 29.96909 3.73346 22.31726 3.33216 1.50201 1.20477 1.40434 0 0 0 smkt
102.79721 25.02938 4.49665 -10.85186 -1.20354 1.58665 1.86790 9.93437 0 0 0 kunm
35.36439 31.03765 -2.39710 9.38483 0.20220 1.00164 1.24610 0.58327 0 0 0 sdm2
5.68669 50.75815 -0.37089 -0.18946 1.03450 0.92571 0.92637 1.17770 0 0 0 eijs
