lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 sta
12.87872 49.14430 -0.00729 0.09805 0.16829 0.39280 0.40338 0.83155 0 0 0 wtzr
1.48138 43.55941 0.09347 -0.06218 -0.14726 0.64625 0.94177 0.70645 0 0 0 tlse
91.10392 29.65738 17.51888 18.60500 0.81384 0.69480 0.72321 0.49633 0 0 0 lhaz
7.46518 46.87711 -0.05501 0.33624 0.93753 0.41358 0.48561 0.42266 0 0 0 zimm
16.70447 40.64913 0.72242 4.24210 0.46855 0.46933 0.54176 0.49589 0 0 0 mate
12.34951 45.43611 -0.09877 1.70039 -1.15894 0.70581 0.73280 1.24628 0 0 0 ven1
80.95602 26.91216 7.61271 34.62296 -2.23840 1.79954 0.77785 0.96105 0 0 0 lcki
11.27963 48.08601 -0.01682 0.16712 0.11751 0.35522 0.29928 1.01581 0 0 0 ober
23.93250 38.07856 -16.28547 -25.52905 0.37111 0.71777 0.64817 1.21989 0 0 0 dion
50.60814 26.20914 3.28410 21.75153 -0.20145 0.97346 0.90019 0.65682 0 0 0 bahr
66.88545 39.13468 -0.74046 0.89437 -0.88964 0.66064 0.90572 0.89885 0 0 0 kit3
15.49347 47.06714 0.49323 0.58451 0.09371 0.55409 0.66769 0.77695 0 0 0 graz
5.35677 43.27846 -0.10215 0.05203 -0.36297 0.26320 0.27802 0.56934 0 0 0 mars
34.76314 30.59761 -2.86282 7.58239 0.90728 0.24759 0.27003 0.49189 0 0 0 ramo
11.12219 42.42804 -0.91236 0.55482 -0.36065 0.43877 0.46719 1.05311 0 0 0 maon
0.33591 50.86734 -0.25591 0.09698 -0.01978 0.48092 0.54066 0.52621 0 0 0 hers
6.92063 43.75472 0.02158 0.13901 0.00564 0.16575 0.17761 0.38979 0 0 0 gras
101.40169 37.46802 8.26137 2.35579 0.17176 0.76584 0.58164 0.59023 0 0 0 g070
11.64677 44.52000 1.01595 2.44823 -1.70414 0.28570 0.28869 0.59295 0 0 0 medi
14.78562 49.91369 -0.28849 -0.07089 0.15928 0.42526 0.52680 0.74111 0 0 0 gope
4.38757 51.98610 -0.22117 -0.33022 -0.32911 0.24148 0.38003 0.67034 0 0 0 delf
114.35726 30.53167 5.65046 -2.02019 2.28025 0.91683 1.07626 2.08671 0 0 0 wuhn
88.17280 39.02377 1.14706 8.85443 -0.57410 0.90775 0.61535 1.29978 0 0 0 xjrq
30.49673 50.36419 -0.92324 -0.12349 0.23543 0.54012 0.73001 0.41081 0 0 0 glsv
41.56507 43.78835 -0.60683 0.81157 0.97707 0.60826 0.61817 1.42724 0 0 0 zeck
17.27387 48.37272 0.11853 0.23718 0.22702 0.27898 0.27742 1.05101 0 0 0 mopi
14.98977 36.87587 -1.70364 4.65805 -0.74696 0.28257 0.34293 0.42514 0 0 0 not1
8.97275 39.13591 -0.21468 0.27269 -0.24461 0.23745 0.19507 0.40814 0 0 0 cagl
11.89216 45.41114 -0.05855 1.43459 -0.48836 0.28346 0.54324 1.08065 0 0 0 pado
8.61634 44.92313 -0.12886 0.38680 -0.28414 0.52530 0.51061 1.02010 0 0 0 ale0
84.98505 27.16559 9.10024 36.38358 -0.15029 0.59848 0.45185 3.31039 0 0 0 sim4
74.69427 42.67977 -1.04309 2.92200 1.03540 0.44071 0.35596 1.11774 0 0 0 pol2
4.35915 50.79784 -0.29277 -0.08623 0.45487 0.49979 0.58527 0.43339 0 0 0 brus
8.40958 49.01082 0.05034 0.05552 -0.02035 0.21086 0.20785 0.57534 0 0 0 karl
100.23673 38.18485 5.22278 2.23040 0.86444 0.82028 0.62964 1.59813 0 0 0 qhql
34.54292 49.60261 -1.75680 0.29902 -0.02705 0.22915 0.36638 0.39035 0 0 0 polv
7.63969 45.01544 0.19546 -0.23040 0.21279 0.26176 0.26636 0.57217 0 0 0 ieng
33.39645 35.14099 -6.53192 3.35518 0.22584 0.24198 0.21471 0.38736 0 0 0 nico
11.60082 44.82898 0.28059 2.14089 -0.36928 0.33263 0.51702 0.93168 0 0 0 fer0
32.75848 39.88735 -23.47211 -1.21087 -1.01527 0.84480 0.66391 0.62987 0 0 0 ankr
81.80948 29.96909 3.65702 22.32689 3.51130 1.37568 1.05688 1.31952 0 0 0 smkt
35.36439 31.03765 -2.38230 9.39992 0.20051 0.72384 1.03593 0.37358 0 0 0 sdm2
5.68669 50.75815 -0.41098 -0.13547 1.19539 0.29053 0.30312 0.88386 0 0 0 eijs
29.45068 40.78673 -5.08106 -1.37553 -0.50504 0.67483 0.42534 0.55584 0 0 0 tubi
11.00053 45.44314 -0.05073 0.58939 -0.79581 0.48653 0.59042 1.20077 0 0 0 vero
23.39473 42.55608 0.14599 -2.04029 -0.07464 0.32911 0.39104 1.38413 0 0 0 sofi
20.42943 41.68517 -0.28234 -2.10131 0.76529 0.60507 0.60490 1.32387 0 0 0 pesh
9.78468 47.51531 0.09126 0.38535 0.94843 0.30084 0.25296 0.67054 0 0 0 pfan
11.71687 44.34886 0.99071 3.17696 -0.23323 0.51601 0.83558 1.75256 0 0 0 imol
7.82669 44.39026 0.31464 0.05182 0.49599 0.25394 0.41264 0.98805 0 0 0 moge
29.01934 41.10445 -0.98037 -1.42096 0.18839 0.68944 0.83715 0.54154 0 0 0 ista
9.11133 39.22951 -0.23017 0.34434 -0.30967 0.46341 0.49655 0.99526 0 0 0 cag1
