lon lat veast_eu vnorth_eu vup_itrf14 seast snorth sup covassumed0 covassumed0 covassumed0 sta
91.10397 29.65729 17.50400 18.65397 0.91379 0.69242 0.71841 0.47128 0 0 0 lhaz
7.46518 46.87711 -0.06478 0.30994 0.88440 0.41469 0.48117 0.41417 0 0 0 zimm
16.70447 40.64913 0.69907 4.26241 0.44179 0.46786 0.54246 0.49233 0 0 0 mate
12.34951 45.43611 -0.14023 1.65518 -1.08057 0.70377 0.72730 1.23966 0 0 0 ven1
80.95602 26.91216 7.79587 34.55558 -2.27718 1.80414 0.77522 0.95821 0 0 0 lcki
23.93250 38.07856 -16.32876 -25.50753 0.21516 0.71228 0.64661 1.19772 0 0 0 dion
50.60814 26.20914 3.15793 21.79851 -0.40195 0.95548 0.89610 0.62145 0 0 0 bahr
66.88545 39.13468 -0.75749 0.56151 -0.66699 0.65904 0.85314 0.91467 0 0 0 kit3
15.49347 47.06714 0.45054 0.54798 0.02360 0.54930 0.66461 0.76520 0 0 0 graz
5.35677 43.27846 -0.10918 0.05133 -0.47139 0.26320 0.27783 0.56139 0 0 0 mars
34.76314 30.59761 -2.87730 7.58542 0.98187 0.24791 0.27011 0.48768 0 0 0 ramo
11.12219 42.42804 -0.92946 0.56147 -0.25253 0.43784 0.46744 1.06144 0 0 0 maon
6.92063 43.75472 0.02042 0.14139 0.01153 0.16562 0.17773 0.38940 0 0 0 gras
101.40307 37.46002 8.37971 2.38863 0.40212 0.77716 0.58094 1.15303 0 0 0 g070
11.64677 44.52000 1.04890 2.43213 -1.56354 0.28285 0.28899 0.56930 0 0 0 medi
114.35698 30.53115 5.66809 -1.89166 0.16314 0.91966 1.04908 1.55568 0 0 0 wuhn
88.17263 39.02246 1.13642 8.86191 -0.87026 0.90918 0.61571 1.26139 0 0 0 xjrq
41.56507 43.78835 -0.63404 0.80179 1.06016 0.60296 0.61809 1.44939 0 0 0 zeck
14.98977 36.87587 -1.73847 4.62609 -0.71885 0.28102 0.33787 0.42450 0 0 0 not1
11.89216 45.41114 -0.06096 1.49902 -0.57334 0.28442 0.52598 1.06966 0 0 0 pado
8.61634 44.92313 -0.17696 0.30631 -0.28594 0.52122 0.50763 1.02066 0 0 0 ale0
84.98505 27.16559 9.14780 36.45533 -0.39707 0.58858 0.44952 3.31831 0 0 0 sim4
74.69412 42.67978 -1.03163 2.90032 1.02642 0.44164 0.35507 1.12987 0 0 0 pol2
100.23736 38.18487 5.19669 2.27626 0.79765 0.81897 0.62532 1.44068 0 0 0 qhql
7.63969 45.01544 0.21731 -0.22629 0.17429 0.25877 0.26592 0.57555 0 0 0 ieng
33.39645 35.14099 -6.56252 3.37194 0.15126 0.23805 0.21410 0.38593 0 0 0 nico
11.60082 44.82898 0.30965 2.17344 -0.79808 0.33034 0.52167 0.87373 0 0 0 fer0
32.75848 39.88735 -23.54004 -1.29802 -1.03500 0.84905 0.65242 0.63067 0 0 0 ankr
81.80948 29.96909 3.61923 22.38982 3.56667 1.37170 1.04560 1.31706 0 0 0 smkt
102.79742 25.02944 4.56412 -10.80484 -1.82052 1.49269 1.78436 8.26102 0 0 0 kunm
35.36439 31.03765 -2.50518 9.11731 0.18404 0.68210 0.96331 0.36989 0 0 0 sdm2
29.45068 40.78673 -5.06132 -1.38885 -0.76290 0.67548 0.42817 0.51198 0 0 0 tubi
11.00053 45.44314 0.03347 0.65619 -0.40002 0.48868 0.58497 1.10740 0 0 0 vero
23.39473 42.55608 0.17516 -2.04358 0.00688 0.32757 0.39024 1.36810 0 0 0 sofi
20.42943 41.68517 -0.47447 -2.12673 0.59796 0.58499 0.60316 1.30230 0 0 0 pesh
9.78468 47.51531 0.10377 0.36532 0.92515 0.29950 0.25187 0.67299 0 0 0 pfan
11.71687 44.34886 0.94489 3.32826 0.13844 0.52134 0.80066 1.73055 0 0 0 imol
7.82669 44.39026 0.30898 0.03144 0.58658 0.25341 0.41093 0.98161 0 0 0 moge
29.01934 41.10445 -0.99756 -1.48429 0.13164 0.69033 0.83829 0.53531 0 0 0 ista
104.81592 33.42304 7.09072 -1.93244 -0.25951 1.14549 0.81180 2.10174 0 0 0 gswd
105.66892 38.81025 3.69511 -0.14926 0.13221 0.61297 0.59701 1.73847 0 0 0 nmaz
13.35427 42.36784 -0.50081 1.83369 -0.31715 0.40731 0.47204 0.71392 0 0 0 aqra
8.92114 44.41939 0.15107 0.05485 -0.26625 0.13997 0.14737 0.34833 0 0 0 geno
13.11041 47.80340 0.06686 0.63084 0.37245 0.34045 0.29393 0.83679 0 0 0 sbg2
18.10953 42.65003 0.46361 3.41592 -1.22670 0.60879 0.56681 0.79911 0 0 0 dub2
10.94909 44.62927 0.72291 3.19645 -2.68894 0.39977 0.43163 1.42354 0 0 0 mode
7.66067 44.64764 0.05583 -0.12050 0.00291 0.28780 0.36299 0.51514 0 0 0 sav0
20.67332 38.78129 -3.12804 -10.21400 -0.45494 1.00341 0.95884 0.91567 0 0 0 span
14.00154 42.65840 1.26071 3.15458 -0.31958 0.39338 0.39164 0.89107 0 0 0 rsto
9.68979 45.04318 0.01391 0.98240 -0.17986 0.48946 0.61751 1.09838 0 0 0 pia1
11.35548 44.50246 0.90599 3.25968 -0.95761 0.67080 0.73322 1.80760 0 0 0 blgn
81.71416 28.65601 6.06378 33.57675 0.11719 0.80612 0.44218 1.65194 0 0 0 bmcl
82.81799 28.98348 5.67004 25.41931 3.24687 0.65567 0.59633 1.37777 0 0 0 dlpa
80.50089 29.73363 3.15585 29.68893 2.45892 1.00740 1.59131 1.56636 0 0 0 drcl
83.74315 28.80549 6.73948 26.53160 2.99807 0.68161 0.71736 0.92173 0 0 0 jmsm
89.63421 27.47258 12.64431 30.47128 -2.18473 0.92385 1.63676 1.67221 0 0 0 timp
103.17694 26.10741 6.30866 -7.02009 0.87628 0.97127 0.83525 1.26641 0 0 0 yndc
101.04909 22.74095 1.15648 -7.67940 -1.90839 1.02323 1.06323 1.38395 0 0 0 ynsm
101.67595 39.20955 3.22324 0.61340 0.44003 1.04015 0.62429 0.41104 0 0 0 nmay
102.43700 28.30052 9.58463 -8.40820 -0.61508 1.20370 0.98809 1.37622 0 0 0 scxd
101.77352 36.60015 9.94546 2.13182 0.01848 0.59736 0.57198 1.28284 0 0 0 xnin
31.34339 29.86145 -3.53802 5.82036 1.42546 0.60100 1.32202 1.50766 0 0 0 slrx
35.39220 31.59337 -3.35349 8.39769 3.17025 0.28770 0.22037 0.38852 0 0 0 drag
51.33410 35.69728 -1.15386 11.53673 1.30444 0.50813 0.61387 0.23154 0 0 0 tehn
31.97284 46.97279 -0.65186 -0.31966 0.27906 0.23254 0.22509 0.39250 0 0 0 mikl
9.83966 44.07329 0.12870 0.55582 -0.23242 0.20986 0.22037 0.55758 0 0 0 lasp
7.92722 45.07393 0.42108 -0.03675 -0.15685 0.20451 0.17837 0.62544 0 0 0 monc
19.93554 39.74636 -3.47237 -0.18383 -0.57867 0.38746 0.37198 1.26015 0 0 0 kasi
23.86403 38.04706 -16.43635 -25.38369 0.53200 0.43956 0.56371 0.56946 0 0 0 noa1
