lon lat veast_eu vnorth_eu vup_itrf14 seast snorth sup covassumed0 covassumed0 covassumed0 sta
12.87872 49.14430 -0.00968 0.07525 0.20461 0.38911 0.39732 0.83175 0 0 0 wtzr
91.10397 29.65729 17.50400 18.65397 0.91379 0.69083 0.71643 0.46995 0 0 0 lhaz
7.46518 46.87711 -0.06478 0.30994 0.88440 0.41081 0.47739 0.41366 0 0 0 zimm
16.70447 40.64913 0.69907 4.26241 0.44179 0.46627 0.54196 0.49047 0 0 0 mate
12.34951 45.43611 -0.14023 1.65518 -1.08057 0.70339 0.72704 1.24011 0 0 0 ven1
80.95602 26.91216 7.79587 34.55558 -2.27718 1.80274 0.77457 0.96089 0 0 0 lcki
11.27963 48.08601 -0.01837 0.18495 0.15338 0.35464 0.29879 1.01558 0 0 0 ober
23.93250 38.07856 -16.32876 -25.50753 0.21516 0.71121 0.64589 1.19887 0 0 0 dion
50.60814 26.20914 3.15793 21.79851 -0.40195 0.95336 0.89530 0.62124 0 0 0 bahr
66.88545 39.13468 -0.75749 0.56151 -0.66699 0.65801 0.85323 0.91440 0 0 0 kit3
15.49347 47.06714 0.45054 0.54798 0.02360 0.54656 0.66336 0.76482 0 0 0 graz
5.35677 43.27846 -0.10918 0.05133 -0.47139 0.26129 0.27642 0.56035 0 0 0 mars
34.76314 30.59761 -2.87730 7.58542 0.98187 0.24350 0.26577 0.48729 0 0 0 ramo
11.12219 42.42804 -0.92946 0.56147 -0.18202 0.43680 0.46777 1.10918 0 0 0 maon
6.92063 43.75472 0.02042 0.14139 0.01153 0.15968 0.17176 0.38648 0 0 0 gras
101.40307 37.46002 8.37971 2.38863 0.40212 0.77753 0.58018 1.15007 0 0 0 g070
11.64677 44.52000 1.04890 2.43213 -1.56354 0.27879 0.28468 0.56870 0 0 0 medi
14.78562 49.91369 -0.30397 -0.09962 0.25840 0.42159 0.52051 0.74283 0 0 0 gope
114.35698 30.53115 5.66809 -1.89166 0.16314 0.91818 1.04885 1.55556 0 0 0 wuhn
88.17263 39.02246 1.13642 8.86191 -0.87026 0.90858 0.61509 1.26083 0 0 0 xjrq
30.49673 50.36419 -0.97353 -0.18752 0.17809 0.53124 0.72065 0.40788 0 0 0 glsv
41.56507 43.78835 -0.63404 0.80179 1.06016 0.60190 0.61551 1.44934 0 0 0 zeck
17.27387 48.37272 0.12901 0.21969 0.22683 0.27683 0.27205 1.05156 0 0 0 mopi
14.98977 36.87587 -1.73847 4.62609 -0.71885 0.27802 0.33524 0.42466 0 0 0 not1
8.97275 39.13591 -0.22315 0.27205 -0.27420 0.23625 0.19239 0.40758 0 0 0 cagl
11.89216 45.41114 -0.06096 1.49902 -0.57334 0.28178 0.52474 1.07130 0 0 0 pado
8.61634 44.92313 -0.20466 0.30138 -0.36150 0.52169 0.52617 1.06510 0 0 0 ale0
