lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 sta
12.87879 49.14428 -0.01036 0.11352 0.24840 0.02289 0.02953 0.16855 0 0 0 wtzr
91.10400 29.65730 17.47881 18.65055 0.91868 0.12049 0.19534 0.13388 0 0 0 lhas
12.35070 45.43593 -0.14864 1.82749 -1.22940 0.07576 0.10281 0.31894 0 0 0 ven1
50.60810 26.20910 3.47389 21.64643 -0.50073 0.10614 0.14992 0.36315 0 0 0 bahr
7.46510 46.87710 -0.02264 0.36120 0.78954 0.12745 0.07350 0.13910 0 0 0 zimm
1.48130 43.55978 0.04691 0.10755 -0.29428 0.06463 0.04112 0.16829 0 0 0 toul
80.95577 26.91220 8.13152 34.52602 -2.33590 0.22292 0.16945 0.38363 0 0 0 lcki
66.88545 39.13473 -0.84576 1.24604 -1.01984 0.21333 0.19427 0.49103 0 0 0 kit3
16.70450 40.64906 0.74212 4.30134 0.44211 0.06431 0.04401 0.13532 0 0 0 mate
74.69410 42.67979 -1.08585 2.87976 0.38184 0.10369 0.15189 0.84473 0 0 0 pol2
104.31620 52.21900 -1.58200 -0.06698 0.41766 0.10099 0.10276 0.10490 0 0 0 irkt
88.17329 39.02367 1.10200 8.90207 -1.08738 0.32044 0.23706 0.52196 0 0 0 xjrq
11.27969 48.08604 0.01590 0.20177 0.06892 0.06003 0.05096 0.22685 0 0 0 ober
15.49348 47.06710 0.49895 0.63608 -0.04559 0.07093 0.08035 0.22682 0 0 0 graz
21.03166 52.09736 -0.39830 -0.10542 0.06535 0.03187 0.05801 0.17985 0 0 0 joze
4.38755 51.98601 -0.18063 -0.30949 -0.49661 0.06938 0.08266 0.28549 0 0 0 delf
101.40171 37.46795 8.06217 2.32192 0.24785 0.14674 0.16756 0.26493 0 0 0 qhme
23.93249 38.07859 -16.25153 -25.45154 0.04913 0.18476 0.13174 0.39193 0 0 0 dion
13.06647 52.37935 -0.37472 -0.06377 0.06166 0.02670 0.03898 0.19744 0 0 0 pots
21.03525 52.47547 -0.47136 0.06715 0.02891 0.03476 0.04363 0.10428 0 0 0 bogo
87.60100 43.80800 2.34488 7.71535 0.61301 0.20464 0.31997 0.34610 0 0 0 urum
77.01690 43.17873 -0.35790 2.96613 0.12884 0.32421 0.27643 1.55000 0 0 0 sele
0.33577 50.86733 -0.22466 0.16249 -0.09278 0.06246 0.06762 0.19768 0 0 0 hers
11.12199 42.42803 -0.95220 0.57742 -0.23158 0.09352 0.07869 0.36257 0 0 0 maon
12.10776 42.42100 -1.18345 0.85575 0.81738 0.16134 0.14840 0.51573 0 0 0 virb
14.78561 49.91370 -0.29348 -0.02078 0.21004 0.03292 0.04388 0.21904 0 0 0 gop6
