lon lat veast_eu vnorth_eu seast snorth covassumed0 name type
106.68377 37.45085 31.81114 -9.19832 0.34531 0.21905 0 d098 GNSS
35.62970 32.98119 22.80640 22.03842 0.11808 0.22770 0 kn08 GNSS
77.60214 34.12857 26.39815 20.75874 0.79235 0.29270 0 rscl GNSS
106.50900 33.91500 33.43744 -8.71834 0.30157 0.26084 0 h001 GNSS
106.35300 37.81100 31.92388 -8.90723 0.26757 0.36715 0 d096 GNSS
105.98500 36.27900 34.41803 -7.97742 0.23268 0.33206 0 g013 GNSS
105.29400 36.50400 36.61548 -8.37980 0.17303 0.29923 0 g014 GNSS
106.58100 35.45800 33.86692 -9.80187 0.22724 0.31418 0 g024 GNSS
105.79400 35.07900 34.13613 -9.56737 0.25145 0.27498 0 g030 GNSS
106.40100 34.51600 33.64942 -10.17527 0.30510 0.32828 0 g036 GNSS
104.10400 35.03800 36.05786 -6.64988 0.48638 0.23448 0 g114 GNSS
104.54200 35.04600 35.89261 -7.04405 0.33390 0.22338 0 g116 GNSS
104.94000 34.71400 35.31636 -8.44931 0.48767 0.36773 0 g120 GNSS
104.91500 34.46700 35.50401 -8.10769 0.32371 0.22963 0 g121 GNSS
106.15500 33.34000 33.88952 -9.61344 0.31705 0.23929 0 h007 GNSS
105.22600 32.57100 34.17309 -8.86418 0.38675 0.25382 0 h010 GNSS
100.93600 37.96700 32.88077 -3.50331 0.33076 0.24479 0 g065 GNSS
100.16200 37.31500 36.42338 -2.42373 0.25850 0.16155 0 g075 GNSS
104.48000 34.85000 36.12388 -6.10722 0.37760 0.52529 0 g119 GNSS
106.56000 34.73279 34.50419 -9.23430 0.22929 0.28828 0 g362 GNSS
85.53800 38.08100 27.73614 10.19993 0.48599 0.39999 0 jb46 GNSS
102.99100 33.57100 39.37067 -7.00567 0.28795 0.29722 0 h026 GNSS
104.57100 32.40500 34.53718 -8.84764 0.41632 0.26081 0 h032 GNSS
99.53567 25.46350 26.96714 -16.03414 0.77177 0.96877 0 h205 GNSS
106.81400 39.68000 31.04758 -9.35218 0.31048 0.28876 0 d084 GNSS
104.50500 40.73900 30.37384 -6.87662 0.18481 0.24351 0 g042 GNSS
31.34343 29.86157 22.66821 18.41208 0.26091 0.32690 0 phlw GNSS
103.61300 32.59100 36.37884 -8.77992 0.31088 0.24774 0 h030 GNSS
29.92893 40.42473 5.28748 10.19387 1.34939 0.67500 0 iuck GNSS
42.45743 37.52791 19.42836 25.76858 0.57578 0.65417 0 srnk GNSS
103.00357 29.97543 35.72029 -10.23779 0.31049 0.31580 0 h065 GNSS
35.60805 32.97425 22.67563 21.33044 0.10246 0.29943 0 kn02 GNSS
109.97375 41.76469 29.48651 -9.30668 0.29695 0.30389 0 d040 GNSS
