lon lat veast_eu vnorth_eu seast snorth covassumed0 types names studies
106.68377 37.45085 31.81114 -9.19832 0.34542 0.21912 0 GNSS d098_db06 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
35.62970 32.98119 22.80640 22.03842 0.11810 0.22764 0 GNSS kn03_kn04_kn05_kn06_kn07_kn08_kn09_kn10_kn11_kn12 hamiel21(hamiel21)
77.60214 34.12857 26.39815 20.75874 0.79206 0.29268 0 GNSS leh__rscl_sabu jade14(jade14)_jade17(jade17)_jade20(jade20)_kreemer14(Banerjee_GRL_2008)_kreemer14(Ischuk_JGR_2013)_kreemer14(Jade_GSAB_2004)_kreemer14(Mahesh_GondwanaResearch_2012)_perry19(perry19)_rui19(Banerjee_GRL_2008)_wang17(wang17)_zhang24(wang21)_zhou16(Zubovich_Tectonics_2010)
106.50900 33.91500 33.43744 -8.71834 0.30134 0.26066 0 GNSS h001 gan22(Cmonoc_I)_hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
106.35300 37.81100 31.92388 -8.90723 0.26751 0.36731 0 GNSS d096 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
105.98500 36.27900 34.41803 -7.97742 0.23249 0.33193 0 GNSS g013 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
105.29400 36.50400 36.61548 -8.37980 0.17281 0.29911 0 GNSS g014 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
106.58100 35.45800 33.86692 -9.80187 0.22717 0.31422 0 GNSS g024 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
105.79400 35.07900 34.13613 -9.56737 0.25144 0.27488 0 GNSS g030 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
106.40100 34.51600 33.64942 -10.17527 0.30570 0.32765 0 GNSS g036 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
