lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87869 49.14430 -0.01501 0.12204 0.21540 0.07045 0.08176 0.29639 0 0 0 wtzr GNSS
12.34494 45.43580 -0.06370 1.79811 -1.21664 0.17111 0.16645 0.53617 0 0 0 ven1 GNSS
91.10400 29.65733 17.54904 18.72025 0.91710 0.29240 0.29491 0.34067 0 0 0 lhas GNSS
50.60814 26.20914 3.50820 21.72987 -0.47273 0.23674 0.24253 0.36992 0 0 0 bahr GNSS
80.95576 26.91221 8.29176 34.67301 -2.23907 0.44915 0.33016 0.62274 0 0 0 lcki GNSS
66.88550 39.13471 -0.80929 1.32046 -1.03753 0.38550 0.35306 0.66574 0 0 0 kit3 GNSS
7.46510 46.87710 -0.00032 0.38053 0.76389 0.09310 0.08543 0.20219 0 0 0 zimm GNSS
1.48122 43.55962 0.06657 0.16174 -0.31302 0.08389 0.08637 0.24991 0 0 0 toul GNSS
74.69427 42.67977 -1.19991 2.89807 0.85990 0.26010 0.25378 0.78149 0 0 0 pol2 GNSS
16.70450 40.64910 0.79055 4.35030 0.44242 0.10581 0.09178 0.17706 0 0 0 mate GNSS
11.27967 48.08604 0.02371 0.23461 -0.02805 0.09443 0.10212 0.46636 0 0 0 ober GNSS
88.17303 39.02316 1.13838 8.99929 -0.96410 0.52092 0.39538 0.57480 0 0 0 xjrq GNSS
101.40171 37.46792 8.08740 2.31729 0.24785 0.27783 0.17266 0.25868 0 0 0 qhme GNSS
15.49348 47.06710 0.50350 0.65773 -0.13454 0.11697 0.13790 0.37113 0 0 0 graz GNSS
23.93248 38.07856 -16.34119 -25.48772 0.17200 0.29236 0.21799 0.50692 0 0 0 dion GNSS
4.38757 51.98609 -0.19921 -0.27333 -0.46839 0.10842 0.12469 0.22887 0 0 0 delf GNSS
114.35727 30.53166 5.02154 -2.13575 0.50264 0.39402 0.33231 0.78529 0 0 0 wuhn GNSS
11.89187 45.41101 -0.06861 1.64900 -0.65734 0.10982 0.24969 0.49581 0 0 0 pado GNSS
77.01690 43.17873 -0.64223 3.22512 0.47121 0.26953 0.45241 0.25867 0 0 0 sele GNSS
0.33591 50.86734 -0.22662 0.17719 -0.09671 0.07903 0.07461 0.23112 0 0 0 hers GNSS
11.12196 42.42803 -0.92832 0.63876 -0.23158 0.17307 0.13677 0.48558 0 0 0 maon GNSS
12.10744 42.41996 -1.37474 0.80315 0.81738 0.29862 0.30083 0.63624 0 0 0 virb GNSS
100.23631 38.18434 5.01007 2.24460 0.73048 0.31077 0.19958 0.80672 0 0 0 qhql GNSS
29.01934 41.10445 -0.82078 -1.29891 -0.04673 0.31017 0.28175 0.27153 0 0 0 ista GNSS
14.78561 49.91370 -0.28981 0.00214 0.20604 0.07564 0.06878 0.35186 0 0 0 gope GNSS
