lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87869 49.14430 20.31986 15.56273 0.21540 0.06636 0.08283 0.29687 0 0 0 wtzr GNSS
12.34494 45.43580 21.02279 17.29200 -1.21664 0.17151 0.16633 0.53678 0 0 0 ven1 GNSS
91.10400 29.65733 46.35330 15.79357 0.91710 0.29156 0.29552 0.34091 0 0 0 lhas GNSS
50.60814 26.20914 31.22269 30.13317 -0.47273 0.23700 0.24303 0.37025 0 0 0 bahr GNSS
80.95576 26.91221 37.06349 34.68267 -2.23907 0.44900 0.33051 0.62262 0 0 0 lcki GNSS
66.88550 39.13471 27.86756 5.36508 -1.03753 0.38565 0.35323 0.66700 0 0 0 kit3 GNSS
7.46510 46.87710 19.78347 16.33744 0.76389 0.08679 0.09204 0.20294 0 0 0 zimm GNSS
1.48122 43.55962 19.47448 16.52166 -0.31302 0.08395 0.08542 0.25002 0 0 0 toul GNSS
74.69427 42.67977 27.54366 4.71941 0.85990 0.25801 0.25223 0.78251 0 0 0 pol2 GNSS
16.70450 40.64910 23.61119 19.35169 0.44242 0.10615 0.09571 0.17721 0 0 0 mate GNSS
11.27967 48.08604 20.28631 15.83778 -0.02805 0.09472 0.10047 0.46620 0 0 0 ober GNSS
88.17303 39.02316 30.04961 6.90713 -0.96410 0.52094 0.39555 0.57470 0 0 0 xjrq GNSS
101.40171 37.46792 36.48917 -3.49569 0.24785 0.27803 0.17288 0.25850 0 0 0 qhme GNSS
15.49348 47.06710 21.83386 15.79004 -0.13454 0.10736 0.13647 0.37116 0 0 0 graz GNSS
23.93248 38.07856 8.02169 -11.53586 0.17200 0.28745 0.21779 0.50673 0 0 0 dion GNSS
4.38757 51.98609 17.56470 15.90119 -0.46839 0.11267 0.12646 0.22889 0 0 0 delf GNSS
114.35727 30.53166 32.60307 -11.29961 0.50264 0.39453 0.33186 0.78516 0 0 0 wuhn GNSS
11.88743 45.41133 20.93431 17.18935 -0.65734 0.10975 0.24995 0.49564 0 0 0 pado GNSS
77.01690 43.17873 28.10997 4.37925 0.47121 0.27233 0.44192 0.25883 0 0 0 sele GNSS
0.33591 50.86734 16.96826 16.59755 -0.09671 0.07942 0.07339 0.23173 0 0 0 hers GNSS
11.12205 42.42803 20.53102 16.25429 -0.23158 0.17376 0.13867 0.48546 0 0 0 maon GNSS
12.10720 42.42020 20.42486 16.39175 0.81738 0.28616 0.25858 0.63634 0 0 0 virb GNSS
100.23631 38.18434 33.45487 -3.25022 0.73048 0.31135 0.19872 0.80709 0 0 0 qhql GNSS
29.01934 41.10445 23.91117 11.77073 -0.04673 0.30113 0.26348 0.27145 0 0 0 ista GNSS
5.35678 43.27846 20.08129 16.19127 -0.52248 0.09276 0.08821 0.23602 0 0 0 mars GNSS
14.78561 49.91370 20.25333 15.23876 0.20604 0.06339 0.05831 0.35254 0 0 0 gop6 GNSS
8.61633 44.92313 20.33637 16.27201 -0.22763 0.14070 0.19085 0.55535 0 0 0 ale0 GNSS
9.11116 39.22927 21.56110 16.18987 -0.43772 0.08671 0.09518 0.22472 0 0 0 cag1 GNSS
32.75848 39.88736 2.15141 11.19386 -1.04979 0.52725 0.35218 0.20732 0 0 0 ankr GNSS
33.39645 35.14099 19.41753 15.69864 0.03878 0.12411 0.14741 0.44158 0 0 0 nico GNSS
34.76314 30.59760 23.54923 19.67193 0.92934 0.10309 0.10382 0.22501 0 0 0 ramo GNSS
8.40904 49.01068 19.49421 15.98446 -0.13362 0.08322 0.08015 0.21569 0 0 0 karl GNSS
11.35546 44.50252 21.97273 19.03577 -1.02142 0.30432 0.36369 0.90907 0 0 0 blgn GNSS
13.78816 45.66054 21.08246 17.80037 -0.20042 0.14331 0.06467 0.31081 0 0 0 rtri GNSS
102.79732 25.02961 32.50643 -18.38080 -0.29911 0.91319 0.70579 0.44602 0 0 0 kunm GNSS
14.98979 36.87586 21.41883 19.84127 -0.72991 0.11035 0.09839 0.15982 0 0 0 not1 GNSS
29.45069 40.78672 19.79151 11.65415 -0.80074 0.39140 0.22439 0.23543 0 0 0 tubi GNSS
4.35913 50.79785 17.79108 16.20374 0.38961 0.11913 0.07994 0.20317 0 0 0 brus GNSS
8.97275 39.13590 21.57421 16.15503 -0.30810 0.08244 0.04467 0.18307 0 0 0 cagl GNSS
6.92061 43.75471 20.40322 16.18559 0.12156 0.06704 0.05192 0.14140 0 0 0 gras GNSS
17.27388 48.37270 21.52336 15.18137 0.19841 0.09440 0.08174 0.45919 0 0 0 mopi GNSS
