lon lat veast_eu vnorth_eu seast snorth covassumed0 sta
35.62970 32.98119 -3.60567 10.11917 0.05869 0.18564 0 kn08
77.60217 34.12833 -2.89772 19.43172 0.35104 0.24650 0 rscl
106.68400 37.45083 3.64101 -1.97332 0.17802 0.10263 0 d098
106.50900 33.91500 5.19050 -1.70724 0.11862 0.16066 0 h001
78.97300 32.77900 -1.38419 18.93682 0.21443 0.29410 0 hanl
106.35300 37.81100 3.93394 -1.77559 0.21979 0.20953 0 d096
105.98500 36.27900 6.27785 -1.01474 0.27799 0.19468 0 g013
105.29400 36.50400 8.41055 -1.59298 0.20768 0.16923 0 g014
106.58100 35.45800 5.71133 -2.67511 0.12908 0.17748 0 g024
105.79400 35.07900 5.94445 -2.60978 0.15808 0.14198 0 g030
106.40100 34.51600 5.44833 -3.00676 0.42229 0.19146 0 g036
104.10400 35.03800 7.78084 -0.17765 0.34873 0.41583 0 g114
104.54200 35.04600 7.67550 -0.40563 0.23896 0.13154 0 g116
104.94000 34.71400 6.96071 -1.76323 0.28122 0.24958 0 g120
104.91500 34.46700 7.15829 -1.38236 0.23927 0.22676 0 g121
31.34305 29.86200 -3.43592 5.74806 0.23280 0.32711 0 phlw
109.22100 34.36900 5.74041 -3.26778 0.45644 0.31043 0 xian
77.12562 28.48188 6.86127 32.09780 0.73581 0.44690 0 delh
92.41500 27.27000 13.18379 23.41586 0.67212 0.67060 0 bomd
85.53800 38.08100 -1.26001 11.45006 0.31655 0.32327 0 jb46
106.15500 33.34000 5.65580 -2.54968 0.16980 0.20296 0 h007
105.22600 32.57100 5.90386 -2.04955 0.57576 0.27776 0 h010
99.53550 25.46337 -1.48432 -10.56824 0.48369 0.72862 0 h205
35.60805 32.97425 -3.73455 9.40704 0.02349 0.27575 0 kn02
109.97375 41.76469 1.96566 -1.21651 0.21443 0.23208 0 d040
107.38700 35.28800 4.93327 -2.42464 0.13390 0.19930 0 d065
106.81400 39.68000 3.09446 -2.12431 0.26821 0.14821 0 d084
104.50500 40.73900 2.37821 -0.29064 0.18282 0.29848 0 g042
100.93600 37.96700 4.46367 2.19829 0.59020 0.38793 0 g065
100.16200 37.31500 7.91710 3.05409 0.15786 0.03784 0 g075
104.48000 34.85000 7.68484 0.27008 0.27324 0.54939 0 g119
106.56000 34.73262 6.24688 -2.24809 0.14858 0.08039 0 g362
72.45641 32.60849 2.23466 27.23118 0.24871 0.62466 0 2004
72.35213 33.13153 1.59766 28.86424 0.21416 0.28624 0 903x
85.28800 27.68200 NaN NaN NaN NaN 0 kirt
89.91550 38.40900 4.69778 6.77680 0.62962 0.36051 0 scan
92.73178 23.72356 6.18251 32.34326 0.23242 0.29644 0 aizw
93.92500 24.74900 1.56323 23.76462 0.31061 0.19068 0 imph
102.99100 33.57100 10.95505 -0.81399 0.15263 0.15809 0 h026
104.57100 32.40500 6.19704 -2.15386 0.30959 0.47956 0 h032
81.63478 28.58533 5.94284 33.93623 0.42659 0.42668 0 ska0
71.48700 34.00400 1.10656 27.13960 0.58667 0.82688 0 nceg
66.99056 30.16533 -5.94737 13.39733 0.94256 1.81327 0 qtag
102.37700 36.49900 10.22233 1.76598 0.80004 0.80004 0 g087
112.96900 38.44300 3.34161 -2.10881 0.20632 0.21592 0 a035
103.61300 32.59100 7.96210 -2.42915 0.27524 0.09194 0 h030
95.80100 40.51400 1.74391 3.41025 0.32205 0.39723 0 g126
84.33400 43.65200 2.21381 6.76999 0.19540 0.32277 0 i045
93.62600 42.81000 3.28061 4.67845 0.44537 0.44869 0 jb43
86.33300 37.21300 4.14563 13.94468 0.26781 0.08409 0 at03
99.19600 34.27100 16.42482 4.05208 0.70256 0.33614 0 j406
97.95600 34.40000 19.11984 5.51060 0.50757 0.39013 0 j400
42.45720 37.52795 -7.45791 15.37474 0.68234 0.28667 0 srnk
36.33404 41.30755 -1.60465 2.14358 0.29073 0.15932 0 sams
29.92896 40.42486 -20.69217 -3.21916 1.56230 0.36117 0 iuck
38.99689 37.17489 -7.92924 14.44813 0.17673 0.12468 0 hrrn
103.86500 30.69200 6.44815 -2.66896 0.55601 0.36338 0 h059
103.00367 29.97550 7.39960 -3.98813 0.30714 0.14023 0 h065
103.46800 29.60200 5.67563 -3.17896 0.44329 0.21036 0 h076
102.65500 29.34800 7.32928 -4.24874 1.19802 0.51474 0 h077
103.04300 28.84700 6.22371 -4.01663 0.86606 0.32989 0 h086
103.97800 28.60500 5.67777 -2.72165 0.96641 0.55210 0 h088
100.09400 25.97900 2.00973 -12.90315 0.75032 0.36155 0 h124
102.57700 24.37500 2.69202 -10.23564 0.58488 0.51591 0 h149
102.83600 23.22400 5.25879 -5.14072 1.09876 0.38281 0 h166
99.29300 27.18000 4.36329 -11.36021 0.30366 0.45379 0 h196
98.81500 25.98700 1.46867 -8.75167 0.58018 0.22375 0 h203
106.03400 30.80400 5.80958 -2.29152 0.14624 0.38278 0 jb24
106.66500 26.41500 5.59254 -2.07118 0.24979 0.49578 0 jb25
106.83100 22.10700 5.38435 -2.37130 0.18891 0.31808 0 jb26
99.91800 22.55400 -0.57956 -4.01585 0.22965 0.22615 0 jb42
113.13200 41.01900 2.02544 -0.94971 0.13071 0.14029 0 a005
112.84100 39.81900 4.12327 -1.67649 0.32041 0.17461 0 a024
113.73900 39.29300 3.50738 -1.73138 0.22621 0.13051 0 a038
116.61980 41.22014 1.33320 -1.01521 0.09716 0.20003 0 a068
114.65000 38.33200 3.22544 -1.83495 0.22022 0.20861 0 c006
114.35700 38.02800 3.26020 -2.38068 0.30935 0.20898 0 c016
113.37100 37.08600 2.70798 -2.11438 0.28162 0.16523 0 c025
114.68400 36.43900 4.05917 -1.68765 0.30367 0.28377 0 c030
113.77500 35.50000 4.46578 -2.36873 0.28939 0.27044 0 c040
113.21200 35.26800 4.42342 -2.32142 0.13266 0.14877 0 c047
112.40500 34.70300 5.14414 -2.22783 0.24547 0.17969 0 c052
113.86400 34.02800 4.55924 -2.12377 0.28147 0.36152 0 c053
112.04800 34.12300 5.19058 -2.41792 0.12585 0.17446 0 c055
113.31200 32.75100 5.37702 -2.86404 0.23283 0.31968 0 c059
111.47500 33.28000 4.76678 -2.11655 0.23976 0.09239 0 c060
111.20600 40.26600 3.04107 -0.42847 0.23307 0.72349 0 d009
112.22600 36.15000 4.24402 -2.49953 0.13121 0.24027 0 d026
111.77200 36.25900 4.90955 -2.31108 0.29037 0.26321 0 d027
111.54400 36.12900 5.16282 -2.77928 0.38391 0.26840 0 d029
