lon lat veast_eu vnorth_eu seast snorth covassumed0 name type
106.68377 37.45085 3.77824 -1.95698 0.61415 0.51045 0 d098 GNSS
35.62970 32.98119 -3.54396 10.25262 0.22223 0.35519 0 kn08 GNSS
77.60214 34.12857 -2.63513 19.79797 1.27341 0.61787 0 rscl GNSS
106.50900 33.91500 5.28702 -1.54287 0.57372 0.58595 0 h001 GNSS
106.35300 37.81100 3.87771 -1.76942 0.51202 0.59525 0 d096 GNSS
105.98500 36.27900 6.28648 -0.93520 0.43875 0.53050 0 g013 GNSS
105.29400 36.50400 8.44296 -1.52021 0.37766 0.51053 0 g014 GNSS
106.58100 35.45800 5.75614 -2.60458 0.43082 0.54327 0 g024 GNSS
105.79400 35.07900 5.96118 -2.57896 0.51388 0.61408 0 g030 GNSS
106.40100 34.51600 5.50587 -3.02519 0.65698 0.67512 0 g036 GNSS
104.10400 35.03800 7.76534 -0.10618 0.76739 0.54655 0 g114 GNSS
104.54200 35.04600 7.62959 -0.38175 0.66087 0.48053 0 g116 GNSS
104.94000 34.71400 7.07594 -1.68888 0.77170 0.63842 0 g120 GNSS
104.91500 34.46700 7.25543 -1.34989 0.58320 0.51377 0 g121 GNSS
106.15500 33.34000 5.70950 -2.54160 0.68075 0.58932 0 h007 GNSS
105.22600 32.57100 5.92145 -2.02265 0.68025 0.63310 0 h010 GNSS
100.93600 37.96700 4.46996 2.17910 0.69665 0.57770 0 g065 GNSS
100.16200 37.31500 7.94680 3.04830 0.50575 0.39027 0 g075 GNSS
104.48000 34.85000 7.85522 0.54007 0.63309 0.82571 0 g119 GNSS
106.56000 34.73279 6.37602 -2.04181 0.38387 0.45877 0 g362 GNSS
85.53800 38.08100 -1.24939 11.53723 0.75834 0.65920 0 jb46 GNSS
102.99100 33.57100 10.98451 -0.76134 0.60451 0.61151 0 h026 GNSS
104.57100 32.40500 6.25047 -2.18405 0.80372 0.52035 0 h032 GNSS
99.53567 25.46350 -1.31658 -10.73169 1.45930 1.51540 0 h205 GNSS
106.81400 39.68000 3.14149 -2.09129 0.58520 0.55258 0 d084 GNSS
104.50500 40.73900 2.36241 -0.22183 0.37973 0.44331 0 g042 GNSS
103.61300 32.59100 8.03192 -2.37013 0.60241 0.59575 0 h030 GNSS
29.92893 40.42473 -19.64217 -2.71436 2.05610 1.13823 0 iuck GNSS
42.45743 37.52791 -7.39693 15.41996 0.99082 1.10103 0 srnk GNSS
103.00357 29.97543 7.37785 -3.99118 0.63639 0.73296 0 h065 GNSS
35.60805 32.97425 -3.67268 9.54021 0.17271 0.36869 0 kn02 GNSS
109.97375 41.76469 2.01365 -1.23415 0.48154 0.50702 0 d040 GNSS
106.44300 38.88800 3.51341 -0.50564 0.60464 0.68424 0 d367 GNSS
105.19900 35.21500 6.93749 -1.32735 0.88111 0.72266 0 g357 GNSS
77.19200 32.31700 -1.83417 24.40659 1.13107 3.20407 0 kot1 GNSS
109.22149 34.36867 5.69425 -2.83055 0.64057 0.79922 0 xian GNSS
95.80100 40.51400 1.37798 3.27908 0.66980 0.48825 0 jb28 GNSS
77.12591 28.48226 7.31724 32.98034 1.37033 1.14736 0 delh GNSS
84.33400 43.65200 2.22363 6.81220 0.40951 0.73397 0 i045 GNSS
93.62600 42.81000 3.32306 4.69518 0.39390 0.92680 0 jb43 GNSS
78.97336 32.77862 -1.14464 18.93584 0.66574 0.78429 0 hanl GNSS
92.73178 23.72356 6.90266 32.80277 0.81116 0.71554 0 aizw GNSS
93.92500 24.74900 1.82075 24.15435 0.74225 0.47780 0 imph GNSS
97.95600 34.40000 19.06317 5.72767 1.24457 1.08805 0 j400 GNSS
99.19600 34.27100 16.43495 4.05208 1.06773 0.99459 0 j406 GNSS
70.94000 42.78300 -1.67807 0.35801 0.88163 0.81242 0 kta4 GNSS
75.08600 43.37900 -1.12114 1.56431 0.70256 1.10151 0 kur4 GNSS
41.79286 38.75328 -5.56349 12.40085 0.52193 0.52971 0 krkt GNSS
41.05681 38.95880 -5.90881 13.00721 1.03755 0.43653 0 solh GNSS
36.33382 41.30850 -1.55601 2.20912 0.44147 0.35317 0 sams GNSS
103.46800 29.60200 5.59554 -3.26108 0.93039 0.91505 0 h076 GNSS
102.65500 29.34800 7.25870 -3.89312 1.03220 0.93300 0 h077 GNSS
103.04300 28.84700 6.07640 -3.85265 1.30431 0.85367 0 h086 GNSS
100.09400 25.97900 2.08137 -12.74565 1.59038 1.12154 0 h124 GNSS
102.57700 24.37500 2.35238 -10.36537 1.49830 1.11928 0 h149 GNSS
102.83600 23.22400 5.11255 -4.91922 1.31146 1.00011 0 h166 GNSS
99.29300 27.18000 4.58568 -10.99657 1.02816 0.97179 0 h196 GNSS
98.81500 25.98700 1.33695 -8.65924 0.94533 0.77937 0 h203 GNSS
106.03400 30.80400 5.69945 -2.29735 0.63825 0.67489 0 jb24 GNSS
99.91800 22.55400 -0.85606 -3.90257 0.98363 0.65268 0 jb42 GNSS
100.81400 35.24400 10.76943 5.04184 0.72432 0.83481 0 g358 GNSS
44.09611 40.17800 2.04806 6.90328 0.51411 0.58862 0 mmor GNSS
78.96607 39.87701 -0.26844 16.57168 0.65571 0.84304 0 akta GNSS
76.97792 40.84425 -0.25720 12.28853 0.47584 1.20704 0 qiqi GNSS
75.47900 38.85300 -0.14915 21.97165 0.61581 0.65634 0 gaze GNSS
76.46300 38.65600 -1.43973 20.35964 0.69808 0.76327 0 kizi GNSS
77.24800 38.41200 -2.89630 20.64765 1.25725 1.39018 0 shac GNSS
76.30577 32.24760 0.21595 28.81380 1.30191 1.46726 0 nadi GNSS
78.36650 30.39900 5.37675 31.44034 1.31218 1.38803 0 cham GNSS
89.33900 38.11000 6.19477 10.57206 0.96206 0.92784 0 g333 GNSS
75.76800 37.84000 -2.02043 21.41666 0.82878 0.56604 0 i407 GNSS
92.41500 27.27000 13.58189 23.94951 1.21801 1.16420 0 bomd GNSS
73.82100 38.50300 -5.96551 20.56015 0.69102 0.92982 0 akba GNSS
104.53675 30.37525 5.91826 -2.25002 0.90749 0.77562 0 jyan GNSS
104.24740 21.18960 6.71164 -4.23424 0.79928 0.58313 0 mon1 GNSS
81.34500 41.60100 2.70112 8.14834 1.65749 1.11877 0 i059 GNSS
80.23900 41.14300 1.90495 15.26220 1.13523 1.00616 0 i061 GNSS
80.34100 34.43800 -1.08767 17.91742 1.05504 1.24607 0 j315 GNSS
75.96714 40.71713 -0.24539 12.07978 0.46856 0.58186 0 aks4 GNSS
