lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87869 49.14430 20.31641 15.57128 0.21540 0.12055 0.13624 0.47681 0 0 0 wtzr GNSS
12.34494 45.43580 21.02910 17.30403 -1.21664 0.27070 0.27972 2.94344 0 0 0 ven1 GNSS
91.10400 29.65733 46.35164 15.82236 0.91710 0.44890 0.44578 17.79799 0 0 0 lhas GNSS
50.60814 26.20914 31.22316 30.12353 -0.47273 0.37338 0.39015 22.30241 0 0 0 bahr GNSS
80.95576 26.91221 37.08517 34.69819 -2.23907 0.75221 0.60263 36.88502 0 0 0 lcki GNSS
66.88549 39.13471 27.88582 5.32380 -1.03753 0.57595 0.53175 2.45245 0 0 0 kit3 GNSS
7.46510 46.87710 19.78836 16.34908 0.76389 0.14560 0.14771 0.50104 0 0 0 zimm GNSS
1.48122 43.55962 19.47661 16.53404 -0.31302 0.15298 0.15300 0.60830 0 0 0 toul GNSS
74.69427 42.67977 27.56635 4.73621 0.85990 0.41904 0.39174 2.26401 0 0 0 pol2 GNSS
16.70450 40.64910 23.61549 19.36266 0.44242 0.16934 0.15772 3.96822 0 0 0 mate GNSS
11.27967 48.08604 20.29052 15.85038 -0.02805 0.19889 0.20682 0.78995 0 0 0 ober GNSS
88.17303 39.02316 30.04720 6.91029 -0.96410 0.81867 0.63354 10.03175 0 0 0 xjrq GNSS
101.40171 37.46792 36.48744 -3.50266 0.24785 0.46699 0.32122 2.02469 0 0 0 qhme GNSS
15.49348 47.06710 21.83988 15.80195 -0.13454 0.15440 0.19932 0.93981 0 0 0 graz GNSS
23.93248 38.07856 8.03052 -11.51923 0.17200 0.46388 0.37639 25.62014 0 0 0 dion GNSS
4.38757 51.98609 17.57644 15.92340 -0.46839 0.18359 0.20304 0.44701 0 0 0 delf GNSS
11.89187 45.41101 20.94035 17.20194 -0.65734 0.18630 0.38985 2.41859 0 0 0 pado GNSS
77.01690 43.17873 28.17692 4.43838 0.47121 0.43471 0.68607 2.80694 0 0 0 sele GNSS
0.33591 50.86734 16.97228 16.61037 -0.09671 0.14091 0.13400 0.46730 0 0 0 hers GNSS
11.12196 42.42803 20.57459 16.27144 -0.23158 0.27917 0.22233 1.08994 0 0 0 maon GNSS
12.10744 42.41996 20.30922 16.33375 0.81738 0.48988 0.46486 0.93998 0 0 0 virb GNSS
100.23631 38.18434 33.45108 -3.25333 0.73048 0.51830 0.38268 1.80480 0 0 0 qhql GNSS
29.01934 41.10445 23.91268 11.80136 -0.04673 0.49383 0.44223 1.32287 0 0 0 ista GNSS
14.78561 49.91370 20.24714 15.23689 0.20604 0.12821 0.11103 0.57188 0 0 0 gope GNSS
5.35678 43.27846 20.08394 16.20389 -0.52248 0.15275 0.14775 0.66170 0 0 0 mars GNSS
8.61633 44.92313 20.31520 16.31640 -0.32154 0.25341 0.32020 1.11439 0 0 0 ale0 GNSS
