lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87869 49.14430 -0.01292 0.13639 0.21540 0.06523 0.08169 0.29634 0 0 0 wtzr GNSS
12.34494 45.43580 -0.05421 1.81213 -1.21664 0.17102 0.16642 0.53609 0 0 0 ven1 GNSS
91.10400 29.65733 17.55346 18.75109 0.91710 0.27891 0.28062 0.34026 0 0 0 lhas GNSS
50.60814 26.20914 3.51255 21.72057 -0.47273 0.23126 0.24119 0.36973 0 0 0 bahr GNSS
80.95576 26.91221 8.32123 34.69664 -2.23907 0.44615 0.33494 0.62248 0 0 0 lcki GNSS
66.88549 39.13471 -0.78647 1.27824 -1.03753 0.37652 0.33905 0.66575 0 0 0 kit3 GNSS
7.46510 46.87710 0.00473 0.39733 0.76389 0.08633 0.09119 0.20217 0 0 0 zimm GNSS
1.48122 43.55962 0.07050 0.17617 -0.31302 0.08360 0.08492 0.24989 0 0 0 toul GNSS
74.69427 42.67977 -1.17192 2.91821 0.85990 0.25737 0.24909 0.78104 0 0 0 pol2 GNSS
16.70450 40.64910 0.79794 4.37533 0.44242 0.10519 0.09305 0.17712 0 0 0 mate GNSS
11.27967 48.08604 0.02921 0.24834 -0.02805 0.09459 0.10090 0.46642 0 0 0 ober GNSS
88.17303 39.02316 1.13964 8.99881 -0.96410 0.51872 0.39285 0.57493 0 0 0 xjrq GNSS
101.40171 37.46792 8.08942 2.30874 0.24785 0.27669 0.17148 0.25846 0 0 0 qhme GNSS
15.49348 47.06710 0.51054 0.66721 -0.13454 0.10479 0.13439 0.37081 0 0 0 graz GNSS
23.93248 38.07856 -16.33164 -25.47596 0.17200 0.28880 0.21776 0.50695 0 0 0 dion GNSS
4.38757 51.98609 -0.19406 -0.25932 -0.46839 0.11017 0.12475 0.22886 0 0 0 delf GNSS
11.89187 45.41101 -0.06160 1.66258 -0.65734 0.10936 0.24990 0.49567 0 0 0 pado GNSS
77.01690 43.17873 -0.56639 3.28941 0.47121 0.27813 0.44040 0.25889 0 0 0 sele GNSS
0.33591 50.86734 -0.22234 0.19518 -0.09671 0.08015 0.07245 0.23104 0 0 0 hers GNSS
11.12196 42.42803 -0.92023 0.65352 -0.23158 0.17266 0.13656 0.48573 0 0 0 maon GNSS
12.10744 42.41996 -1.36674 0.81679 0.81738 0.29788 0.29898 0.63640 0 0 0 virb GNSS
100.23631 38.18434 5.00992 2.23879 0.73048 0.30972 0.19859 0.80718 0 0 0 qhql GNSS
29.01934 41.10445 -0.81135 -1.29425 -0.04673 0.30753 0.27711 0.27154 0 0 0 ista GNSS
14.78561 49.91370 -0.28329 0.01729 0.20604 0.07561 0.06776 0.35205 0 0 0 gope GNSS
5.35678 43.27846 -0.14201 0.08917 -0.52248 0.09241 0.08810 0.23578 0 0 0 mars GNSS
8.61633 44.92313 -0.16246 0.46298 -0.32154 0.15986 0.20212 0.54849 0 0 0 ale0 GNSS
9.11116 39.22927 -0.20402 0.39322 -0.43772 0.08685 0.09493 0.22468 0 0 0 cag1 GNSS
32.75848 39.88736 -23.32195 -1.25932 -1.04979 0.51123 0.34791 0.20637 0 0 0 ankr GNSS
33.39645 35.14099 -6.53673 3.43045 0.03878 0.12087 0.14489 0.44068 0 0 0 nico GNSS
34.76314 30.59760 -2.82428 7.67779 0.92934 0.09785 0.09771 0.22446 0 0 0 ramo GNSS
8.40904 49.01068 0.05900 0.12347 -0.13362 0.08346 0.07958 0.21544 0 0 0 karl GNSS
11.35546 44.50252 0.88064 3.45116 -1.02142 0.30407 0.36311 0.90852 0 0 0 blgn GNSS
13.78816 45.66054 -0.22051 2.47915 -0.20042 0.14372 0.06509 0.31095 0 0 0 rtri GNSS
102.79732 25.02961 4.40293 -12.19378 -0.29911 0.91477 0.70932 0.44552 0 0 0 kunm GNSS
14.98979 36.87586 -1.73088 4.65853 -0.72991 0.10883 0.09549 0.15973 0 0 0 not1 GNSS
29.45069 40.78672 -5.02984 -1.34951 -0.80074 0.39108 0.21861 0.23550 0 0 0 tubi GNSS
4.35913 50.79785 -0.30501 0.03171 0.38961 0.11829 0.08038 0.20277 0 0 0 brus GNSS
8.97275 39.13590 -0.18448 0.34537 -0.30810 0.08181 0.04448 0.18270 0 0 0 cagl GNSS
6.92061 43.75471 -0.01098 0.20007 0.12156 0.06668 0.04952 0.13991 0 0 0 gras GNSS
