lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87869 49.14430 20.31831 15.56228 0.21540 0.06634 0.08277 0.29637 0 0 0 wtzr GNSS
12.34494 45.43580 21.02794 17.29506 -1.21664 0.17168 0.16640 0.53611 0 0 0 ven1 GNSS
91.10400 29.65733 46.35091 15.81373 0.91710 0.27903 0.28391 0.34038 0 0 0 lhas GNSS
50.60814 26.20914 31.22358 30.12434 -0.47273 0.23473 0.24600 0.37007 0 0 0 bahr GNSS
80.95576 26.91221 37.08173 34.69082 -2.23907 0.45306 0.33227 0.62237 0 0 0 lcki GNSS
66.88550 39.13471 27.86947 5.35088 -1.03753 0.38933 0.34851 0.66648 0 0 0 kit3 GNSS
7.46510 46.87710 19.78845 16.34093 0.76389 0.08705 0.09215 0.20222 0 0 0 zimm GNSS
1.48122 43.55962 19.47820 16.52626 -0.31302 0.08387 0.08532 0.24989 0 0 0 toul GNSS
74.69427 42.67977 27.54095 4.72388 0.85990 0.26253 0.25001 0.78132 0 0 0 pol2 GNSS
16.70450 40.64910 23.61491 19.35181 0.44242 0.10667 0.09357 0.17712 0 0 0 mate GNSS
11.27967 48.08604 20.29082 15.84194 -0.02805 0.09488 0.10115 0.46630 0 0 0 ober GNSS
88.17303 39.02316 30.04748 6.90275 -0.96410 0.52011 0.39606 0.57488 0 0 0 xjrq GNSS
101.40171 37.46792 36.48739 -3.50020 0.24785 0.27766 0.17250 0.25850 0 0 0 qhme GNSS
15.49348 47.06710 21.83998 15.79709 -0.13454 0.10625 0.13609 0.37098 0 0 0 graz GNSS
23.93248 38.07856 8.02663 -11.52766 0.17200 0.28739 0.21777 0.50690 0 0 0 dion GNSS
4.38757 51.98609 17.57768 15.91594 -0.46839 0.10978 0.12506 0.22891 0 0 0 delf GNSS
11.89187 45.41101 20.93951 17.19265 -0.65734 0.10983 0.24995 0.49560 0 0 0 pado GNSS
77.01690 43.17873 28.10825 4.37973 0.47121 0.27084 0.44295 0.25889 0 0 0 sele GNSS
