lon lat veast_eu vnorth_eu seast snorth covassumed0 name type
106.68377 37.45085 3.76513 -1.97829 0.34618 0.21849 0 d098 GNSS
35.62970 32.98119 -3.54409 10.24584 0.11840 0.22809 0 kn08 GNSS
77.60214 34.12857 -2.62796 19.79511 0.78795 0.29223 0 rscl GNSS
106.50900 33.91500 5.29360 -1.53436 0.30081 0.26194 0 h001 GNSS
106.35300 37.81100 3.87810 -1.76262 0.26907 0.36317 0 d096 GNSS
105.98500 36.27900 6.28650 -0.93065 0.23237 0.33055 0 g013 GNSS
105.29400 36.50400 8.44104 -1.51463 0.17312 0.29772 0 g014 GNSS
106.58100 35.45800 5.75496 -2.59779 0.22724 0.31234 0 g024 GNSS
105.79400 35.07900 5.96100 -2.56909 0.24952 0.27395 0 g030 GNSS
106.40100 34.51600 5.50647 -3.01851 0.30302 0.32646 0 g036 GNSS
104.10400 35.03800 7.76588 -0.10101 0.48420 0.23523 0 g114 GNSS
104.54200 35.04600 7.63038 -0.37999 0.33109 0.22486 0 g116 GNSS
104.94000 34.71400 7.07563 -1.68448 0.48604 0.36774 0 g120 GNSS
104.91500 34.46700 7.25456 -1.34416 0.32056 0.22941 0 g121 GNSS
106.15500 33.34000 5.71663 -2.53369 0.31488 0.23814 0 h007 GNSS
105.22600 32.57100 5.94179 -2.01426 0.38529 0.25388 0 h010 GNSS
100.93600 37.96700 4.46860 2.18758 0.32865 0.24503 0 g065 GNSS
100.16200 37.31500 7.94518 3.05218 0.26053 0.16191 0 g075 GNSS
104.48000 34.85000 7.85389 0.53701 0.37526 0.52544 0 g119 GNSS
106.56000 34.73279 6.37687 -2.03386 0.22996 0.28733 0 g362 GNSS
85.53800 38.08100 -1.24901 11.52595 0.48512 0.39829 0 jb46 GNSS
102.99100 33.57100 10.99797 -0.75550 0.28573 0.29675 0 h026 GNSS
104.57100 32.40500 6.25670 -2.17665 0.41585 0.26047 0 h032 GNSS
99.53567 25.46350 -1.30284 -10.72964 0.77383 0.97126 0 h205 GNSS
106.81400 39.68000 3.13628 -2.08458 0.30901 0.28370 0 d084 GNSS
104.50500 40.73900 2.34217 -0.22488 0.18443 0.23997 0 g042 GNSS
103.61300 32.59100 8.04512 -2.36405 0.30933 0.24790 0 h030 GNSS
29.92893 40.42473 -19.63979 -2.72745 1.35100 0.67484 0 iuck GNSS
42.45743 37.52791 -7.39629 15.40980 0.57610 0.65306 0 srnk GNSS
103.00357 29.97543 7.39129 -3.98485 0.31260 0.31702 0 h065 GNSS
35.60805 32.97425 -3.67278 9.53339 0.10348 0.29951 0 kn02 GNSS
109.97375 41.76469 2.00456 -1.21988 0.30094 0.30272 0 d040 GNSS
106.44300 38.88800 3.51149 -0.49701 0.34841 0.44412 0 d367 GNSS
105.19900 35.21500 6.93818 -1.32137 0.59892 0.38081 0 g357 GNSS
77.19200 32.31700 -1.82862 24.40264 0.51721 2.14673 0 kot1 GNSS
109.22149 34.36867 5.69850 -2.82458 0.48005 0.59651 0 xian GNSS
95.80100 40.51400 1.37574 3.27215 0.43631 0.31613 0 jb28 GNSS
77.12591 28.48226 7.31642 32.97699 0.86304 0.70786 0 delh GNSS
84.33400 43.65200 2.21944 6.80124 0.22791 0.47638 0 i045 GNSS
93.62600 42.81000 3.33004 4.68351 0.23722 0.62267 0 jb43 GNSS
78.97336 32.77862 -1.13592 18.94305 0.40333 0.46518 0 hanl GNSS
92.73178 23.72356 6.90834 32.80699 0.43210 0.42967 0 aizw GNSS
93.92500 24.74900 1.82706 24.15848 0.50223 0.29001 0 imph GNSS
97.95600 34.40000 19.06178 5.64108 0.64723 0.62742 0 j400 GNSS
99.19600 34.27100 16.43800 4.05031 0.59271 0.59659 0 j406 GNSS
70.94000 42.78300 -1.67800 0.34496 0.39496 0.36582 0 kta4 GNSS
75.08600 43.37900 -1.12471 1.55514 0.40595 0.71678 0 kur4 GNSS
41.79286 38.75328 -5.56400 12.39134 0.37706 0.36328 0 krkt GNSS
41.05681 38.95880 -5.90838 12.99723 0.82720 0.28364 0 solh GNSS
36.33382 41.30850 -1.55455 2.19617 0.34887 0.20006 0 sams GNSS
103.46800 29.60200 5.60573 -3.25132 0.53966 0.42239 0 h076 GNSS
102.65500 29.34800 7.30071 -3.88861 0.41186 0.52699 0 h077 GNSS
103.04300 28.84700 6.08809 -3.84616 0.84856 0.43095 0 h086 GNSS
100.09400 25.97900 2.10251 -12.74312 1.04633 0.64225 0 h124 GNSS
102.57700 24.37500 2.37034 -10.35934 0.89485 0.48620 0 h149 GNSS
102.83600 23.22400 5.13407 -4.91306 0.82678 0.58767 0 h166 GNSS
99.29300 27.18000 4.59917 -10.99543 0.60328 0.56988 0 h196 GNSS
98.81500 25.98700 1.35405 -8.65970 0.60735 0.38137 0 h203 GNSS
106.03400 30.80400 5.70855 -2.28684 0.31240 0.32178 0 jb24 GNSS
99.91800 22.55400 -0.77157 -3.90042 0.46432 0.29235 0 jb42 GNSS
100.81400 35.24400 10.76920 5.04581 0.36272 0.51146 0 g358 GNSS
44.09611 40.17800 2.04946 6.89573 0.24101 0.34402 0 mmor GNSS
78.96607 39.87701 -0.26882 16.56438 0.39649 0.61381 0 akta GNSS
76.97792 40.84425 -0.25729 12.28033 0.29492 0.81193 0 qiqi GNSS
75.47900 38.85300 -0.14751 21.96506 0.34575 0.37300 0 gaze GNSS
76.46300 38.65600 -1.43811 20.35196 0.40196 0.42608 0 kizi GNSS
77.24800 38.41200 -2.89529 20.63984 0.70202 0.82358 0 shac GNSS
76.30577 32.24760 0.22082 28.81262 0.88800 1.02508 0 nadi GNSS
78.36650 30.39900 5.39035 31.43838 0.63555 0.92317 0 cham GNSS
89.33900 38.11000 6.19430 10.56497 0.51764 0.54290 0 g333 GNSS
75.76800 37.84000 -2.03846 21.41607 0.55382 0.29906 0 i407 GNSS
92.41500 27.27000 13.59001 23.95378 0.86087 0.75439 0 bomd GNSS
73.82100 38.50300 -5.96085 20.54971 0.31429 0.52628 0 akba GNSS
104.53675 30.37525 5.93111 -2.24192 0.55396 0.40116 0 jyan GNSS
104.24740 21.18960 6.71878 -4.23961 0.54121 0.33354 0 mon1 GNSS
81.34500 41.60100 2.69739 8.13589 1.03233 0.69306 0 i059 GNSS
80.23900 41.14300 1.90221 15.24952 0.63038 0.51166 0 i061 GNSS
80.34100 34.43800 -1.12965 17.92755 0.57443 0.64763 0 j315 GNSS
75.96714 40.71713 -0.24485 12.07218 0.28206 0.38665 0 aks4 GNSS
71.72092 42.01458 -1.22164 1.84865 0.36236 0.63699 0 cha4 GNSS
76.29818 40.81641 0.28794 11.87895 0.31227 0.33144 0 kul4 GNSS
