lon lat veast_eu vnorth_eu seast snorth covassumed0 name type
106.68377 37.45085 31.79930 -9.20123 0.34618 0.21849 0 d098 GNSS
35.62970 32.98119 22.81676 22.07674 0.11840 0.22809 0 kn08 GNSS
77.60214 34.12857 26.40905 20.76777 0.78795 0.29223 0 rscl GNSS
106.50900 33.91500 33.44047 -8.71155 0.30081 0.26194 0 h001 GNSS
106.35300 37.81100 31.92136 -8.89891 0.26907 0.36317 0 d096 GNSS
105.98500 36.27900 34.41703 -7.97026 0.23237 0.33055 0 g013 GNSS
105.29400 36.50400 36.61372 -8.37193 0.17312 0.29772 0 g014 GNSS
106.58100 35.45800 33.86636 -9.79384 0.22724 0.31234 0 g024 GNSS
105.79400 35.07900 34.13749 -9.55842 0.24952 0.27395 0 g030 GNSS
106.40100 34.51600 33.65159 -10.16740 0.30302 0.32646 0 g036 GNSS
104.10400 35.03800 36.05731 -6.64202 0.48420 0.23523 0 g114 GNSS
104.54200 35.04600 35.89283 -7.03776 0.33109 0.22486 0 g116 GNSS
104.94000 34.71400 35.31758 -8.44799 0.48604 0.36774 0 g120 GNSS
104.91500 34.46700 35.50214 -8.10105 0.32056 0.22941 0 g121 GNSS
106.15500 33.34000 33.89368 -9.61800 0.31488 0.23814 0 h007 GNSS
105.22600 32.57100 34.18254 -8.85357 0.38529 0.25388 0 h010 GNSS
100.93600 37.96700 32.87619 -3.49800 0.32865 0.24503 0 g065 GNSS
100.16200 37.31500 36.42184 -2.42168 0.26053 0.16191 0 g075 GNSS
104.48000 34.85000 36.12404 -6.10425 0.37526 0.52544 0 g119 GNSS
106.56000 34.73279 34.50660 -9.22441 0.22996 0.28733 0 g362 GNSS
85.53800 38.08100 27.73660 10.19616 0.48512 0.39829 0 jb46 GNSS
102.99100 33.57100 39.37564 -6.99812 0.28573 0.29675 0 h026 GNSS
104.57100 32.40500 34.53838 -8.84213 0.41585 0.26047 0 h032 GNSS
99.53567 25.46350 26.97516 -16.03143 0.77383 0.97126 0 h205 GNSS
106.81400 39.68000 31.04188 -9.34157 0.30901 0.28370 0 d084 GNSS
104.50500 40.73900 30.35880 -6.87279 0.18443 0.23997 0 g042 GNSS
103.61300 32.59100 36.38587 -8.77372 0.30933 0.24790 0 h030 GNSS
29.92893 40.42473 5.30578 10.20692 1.35100 0.67484 0 iuck GNSS
42.45743 37.52791 19.44164 25.76610 0.57610 0.65306 0 srnk GNSS
103.00357 29.97543 35.72749 -10.23087 0.31260 0.31702 0 h065 GNSS
35.60805 32.97425 22.68602 21.36872 0.10348 0.29951 0 kn02 GNSS
109.97375 41.76469 29.48051 -9.29106 0.30094 0.30272 0 d040 GNSS
106.44300 38.88800 31.49326 -7.65690 0.34841 0.44412 0 d367 GNSS
105.19900 35.21500 35.15284 -8.15353 0.59892 0.38081 0 g357 GNSS
77.19200 32.31700 27.17509 25.49416 0.51721 2.14673 0 kot1 GNSS
109.22149 34.36867 33.63827 -10.70406 0.48005 0.59651 0 xian GNSS
95.80100 40.51400 29.94479 -0.99115 0.43631 0.31613 0 jb28 GNSS
77.12591 28.48226 36.16285 34.08766 0.86304 0.70786 0 delh GNSS
84.33400 43.65200 30.93534 5.82021 0.22791 0.47638 0 i045 GNSS
93.62600 42.81000 31.85163 1.03362 0.23722 0.62267 0 jb43 GNSS
78.97336 32.77862 27.89192 19.51797 0.40333 0.46518 0 hanl GNSS
92.73178 23.72356 35.25724 29.41087 0.43210 0.42967 0 aizw GNSS
93.92500 24.74900 30.23669 20.42392 0.50223 0.29001 0 imph GNSS
