lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87880 49.14428 -0.03074 0.10885 0.24840 0.02615 0.03106 0.14140 0 0 0 wtzr GNSS
91.10400 29.65730 17.43208 18.64562 0.91868 0.16734 0.20699 0.35645 0 0 0 lhas GNSS
12.34982 45.43605 -0.12370 1.80420 -1.22045 0.08911 0.44580 0.39193 0 0 0 ven1 GNSS
50.60810 26.20910 3.43802 21.65575 -0.50073 0.11395 0.28228 0.19040 0 0 0 bahr GNSS
7.46510 46.87710 -0.04368 0.36241 0.78954 0.15276 0.05607 0.09439 0 0 0 zimm GNSS
1.48130 43.55978 0.02582 0.10432 -0.29428 0.12703 0.05238 0.12704 0 0 0 toul GNSS
80.95577 26.91220 8.10567 34.48777 -2.33590 0.38797 0.32639 0.39790 0 0 0 lcki GNSS
66.88545 39.13473 -0.90068 1.30812 -1.01984 0.34105 0.27145 0.54158 0 0 0 kit3 GNSS
16.70450 40.64906 0.72170 4.29221 0.44211 0.06121 0.12187 0.20270 0 0 0 mate GNSS
74.69410 42.67979 -1.11269 2.93026 0.38184 0.11494 0.18933 0.55798 0 0 0 pol2 GNSS
88.17329 39.02367 1.08071 8.89058 -1.08738 0.44609 0.40540 0.57909 0 0 0 xjrq GNSS
11.27969 48.08604 -0.01261 0.21136 0.06892 0.07855 0.08544 0.21726 0 0 0 ober GNSS
15.49348 47.06710 0.47781 0.63916 -0.04559 0.14634 0.12089 0.27857 0 0 0 graz GNSS
4.38755 51.98601 -0.20468 -0.31014 -0.49661 0.08221 0.09161 0.55253 0 0 0 delf GNSS
101.40171 37.46795 8.03558 2.28118 0.24785 0.36283 0.14949 0.15509 0 0 0 qhme GNSS
23.93247 38.07859 -16.30803 -25.45644 0.09920 0.15337 0.26694 1.24978 0 0 0 dion GNSS
87.60100 43.80800 2.18422 7.60134 0.61301 0.23938 0.34625 0.97414 0 0 0 urum GNSS
77.01690 43.17873 -0.38074 2.97730 0.12884 0.24085 0.30527 0.93161 0 0 0 sele GNSS
0.33577 50.86733 -0.24408 0.15668 -0.09278 0.09366 0.03832 0.17562 0 0 0 hers GNSS
11.12199 42.42803 -0.97417 0.58310 -0.23158 0.18871 0.24366 0.65052 0 0 0 maon GNSS
12.10812 42.42087 -1.31569 0.79305 0.81738 0.17996 0.24219 0.57131 0 0 0 virb GNSS
14.78561 49.91370 -0.32561 -0.01659 0.21004 0.15208 0.10128 0.25449 0 0 0 gope GNSS
5.35694 43.27845 -0.15851 0.05872 -0.50165 0.05913 0.06145 0.18165 0 0 0 mars GNSS
