lon lat veast_eu vnorth_eu seast snorth covassumed0 name type
84.57340 28.17410 NaN NaN NaN NaN 0 lmjg GNSS
13.77130 47.37722 NaN NaN NaN NaN 0 hkbl GNSS
34.28382 31.22818 NaN NaN NaN NaN 0 slom GNSS
7.65120 43.78600 NaN NaN NaN NaN 0 vmig GNSS
11.46019 47.20800 NaN NaN NaN NaN 0 pat2 GNSS
12.29115 45.23000 NaN NaN NaN NaN 0 sfel GNSS
3.13670 42.51531 NaN NaN NaN NaN 0 bear GNSS
7.71896 43.90375 NaN NaN NaN NaN 0 baja GNSS
75.31500 42.62100 NaN NaN NaN NaN 0 shas GNSS
9.67080 49.62430 NaN NaN NaN NaN 0 0392 GNSS
6.92705 44.24840 NaN NaN NaN NaN 0 clap GNSS
13.99826 49.68780 NaN NaN NaN NaN 0 cpri GNSS
35.87954 32.02855 NaN NaN NaN NaN 0 ammn GNSS
101.28000 27.93000 NaN NaN NaN NaN 0 scml GNSS
103.85000 31.67000 NaN NaN NaN NaN 0 scmx GNSS
103.58000 32.65000 NaN NaN NaN NaN 0 scsp GNSS
83.95300 29.17800 NaN NaN NaN NaN 0 mst2 GNSS
15.21318 46.81350 NaN NaN NaN NaN 0 dlbg GNSS
14.45590 41.86918 NaN NaN NaN NaN 0 cmra GNSS
12.45485 45.46785 NaN NaN NaN NaN 0 trep GNSS
15.32970 48.71580 NaN NaN NaN NaN 0 alst GNSS
9.99150 47.12740 NaN NaN NaN NaN 0 dala GNSS
13.21210 46.93710 NaN NaN NaN NaN 0 ochs GNSS
11.18930 47.32890 NaN NaN NaN NaN 0 seef GNSS
11.97600 44.97300 NaN NaN NaN NaN 0 fe01 GNSS
16.13771 39.46260 NaN NaN NaN NaN 0 latt GNSS
12.04909 45.78295 NaN NaN NaN NaN 0 mbel GNSS
106.81000 35.13800 NaN NaN NaN NaN 0 g359 GNSS
88.83000 33.20000 NaN NaN NaN NaN 0 xzsh GNSS
117.10000 40.60000 NaN NaN NaN NaN 0 bjgb GNSS
118.20000 39.70000 NaN NaN NaN NaN 0 hets GNSS
116.30000 35.40000 NaN NaN NaN NaN 0 sdjx GNSS
117.90000 36.80000 NaN NaN NaN NaN 0 sdzb GNSS
117.30000 39.60000 NaN NaN NaN NaN 0 tjbd GNSS
73.10692 49.82046 NaN NaN NaN NaN 0 kgtu GNSS
117.90000 41.00000 NaN NaN NaN NaN 0 hecd GNSS
19.79110 45.54450 NaN NaN NaN NaN 0 srbo GNSS
70.92600 20.97700 NaN NaN NaN NaN 0 unag GNSS
84.99360 27.28220 NaN NaN NaN NaN 0 leve Leveling
84.99860 27.33140 NaN NaN NaN NaN 0 leve Leveling
84.99470 27.34890 NaN NaN NaN NaN 0 leve Leveling
85.01280 27.37500 NaN NaN NaN NaN 0 leve Leveling
85.02500 27.39000 NaN NaN NaN NaN 0 leve Leveling
85.02890 27.40860 NaN NaN NaN NaN 0 leve Leveling
85.03220 27.43280 NaN NaN NaN NaN 0 leve Leveling
85.04940 27.48830 NaN NaN NaN NaN 0 leve Leveling
85.04860 27.49860 NaN NaN NaN NaN 0 leve Leveling
85.05640 27.51440 NaN NaN NaN NaN 0 leve Leveling
85.03860 27.53560 NaN NaN NaN NaN 0 leve Leveling
85.03250 27.53920 NaN NaN NaN NaN 0 leve Leveling
85.04330 27.54940 NaN NaN NaN NaN 0 leve Leveling
85.06670 27.56470 NaN NaN NaN NaN 0 leve Leveling
85.07500 27.56110 NaN NaN NaN NaN 0 leve Leveling
85.07640 27.63360 NaN NaN NaN NaN 0 leve Leveling
85.07890 27.57030 NaN NaN NaN NaN 0 leve Leveling
85.07330 27.57530 NaN NaN NaN NaN 0 leve Leveling
85.08000 27.58690 NaN NaN NaN NaN 0 leve Leveling
85.08670 27.59330 NaN NaN NaN NaN 0 leve Leveling
85.09220 27.60690 NaN NaN NaN NaN 0 leve Leveling
85.10170 27.61360 NaN NaN NaN NaN 0 leve Leveling
85.09890 27.63580 NaN NaN NaN NaN 0 leve Leveling
85.10170 27.66670 NaN NaN NaN NaN 0 leve Leveling
85.10310 27.69610 NaN NaN NaN NaN 0 leve Leveling
85.10000 27.69890 NaN NaN NaN NaN 0 leve Leveling
85.10060 27.71780 NaN NaN NaN NaN 0 leve Leveling
85.14390 27.71940 NaN NaN NaN NaN 0 leve Leveling
85.16000 27.71810 NaN NaN NaN NaN 0 leve Leveling
85.19110 27.71310 NaN NaN NaN NaN 0 leve Leveling
85.61330 27.63190 NaN NaN NaN NaN 0 leve Leveling
85.61220 27.63250 NaN NaN NaN NaN 0 leve Leveling
85.61970 27.64170 NaN NaN NaN NaN 0 leve Leveling
85.62640 27.66440 NaN NaN NaN NaN 0 leve Leveling
85.63310 27.66720 NaN NaN NaN NaN 0 leve Leveling
85.64720 27.66360 NaN NaN NaN NaN 0 leve Leveling
85.66810 27.65500 NaN NaN NaN NaN 0 leve Leveling
85.69420 27.64860 NaN NaN NaN NaN 0 leve Leveling
85.69440 27.64780 NaN NaN NaN NaN 0 leve Leveling
85.70890 27.63810 NaN NaN NaN NaN 0 leve Leveling
85.71060 27.63780 NaN NaN NaN NaN 0 leve Leveling
85.71060 27.65560 NaN NaN NaN NaN 0 leve Leveling
85.71330 27.65560 NaN NaN NaN NaN 0 leve Leveling
85.71440 27.65670 NaN NaN NaN NaN 0 leve Leveling
85.73030 27.67780 NaN NaN NaN NaN 0 leve Leveling
85.75580 27.69860 NaN NaN NaN NaN 0 leve Leveling
85.75500 27.69940 NaN NaN NaN NaN 0 leve Leveling
85.77920 27.72560 NaN NaN NaN NaN 0 leve Leveling
85.78280 27.73530 NaN NaN NaN NaN 0 leve Leveling
85.78280 27.73390 NaN NaN NaN NaN 0 leve Leveling
85.81390 27.74860 NaN NaN NaN NaN 0 leve Leveling
85.83360 27.75580 NaN NaN NaN NaN 0 leve Leveling
85.85360 27.75720 NaN NaN NaN NaN 0 leve Leveling
85.88170 27.76470 NaN NaN NaN NaN 0 leve Leveling
85.89720 27.78060 NaN NaN NaN NaN 0 leve Leveling
85.90030 27.79360 NaN NaN NaN NaN 0 leve Leveling
85.89280 27.80860 NaN NaN NaN NaN 0 leve Leveling
85.88470 27.86860 NaN NaN NaN NaN 0 leve Leveling
85.90030 27.87440 NaN NaN NaN NaN 0 leve Leveling
85.91220 27.88060 NaN NaN NaN NaN 0 leve Leveling
85.93060 27.91580 NaN NaN NaN NaN 0 leve Leveling
85.93220 27.91440 NaN NaN NaN NaN 0 leve Leveling
85.93690 27.91970 NaN NaN NaN NaN 0 leve Leveling
85.93890 27.92810 NaN NaN NaN NaN 0 leve Leveling
85.94110 27.93440 NaN NaN NaN NaN 0 leve Leveling
85.94140 27.93560 NaN NaN NaN NaN 0 leve Leveling
85.95000 27.94250 NaN NaN NaN NaN 0 leve Leveling
85.95530 27.94890 NaN NaN NaN NaN 0 leve Leveling
85.95560 27.95030 NaN NaN NaN NaN 0 leve Leveling
85.95860 27.95690 NaN NaN NaN NaN 0 leve Leveling
85.95940 27.95610 NaN NaN NaN NaN 0 leve Leveling
85.95970 27.95690 NaN NaN NaN NaN 0 leve Leveling
85.96140 27.96970 NaN NaN NaN NaN 0 leve Leveling
85.96560 27.97360 NaN NaN NaN NaN 0 leve Leveling
85.96560 27.97250 NaN NaN NaN NaN 0 leve Leveling
79.45000 29.97000 NaN NaN NaN NaN 0 gbnl GNSS
75.84000 34.13000 NaN NaN NaN NaN 0 conv GNSS
74.08000 34.08000 NaN NaN NaN NaN 0 urii GNSS
115.80000 39.60000 NaN NaN NaN NaN 0 bjfs GNSS
116.20000 40.20000 NaN NaN NaN NaN 0 bjsh GNSS
117.50000 40.00000 NaN NaN NaN NaN 0 jixn GNSS
115.90000 40.30000 NaN NaN NaN NaN 0 bjyq GNSS
114.50000 35.60000 NaN NaN NaN NaN 0 hahb GNSS
112.40000 35.10000 NaN NaN NaN NaN 0 hajy GNSS
115.80000 40.80000 NaN NaN NaN NaN 0 hecc GNSS
114.70000 37.30000 NaN NaN NaN NaN 0 hely GNSS
111.20000 40.20000 NaN NaN NaN NaN 0 nmtk GNSS
115.90000 42.20000 NaN NaN NaN NaN 0 nmzl GNSS
113.10000 36.20000 NaN NaN NaN NaN 0 sxcz GNSS
111.90000 36.20000 NaN NaN NaN NaN 0 sxgx GNSS
111.30000 36.00000 NaN NaN NaN NaN 0 sxlf GNSS
114.00000 39.30000 NaN NaN NaN NaN 0 sxlq GNSS
117.30000 32.90000 NaN NaN NaN NaN 0 ahbb GNSS
108.00000 24.70000 NaN NaN NaN NaN 0 gxhc GNSS
119.50000 34.70000 NaN NaN NaN NaN 0 jsly GNSS
120.00000 33.40000 NaN NaN NaN NaN 0 jsyc GNSS
107.10000 41.10000 NaN NaN NaN NaN 0 nmwt GNSS
119.50000 36.80000 NaN NaN NaN NaN 0 sdcy GNSS
118.30000 35.00000 NaN NaN NaN NaN 0 sdly GNSS
112.40000 37.70000 NaN NaN NaN NaN 0 sxty GNSS
74.59419 42.87558 NaN NaN NaN NaN 0 bish GNSS
119.73000 37.02000 NaN NaN NaN NaN 0 leve Leveling
119.83000 37.11000 NaN NaN NaN NaN 0 leve Leveling
119.99000 37.25000 NaN NaN NaN NaN 0 leve Leveling
118.24000 34.89000 NaN NaN NaN NaN 0 leve Leveling
120.00000 36.29000 NaN NaN NaN NaN 0 leve Leveling
117.22000 34.32000 NaN NaN NaN NaN 0 leve Leveling
117.44000 34.39000 NaN NaN NaN NaN 0 leve Leveling
117.49000 34.39000 NaN NaN NaN NaN 0 leve Leveling
117.68000 34.44000 NaN NaN NaN NaN 0 leve Leveling
117.69000 34.48000 NaN NaN NaN NaN 0 leve Leveling
117.71000 34.52000 NaN NaN NaN NaN 0 leve Leveling
117.75000 34.58000 NaN NaN NaN NaN 0 leve Leveling
117.88000 34.77000 NaN NaN NaN NaN 0 leve Leveling
117.91000 34.80000 NaN NaN NaN NaN 0 leve Leveling
117.98000 34.84000 NaN NaN NaN NaN 0 leve Leveling
116.59000 35.39000 NaN NaN NaN NaN 0 leve Leveling
117.10000 35.15000 NaN NaN NaN NaN 0 leve Leveling
117.34000 34.65000 NaN NaN NaN NaN 0 leve Leveling
116.98000 36.70000 NaN NaN NaN NaN 0 leve Leveling
116.77000 36.37000 NaN NaN NaN NaN 0 leve Leveling
116.79000 36.32000 NaN NaN NaN NaN 0 leve Leveling
116.77000 36.04000 NaN NaN NaN NaN 0 leve Leveling
116.77000 35.96000 NaN NaN NaN NaN 0 leve Leveling
116.77000 35.92000 NaN NaN NaN NaN 0 leve Leveling
116.78000 35.88000 NaN NaN NaN NaN 0 leve Leveling
116.79000 35.83000 NaN NaN NaN NaN 0 leve Leveling
116.80000 35.79000 NaN NaN NaN NaN 0 leve Leveling
117.00000 36.69000 NaN NaN NaN NaN 0 leve Leveling
117.31000 36.74000 NaN NaN NaN NaN 0 leve Leveling
117.52000 36.73000 NaN NaN NaN NaN 0 leve Leveling
117.58000 36.71000 NaN NaN NaN NaN 0 leve Leveling
117.68000 36.68000 NaN NaN NaN NaN 0 leve Leveling
117.83000 36.79000 NaN NaN NaN NaN 0 leve Leveling
117.88000 36.80000 NaN NaN NaN NaN 0 leve Leveling
117.94000 36.80000 NaN NaN NaN NaN 0 leve Leveling
118.04000 36.81000 NaN NaN NaN NaN 0 leve Leveling
119.27000 36.79000 NaN NaN NaN NaN 0 leve Leveling
119.42000 36.85000 NaN NaN NaN NaN 0 leve Leveling
119.50000 36.88000 NaN NaN NaN NaN 0 leve Leveling
119.63000 36.96000 NaN NaN NaN NaN 0 leve Leveling
118.76000 34.86000 NaN NaN NaN NaN 0 leve Leveling
118.80000 34.85000 NaN NaN NaN NaN 0 leve Leveling
118.87000 34.80000 NaN NaN NaN NaN 0 leve Leveling
118.91000 34.76000 NaN NaN NaN NaN 0 leve Leveling
118.94000 34.72000 NaN NaN NaN NaN 0 leve Leveling
118.98000 34.72000 NaN NaN NaN NaN 0 leve Leveling
119.07000 34.68000 NaN NaN NaN NaN 0 leve Leveling
119.10000 34.66000 NaN NaN NaN NaN 0 leve Leveling
119.11000 34.64000 NaN NaN NaN NaN 0 leve Leveling
119.12000 34.59000 NaN NaN NaN NaN 0 leve Leveling
119.16000 34.60000 NaN NaN NaN NaN 0 leve Leveling
117.18000 32.96000 NaN NaN NaN NaN 0 leve Leveling
117.36000 32.94000 NaN NaN NaN NaN 0 leve Leveling
117.41000 32.93000 NaN NaN NaN NaN 0 leve Leveling
117.56000 32.88000 NaN NaN NaN NaN 0 leve Leveling
117.60000 32.84000 NaN NaN NaN NaN 0 leve Leveling
117.64000 32.81000 NaN NaN NaN NaN 0 leve Leveling
117.74000 32.65000 NaN NaN NaN NaN 0 leve Leveling
117.81000 32.52000 NaN NaN NaN NaN 0 leve Leveling
117.97000 32.50000 NaN NaN NaN NaN 0 leve Leveling
117.18000 34.25000 NaN NaN NaN NaN 0 leve Leveling
117.17000 34.13000 NaN NaN NaN NaN 0 leve Leveling
117.12000 34.02000 NaN NaN NaN NaN 0 leve Leveling
117.09000 33.92000 NaN NaN NaN NaN 0 leve Leveling
117.06000 33.90000 NaN NaN NaN NaN 0 leve Leveling
116.97000 33.73000 NaN NaN NaN NaN 0 leve Leveling
117.03000 33.37000 NaN NaN NaN NaN 0 leve Leveling
117.06000 33.28000 NaN NaN NaN NaN 0 leve Leveling
117.10000 33.20000 NaN NaN NaN NaN 0 leve Leveling
117.11000 33.16000 NaN NaN NaN NaN 0 leve Leveling
117.19000 33.06000 NaN NaN NaN NaN 0 leve Leveling
113.71000 34.50000 NaN NaN NaN NaN 0 leve Leveling
114.15000 34.74000 NaN NaN NaN NaN 0 leve Leveling
114.36000 34.77000 NaN NaN NaN NaN 0 leve Leveling
114.41000 34.75000 NaN NaN NaN NaN 0 leve Leveling
114.53000 34.67000 NaN NaN NaN NaN 0 leve Leveling
114.97000 34.43000 NaN NaN NaN NaN 0 leve Leveling
116.48000 34.40000 NaN NaN NaN NaN 0 leve Leveling
116.52000 34.40000 NaN NaN NaN NaN 0 leve Leveling
116.57000 34.39000 NaN NaN NaN NaN 0 leve Leveling
116.63000 34.39000 NaN NaN NaN NaN 0 leve Leveling
116.69000 34.38000 NaN NaN NaN NaN 0 leve Leveling
116.74000 34.38000 NaN NaN NaN NaN 0 leve Leveling
116.92000 34.33000 NaN NaN NaN NaN 0 leve Leveling
117.00000 34.29000 NaN NaN NaN NaN 0 leve Leveling
117.12000 34.27000 NaN NaN NaN NaN 0 leve Leveling
114.44000 36.61000 NaN NaN NaN NaN 0 leve Leveling
114.44000 36.51000 NaN NaN NaN NaN 0 leve Leveling
114.36000 36.39000 NaN NaN NaN NaN 0 leve Leveling
114.33000 36.23000 NaN NaN NaN NaN 0 leve Leveling
114.33000 36.15000 NaN NaN NaN NaN 0 leve Leveling
114.33000 36.12000 NaN NaN NaN NaN 0 leve Leveling
114.35000 36.00000 NaN NaN NaN NaN 0 leve Leveling
114.20000 35.64000 NaN NaN NaN NaN 0 leve Leveling
114.13000 35.55000 NaN NaN NaN NaN 0 leve Leveling
114.11000 35.51000 NaN NaN NaN NaN 0 leve Leveling
114.09000 35.48000 NaN NaN NaN NaN 0 leve Leveling
114.07000 35.45000 NaN NaN NaN NaN 0 leve Leveling
113.93000 35.40000 NaN NaN NaN NaN 0 leve Leveling
113.84000 35.26000 NaN NaN NaN NaN 0 leve Leveling
115.65000 36.26000 NaN NaN NaN NaN 0 leve Leveling
115.85000 36.01000 NaN NaN NaN NaN 0 leve Leveling
115.93000 35.84000 NaN NaN NaN NaN 0 leve Leveling
115.96000 35.76000 NaN NaN NaN NaN 0 leve Leveling
116.01000 35.49000 NaN NaN NaN NaN 0 leve Leveling
116.22000 35.40000 NaN NaN NaN NaN 0 leve Leveling
116.51000 35.37000 NaN NaN NaN NaN 0 leve Leveling
116.56000 35.38000 NaN NaN NaN NaN 0 leve Leveling
114.47000 38.05000 NaN NaN NaN NaN 0 leve Leveling
114.59000 37.69000 NaN NaN NaN NaN 0 leve Leveling
114.58000 37.39000 NaN NaN NaN NaN 0 leve Leveling
114.53000 37.31000 NaN NaN NaN NaN 0 leve Leveling
114.50000 37.11000 NaN NaN NaN NaN 0 leve Leveling
