lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87879 49.14428 20.32158 15.57462 0.24527 0.08111 0.08745 0.13977 0 0 0 wtzr GNSS
91.10400 29.65730 46.32468 15.81527 0.91710 0.27666 0.15209 1.09248 0 0 0 lhas GNSS
12.35010 45.43579 20.97880 17.35122 -1.21664 0.17405 0.17622 0.38443 0 0 0 ven2 GNSS
50.60810 26.20910 31.21081 30.08683 -0.47273 0.09841 0.36510 0.27615 0 0 0 bhr1 GNSS
7.46510 46.87710 19.77342 16.33265 0.76389 0.09767 0.17152 0.13427 0 0 0 zimm GNSS
1.48129 43.55982 19.47573 16.48594 -0.29710 0.11595 0.16571 0.24655 0 0 0 toul GNSS
80.95577 26.91220 37.05136 34.56404 -2.23907 0.35766 0.14478 0.48565 0 0 0 lcki GNSS
66.88545 39.13473 27.85404 5.37436 -1.01938 0.24498 0.26844 1.10666 0 0 0 kit3 GNSS
74.69410 42.67979 27.57512 4.79457 0.37584 0.22344 0.14978 0.94146 0 0 0 pol2 GNSS
16.70450 40.64906 23.58640 19.31941 0.44242 0.05415 0.04850 0.19357 0 0 0 mate GNSS
88.17335 39.02365 30.00570 6.84875 -1.08738 0.30271 0.28273 0.62080 0 0 0 xjrq GNSS
11.27972 48.08603 20.29553 15.86280 -0.02805 0.10965 0.09131 0.41289 0 0 0 obe2 GNSS
101.40172 37.46793 36.43998 -3.51192 0.24785 0.45583 0.21077 0.16416 0 0 0 qhme GNSS
15.49348 47.06710 21.83658 15.79859 -0.13235 0.10555 0.07984 0.29713 0 0 0 graz GNSS
23.93250 38.07859 8.14373 -11.48473 0.05288 0.18517 0.13285 0.31889 0 0 0 dion GNSS
4.38755 51.98601 17.58464 15.89226 -0.46839 0.06467 0.32172 0.36086 0 0 0 delf GNSS
77.01690 43.17873 28.39226 4.14207 0.12956 0.53177 0.14963 0.75503 0 0 0 sele GNSS
11.89230 45.41100 20.99889 17.09212 -0.55679 0.07277 0.66868 0.42427 0 0 0 pado GNSS
87.60100 43.80800 30.92266 5.78931 0.60968 0.22698 0.54314 0.32022 0 0 0 urum GNSS
0.33577 50.86733 16.97260 16.58637 -0.09671 0.10989 0.03939 0.23825 0 0 0 hers GNSS
11.12199 42.42803 20.56636 16.22557 -0.23158 0.23512 0.12926 0.61505 0 0 0 maon GNSS
12.10776 42.42100 20.52396 16.40303 0.81738 0.32214 0.16230 0.43802 0 0 0 virb GNSS
100.23630 38.18447 33.41231 -3.26486 0.73048 0.29534 0.28161 0.63919 0 0 0 qhql GNSS
14.78561 49.91370 20.24454 15.23892 0.20971 0.03340 0.03696 0.22173 0 0 0 gop6 GNSS
5.35728 43.27841 20.09672 16.20983 -0.52248 0.05097 0.11525 0.18513 0 0 0 mars GNSS
8.61625 44.92310 20.34474 16.13943 -0.35141 0.16222 0.14161 0.59756 0 0 0 ale0 GNSS
29.01932 41.10444 23.90605 11.71064 -0.04673 0.20220 0.21268 0.15071 0 0 0 ista GNSS
9.11116 39.22927 21.52814 16.14742 -0.44871 0.36903 0.05024 0.16953 0 0 0 cag1 GNSS
84.98467 27.16544 38.06898 35.31481 -0.39707 0.21272 0.21189 1.19761 0 0 0 sim4 GNSS
102.79712 25.02953 32.61460 -17.79286 -0.06533 0.49453 0.51783 0.10839 0 0 0 kunm GNSS
33.39642 35.14100 19.41360 15.55006 0.03878 0.16863 0.22391 0.21109 0 0 0 nico GNSS
32.75848 39.88736 1.94510 11.05413 -1.04979 0.33392 0.22431 0.24604 0 0 0 ankr GNSS
34.76310 30.59761 23.52942 19.63621 0.92934 0.09067 0.04716 0.14112 0 0 0 ramo GNSS
13.78830 45.66086 21.11196 17.77727 -0.20042 0.07331 0.06241 0.15817 0 0 0 tri1 GNSS
