lon lat veast_eu vnorth_eu seast snorth covassumed0 sta
106.40100 34.51600 5.37477 -3.13196 0.94356 0.85744 0 g036
105.29423 36.50385 8.37553 -1.62689 0.98736 0.83215 0 g014
104.94000 34.71200 7.24416 -1.53400 1.11505 0.97024 0 g120
104.91500 34.46700 7.28711 -1.14854 0.97217 0.84583 0 g121
104.54200 35.04600 7.46071 -0.16755 0.96100 0.81479 0 g116
104.10400 35.03840 7.89500 -0.00532 0.95370 0.78986 0 g114
106.56000 34.73144 6.94870 -1.63912 1.59978 1.12894 0 g362
106.35300 37.81100 3.87223 -1.82317 1.07342 0.84063 0 d096
105.98500 36.27900 6.35262 -0.85127 0.74084 0.87451 0 g013
104.48000 34.85000 7.91009 0.01705 0.99501 2.35453 0 g119
85.53800 38.08100 -1.09253 10.80669 1.11591 1.29960 0 jb46
107.38700 35.28800 5.13602 -2.31644 0.78881 0.77086 0 d065
106.58100 35.45800 5.78573 -2.61080 0.87559 0.79269 0 g024
106.15500 33.34000 5.75596 -2.34037 1.12943 1.16522 0 h007
105.79400 35.07900 6.04169 -2.48535 0.87816 0.97990 0 g030
104.57100 32.40500 7.25265 -1.90819 3.53362 1.09791 0 h032
104.50500 40.73900 2.26045 -0.04540 0.84127 0.72722 0 g042
103.61268 32.59076 8.82024 -2.97439 2.54049 1.28002 0 h030
103.04300 28.84700 6.48864 -3.76170 1.17400 0.97134 0 h086
100.93600 37.96700 4.44541 1.88645 0.90586 1.04304 0 g065
100.16200 37.31500 8.11372 3.02043 0.90347 0.63731 0 g075
97.95600 34.40000 19.36636 6.06886 1.58960 1.37899 0 j400
90.98200 38.58800 5.66430 8.97510 1.19164 1.17413 0 jb32
106.83100 22.10700 5.37588 -2.25452 1.24513 0.99664 0 jb26
106.81400 39.68000 3.16674 -1.90757 1.05191 0.89822 0 d084
106.66500 26.41500 5.36957 -2.48558 0.94739 0.78154 0 jb25
106.03400 30.80400 5.40649 -2.22305 0.86758 0.76892 0 jb24
105.22600 32.57100 6.33880 -1.29096 2.36106 2.96714 0 h010
103.46800 29.60200 5.84830 -2.76788 1.12529 1.28193 0 h076
99.91800 22.55400 -0.42761 -4.13015 1.19564 1.10673 0 jb42
99.53560 25.46345 -1.08340 -10.97183 1.77927 1.64838 0 h205
99.19600 34.27100 16.69756 3.74876 1.51723 1.51502 0 j406
99.01000 37.29813 7.58583 4.11956 0.89502 0.94079 0 g153
98.81500 25.98700 1.07858 -8.82353 1.12082 1.09258 0 h203
95.80100 40.51400 1.57382 3.33786 1.26747 0.73097 0 jb28
93.62600 42.81000 3.41344 4.31412 0.64716 1.35445 0 jb43
84.33400 43.65200 2.25642 6.54209 0.61945 1.04662 0 i045
109.97340 41.76425 2.02749 -0.79549 1.56484 1.13127 0 nc04
106.68100 37.45100 3.47862 -1.88406 0.95931 0.95541 0 d098
106.44300 38.88800 3.90647 -0.30478 1.59641 1.71634 0 d367
105.19900 35.21500 7.45704 -1.43838 1.56252 1.20360 0 g357
102.99100 33.57100 11.46997 -0.74838 1.39217 1.00108 0 h026
99.26000 23.13667 -2.31650 -4.06174 1.19785 1.24169 0 h223
