lon lat veast_eu vnorth_eu seast snorth covassumed0 sta
106.40100 34.51600 33.50168 -10.28956 0.94356 0.85744 0 g036
105.29423 36.50385 36.52994 -8.49325 0.98736 0.83215 0 g014
104.94000 34.71200 35.46805 -8.30659 1.11505 0.97024 0 g120
104.91500 34.46700 35.51661 -7.91450 0.97217 0.84583 0 g121
104.54200 35.04600 35.70507 -6.83449 0.96100 0.81479 0 g116
104.10400 35.03840 36.16839 -6.55561 0.95370 0.78986 0 g114
106.56000 34.73144 35.06023 -8.83836 1.59978 1.12894 0 g362
106.35300 37.81100 31.89705 -8.96820 1.07342 0.84063 0 d096
105.98500 36.27900 34.46485 -7.89971 0.74084 0.87451 0 g013
104.48000 34.85000 36.16218 -6.63340 0.99501 2.35453 0 g119
85.53800 38.08100 27.87709 9.46370 1.11591 1.29960 0 jb46
107.38700 35.28800 33.17434 -9.73126 0.78881 0.77086 0 d065
106.58100 35.45800 33.87883 -9.81552 0.87559 0.79269 0 g024
106.15500 33.34000 33.91492 -9.43347 1.12943 1.16522 0 h007
105.79400 35.07900 34.19999 -9.48354 0.87816 0.97990 0 g030
104.57100 32.40500 35.51646 -8.58284 3.53362 1.09791 0 h032
104.50500 40.73900 30.25866 -6.70249 0.84127 0.72722 0 g042
103.61268 32.59076 37.14321 -9.39338 2.54049 1.28002 0 h030
103.04300 28.84700 34.76974 -10.02786 1.17400 0.97134 0 h086
100.93600 37.96700 32.83510 -3.80917 0.90586 1.04304 0 g065
100.16200 37.31500 36.57259 -2.46364 0.90347 0.63731 0 g075
97.95600 34.40000 47.99494 1.19312 1.58960 1.37899 0 j400
90.98200 38.58800 34.49356 6.06572 1.19164 1.17413 0 jb32
106.83100 22.10700 33.05213 -9.52458 1.24513 0.99664 0 jb26
106.81400 39.68000 31.05375 -9.17318 1.05191 0.89822 0 d084
106.66500 26.41500 33.34853 -9.71228 0.94739 0.78154 0 jb25
106.03400 30.80400 33.56483 -9.28438 0.86758 0.76892 0 jb24
105.22600 32.57100 34.56162 -8.13928 2.36106 2.96714 0 h010
103.46800 29.60200 34.13127 -9.14811 1.12529 1.28193 0 h076
99.91800 22.55400 27.57855 -9.54732 1.19564 1.10673 0 jb42
99.53560 25.46345 27.17785 -16.28396 1.77927 1.64838 0 h205
99.19600 34.27100 45.26539 -1.46987 1.51723 1.51502 0 j406
99.01000 37.29813 36.10986 -1.04778 0.89502 0.94079 0 g153
98.81500 25.98700 29.40421 -13.93706 1.12082 1.09258 0 h203
95.80100 40.51400 30.12547 -0.93662 1.26747 0.73097 0 jb28
93.62600 42.81000 31.91787 0.65259 0.64716 1.35445 0 jb43
84.33400 43.65200 30.95655 5.54765 0.61945 1.04662 0 i045
