lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 sta
91.10404 29.65727 17.58295 18.56852 1.02964 0.73590 0.94433 1.86593 0 0 0 lhaz
102.79737 25.02954 3.82197 -11.74739 -1.31950 1.76903 1.37277 1.26267 0 0 0 kmin
87.60067 43.80796 2.48543 7.72235 1.14255 0.73397 0.99110 2.26922 0 0 0 urum
74.69427 42.67977 -1.19067 3.10226 0.72281 0.82100 0.96902 2.70834 0 0 0 pol2
66.88550 39.13471 -0.84491 1.15731 -1.04571 0.96340 1.09140 2.76538 0 0 0 kit3
100.23673 38.18486 5.18917 2.22984 0.98401 0.75038 0.64402 1.37410 0 0 0 qhql
104.81687 33.42293 7.22788 -1.51551 -0.58801 1.18175 0.84094 1.34533 0 0 0 gswd
102.43702 28.30009 9.45419 -8.08698 -0.46577 1.33961 0.91170 1.23418 0 0 0 scxd
101.74508 26.50323 7.31358 -12.42374 -0.14377 0.90405 0.99016 0.92186 0 0 0 h116
101.04951 22.74047 1.24045 -7.16075 -2.46693 1.07663 0.99084 1.35402 0 0 0 ynsm
82.87543 46.82385 0.09001 2.02982 0.63998 0.66798 1.04238 0.77203 0 0 0 xjtc
103.52796 28.84211 6.20197 -2.54499 -0.54876 0.99207 0.93385 1.44094 0 0 0 scmb
99.81305 39.40994 2.87899 1.47006 0.87232 0.94681 0.97332 0.62667 0 0 0 gsgt
90.25591 42.89336 3.52021 6.84214 -0.58621 0.67295 1.35334 0.63480 0 0 0 xjss
99.37180 25.88660 -1.41335 -11.95610 -2.15938 1.08524 1.82776 1.50016 0 0 0 ynyl
86.18949 41.79192 2.50020 9.77635 0.86819 0.71897 0.68788 1.02509 0 0 0 xjke
83.25697 43.39777 1.65403 7.73710 1.36874 0.76827 0.65842 1.06195 0 0 0 xjxy
77.01690 43.17873 -0.52582 2.93082 0.33322 0.86935 1.04833 0.69155 0 0 0 sele
100.45109 21.94845 0.67483 -4.97539 -0.73378 1.47536 1.37344 0.84580 0 0 0 ynmh
80.95585 26.91240 7.76923 34.60505 -2.70731 1.77076 0.76571 1.29481 0 0 0 lcki
105.66850 38.81148 3.26803 0.01097 0.61348 0.95408 0.81972 1.09664 0 0 0 nmaz
102.75136 24.11830 4.26720 -7.39427 0.59796 1.06766 0.95097 0.83799 0 0 0 ynth
101.77437 36.60066 9.46673 2.05094 0.23404 0.98282 0.77944 1.08924 0 0 0 xnin
100.25450 25.60813 0.92502 -11.68352 0.87695 1.02390 0.73194 1.02599 0 0 0 xiag
88.13477 47.85561 0.64306 5.50517 0.13273 0.72057 1.03523 1.21275 0 0 0 xjal
79.20976 41.20230 0.99884 14.59108 0.41444 0.80645 0.61541 1.10145 0 0 0 wush
88.17046 39.02206 0.84536 8.82963 -0.87599 0.51759 0.86518 0.77980 0 0 0 xjrq
85.53045 38.11869 -0.52833 10.51221 -0.89513 0.53023 0.77060 0.82062 0 0 0 xjqm
75.23371 37.77500 -4.03974 21.31070 0.35906 0.98096 0.66300 0.87688 0 0 0 tash
107.43716 37.77852 4.11353 -2.10150 0.55297 0.68976 0.58975 1.42841 0 0 0 yanc
106.21200 34.74600 5.38803 -1.16897 0.22130 0.52303 0.52289 0.80943 0 0 0 gsqs
105.75952 35.52680 6.67799 -1.58008 0.77290 0.71220 0.54982 0.89055 0 0 0 gsjn
104.60447 35.55418 8.08023 -0.08935 0.20716 0.62338 0.44032 0.56795 0 0 0 gsdx
97.37776 37.38052 7.15789 6.03115 0.36772 0.94466 1.33166 1.30478 0 0 0 dlha
94.77162 36.14543 8.07854 8.43458 -0.17317 0.51535 0.72273 0.71372 0 0 0 qhge
78.77031 39.81387 0.22810 16.66221 0.09969 0.58462 0.73127 0.86861 0 0 0 xjbc
87.17731 43.47111 3.24858 7.39984 0.87604 0.39208 0.71676 0.53155 0 0 0 guao
106.58632 35.54775 7.12649 -1.89829 0.22876 0.67210 0.51001 0.48245 0 0 0 gspl
105.90500 34.48467 6.52151 -2.43495 -0.50961 0.68581 0.70835 2.04315 0 0 0 gsts
105.81164 34.25167 6.09870 -2.58739 -0.14000 1.13740 1.02251 1.69263 0 0 0 g039
105.69683 34.59413 6.31900 -2.26763 -0.24500 0.97066 0.61537 0.93061 0 0 0 g037
105.36808 34.79269 6.49215 -1.74691 -0.31000 1.08931 0.90017 0.81117 0 0 0 g035
105.24579 36.65591 7.43304 -1.05362 0.21833 0.75778 0.67932 2.28146 0 0 0 g011
104.64600 34.99500 7.43398 -0.46055 0.76624 0.62488 0.50519 0.41738 0 0 0 gslx
104.07305 34.40296 8.30441 -0.49955 1.29833 1.63209 1.08154 1.63514 0 0 0 h014
103.33125 35.93272 8.77993 1.79721 1.14500 0.75493 0.66452 1.13623 0 0 0 g101
103.24738 34.74941 9.48788 0.95371 1.41500 1.11071 0.82787 1.27486 0 0 0 h013
103.08803 38.63240 4.69333 0.77885 -0.49543 0.75389 0.55433 1.28459 0 0 0 gsmq
101.63106 36.97609 9.28475 1.70649 0.38375 0.69555 0.64367 1.62730 0 0 0 g080
101.49662 30.49478 12.85006 -9.35394 1.79167 2.84953 0.90036 1.64230 0 0 0 jb35
100.24900 34.47800 13.88958 4.20753 0.01416 0.61115 0.51863 0.41229 0 0 0 qhmq
98.20807 34.92000 16.03991 5.22218 0.65358 1.19075 0.85334 1.19264 0 0 0 qhmd
97.92168 39.85391 1.87510 2.10714 1.24875 0.71526 0.68717 1.12935 0 0 0 g137
97.43945 40.02730 2.13618 2.95245 1.40250 0.93404 0.98295 1.74627 0 0 0 g129
94.68460 40.14348 1.95398 4.04945 -0.66912 0.40748 0.54991 0.73296 0 0 0 gsdh
93.48830 39.64511 2.06751 5.50557 -0.55000 0.77789 0.61771 1.98318 0 0 0 g163
93.33139 38.74420 5.59359 6.76569 2.64770 0.71469 1.05944 1.03730 0 0 0 qhlh
83.71566 42.82914 2.91985 8.03171 1.58028 0.54343 1.02144 1.22731 0 0 0 xjby
105.80182 35.96281 6.71482 -3.47157 0.94833 1.03302 1.07085 0.87521 0 0 0 lp03
106.67829 34.94590 5.87117 -2.67189 2.80000 1.05162 0.74251 1.15000 0 0 0 g110
106.55672 38.54600 4.05987 -2.04493 -0.45500 0.84495 0.87187 1.50870 0 0 0 d093
106.47715 39.06738 3.49199 -1.52949 0.80000 1.13264 0.82053 0.78104 0 0 0 d089
106.36431 36.84426 4.74262 -1.70476 1.78500 0.73727 0.61512 0.53364 0 0 0 g009
106.27372 38.49417 3.96769 -0.41205 -3.73644 0.56013 0.76899 0.46848 0 0 0 nxyc
105.88050 36.96961 4.70903 -0.01405 0.66500 0.81427 0.64003 0.71680 0 0 0 g007
105.64581 36.55396 6.69712 0.26987 -1.33429 0.57984 0.56140 0.46753 0 0 0 nxhy
105.61903 36.51114 6.72930 -0.28717 0.21000 0.82770 0.88237 1.84947 0 0 0 g012
105.61611 36.27763 7.90529 -2.20264 1.26500 0.72224 0.84663 0.87419 0 0 0 g015
105.27084 36.93305 4.76844 -0.09339 0.25000 0.71277 0.69381 0.69761 0 0 0 g008
105.24400 37.58600 5.29023 0.98064 0.48510 0.62530 0.49891 0.72668 0 0 0 nxzw
105.21651 37.24275 4.84834 0.45061 0.67000 0.80452 0.68865 0.44736 0 0 0 g006
104.74250 36.42834 9.21296 -0.92772 0.73000 0.69277 0.67658 1.41363 0 0 0 g085
104.63139 36.90747 7.99818 0.01771 1.52000 0.82507 0.59654 0.77767 0 0 0 g077
104.38404 34.04601 7.83186 -0.74394 1.08000 1.37350 1.02170 0.66000 0 0 0 h016
104.36440 36.65603 9.40629 -0.22008 0.50500 0.76818 0.66656 0.84518 0 0 0 g086
104.32509 37.45058 4.66197 0.74320 0.84000 0.76528 0.64030 0.45579 0 0 0 g067
104.08660 37.23500 5.61504 0.74856 0.59000 0.78310 0.59501 0.92504 0 0 0 g072
104.05705 37.18062 6.74458 0.89813 0.59960 0.56487 0.59886 0.44023 0 0 0 gsjt
104.02300 34.43000 11.56260 1.67410 -0.17672 2.23583 1.65838 0.46233 0 0 0 gsmx
103.70622 35.28532 7.87181 0.95837 1.35500 0.82315 0.71821 0.69210 0 0 0 g117
103.44396 37.14904 7.51803 1.52035 0.51000 0.91990 0.61473 0.74243 0 0 0 g091
103.43458 32.93072 9.83302 -1.52058 1.36000 2.02451 1.22241 0.56376 0 0 0 h025
103.38375 37.56158 4.52062 1.04259 0.49500 0.72257 0.65394 0.64484 0 0 0 g068
103.36350 38.84495 3.24748 0.51646 0.55500 0.87742 0.69541 0.49314 0 0 0 g050
103.34386 35.41447 8.11829 1.42851 1.39000 0.88261 0.73594 0.77439 0 0 0 g112
103.15667 36.89392 9.05614 1.64484 -0.03000 0.83276 0.71340 1.93120 0 0 0 g079
