lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 sta
91.10404 29.65727 46.36474 15.62427 1.02964 0.73590 0.94433 1.86593 0 0 0 lhaz
102.79737 25.02954 31.91386 -17.94747 -1.31950 1.76903 1.37277 1.26267 0 0 0 kmin
87.60067 43.80796 31.11599 5.78368 1.14255 0.73397 0.99110 2.26922 0 0 0 urum
74.69427 42.67977 27.53293 4.90138 0.72281 0.82100 0.96902 2.70834 0 0 0 pol2
66.88550 39.13471 27.81423 5.18576 -1.04571 0.96340 1.09140 2.76538 0 0 0 kit3
100.23673 38.18486 33.61222 -3.27469 0.98401 0.75038 0.64402 1.37410 0 0 0 qhql
104.81687 33.42293 35.47475 -8.25545 -0.58801 1.18175 0.84094 1.34533 0 0 0 gswd
102.43702 28.30009 37.74504 -14.18989 -0.46577 1.33961 0.91170 1.23418 0 0 0 scxd
101.74508 26.50323 35.54754 -18.33940 -0.14377 0.90405 0.99016 0.92186 0 0 0 h116
101.04951 22.74047 29.22184 -12.88733 -2.46693 1.07663 0.99084 1.35402 0 0 0 ynsm
82.87543 46.82385 28.52113 1.45822 0.63998 0.66798 1.04238 0.77203 0 0 0 xjtc
103.52796 28.84211 34.45718 -8.94129 -0.54876 0.99207 0.93385 1.44094 0 0 0 scmb
99.81305 39.40994 31.27208 -3.91829 0.87232 0.94681 0.97332 0.62667 0 0 0 gsgt
90.25591 42.89336 32.14548 4.14047 -0.58621 0.67295 1.35334 0.63480 0 0 0 xjss
99.37180 25.88660 26.88359 -17.22315 -2.15938 1.08524 1.82776 1.50016 0 0 0 ynyl
86.18949 41.79192 31.29851 8.24499 0.86819 0.71897 0.68788 1.02509 0 0 0 xjke
83.25697 43.39777 30.38388 7.05484 1.36874 0.76827 0.65842 1.06195 0 0 0 xjxy
77.01690 43.17873 28.20328 4.05852 0.33322 0.86935 1.04833 0.69155 0 0 0 sele
100.45109 21.94845 28.60310 -10.53860 -0.73378 1.47536 1.37344 0.84580 0 0 0 ynmh
80.95585 26.91240 36.51613 34.59044 -2.70731 1.77076 0.76571 1.29481 0 0 0 lcki
105.66850 38.81148 31.29512 -6.95416 0.61348 0.95408 0.81972 1.09664 0 0 0 nmaz
102.75136 24.11830 32.29459 -13.58196 0.59796 1.06766 0.95097 0.83799 0 0 0 ynth
101.77437 36.60066 37.85120 -3.87266 0.23404 0.98282 0.77944 1.08924 0 0 0 xnin
100.25450 25.60813 29.16721 -17.19293 0.87695 1.02390 0.73194 1.02599 0 0 0 xiag
88.13477 47.85561 28.87287 3.41263 0.13273 0.72057 1.03523 1.21275 0 0 0 xjal
79.20976 41.20230 29.87246 15.08315 0.41444 0.80645 0.61541 1.10145 0 0 0 wush
88.17046 39.02206 29.73611 6.72682 -0.87599 0.51759 0.86518 0.77980 0 0 0 xjrq
85.53045 38.11869 28.44037 9.17140 -0.89513 0.53023 0.77060 0.82062 0 0 0 xjqm
75.23371 37.77500 24.92118 22.95411 0.35906 0.98096 0.66300 0.87688 0 0 0 tash
107.43716 37.77852 32.05573 -9.52936 0.55297 0.68976 0.58975 1.42841 0 0 0 yanc
106.21200 34.74600 33.52391 -8.27703 0.22130 0.52303 0.52289 0.80943 0 0 0 gsqs
105.75952 35.52680 34.82812 -8.56920 0.77290 0.71220 0.54982 0.89055 0 0 0 gsjn
104.60447 35.55418 36.30943 -6.77290 0.20716 0.62338 0.44032 0.56795 0 0 0 gsdx
97.37776 37.38052 35.76446 1.31610 0.36772 0.94466 1.33166 1.30478 0 0 0 dlha
94.77162 36.14543 36.83110 4.44948 -0.17317 0.51535 0.72273 0.71372 0 0 0 qhge
78.77031 39.81387 29.16515 17.28176 0.09969 0.58462 0.73127 0.86861 0 0 0 xjbc
87.17731 43.47111 31.91441 5.58325 0.87604 0.39208 0.71676 0.53155 0 0 0 guao
106.58632 35.54775 35.21680 -9.10440 0.22876 0.67210 0.51001 0.48245 0 0 0 gspl
105.90500 34.48467 34.68359 -9.46235 -0.50961 0.68581 0.70835 2.04315 0 0 0 gsts
105.81164 34.25167 34.27088 -9.59023 -0.14000 1.13740 1.02251 1.69263 0 0 0 g039
105.69683 34.59413 34.49355 -9.24023 -0.24500 0.97066 0.61537 0.93061 0 0 0 g037
105.36808 34.79269 34.68565 -8.63278 -0.31000 1.08931 0.90017 0.81117 0 0 0 g035
105.24579 36.65591 35.58577 -7.90717 0.21833 0.75778 0.67932 2.28146 0 0 0 g011
104.64600 34.99500 35.67240 -7.15513 0.76624 0.62488 0.50519 0.41738 0 0 0 gslx
104.07305 34.40296 36.58986 -7.04158 1.29833 1.63209 1.08154 1.63514 0 0 0 h014
103.33125 35.93272 37.08407 -4.54635 1.14500 0.75493 0.66452 1.13623 0 0 0 g101
103.24738 34.74941 37.82087 -5.36735 1.41500 1.11071 0.82787 1.27486 0 0 0 h013
103.08803 38.63240 32.91531 -5.49940 -0.49543 0.75389 0.55433 1.28459 0 0 0 gsmq
101.63106 36.97609 37.66679 -4.17823 0.38375 0.69555 0.64367 1.62730 0 0 0 g080
101.49662 30.49478 41.26182 -15.20215 1.79167 2.84953 0.90036 1.64230 0 0 0 jb35
100.24900 34.47800 42.40070 -1.30037 0.01416 0.61115 0.51863 0.41229 0 0 0 qhmq
98.20807 34.92000 44.65279 0.27655 0.65358 1.19075 0.85334 1.19264 0 0 0 qhmd
97.92168 39.85391 30.35319 -2.75907 1.24875 0.71526 0.68717 1.12935 0 0 0 g137
97.43945 40.02730 30.63107 -1.77976 1.40250 0.93404 0.98295 1.74627 0 0 0 g129
