lon lat veast_eu vnorth_eu seast snorth covassumed0 sta
35.63017 32.98181 -3.39614 10.14215 0.30315 0.40030 0 kn08
77.60070 34.12836 -3.93066 19.12348 1.69697 1.46987 0 rscl
35.60868 32.97023 -3.45225 9.66797 0.27155 0.46304 0 kn02
89.33900 38.11000 6.25582 10.46823 1.31955 1.08735 0 g333
77.57343 34.71429 -3.09726 19.55395 1.59555 1.05511 0 pan2
103.93300 22.53000 5.35518 -2.10786 2.20367 2.03919 0 h172
106.44300 38.88800 3.55850 -0.60504 0.82922 1.04505 0 d367
108.97300 35.66500 4.02891 -2.01546 0.67305 0.77031 0 d377
107.68300 34.25900 6.15620 -2.28903 1.14089 0.72894 0 d385
109.97371 41.76464 1.97039 -1.38928 0.68386 0.75042 0 d040
84.33400 43.65200 2.19137 6.74010 0.68855 1.07973 0 i045
94.05700 35.61500 22.19614 4.10828 1.78310 0.96908 0 j377
93.62600 42.81000 3.37376 4.49391 0.72695 1.40407 0 jb43
92.41500 27.27000 13.23149 23.33694 2.59484 2.21817 0 bomd
78.97333 32.77865 -1.69976 18.86824 0.93273 1.00528 0 iaoh
92.73167 23.72333 6.46338 32.28028 1.15375 1.34464 0 aizw
35.51067 31.79967 -2.03726 9.71648 0.47179 0.39443 0 ds04
44.09483 40.17800 1.94820 6.50675 0.65843 0.97216 0 mmor
108.50700 41.56800 1.78727 -0.07393 0.86020 1.03549 0 d041
97.08800 39.45700 4.43668 4.25879 0.97949 0.62440 0 g313
80.34100 34.43800 -0.82589 17.87799 0.82600 1.90158 0 j315
107.88600 41.08800 1.90770 -1.97332 0.92114 1.25430 0 d046
109.93500 40.30400 3.16182 -1.19701 0.69416 0.64826 0 d052
109.92300 33.88000 5.06522 -2.10864 0.69409 0.69401 0 d078
102.83600 23.22400 5.54256 -5.03205 1.92015 1.22146 0 h166
85.57500 38.06500 -0.83309 11.58185 0.80549 0.80571 0 i405
75.76800 37.84000 -1.89739 21.27590 1.27432 1.12034 0 i407
93.92500 24.74900 1.70196 23.70186 1.00272 0.85964 0 imph
34.85692 29.78320 -1.83185 8.15729 0.63121 0.62524 0 sag0
35.51616 31.07648 -2.05540 10.48103 0.91307 0.81998 0 saf0
80.14800 28.96300 6.25180 34.25697 2.18801 0.98485 0 mah0
71.48703 34.00406 1.56507 25.99436 1.09009 1.87835 0 nceg
32.65770 40.87320 -10.29113 -0.71959 3.80698 0.99852 0 isp1
104.53690 30.37550 5.99653 -2.52086 1.45180 0.97047 0 jyan
43.95092 40.10827 2.30376 6.71401 0.59371 0.80317 0 sa10
43.80728 40.09721 2.13718 6.11072 0.55949 0.88766 0 sa20
43.78198 41.12128 1.41080 6.03109 0.55394 0.84860 0 bav0
25.40200 41.54483 0.48868 -2.38532 0.95918 0.89240 0 momc
108.34900 34.81400 5.78422 -2.08246 0.81707 0.85183 0 d379
97.05500 28.45100 13.48366 0.47909 1.44424 0.84482 0 j394
81.34500 41.60100 2.48532 7.87991 1.73669 1.30052 0 i059
80.23900 41.14300 1.61001 15.08523 1.20682 0.98796 0 i061
106.35200 39.19600 2.65461 -0.79313 0.91990 0.95195 0 d087
100.81400 35.24400 10.77103 4.91659 1.16697 1.17274 0 g358
77.17200 28.54400 7.20223 31.33343 1.77245 1.19749 0 jnuc
77.12525 28.48175 6.20223 32.72376 1.48288 1.66808 0 delh
86.14800 44.96600 2.68033 3.80992 0.81789 0.75044 0 i333
88.74800 44.20400 1.70980 6.42790 1.01027 0.69191 0 i342
37.71620 36.24649 -6.20648 13.54512 0.41210 0.53429 0 khbz
104.60900 34.34800 7.73377 -0.55794 1.13067 0.90773 0 h302
108.77500 33.84900 5.92154 -2.07486 0.43738 0.24836 0 sn05
109.28400 34.12500 4.89672 -2.07722 0.39200 0.28990 0 sn07
109.35600 34.45200 5.30677 -2.26558 0.39683 0.41761 0 sn08
109.17600 34.78400 5.31839 -1.92592 0.38730 0.62178 0 sn09
109.52700 34.58500 5.04682 -1.99670 0.31399 0.28169 0 sn10
83.41800 27.50700 8.42564 35.82601 1.87868 1.06150 0 brw0
45.20900 40.19800 2.55319 8.37112 0.62747 0.70461 0 era0
44.81000 40.15950 1.78705 7.94497 0.65189 0.79210 0 geg0
44.28700 40.38100 1.78891 6.62736 0.58670 0.73770 0 bur0
44.27600 40.73600 1.15806 6.57833 0.61387 0.90963 0 cho0
26.08500 38.44300 -20.06648 -23.15582 0.67164 0.63897 0 hios
26.73175 39.65263 -23.20728 -7.48813 1.37540 1.26789 0 kcam
26.98900 37.78000 -20.20562 -24.02383 0.76901 0.69933 0 samo
31.01875 40.57500 -14.29752 -2.60036 1.82585 2.55726 0 0023
98.87300 27.29700 5.71423 -9.75715 1.77166 1.26174 0 h314
108.94000 41.94800 2.79831 -1.38216 0.42575 0.76988 0 d308
108.68100 41.23100 1.44596 -1.45667 0.42621 0.67410 0 d311
109.53300 40.93200 2.68979 -1.36529 0.36793 0.52617 0 d313
109.72400 40.46400 3.53745 -0.43588 0.52248 0.67682 0 d314
108.84800 38.49800 4.10017 -1.33116 0.45058 0.65220 0 d370
108.57800 34.55600 5.86183 -1.85834 0.52698 0.59399 0 d382
107.76100 41.28900 3.02833 -1.46451 0.42109 0.91737 0 db01
107.56500 32.96400 6.55023 -3.15368 0.77667 0.68561 0 f385
99.57800 31.03800 18.15120 -5.75969 1.17172 1.05184 0 h321
87.88700 47.40900 0.72723 4.26397 0.64543 0.86262 0 i311
109.13500 41.02100 1.55776 -1.76439 0.94529 0.77206 0 d044
109.48000 30.23200 6.25807 -2.23785 0.79397 0.79899 0 f056
108.29500 27.87500 6.00542 -2.43515 0.87029 0.79740 0 f058
108.16900 23.75100 5.72483 -2.43774 1.09795 0.83743 0 f059
108.29600 23.14900 5.51839 -2.10427 1.42715 0.87572 0 f060
104.27200 23.35300 5.10247 -3.98699 0.89587 1.53150 0 f081
104.07300 29.65200 6.10611 -2.39027 0.89739 1.08525 0 h070
101.57300 24.98500 1.60687 -10.55905 1.16364 0.97657 0 h136
102.15300 24.67600 2.36839 -10.64938 0.86613 0.93810 0 h145
99.17000 23.62000 -2.76137 -5.05185 2.54637 1.60030 0 h221
99.83400 23.04500 0.31920 -7.70508 1.37670 1.13991 0 h222
99.26000 23.13500 -2.71765 -4.45956 0.99189 0.96021 0 h223
99.45400 22.73800 -0.60040 -6.16832 1.08237 1.21817 0 h225
84.85200 45.63000 1.49113 5.12421 0.66956 0.67691 0 i039
82.51200 43.78800 1.37694 6.86027 0.76269 1.87297 0 i046
26.40641 36.58563 -15.28153 -30.15203 0.80789 0.56056 0 astp
26.92938 36.75207 -16.92691 -26.85538 0.59466 0.52477 0 kosi
81.63487 28.58563 6.14655 33.35357 2.02055 1.74049 0 ska0
76.30453 32.24720 -0.19964 26.82080 2.62744 2.41562 0 nadi
78.36550 30.40233 4.77310 30.32221 1.56551 2.16051 0 cham
78.68000 29.84800 6.90949 32.37245 2.57800 2.08382 0 lans
77.61900 34.56800 -1.61328 19.42356 2.65344 0.81653 0 trth
77.52200 34.82300 -1.78017 19.37845 2.79793 1.42946 0 tksh
26.72500 43.48780 -0.87497 -1.29267 0.97956 0.94600 0 shum
34.74228 28.40266 -0.54953 10.90600 0.43522 0.45918 0 mag1
34.46992 28.52879 -3.95314 6.85324 0.65785 0.69892 0 daha
34.31387 28.17834 -3.23807 7.56708 1.23658 1.18198 0 nabq
43.95440 40.60902 1.47277 7.09217 0.67128 0.81721 0 arti
43.89110 41.53702 0.57902 3.84379 0.65087 0.84721 0 nino
43.76792 40.97229 0.71092 6.41383 0.72341 0.63882 0 amsi
40.76090 35.75376 -4.54434 15.93296 0.42334 0.56052 0 mrqd
40.59630 36.58415 -5.70498 15.85752 0.42178 0.57730 0 hmeh
39.33560 37.63620 -8.39547 15.20183 0.81400 1.23881 0 aktp
39.10000 37.86340 -8.19011 13.92146 0.93025 0.94600 0 buck
38.90140 37.96810 -8.44958 14.84618 0.88032 0.91390 0 gndm
38.75710 36.46071 -5.89410 14.39080 0.53441 0.53603 0 dbss
38.48090 35.78223 -5.10301 14.36021 0.45298 0.58473 0 krin
37.86870 34.64322 -3.83220 14.69148 0.43701 0.72615 0 jhar
37.63370 35.79988 -5.48926 13.12191 0.51785 0.51953 0 akil
36.97360 36.23296 -5.86764 12.92169 0.42679 0.51127 0 howr
36.96550 35.04861 -4.31450 13.16236 0.42592 0.52055 0 salm
36.88120 35.64858 -5.44563 12.67677 0.45588 0.44020 0 katr
36.75390 34.91386 -5.29230 12.60276 0.61035 0.50075 0 blan
