lon lat veast_eu vnorth_eu seast snorth covassumed0 sta
35.63017 32.98181 22.96473 21.97296 0.30315 0.40030 0 kn08
77.60070 34.12836 25.10633 20.09656 1.69697 1.46987 0 rscl
35.60868 32.97023 22.90683 21.50317 0.27155 0.46304 0 kn02
89.33900 38.11000 35.16404 8.04196 1.31955 1.08735 0 g333
77.57343 34.71429 25.94279 20.53493 1.59555 1.05511 0 pan2
103.93300 22.53000 33.21656 -8.60320 2.20367 2.03919 0 h172
106.44300 38.88800 31.54026 -7.76494 0.82922 1.04505 0 d367
108.97300 35.66500 31.95275 -9.83131 0.67305 0.77031 0 d377
107.68300 34.25900 34.21391 -9.77224 1.14089 0.72894 0 d385
109.97371 41.76464 29.44634 -9.46046 0.68386 0.75042 0 d040
84.33400 43.65200 30.90726 5.75907 0.68855 1.07973 0 i045
94.05700 35.61500 51.00104 0.33639 1.78310 0.96908 0 j377
93.62600 42.81000 31.89535 0.84402 0.72695 1.40407 0 jb43
92.41500 27.27000 41.86742 20.03092 2.59484 2.21817 0 bomd
78.97333 32.77865 27.32808 19.44317 0.93273 1.00528 0 iaoh
92.73167 23.72333 34.81226 28.88418 1.15375 1.34464 0 aizw
35.51067 31.79967 24.36833 21.57167 0.47179 0.39443 0 ds04
44.09483 40.17800 28.75508 16.48674 0.65843 0.97216 0 mmor
108.50700 41.56800 29.41336 -7.77007 0.86020 1.03549 0 d041
97.08800 39.45700 32.99583 -0.36465 0.97949 0.62440 0 g313
80.34100 34.43800 28.22874 18.05589 0.82600 1.90158 0 j315
107.88600 41.08800 29.62602 -9.50913 0.92114 1.25430 0 d046
109.93500 40.30400 30.75778 -9.25836 0.69416 0.64826 0 d052
109.92300 33.88000 32.96060 -10.16694 0.69409 0.69401 0 d078
102.83600 23.22400 33.51089 -11.23294 1.92015 1.22146 0 h166
85.57500 38.06500 28.15242 10.24135 0.80549 0.80571 0 i405
75.76800 37.84000 27.08537 22.77966 1.27432 1.12034 0 i407
93.92500 24.74900 30.11160 19.96730 1.00272 0.85964 0 imph
34.85692 29.78320 24.57980 20.14490 0.63121 0.62524 0 sag0
35.51616 31.07648 24.38080 22.33510 0.91307 0.81998 0 saf0
80.14800 28.96300 35.14200 34.49090 2.18801 0.98485 0 mah0
71.48703 34.00406 30.49070 28.73080 1.09009 1.87835 0 nceg
32.65770 40.87320 14.98950 11.70190 3.80698 0.99852 0 isp1
104.53690 30.37550 34.25587 -9.17727 1.45180 0.97047 0 jyan
43.95092 40.10827 29.10072 16.72741 0.59371 0.80317 0 sa10
43.80728 40.09721 28.91899 16.15739 0.55949 0.88766 0 sa20
43.78198 41.12128 28.09419 16.08362 0.55394 0.84860 0 bav0
25.40200 41.54483 24.58893 11.33466 0.95918 0.89240 0 momc
108.34900 34.81400 33.78056 -9.73790 0.81707 0.85183 0 d379
97.05500 28.45100 42.03656 -4.13515 1.44424 0.84482 0 j394
81.34500 41.60100 31.35663 7.76627 1.73669 1.30052 0 i059
80.23900 41.14300 30.50599 15.29274 1.20682 0.98796 0 i061
106.35200 39.19600 30.62608 -7.92916 0.91990 0.95195 0 d087
100.81400 35.24400 39.25965 -0.73569 1.16697 1.17274 0 g358
77.17200 28.54400 36.05263 32.43075 1.77245 1.19749 0 jnuc
77.12525 28.48175 35.04863 33.83463 1.48288 1.66808 0 delh
86.14800 44.96600 31.26165 2.30364 0.81789 0.75044 0 i333
88.74800 44.20400 30.29596 4.17154 1.01027 0.69191 0 i342
37.71620 36.24649 20.18608 24.94228 0.41210 0.53429 0 khbz
104.60900 34.34800 36.00321 -7.23353 1.13067 0.90773 0 h302
108.77500 33.84900 33.90541 -9.83992 0.43738 0.24836 0 sn05
109.28400 34.12500 32.83680 -9.97269 0.39200 0.28990 0 sn07
109.35600 34.45200 33.23423 -10.17944 0.39683 0.41761 0 sn08
109.17600 34.78400 33.25183 -9.79377 0.38730 0.62178 0 sn09
109.52700 34.58500 32.95776 -9.95421 0.31399 0.28169 0 sn10
83.41800 27.50700 37.22175 35.11062 1.87868 1.06150 0 brw0
45.20900 40.19800 29.48143 18.09038 0.62747 0.70461 0 era0
44.81000 40.15950 28.67493 17.75803 0.65189 0.79210 0 geg0
44.28700 40.38100 28.59909 16.56264 0.58670 0.73770 0 bur0
44.27600 40.73600 27.93444 16.51617 0.61387 0.90963 0 cho0
26.08500 38.44300 4.56825 -9.54900 0.67164 0.63897 0 hios
26.73175 39.65263 1.36675 6.00975 1.37540 1.26789 0 kcam
26.98900 37.78000 4.64125 -10.56975 0.76901 0.69933 0 samo
31.01875 40.57500 10.78675 10.13262 1.82585 2.55726 0 0023
98.87300 27.29700 34.13505 -14.87620 1.77166 1.26174 0 h314
108.94000 41.94800 30.35377 -9.18955 0.42575 0.76988 0 d308
108.68100 41.23100 29.08367 -9.19757 0.42621 0.67410 0 d311
109.53300 40.93200 30.27458 -9.32432 0.36793 0.52617 0 d313
109.72400 40.46400 31.14066 -8.44357 0.52248 0.67682 0 d314
108.84800 38.49800 31.90840 -9.11496 0.45058 0.65220 0 d370
108.57800 34.55600 33.84677 -9.57275 0.52698 0.59399 0 d382
107.76100 41.28900 30.74190 -8.96795 0.42109 0.91737 0 db01
107.56500 32.96400 34.63261 -10.60628 0.77667 0.68561 0 f385
99.57800 31.03800 46.68833 -11.07313 1.17172 1.05184 0 h321
87.88700 47.40900 29.02956 2.25556 0.64543 0.86262 0 i311
109.13500 41.02100 29.17149 -9.62174 0.94529 0.77206 0 d044
109.48000 30.23200 34.19860 -10.18337 0.79397 0.79899 0 f056
108.29500 27.87500 33.96808 -10.07666 0.87029 0.79740 0 f058
108.16900 23.75100 33.47891 -10.04675 1.09795 0.83743 0 f059
108.29600 23.14900 33.22234 -9.74605 1.42715 0.87572 0 f060
104.27200 23.35300 33.01846 -10.57284 0.89587 1.53150 0 f081
104.07300 29.65200 34.37451 -8.92301 0.89739 1.08525 0 h070
101.57300 24.98500 29.76669 -16.41813 1.16364 0.97657 0 h136
102.15300 24.67600 30.48070 -16.66579 0.86613 0.93810 0 h145
99.17000 23.62000 25.38513 -10.25289 2.54637 1.60030 0 h221
99.83400 23.04500 28.39043 -13.08891 1.37670 1.13991 0 h222
99.26000 23.13500 25.38248 -9.68542 0.99189 0.96021 0 h223
99.45400 22.73800 27.45613 -11.44763 1.08237 1.21817 0 h225
84.85200 45.63000 30.03366 3.99307 0.66956 0.67691 0 i039
82.51200 43.78800 30.09820 6.40781 0.76269 1.87297 0 i046
26.40641 36.58563 9.61950 -16.59913 0.80789 0.56056 0 astp
26.92938 36.75207 8.02900 -13.39113 0.59466 0.52477 0 kosi
81.63487 28.58563 35.01600 33.15575 2.02055 1.74049 0 ska0
76.30453 32.24720 28.79233 28.16933 2.62744 2.41562 0 nadi
78.36550 30.40233 33.72417 31.07350 1.56551 2.16051 0 cham
78.68000 29.84800 35.83833 33.03250 2.57800 2.08382 0 lans
77.61900 34.56800 27.42667 20.39133 2.65344 0.81653 0 trth
77.52200 34.82300 27.25967 20.37433 2.79793 1.42946 0 tksh
26.72500 43.48780 23.13300 12.20635 0.97956 0.94600 0 shum
34.74228 28.40266 25.88500 22.91667 0.43522 0.45918 0 mag1
34.46992 28.52879 22.45167 18.91850 0.65785 0.69892 0 daha
34.31387 28.17834 23.15833 19.66350 1.23658 1.18198 0 nabq
43.95440 40.60902 28.22461 17.10476 0.67128 0.81721 0 arti
43.89110 41.53702 27.23381 13.87105 0.65087 0.84721 0 nino
43.76792 40.97229 27.40713 16.46962 0.72341 0.63882 0 amsi
40.76090 35.75376 22.22570 26.67023 0.42334 0.56052 0 mrqd
40.59630 36.58415 20.99302 26.63125 0.42178 0.57730 0 hmeh
39.33560 37.63620 18.07998 26.25190 0.81400 1.23881 0 aktp
39.10000 37.86340 18.23904 25.02258 0.93025 0.94600 0 buck
38.90140 37.96810 17.94723 25.99018 0.88032 0.91390 0 gndm
38.75710 36.46071 20.60383 25.56589 0.53441 0.53603 0 dbss
38.48090 35.78223 21.41077 25.59458 0.45298 0.58473 0 krin
37.86870 34.64322 22.68518 26.05634 0.43701 0.72615 0 jhar
37.63370 35.79988 20.92580 24.53651 0.51785 0.51953 0 akil
36.97360 36.23296 20.43839 24.47498 0.42679 0.51127 0 howr
36.96550 35.04861 22.07450 24.71734 0.42592 0.52055 0 salm
36.88120 35.64858 20.89238 24.24936 0.45588 0.44020 0 katr
36.75390 34.91386 21.08118 24.20187 0.61035 0.50075 0 blan
36.68070 36.66353 19.09643 23.02509 0.61361 0.43867 0 rajo
36.57793 35.44892 21.18914 24.02434 0.51634 0.53032 0 khsk
36.57310 34.93373 21.26124 24.08286 0.45603 0.45893 0 telf
36.56980 35.63779 20.82018 24.02681 0.45010 0.44770 0 hass
36.55000 34.05926 22.62255 23.99855 0.70440 0.58940 0 mshr
36.50802 36.14602 19.74739 23.34283 0.58123 0.60646 0 hrem
36.50320 34.96550 21.16959 23.39620 0.45635 0.46917 0 hmry
36.46670 34.17369 20.68593 23.22917 0.94736 1.18398 0 arsl
36.41870 35.11837 21.22729 22.94617 0.60996 0.47494 0 ders
36.40405 34.94800 22.14684 23.24038 0.48379 0.69974 0 bren
36.39950 33.87871 23.11786 23.75811 0.48063 0.49358 0 asal
36.36860 34.41213 20.80998 22.80327 1.67850 0.91708 0 hrml
36.34300 34.95660 20.26715 23.07086 0.53425 0.45342 0 bmra
36.26950 35.21452 20.91479 22.71803 0.52833 0.51261 0 daly
36.26893 34.88499 20.83351 22.22103 0.47196 0.46708 0 msah
36.20395 35.09002 21.11908 23.23840 0.44241 0.44539 0 bnba
36.15560 34.88156 20.99597 23.32318 0.43618 0.47574 0 ajsh
36.14310 34.19398 20.70268 22.44266 0.82211 0.85274 0 brka
