lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 sta
91.10399 29.65730 17.57538 18.63866 0.99827 0.55974 0.67546 0.69827 0 0 0 lhaz
50.60814 26.20914 3.21756 21.76088 -0.48868 0.83585 0.79421 0.89989 0 0 0 bahr
88.17246 39.02256 1.14916 8.86407 -0.46363 1.23821 0.91498 1.91147 0 0 0 xjrq
80.95593 26.91235 7.78616 34.55651 -2.45587 1.67500 0.77162 1.36400 0 0 0 lcki
101.40328 37.46328 8.24180 2.18924 0.75580 0.72246 0.52576 1.21389 0 0 0 g070
66.88553 39.13468 -0.71571 0.95737 -1.13438 0.65611 0.66488 1.08795 0 0 0 kit3
74.69427 42.67977 -1.03155 2.87173 1.02346 0.41946 0.31072 0.90336 0 0 0 pol2
102.79739 25.02945 4.26639 -11.27619 -1.16025 1.21889 1.04410 1.66021 0 0 0 kunm
87.60067 43.80796 2.59018 7.43544 1.13969 0.62170 0.81650 1.03537 0 0 0 uru2
104.81581 33.42319 7.01160 -1.94909 -0.16128 0.95949 0.72754 2.19165 0 0 0 gswd
101.67518 39.20947 2.93739 0.41742 1.11674 1.10987 0.71816 1.38138 0 0 0 nmay
100.23715 38.18537 5.10420 2.06768 1.13760 0.78413 0.58395 1.48476 0 0 0 qhql
82.87542 46.82387 0.22589 2.12839 0.65953 0.60370 0.83160 0.79831 0 0 0 xjtc
105.69974 34.59222 6.21696 -2.29058 3.08250 0.87791 0.56769 2.50553 0 0 0 leve
99.70018 27.82809 6.20130 -14.33746 -0.08072 0.73924 0.89198 2.01398 0 0 0 h192
77.01690 43.17873 -0.26430 2.72101 0.42554 0.56485 0.44767 0.60355 0 0 0 sele
105.66825 38.81262 3.31525 -0.31221 0.65848 0.86288 0.59377 1.25479 0 0 0 nmaz
100.01270 31.61419 18.45922 -4.36594 -0.03233 1.60433 1.00178 1.62478 0 0 0 scgz
91.10133 30.47971 17.82581 17.26111 0.31931 0.77187 1.31008 1.36961 0 0 0 xzdx
100.45070 21.94856 1.41546 -5.00875 -0.69823 1.69063 1.32453 1.06925 0 0 0 ynmh
101.04920 22.74080 1.13733 -7.77622 -1.99894 0.89020 0.96230 1.62098 0 0 0 ynsm
101.77347 36.59999 9.74808 2.08025 0.38476 0.56434 0.51111 1.22033 0 0 0 xnin
84.98486 27.16543 8.79041 36.16015 -0.65627 2.11104 1.45165 6.48291 0 0 0 sim4
102.43658 28.30079 9.55847 -8.50926 0.20688 1.04472 0.87191 1.41633 0 0 0 scxd
83.25691 43.39772 1.66763 7.75350 1.46039 0.88391 0.60050 0.88641 0 0 0 xjxy
103.33109 35.93206 8.62635 1.77673 1.46667 0.63085 0.55234 2.08658 0 0 0 g101
86.18949 41.79196 2.47115 9.67019 0.92125 0.77693 0.58362 0.93235 0 0 0 jb45
99.81311 39.40993 2.81131 1.43460 1.06373 0.94758 0.60523 0.96085 0 0 0 g140
105.75953 35.52692 6.51704 -1.78149 1.02103 0.57478 0.42212 1.73389 0 0 0 gsjn
101.74505 26.50322 7.33712 -12.90776 -0.48627 0.78754 0.68790 1.34356 0 0 0 scpz
82.97756 41.72411 2.86302 11.13949 -1.46033 1.14328 0.90084 0.48513 0 0 0 xjkc
90.25626 42.89317 3.56330 6.81173 -0.51270 0.69555 1.03177 0.40353 0 0 0 xjss
85.53045 38.11869 -0.43826 10.41892 -0.67302 0.56022 0.92827 0.59202 0 0 0 xjqm
100.88007 24.43332 0.76188 -9.69361 -0.39144 1.11593 0.86179 1.59550 0 0 0 leve
81.71421 28.65597 6.09876 33.65826 0.31377 0.87189 0.47877 1.43730 0 0 0 bmcl
81.80927 29.96912 3.87414 22.32739 3.77000 1.28797 0.93189 1.30190 0 0 0 smkt
87.17731 43.47111 3.51253 7.26232 1.04098 0.30076 0.25227 0.76201 0 0 0 guao
104.60445 35.55416 8.13626 -0.29615 0.17675 0.65313 0.36329 0.59554 0 0 0 gsdx
92.43773 34.21197 21.09275 10.40410 0.88124 1.00451 0.94297 1.60504 0 0 0 qhtt
103.17771 26.10743 6.38167 -7.29312 1.14600 0.87837 0.77892 1.25811 0 0 0 yndc
97.84723 24.00272 -4.56034 -2.60423 -1.11914 0.74030 0.90007 1.48975 0 0 0 ynrl
106.68218 33.11777 5.27604 -2.97817 -0.69050 0.80005 0.61357 1.42595 0 0 0 snmx
94.68408 40.14300 2.13012 3.93603 -0.45614 0.38423 0.55233 0.73585 0 0 0 gsdh
94.77161 36.14545 8.38206 8.31273 -0.10589 0.38627 0.56806 0.62473 0 0 0 qhge
88.13491 47.85549 0.66034 5.47887 0.25483 0.77208 0.72860 1.22019 0 0 0 xjal
78.77031 39.81387 0.47256 16.63970 0.24739 0.55536 0.63849 0.65848 0 0 0 xjbc
34.76314 30.59761 -2.81933 7.50549 0.87717 0.38539 0.25245 0.31105 0 0 0 ramo
41.56506 43.78839 -0.56888 0.76082 1.45286 0.45534 0.51860 0.43661 0 0 0 zeck
101.10830 36.44537 8.72713 3.04207 1.82857 0.70965 0.64443 2.70789 0 0 0 g100
98.87430 35.12636 14.44239 4.85212 0.58286 1.13222 0.81236 2.01451 0 0 0 j405
79.20976 41.20230 1.47428 14.55690 0.55626 0.55281 0.47448 0.94699 0 0 0 wush
82.81797 28.98351 5.54487 25.45292 3.26710 0.53086 0.51650 1.38303 0 0 0 dlpa
82.19247 29.27790 4.37885 26.49100 2.17441 0.82275 0.41123 1.21465 0 0 0 jmla
83.74317 28.80546 6.82893 26.51931 3.14950 0.69787 0.52842 1.06261 0 0 0 jmsm
102.88907 37.45536 5.94422 1.07708 1.58622 0.42264 0.47796 1.12163 0 0 0 gsgl
106.58632 35.54775 6.79518 -2.19331 0.19772 0.77585 0.41022 0.48146 0 0 0 gspl
103.53217 28.84065 6.40850 -2.55785 -0.18161 0.67846 0.70457 2.12331 0 0 0 scmb
102.75136 24.11830 4.55596 -7.63927 0.49223 1.30935 0.81710 1.18069 0 0 0 ynth
101.32590 25.72601 3.92139 -10.59941 1.01704 0.98890 0.72297 1.05891 0 0 0 ynya
107.43716 37.77852 4.24918 -2.15470 0.55546 0.55901 0.64872 1.40851 0 0 0 yanc
