lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 sta
91.10399 29.65730 46.37354 15.70658 0.99827 0.55974 0.67546 0.69827 0 0 0 lhaz
50.60814 26.20914 30.92564 30.16644 -0.48868 0.83585 0.79421 0.89989 0 0 0 bahr
88.17246 39.02256 30.05621 6.77340 -0.46363 1.23821 0.91498 1.91147 0 0 0 xjrq
80.95593 26.91235 36.54817 34.55584 -2.45587 1.67500 0.77162 1.36400 0 0 0 lcki
101.40328 37.46328 36.63952 -3.62368 0.75580 0.72246 0.52576 1.21389 0 0 0 g070
66.88553 39.13468 27.95644 5.00156 -1.13438 0.65611 0.66488 1.08795 0 0 0 kit3
74.69427 42.67977 27.70622 4.68572 1.02346 0.41946 0.31072 0.90336 0 0 0 pol2
102.79739 25.02945 32.37522 -17.46667 -1.16025 1.21889 1.04410 1.66021 0 0 0 kunm
87.60067 43.80796 31.23700 5.50960 1.13969 0.62170 0.81650 1.03537 0 0 0 uru2
104.81581 33.42319 35.27652 -8.67964 -0.16128 0.95949 0.72754 2.19165 0 0 0 gswd
101.67518 39.20947 31.24290 -5.46942 1.11674 1.10987 0.71816 1.38138 0 0 0 nmay
100.23715 38.18537 33.54506 -3.42677 1.13760 0.78413 0.58395 1.48476 0 0 0 qhql
82.87542 46.82387 28.67241 1.57045 0.65953 0.60370 0.83160 0.79831 0 0 0 xjtc
105.69974 34.59222 34.40950 -9.25506 3.08250 0.87791 0.56769 2.50553 0 0 0 leve
99.70018 27.82809 34.61556 -19.68450 -0.08072 0.73924 0.89198 2.01398 0 0 0 h192
77.01690 43.17873 28.47935 3.86326 0.42554 0.56485 0.44767 0.60355 0 0 0 sele
105.66825 38.81262 31.36074 -7.26837 0.65848 0.86288 0.59377 1.25479 0 0 0 nmaz
100.01270 31.61419 46.98679 -9.79883 -0.03233 1.60433 1.00178 1.62478 0 0 0 scgz
91.10133 30.47971 46.65725 14.32979 0.31931 0.77187 1.31008 1.36961 0 0 0 xzdx
100.45070 21.94856 29.36015 -10.56171 -0.69823 1.69063 1.32453 1.06925 0 0 0 ynmh
101.04920 22.74080 29.13529 -13.49271 -1.99894 0.89020 0.96230 1.62098 0 0 0 ynsm
101.77347 36.59999 38.15055 -3.83327 0.38476 0.56434 0.51111 1.22033 0 0 0 xnin
84.98486 27.16543 37.55162 34.99052 -0.65627 2.11104 1.45165 6.48291 0 0 0 sim4
102.43658 28.30079 37.86667 -14.60237 0.20688 1.04472 0.87191 1.41633 0 0 0 scxd
83.25691 43.39772 30.41307 7.08486 1.46039 0.88391 0.60050 0.88641 0 0 0 xjxy
103.33109 35.93206 36.94856 -4.55732 1.46667 0.63085 0.55234 2.08658 0 0 0 g101
86.18949 41.79196 31.28554 8.15192 0.92125 0.77693 0.58362 0.93235 0 0 0 jb45
99.81311 39.40993 31.22225 -3.94348 1.06373 0.94758 0.60523 0.96085 0 0 0 g140
105.75953 35.52692 34.68539 -8.76173 1.02103 0.57478 0.42212 1.73389 0 0 0 gsjn
101.74505 26.50322 35.58813 -18.81357 -0.48627 0.78754 0.68790 1.34356 0 0 0 scpz
82.97756 41.72411 31.72060 10.55190 -1.46033 1.14328 0.90084 0.48513 0 0 0 xjkc
90.25626 42.89317 32.20525 4.12227 -0.51270 0.69555 1.03177 0.40353 0 0 0 xjss
85.53045 38.11869 28.54643 9.09131 -0.67302 0.56022 0.92827 0.59202 0 0 0 xjqm
100.88007 24.43332 28.90954 -15.36395 -0.39144 1.11593 0.86179 1.59550 0 0 0 leve
81.71421 28.65597 34.97208 33.43741 0.31377 0.87189 0.47877 1.43730 0 0 0 bmcl
81.80927 29.96912 32.81409 22.07894 3.77000 1.28797 0.93189 1.30190 0 0 0 smkt
87.17731 43.47111 32.19457 5.45864 1.04098 0.30076 0.25227 0.76201 0 0 0 guao
104.60445 35.55416 36.38359 -6.97052 0.17675 0.65313 0.36329 0.59554 0 0 0 gsdx
92.43773 34.21197 49.95993 7.09162 0.88124 1.00451 0.94297 1.60504 0 0 0 qhtt
103.17771 26.10743 34.54211 -13.58598 1.14600 0.87837 0.77892 1.25811 0 0 0 yndc
97.84723 24.00272 23.66567 -7.43906 -1.11914 0.74030 0.90007 1.48975 0 0 0 ynrl
106.68218 33.11777 33.41874 -10.20070 -0.69050 0.80005 0.61357 1.42595 0 0 0 snmx
94.68408 40.14300 30.77038 -0.01298 -0.45614 0.38423 0.55233 0.73585 0 0 0 gsdh
94.77161 36.14545 37.15175 4.33904 -0.10589 0.38627 0.56806 0.62473 0 0 0 qhge
88.13491 47.85549 28.90642 3.39902 0.25483 0.77208 0.72860 1.22019 0 0 0 xjal
78.77031 39.81387 29.42456 17.27355 0.24739 0.55536 0.63849 0.65848 0 0 0 xjbc
34.76314 30.59761 23.55503 19.51196 0.87717 0.38539 0.25245 0.31105 0 0 0 ramo
41.56506 43.78839 25.55064 11.31865 1.45286 0.45534 0.51860 0.43661 0 0 0 zeck
101.10830 36.44537 37.17386 -2.69052 1.82857 0.70965 0.64443 2.70789 0 0 0 g100
98.87430 35.12636 43.03719 -0.26727 0.58286 1.13222 0.81236 2.01451 0 0 0 j405
79.20976 41.20230 30.36289 15.06321 0.55626 0.55281 0.47448 0.94699 0 0 0 wush
82.81797 28.98351 34.43272 24.91164 3.26710 0.53086 0.51650 1.38303 0 0 0 dlpa
82.19247 29.27790 33.28451 26.13129 2.17441 0.82275 0.41123 1.21465 0 0 0 jmla
83.74317 28.80546 35.70186 25.70960 3.14950 0.69787 0.52842 1.06261 0 0 0 jmsm
102.88907 37.45536 34.24778 -5.13809 1.58622 0.42264 0.47796 1.12163 0 0 0 gsgl
106.58632 35.54775 34.90379 -9.39074 0.19772 0.77585 0.41022 0.48146 0 0 0 gspl
103.53217 28.84065 34.68086 -8.94586 -0.18161 0.67846 0.70457 2.12331 0 0 0 scmb
102.75136 24.11830 32.60017 -13.81734 0.49223 1.30935 0.81710 1.18069 0 0 0 ynth
101.32590 25.72601 32.14284 -16.39128 1.01704 0.98890 0.72297 1.05891 0 0 0 ynya
107.43716 37.77852 32.20992 -9.57409 0.55546 0.55901 0.64872 1.40851 0 0 0 yanc
99.39453 23.54426 25.61855 -11.10780 -0.00506 1.05280 0.89704 1.38127 0 0 0 yngm
105.64559 36.55419 34.79647 -6.85080 -1.03358 0.51721 0.43856 1.76518 0 0 0 nxhy
93.33139 38.74420 34.83604 2.19754 2.74010 0.44843 0.69970 0.89002 0 0 0 qhlh
